year,bula_h,sex,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,North Rhine-Westphalia,male,In the next 2 to 5 years,0.01955,37,103,-0.00732,0.04641
1996,North Rhine-Westphalia,female,As soon as possible,0.03646,59,284,0.01462,0.05830
1996,North Rhine-Westphalia,female,Next year,0.04107,78,284,0.01795,0.06419
1996,North Rhine-Westphalia,female,In the next 2 to 5 years,0.05040,97,284,0.02491,0.07589
1996,North Rhine-Westphalia,female,"In the distant future, in more than five years",0.02566,50,284,0.00723,0.04408
1996,Hesse,female,In the next 2 to 5 years,0.05586,32,32,-0.02498,0.13670
1996,"Rhineland-Palatinate, Saarland",female,In the next 2 to 5 years,0.06022,33,33,-0.02221,0.14264
1996,Baden-Wuerttemberg,male,As soon as possible,0.02264,36,36,-0.02664,0.07192
1996,Baden-Wuerttemberg,female,As soon as possible,0.02742,47,199,0.00467,0.05016
1996,Baden-Wuerttemberg,female,Next year,0.02623,36,199,0.00397,0.04849
1996,Baden-Wuerttemberg,female,In the next 2 to 5 years,0.07283,79,199,0.03664,0.10903
1996,Baden-Wuerttemberg,female,"In the distant future, in more than five years",0.03057,37,199,0.00659,0.05455
1996,Bavaria,male,As soon as possible,0.04923,53,53,-0.00957,0.10804
1996,Bavaria,female,Next year,0.03170,44,105,-0.00197,0.06537
1996,Bavaria,female,In the next 2 to 5 years,0.04388,61,105,0.00452,0.08325
1996,Saxony,male,As soon as possible,0.05066,33,33,-0.02533,0.12664
1996,Saxony,female,As soon as possible,0.07295,52,92,0.01952,0.12638
1996,Saxony,female,Next year,0.05624,40,92,0.00890,0.10357
1996,Saxony-Anhalt,male,As soon as possible,0.08220,32,32,-0.01449,0.17889
1996,Thuringa,female,As soon as possible,0.06340,34,34,-0.01974,0.14655
1997,Lower Saxony,female,In the next 2 to 5 years,0.05608,38,38,-0.01805,0.13022
1997,North Rhine-Westphalia,male,As soon as possible,0.04256,79,79,-0.00224,0.08736
1997,North Rhine-Westphalia,female,As soon as possible,0.02351,53,254,0.00484,0.04218
1997,North Rhine-Westphalia,female,Next year,0.03018,54,254,0.00910,0.05126
1997,North Rhine-Westphalia,female,In the next 2 to 5 years,0.05936,109,254,0.03024,0.08847
1997,North Rhine-Westphalia,female,"In the distant future, in more than five years",0.01683,38,254,0.00098,0.03267
1997,Hesse,female,In the next 2 to 5 years,0.04398,36,36,-0.02395,0.11192
1997,"Rhineland-Palatinate, Saarland",female,In the next 2 to 5 years,0.06728,35,35,-0.01693,0.15148
1997,Baden-Wuerttemberg,male,As soon as possible,0.02196,46,46,-0.02086,0.06478
1997,Baden-Wuerttemberg,female,As soon as possible,0.03098,51,193,0.00647,0.05549
1997,Baden-Wuerttemberg,female,Next year,0.03233,36,193,0.00731,0.05735
1997,Baden-Wuerttemberg,female,In the next 2 to 5 years,0.06529,75,193,0.03034,0.10023
1997,Baden-Wuerttemberg,female,"In the distant future, in more than five years",0.02082,31,193,0.00063,0.04102
1997,Bavaria,male,As soon as possible,0.03699,40,40,-0.02225,0.09622
1997,Bavaria,female,As soon as possible,0.02723,31,144,0.00056,0.05391
1997,Bavaria,female,Next year,0.02497,31,144,-0.00060,0.05055
1997,Bavaria,female,In the next 2 to 5 years,0.06718,82,144,0.02615,0.10821
1997,Saxony,male,As soon as possible,0.06358,41,41,-0.01204,0.13920
1997,Saxony,female,As soon as possible,0.07143,54,54,0.00209,0.14077
1997,Saxony-Anhalt,female,As soon as possible,0.10343,43,43,0.01133,0.19553
1997,Thuringa,male,As soon as possible,0.08672,35,35,-0.00788,0.18131
1997,Thuringa,female,As soon as possible,0.08036,36,36,-0.00970,0.17042
1998,Lower Saxony,female,In the next 2 to 5 years,0.04676,43,43,-0.01709,0.11061
1998,North Rhine-Westphalia,male,As soon as possible,0.04933,86,126,0.01137,0.08730
1998,North Rhine-Westphalia,male,In the next 2 to 5 years,0.01793,40,126,-0.00533,0.04119
1998,North Rhine-Westphalia,female,As soon as possible,0.03173,69,261,0.01042,0.05303
1998,North Rhine-Westphalia,female,Next year,0.02957,59,261,0.00898,0.05016
1998,North Rhine-Westphalia,female,In the next 2 to 5 years,0.03783,81,261,0.01464,0.06102
1998,North Rhine-Westphalia,female,"In the distant future, in more than five years",0.02051,52,261,0.00328,0.03774
1998,Hesse,female,In the next 2 to 5 years,0.05998,37,37,-0.01759,0.13754
1998,"Rhineland-Palatinate, Saarland",female,In the next 2 to 5 years,0.06573,40,40,-0.01205,0.14350
1998,Baden-Wuerttemberg,male,As soon as possible,0.02775,47,47,-0.01972,0.07522
1998,Baden-Wuerttemberg,female,As soon as possible,0.02325,39,188,0.00165,0.04485
1998,Baden-Wuerttemberg,female,Next year,0.03256,40,188,0.00712,0.05800
1998,Baden-Wuerttemberg,female,In the next 2 to 5 years,0.05823,73,188,0.02466,0.09179
1998,Baden-Wuerttemberg,female,"In the distant future, in more than five years",0.02320,36,188,0.00162,0.04478
1998,Bavaria,male,As soon as possible,0.03618,39,39,-0.02319,0.09555
1998,Bavaria,female,As soon as possible,0.02422,36,180,0.00170,0.04674
1998,Bavaria,female,Next year,0.03381,42,180,0.00733,0.06028
1998,Bavaria,female,In the next 2 to 5 years,0.04553,66,180,0.01499,0.07606
1998,Bavaria,female,"In the distant future, in more than five years",0.02747,36,180,0.00353,0.05142
1998,Brandenburg,male,As soon as possible,0.09221,31,31,-0.01132,0.19574
1998,Brandenburg,female,As soon as possible,0.06497,32,32,-0.02180,0.15173
1998,Saxony,male,As soon as possible,0.06835,51,51,-0.00160,0.13830
1998,Saxony,female,As soon as possible,0.07634,61,93,0.02208,0.13060
1998,Saxony,female,In the next 2 to 5 years,0.03680,32,93,-0.00167,0.07527
1998,Saxony-Anhalt,male,As soon as possible,0.10195,38,38,0.00445,0.19945
1998,Saxony-Anhalt,female,As soon as possible,0.10319,38,38,0.00517,0.20121
1998,Thuringa,male,As soon as possible,0.09837,49,49,0.01412,0.18262
1998,Thuringa,female,As soon as possible,0.07258,34,34,-0.01594,0.16109
1999,Lower Saxony,female,In the next 2 to 5 years,0.04188,36,36,-0.02448,0.10825
1999,North Rhine-Westphalia,male,As soon as possible,0.03641,66,97,-0.00106,0.07388
