year,pgisced97,plb0418,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2021,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.02727,56,155,0.00155,0.05300
2021,Second Stage of Tertiary Education,As soon as possible,0.02312,172,480,0.00966,0.03658
2021,Second Stage of Tertiary Education,Next year,0.03320,200,480,0.01715,0.04924
2021,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01360,108,480,0.00323,0.02398
2022,Pre-primary Level,Next year,0.08716,45,158,0.04304,0.13129
2022,Pre-primary Level,In the next 2 to 5 years,0.16036,82,158,0.10296,0.21776
2022,Pre-primary Level,"In the distant future, in more than five years",0.07236,31,158,0.03183,0.11288
2022,Primary Level,As soon as possible,0.07514,111,350,0.04748,0.10280
2022,Primary Level,Next year,0.07084,91,350,0.04392,0.09776
2022,Primary Level,In the next 2 to 5 years,0.07038,107,350,0.04354,0.09721
2022,Primary Level,"In the distant future, in more than five years",0.03217,41,350,0.01365,0.05068
2022,Lower Secondary Level,As soon as possible,0.03196,126,444,0.01558,0.04834
2022,Lower Secondary Level,Next year,0.03602,140,444,0.01867,0.05337
2022,Lower Secondary Level,In the next 2 to 5 years,0.04657,143,444,0.02695,0.06619
2022,Lower Secondary Level,"In the distant future, in more than five years",0.00687,35,444,-0.00082,0.01457
2022,Upper Secondary Level,As soon as possible,0.01651,255,1031,0.00873,0.02429
2022,Upper Secondary Level,Next year,0.03322,385,1031,0.02228,0.04417
2022,Upper Secondary Level,In the next 2 to 5 years,0.02549,306,1031,0.01586,0.03511
2022,Upper Secondary Level,"In the distant future, in more than five years",0.00622,85,1031,0.00142,0.01102
2022,Post-secondary Non-tertiary Level,As soon as possible,0.02174,51,189,0.00089,0.04259
2022,Post-secondary Non-tertiary Level,Next year,0.04148,75,189,0.01298,0.06999
2022,Post-secondary Non-tertiary Level,In the next 2 to 5 years,0.02004,63,189,0.00001,0.04007
2022,Second Stage of Tertiary Education,As soon as possible,0.01651,220,631,0.00656,0.02646
2022,Second Stage of Tertiary Education,Next year,0.03040,276,631,0.01699,0.04380
2022,Second Stage of Tertiary Education,In the next 2 to 5 years,0.01757,135,631,0.00731,0.02782
