year,quintil_oecd,pgpsbil,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1998,3rd Quintile,No School Attended,0.004415897230028101,18147,0.0034511753973088307,0.005380619062747371
1998,4th Quintile,Secondary School Degree,0.4107142857142857,18147,0.40355637111261106,0.41787220031596034
1998,4th Quintile,Intermediate School Degree,0.30634920634920637,18147,0.29964214196616346,0.3130562707322493
1998,4th Quintile,Upper Secondary Degree,0.15436507936507937,18147,0.149108301366904,0.15962185736325474
1998,4th Quintile,Other Degree,0.05119047619047619,18147,0.04798392812585197,0.05439702425510041
1998,4th Quintile,Technical School Degree,0.034523809523809526,18147,0.031867468730676494,0.03718015031694256
1998,4th Quintile,"Dropout, No School Degree",0.021031746031746033,18147,0.01894400983732072,0.023119482226171346
1998,4th Quintile,No School Degree Yet,0.01865079365079365,18147,0.016682390288886344,0.020619197012700957
1998,4th Quintile,No School Attended,0.0031746031746031746,18147,0.0023561234566701617,0.0039930828925361875
1998,5th Quintile,Intermediate School Degree,0.31638163816381637,18147,0.3096151060613918,0.32314817026624093
1998,5th Quintile,Secondary School Degree,0.30423042304230424,18147,0.2975363924945437,0.31092445359006476
1998,5th Quintile,Upper Secondary Degree,0.2646264626462646,18147,0.2582080994888053,0.2710448258037239
1998,5th Quintile,Technical School Degree,0.0558055805580558,18147,0.05246575963093062,0.059145401485180986
1998,5th Quintile,Other Degree,0.0333033303330333,18147,0.03069271673678063,0.03591394392928597
1998,5th Quintile,No School Degree Yet,0.018001800180018002,18147,0.01606730805586891,0.019936292304167096
1998,5th Quintile,"Dropout, No School Degree",0.0067506750675067504,18147,0.0055592783663642835,0.007942071768649217
1998,5th Quintile,No School Attended,0.0009000900090009,18147,0.0004637740662189764,0.0013364059517828237
1999,1st Quintile,Secondary School Degree,0.43681873233750507,17396,0.4294480770674264,0.44418938760758375
1999,1st Quintile,Intermediate School Degree,0.24061364553895842,17396,0.23426146412251864,0.2469658269553982
1999,1st Quintile,Other Degree,0.12030682276947921,17396,0.115472427988036,0.12514121755092242
1999,1st Quintile,Upper Secondary Degree,0.08155026241421073,17396,0.0774832850944055,0.08561723973401597
1999,1st Quintile,"Dropout, No School Degree",0.059345983044004846,17396,0.05583489279132806,0.06285707329668164
1999,1st Quintile,No School Degree Yet,0.030278562777553492,17396,0.027732186975931664,0.03282493857917532
1999,1st Quintile,Technical School Degree,0.017359709325797335,17396,0.015418823984442775,0.019300594667151894
1999,1st Quintile,No School Attended,0.013726281792490917,17396,0.011997235753600921,0.015455327831380912
1999,2nd Quintile,Secondary School Degree,0.4782295789852465,17396,0.47080641052167677,0.4856527474488162
1999,2nd Quintile,Intermediate School Degree,0.27204030226700254,17396,0.26542725443100357,0.2786533501030015
1999,2nd Quintile,Other Degree,0.08780136739834472,17396,0.08359577944417759,0.09200695535251185
1999,2nd Quintile,Upper Secondary Degree,0.07196833393306945,17396,0.06812787174114114,0.07580879612499776
1999,2nd Quintile,"Dropout, No School Degree",0.0388629003238575,17396,0.03599085263518132,0.04173494801253368
1999,2nd Quintile,No School Degree Yet,0.02878733357322778,17396,0.02630254603184223,0.031272121114613326
1999,2nd Quintile,Technical School Degree,0.01439366678661389,17396,0.012623684839236694,0.016163648733991086
1999,2nd Quintile,No School Attended,0.00791651673263764,17396,0.006599556841191812,0.009233476624083468
1999,3rd Quintile,Secondary School Degree,0.43740902474526927,17396,0.4300372573699448,0.44478079212059374
1999,3rd Quintile,Intermediate School Degree,0.32096069868995636,17396,0.31402317058152174,0.327898226798391
1999,3rd Quintile,Upper Secondary Degree,0.10589519650655022,17396,0.10132259119797846,0.11046780181512197
1999,3rd Quintile,Other Degree,0.06295487627365356,17396,0.05934554859708887,0.06656420395021827
1999,3rd Quintile,"Dropout, No School Degree",0.024745269286754003,17396,0.022436734108641523,0.027053804464866483
1999,3rd Quintile,Technical School Degree,0.02219796215429403,17396,0.020008621235047798,0.024387303073540263
1999,3rd Quintile,No School Degree Yet,0.021834061135371178,17396,0.01966233578503197,0.024005786485710386
1999,3rd Quintile,No School Attended,0.004002911208151383,17396,0.0030645968007921797,0.004941225615510586
1999,4th Quintile,Secondary School Degree,0.40487624676763945,17396,0.39758173610625197,0.4121707574290269
1999,4th Quintile,Intermediate School Degree,0.30809013668267454,17396,0.3012290164464096,0.3149512569189395
1999,4th Quintile,Upper Secondary Degree,0.1606944957517547,17396,0.15523701882724714,0.16615197267626228
1999,4th Quintile,Other Degree,0.05060953084595493,17396,0.04735213932673832,0.05386692236517154
1999,4th Quintile,Technical School Degree,0.0384189139268563,17396,0.03556265963631118,0.04127516821740142
1999,4th Quintile,"Dropout, No School Degree",0.01810121906169191,17396,0.016120063196964355,0.020082374926419466
1999,4th Quintile,No School Degree Yet,0.01736239379386775,17396,0.015421361042501532,0.019303426545233968
1999,4th Quintile,No School Attended,0.001847063169560399,17396,0.001208989548492542,0.002485136790628256
1999,5th Quintile,Intermediate School Degree,0.30735930735930733,17396,0.30050271141204005,0.3142159033065746
1999,5th Quintile,Secondary School Degree,0.30499803227075956,17396,0.2981561923665629,0.31183987217495623
1999,5th Quintile,Upper Secondary Degree,0.27744982290436837,17396,0.27079620888209355,0.2841034369266432
1999,5th Quintile,Technical School Degree,0.05391578118850846,17396,0.05055953181440805,0.05727203056260887
1999,5th Quintile,Other Degree,0.02872884691066509,17396,0.02624651005968403,0.031211183761646152
1999,5th Quintile,No School Degree Yet,0.021251475796930343,17396,0.019108281823640536,0.02339466977022015
1999,5th Quintile,"Dropout, No School Degree",0.005116096025186935,17396,0.00405589817862248,0.006176293871751389
1999,5th Quintile,No School Attended,0.0011806375442739079,17396,0.0006703286438350371,0.0016909464447127786
2000,1st Quintile,Secondary School Degree,0.4703603254552499,30607,0.4647685298851268,0.47595212102537304
2000,1st Quintile,Intermediate School Degree,0.2378922898101511,30607,0.23312200784282844,0.24266257177747375
2000,1st Quintile,Other Degree,0.11894614490507555,30607,0.11531935746578505,0.12257293234436605
2000,1st Quintile,Upper Secondary Degree,0.08368849283223556,30607,0.08058607610612774,0.08679090955834338
2000,1st Quintile,"Dropout, No School Degree",0.04068190623789229,30607,0.03846867059961762,0.04289514187616696
2000,1st Quintile,No School Degree Yet,0.02828361100348702,30607,0.026426307486183243,0.030140914520790797
2000,1st Quintile,Technical School Degree,0.01820999612553274,30607,0.01671200265869815,0.019707989592367327
2000,1st Quintile,No School Attended,0.0019372336303758234,30607,0.0014446095733441646,0.002429857687407482
2000,2nd Quintile,Secondary School Degree,0.4539855072463768,30607,0.4484076323534074,0.4595633821393462
2000,2nd Quintile,Intermediate School Degree,0.31231884057971016,30607,0.3071267968158787,0.31751088434354163
2000,2nd Quintile,Upper Secondary Degree,0.08985507246376812,30607,0.08665122179485385,0.09305892313268238
2000,2nd Quintile,Other Degree,0.07391304347826087,30607,0.07098193348608182,0.07684415347043992
2000,2nd Quintile,No School Degree Yet,0.02608695652173913,30607,0.024301219559782025,0.027872693483696233
2000,2nd Quintile,"Dropout, No School Degree",0.021739130434782608,30607,0.020105348405306832,0.023372912464258384
2000,2nd Quintile,Technical School Degree,0.021739130434782608,30607,0.020105348405306832,0.023372912464258384
2000,2nd Quintile,No School Attended,0.00036231884057971015,30607,0.0001491064410747262,0.0005755312400846941
2000,3rd Quintile,Secondary School Degree,0.4077490774907749,30607,0.4022435991793044,0.41325455580224535
2000,3rd Quintile,Intermediate School Degree,0.35202952029520296,30607,0.34667879269767976,0.35738024789272616
2000,3rd Quintile,Upper Secondary Degree,0.11771217712177122,30607,0.11410172551446349,0.12132262872907895
2000,3rd Quintile,Other Degree,0.04907749077490775,30607,0.04665724523495194,0.05149773631486356
2000,3rd Quintile,Technical School Degree,0.03726937269372694,30607,0.035147232235652644,0.039391513151801234
2000,3rd Quintile,No School Degree Yet,0.024723247232472326,30607,0.022983595228731987,0.026462899236212666
2000,3rd Quintile,"Dropout, No School Degree",0.01107011070110701,30607,0.009897903397223826,0.012242318004990194
2000,3rd Quintile,No School Attended,0.00036900369003690036,30607,0.0001538340956243257,0.000584173284449475
2000,4th Quintile,Secondary School Degree,0.3673469387755102,30607,0.36194603165182415,0.3727478458991963
2000,4th Quintile,Intermediate School Degree,0.33617810760667904,30607,0.33088566460841873,0.34147055060493936
2000,4th Quintile,Upper Secondary Degree,0.18144712430426715,30607,0.17712950741711306,0.18576474119142125
2000,4th Quintile,Technical School Degree,0.04897959183673469,30607,0.04656163697749721,0.05139754669597217
