"pgpsbil","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"Abitur","1984","AkademikerInnen","Hessen","63","0.761645737836128","0.675050385038116","0.848241090634139"
"Abitur","1984","AkademikerInnen","Rheinland-Pfalz,Saarland","","","",""
"Abitur","1984","AkademikerInnen","Baden-Wuerttemberg","76","0.635601160995555","0.55156936384966","0.719632958141451"
"Abitur","1984","AkademikerInnen","Bayern","96","0.637371763666882","0.56217044023587","0.712573087097893"
"Abitur","1984","AkademikerInnen","Saarland","","","",""
"Abitur","1984","AkademikerInnen","Berlin","","","",""
"Abitur","1984","AkademikerInnen","Brandenburg","","","",""
"Abitur","1984","AkademikerInnen","Mecklenburg-Vorpommern","","","",""
"Abitur","1984","AkademikerInnen","Sachsen","","","",""
"Abitur","1984","AkademikerInnen","Sachsen-Anhalt","","","",""
"Abitur","1984","AkademikerInnen","Thueringen","","","",""
"Anderer Abschluss","1984","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Anderer Abschluss","1984","(noch) kein Abschluss","Hamburg","","","",""
"Anderer Abschluss","1984","(noch) kein Abschluss","Niedersachsen","","","",""
"Anderer Abschluss","1984","(noch) kein Abschluss","Bremen","","","",""
"Anderer Abschluss","1984","(noch) kein Abschluss","Nordrhein-Westfalen","","","",""
"Anderer Abschluss","1984","(noch) kein Abschluss","Hessen","","","",""
"Anderer Abschluss","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"Anderer Abschluss","1984","(noch) kein Abschluss","Baden-Wuerttemberg","","","",""
"Anderer Abschluss","1984","(noch) kein Abschluss","Bayern","","","",""
"Anderer Abschluss","1984","(noch) kein Abschluss","Saarland","","","",""
"Anderer Abschluss","1984","(noch) kein Abschluss","Berlin","","","",""
"Anderer Abschluss","1984","(noch) kein Abschluss","Brandenburg","","","",""
"Anderer Abschluss","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Anderer Abschluss","1984","(noch) kein Abschluss","Sachsen","","","",""
"Anderer Abschluss","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Anderer Abschluss","1984","(noch) kein Abschluss","Thueringen","","","",""
"Anderer Abschluss","1984","Hauptschulabschluss","Schleswig-Holstein","","","",""
"Anderer Abschluss","1984","Hauptschulabschluss","Hamburg","32","0.0430598235864911","0.0119924396641356","0.0741272075088466"
"Anderer Abschluss","1984","Hauptschulabschluss","Niedersachsen","67","0.0228972265349323","0.0121852713859344","0.0336091816839302"
"Anderer Abschluss","1984","Hauptschulabschluss","Bremen","","","",""
"Anderer Abschluss","1984","Hauptschulabschluss","Nordrhein-Westfalen","314","0.038268222787537","0.0296078109768219","0.046928634598252"
"Anderer Abschluss","1984","Hauptschulabschluss","Hessen","169","0.0551120551236958","0.0383147956652265","0.0719093145821652"
"Anderer Abschluss","1984","Hauptschulabschluss","Rheinland-Pfalz,Saarland","52","0.0285292851187804","0.0151525567134342","0.0419060135241266"
"Anderer Abschluss","1984","Hauptschulabschluss","Baden-Wuerttemberg","303","0.0465869616019143","0.0353902171768816","0.057783706026947"
"Anderer Abschluss","1984","Hauptschulabschluss","Bayern","191","0.0340099356407516","0.0241418064830646","0.0438780647984386"
"Anderer Abschluss","1984","Hauptschulabschluss","Saarland","","","",""
"Anderer Abschluss","1984","Hauptschulabschluss","Berlin","39","0.0515392140489348","0.0217774447325306","0.0813009833653389"
"Anderer Abschluss","1984","Hauptschulabschluss","Brandenburg","","","",""
"Anderer Abschluss","1984","Hauptschulabschluss","Mecklenburg-Vorpommern","","","",""
"Anderer Abschluss","1984","Hauptschulabschluss","Sachsen","","","",""
"Anderer Abschluss","1984","Hauptschulabschluss","Sachsen-Anhalt","","","",""
"Anderer Abschluss","1984","Hauptschulabschluss","Thueringen","","","",""
