"hgowner","year","quintil","regtyp","n","percent","lower_confidence","upper_confidence"
"Hauptmieter","1993","2","Laendlicher Raum","581","0.309405737803114","0.286326448235314","0.332485027370913"
"Hauptmieter","1993","3","Staedtischer Raum","","","",""
"Hauptmieter","1993","3","Laendlicher Raum","","","",""
"Hauptmieter","1993","4","Staedtischer Raum","","","",""
"Hauptmieter","1993","4","Laendlicher Raum","","","",""
"Hauptmieter","1993","5","Staedtischer Raum","","","",""
"Hauptmieter","1993","5","Laendlicher Raum","","","",""
"Untermieter","1993","1","Staedtischer Raum","239","0.0299155414168271","0.0262841741347976","0.0335469086988566"
"Untermieter","1993","1","Laendlicher Raum","173","0.0398554489139566","0.0341888514848635","0.0455220463430498"
"Untermieter","1993","2","Staedtischer Raum","","","",""
"Untermieter","1993","2","Laendlicher Raum","","","",""
"Untermieter","1993","3","Staedtischer Raum","","","",""
"Untermieter","1993","3","Laendlicher Raum","","","",""
"Untermieter","1993","4","Staedtischer Raum","","","",""
"Untermieter","1993","4","Laendlicher Raum","","","",""
"Untermieter","1993","5","Staedtischer Raum","","","",""
"Untermieter","1993","5","Laendlicher Raum","","","",""
"Mieter","1993","1","Staedtischer Raum","","","",""
"Mieter","1993","1","Laendlicher Raum","","","",""
"Mieter","1993","2","Staedtischer Raum","","","",""
"Mieter","1993","2","Laendlicher Raum","","","",""
"Mieter","1993","3","Staedtischer Raum","","","",""
"Mieter","1993","3","Laendlicher Raum","","","",""
"Mieter","1993","4","Staedtischer Raum","","","",""
"Mieter","1993","4","Laendlicher Raum","","","",""
"Mieter","1993","5","Staedtischer Raum","","","",""
"Mieter","1993","5","Laendlicher Raum","","","",""
"Eigentuemer","1994","1","Staedtischer Raum","2674","0.386182293817199","0.375752510042687","0.396612077591711"
"Eigentuemer","1994","1","Laendlicher Raum","2005","0.496359474760374","0.481687435796887","0.511031513723862"
"Eigentuemer","1994","2","Staedtischer Raum","1144","0.584088416621042","0.565717098060756","0.602459735181327"
"Eigentuemer","1994","2","Laendlicher Raum","982","0.666300422880545","0.64271925252306","0.689881593238029"
"Eigentuemer","1994","3","Staedtischer Raum","","","",""
"Eigentuemer","1994","3","Laendlicher Raum","","","",""
"Eigentuemer","1994","4","Staedtischer Raum","","","",""
"Eigentuemer","1994","4","Laendlicher Raum","","","",""
"Eigentuemer","1994","5","Staedtischer Raum","","","",""
"Eigentuemer","1994","5","Laendlicher Raum","","","",""
"Hauptmieter","1994","1","Staedtischer Raum","5468","0.583166671114742","0.572604894296982","0.593728447932502"
"Hauptmieter","1994","1","Laendlicher Raum","2298","0.470958928211759","0.456311270208931","0.485606586214587"
"Hauptmieter","1994","2","Staedtischer Raum","1602","0.408748315204726","0.390424550488852","0.427072079920599"
"Hauptmieter","1994","2","Laendlicher Raum","516","0.308243547506588","0.285150774337219","0.331336320675956"
"Hauptmieter","1994","3","Staedtischer Raum","","","",""
"Hauptmieter","1994","3","Laendlicher Raum","","","",""
"Hauptmieter","1994","4","Staedtischer Raum","","","",""
"Hauptmieter","1994","4","Laendlicher Raum","","","",""
"Hauptmieter","1994","5","Staedtischer Raum","","","",""
"Hauptmieter","1994","5","Laendlicher Raum","","","",""
"Untermieter","1994","1","Staedtischer Raum","229","0.030651035068059","0.0269585217703372","0.0343435483657808"
"Untermieter","1994","1","Laendlicher Raum","158","0.0326815970278667","0.0274640263611223","0.0378991676946111"
"Untermieter","1994","2","Staedtischer Raum","","","",""
"Untermieter","1994","2","Laendlicher Raum","38","0.0254560296128677","0.0175792528662529","0.0333328063594826"
"Untermieter","1994","3","Staedtischer Raum","","","",""
"Untermieter","1994","3","Laendlicher Raum","","","",""
"Untermieter","1994","4","Staedtischer Raum","","","",""
"Untermieter","1994","4","Laendlicher Raum","","","",""
"Untermieter","1994","5","Staedtischer Raum","","","",""
"Untermieter","1994","5","Laendlicher Raum","","","",""
"Mieter","1994","1","Staedtischer Raum","","","",""
"Mieter","1994","1","Laendlicher Raum","","","",""
"Mieter","1994","2","Staedtischer Raum","","","",""
"Mieter","1994","2","Laendlicher Raum","","","",""
"Mieter","1994","3","Staedtischer Raum","","","",""
"Mieter","1994","3","Laendlicher Raum","","","",""
"Mieter","1994","4","Staedtischer Raum","","","",""
"Mieter","1994","4","Laendlicher Raum","","","",""
"Mieter","1994","5","Staedtischer Raum","","","",""
"Mieter","1994","5","Laendlicher Raum","","","",""
"Eigentuemer","1995","1","Staedtischer Raum","","","",""
"Eigentuemer","1995","1","Laendlicher Raum","","","",""
"Eigentuemer","1995","2","Staedtischer Raum","843","0.290738582656035","0.276666039226637","0.304811126085433"
"Eigentuemer","1995","2","Laendlicher Raum","1093","0.428525613067761","0.409698470581631","0.44735275555389"
"Eigentuemer","1995","3","Staedtischer Raum","1400","0.434828189950018","0.419562513229604","0.450093866670432"
