"ple0081_h","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2014","Hauptschule","weiblich","1197","0.259018601409102","0.245750344122736","0.272286858695469"
"Ja","2014","Realschule","maennlich","961","0.352230201043649","0.334361188242852","0.370099213844447"
"Ja","2014","Realschule","weiblich","1181","0.274738833693314","0.261106838251832","0.288370829134797"
"Ja","2014","(Fach-)Abitur","maennlich","522","0.320905747602188","0.29862938261762","0.343182112586757"
"Ja","2014","(Fach-)Abitur","weiblich","479","0.181658474159311","0.165723605468679","0.197593342849942"
"Ja","2014","AkademikerIn","maennlich","542","0.181149044370563","0.167589104720716","0.19470898402041"
"Ja","2014","AkademikerIn","weiblich","438","0.155133782988405","0.142432477241012","0.167835088735798"
"Nein","2014","(noch) kein Abschluss","maennlich","292","0.592787826380799","0.547840717416332","0.637734935345266"
"Nein","2014","(noch) kein Abschluss","weiblich","385","0.740257426462636","0.703341701310544","0.777173151614728"
"Nein","2014","Hauptschule","maennlich","2509","0.653980263382876","0.639245817325737","0.668714709440015"
"Nein","2014","Hauptschule","weiblich","2991","0.740981398590898","0.727713141304531","0.754249655877264"
"Nein","2014","Realschule","maennlich","1784","0.647769798956351","0.629900786155553","0.665638811757148"
"Nein","2014","Realschule","weiblich","2938","0.725261166306685","0.711629170865203","0.738893161748168"
"Nein","2014","(Fach-)Abitur","maennlich","1165","0.679094252397812","0.656817887413243","0.70137061738238"
"Nein","2014","(Fach-)Abitur","weiblich","1770","0.81834152584069","0.802406657150058","0.834276394531321"
"Nein","2014","AkademikerIn","maennlich","2557","0.818850955629437","0.80529101597959","0.832410895279284"
"Nein","2014","AkademikerIn","weiblich","2683","0.844866217011595","0.832164911264202","0.857567522758988"
"Ja","2015","(noch) kein Abschluss","maennlich","","","",""
"Ja","2015","(noch) kein Abschluss","weiblich","","","",""
"Ja","2015","Hauptschule","maennlich","","","",""
"Ja","2015","Hauptschule","weiblich","","","",""
"Ja","2015","Realschule","maennlich","","","",""
"Ja","2015","Realschule","weiblich","","","",""
"Ja","2015","(Fach-)Abitur","maennlich","","","",""
"Ja","2015","(Fach-)Abitur","weiblich","","","",""
"Ja","2015","AkademikerIn","maennlich","","","",""
"Ja","2015","AkademikerIn","weiblich","","","",""
"Nein","2015","(noch) kein Abschluss","maennlich","","","",""
"Nein","2015","(noch) kein Abschluss","weiblich","","","",""
"Nein","2015","Hauptschule","maennlich","","","",""
"Nein","2015","Hauptschule","weiblich","","","",""
"Nein","2015","Realschule","maennlich","","","",""
"Nein","2015","Realschule","weiblich","","","",""
"Nein","2015","(Fach-)Abitur","maennlich","","","",""
"Nein","2015","(Fach-)Abitur","weiblich","","","",""
"Nein","2015","AkademikerIn","maennlich","","","",""
"Nein","2015","AkademikerIn","weiblich","","","",""
"Ja","2016","(noch) kein Abschluss","maennlich","133","0.431326998610798","0.379515141463682","0.483138855757914"
"Ja","2016","(noch) kein Abschluss","weiblich","131","0.262566600610982","0.222311316997392","0.302821884224573"
"Ja","2016","Hauptschule","maennlich","1247","0.327838996176271","0.312138444681197","0.343539547671345"
"Ja","2016","Hauptschule","weiblich","1001","0.245053594131298","0.230832408293944","0.259274779968652"
"Ja","2016","Realschule","maennlich","812","0.342233143243356","0.323247295514109","0.361218990972603"
"Ja","2016","Realschule","weiblich","985","0.260553097309914","0.246234644014846","0.274871550604981"
"Ja","2016","(Fach-)Abitur","maennlich","448","0.286762291616857","0.26413815210231","0.309386431131404"
"Ja","2016","(Fach-)Abitur","weiblich","437","0.181364722056143","0.165008758801822","0.197720685310464"
"Ja","2016","AkademikerIn","maennlich","462","0.16747494677981","0.153915204704367","0.181034688855254"
"Ja","2016","AkademikerIn","weiblich","395","0.161414683265374","0.148169616939427","0.174659749591321"
"Nein","2016","(noch) kein Abschluss","maennlich","218","0.568673001389202","0.516861144242086","0.620484858536318"
"Nein","2016","(noch) kein Abschluss","weiblich","328","0.737433399389018","0.697178115775428","0.777688683002608"
"Nein","2016","Hauptschule","maennlich","2187","0.672161003823729","0.656460452328655","0.687861555318803"
"Nein","2016","Hauptschule","weiblich","2513","0.754946405868702","0.740725220031348","0.769167591706056"
"Nein","2016","Realschule","maennlich","1587","0.657766856756644","0.638781009027397","0.676752704485891"
"Nein","2016","Realschule","weiblich","2625","0.739446902690086","0.725128449395019","0.753765355985154"
"Nein","2016","(Fach-)Abitur","maennlich","1087","0.713237708383143","0.690613568868596","0.73586184789769"
"Nein","2016","(Fach-)Abitur","weiblich","1695","0.818635277943857","0.802279314689536","0.834991241198178"
"Nein","2016","AkademikerIn","maennlich","2451","0.83252505322019","0.818965311144746","0.846084795295634"
"Nein","2016","AkademikerIn","weiblich","2569","0.838585316734626","0.825340250408679","0.851830383060573"
"Ja","2017","(noch) kein Abschluss","maennlich","","","",""
"Ja","2017","(noch) kein Abschluss","weiblich","","","",""
"Ja","2017","Hauptschule","maennlich","","","",""
"Ja","2017","Hauptschule","weiblich","","","",""
"Ja","2017","Realschule","maennlich","","","",""
"Ja","2017","Realschule","weiblich","","","",""
"Ja","2017","(Fach-)Abitur","maennlich","","","",""
"Ja","2017","(Fach-)Abitur","weiblich","","","",""
"Ja","2017","AkademikerIn","maennlich","","","",""
"Ja","2017","AkademikerIn","weiblich","","","",""
"Nein","2017","(noch) kein Abschluss","maennlich","","","",""
"Nein","2017","(noch) kein Abschluss","weiblich","","","",""
"Nein","2017","Hauptschule","maennlich","","","",""
"Nein","2017","Hauptschule","weiblich","","","",""
"Nein","2017","Realschule","maennlich","","","",""
"Nein","2017","Realschule","weiblich","","","",""
"Nein","2017","(Fach-)Abitur","maennlich","","","",""
"Nein","2017","(Fach-)Abitur","weiblich","","","",""
"Nein","2017","AkademikerIn","maennlich","","","",""
"Nein","2017","AkademikerIn","weiblich","","","",""
"Ja","2018","(noch) kein Abschluss","maennlich","136","0.359126367837136","0.311452198067199","0.406800537607073"
"Ja","2018","(noch) kein Abschluss","weiblich","157","0.324467240176304","0.282886497189463","0.366047983163145"
"Ja","2018","Hauptschule","maennlich","1207","0.319467596936508","0.303701787817544","0.335233406055471"
"Ja","2018","Hauptschule","weiblich","1008","0.258526244455775","0.243835500471832","0.273216988439717"
"Ja","2018","Realschule","maennlich","869","0.331714891774748","0.31388264026406","0.349547143285435"
"Ja","2018","Realschule","weiblich","1051","0.248608468022709","0.235163990032781","0.262052946012636"
"Ja","2018","(Fach-)Abitur","maennlich","448","0.278781049354078","0.25747214484126","0.300089953866897"
"Ja","2018","(Fach-)Abitur","weiblich","474","0.192422746698922","0.176371627576336","0.208473865821509"
"Ja","2018","AkademikerIn","maennlich","461","0.160363158510685","0.147534715642198","0.173191601379172"
"Ja","2018","AkademikerIn","weiblich","424","0.139141398256959","0.127131292191589","0.151151504322329"
"Nein","2018","(noch) kein Abschluss","maennlich","253","0.640873632162864","0.593199462392927","0.688547801932801"
"Nein","2018","(noch) kein Abschluss","weiblich","330","0.675532759823696","0.633952016836855","0.717113502810537"
"Nein","2018","Hauptschule","maennlich","2153","0.680532403063492","0.664766593944529","0.696298212182455"
"Nein","2018","Hauptschule","weiblich","2404","0.741473755544225","0.726783011560282","0.756164499528168"
"Nein","2018","Realschule","maennlich","1809","0.668285108225253","0.650452856714565","0.686117359735941"
"Nein","2018","Realschule","weiblich","2919","0.751391531977291","0.737947053987364","0.764836009967219"
"Nein","2018","(Fach-)Abitur","maennlich","1253","0.721218950645922","0.699910046133103","0.74252785515874"
"Nein","2018","(Fach-)Abitur","weiblich","1843","0.807577253301077","0.791526134178491","0.823628372423664"
"Nein","2018","AkademikerIn","maennlich","2682","0.839636841489315","0.826808398620828","0.852465284357802"
