year,regtyp,rentown,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Rural regions,Owner,4 rooms,0.24859,262,976,0.22147,0.27572
1990,Rural regions,Owner,5 rooms,0.21557,233,976,0.18975,0.24138
1990,Rural regions,Owner,6 rooms,0.13456,134,976,0.11314,0.15598
1990,Rural regions,Owner,7 rooms,0.05613,59,976,0.04168,0.07057
1990,Rural regions,Tenant,1 room,0.06744,57,1235,0.05345,0.08143
1990,Rural regions,Tenant,2 rooms,0.29139,314,1235,0.26604,0.31675
1990,Rural regions,Tenant,3 rooms,0.41106,591,1235,0.38360,0.43851
1990,Rural regions,Tenant,4 rooms,0.14945,215,1235,0.12956,0.16934
1990,Rural regions,Tenant,5 rooms,0.05201,58,1235,0.03962,0.06440
1991,Urban regions,Owner,2 rooms,0.08212,94,1312,0.06726,0.09698
1991,Urban regions,Owner,3 rooms,0.22414,281,1312,0.20157,0.24672
1991,Urban regions,Owner,4 rooms,0.25939,357,1312,0.23567,0.28312
1991,Urban regions,Owner,5 rooms,0.19442,280,1312,0.17300,0.21585
1991,Urban regions,Owner,6 rooms,0.13519,186,1312,0.11668,0.15370
1991,Urban regions,Owner,7 rooms,0.05425,74,1312,0.04199,0.06651
1991,Urban regions,Owner,8 rooms,0.02573,40,1312,0.01716,0.03430
1991,Urban regions,Tenant,1 room,0.09221,204,2994,0.08184,0.10257
1991,Urban regions,Tenant,2 rooms,0.32987,810,2994,0.31303,0.34672
1991,Urban regions,Tenant,3 rooms,0.38611,1291,2994,0.36867,0.40355
1991,Urban regions,Tenant,4 rooms,0.13522,522,2994,0.12297,0.14747
1991,Urban regions,Tenant,5 rooms,0.03644,124,2994,0.02973,0.04316
1991,Urban regions,Tenant,6 rooms,0.01312,43,2994,0.00905,0.01720
1991,Rural regions,Owner,2 rooms,0.05193,50,949,0.03780,0.06605
1991,Rural regions,Owner,3 rooms,0.24052,226,949,0.21331,0.26773
1991,Rural regions,Owner,4 rooms,0.24555,250,949,0.21815,0.27295
1991,Rural regions,Owner,5 rooms,0.22275,230,949,0.19626,0.24924
1991,Rural regions,Owner,6 rooms,0.14078,139,949,0.11864,0.16292
1991,Rural regions,Owner,7 rooms,0.05355,54,949,0.03922,0.06788
1991,Rural regions,Tenant,1 room,0.05970,46,1196,0.04626,0.07313
1991,Rural regions,Tenant,2 rooms,0.31308,307,1196,0.28678,0.33937
1991,Rural regions,Tenant,3 rooms,0.39763,563,1196,0.36988,0.42538
1991,Rural regions,Tenant,4 rooms,0.15393,220,1196,0.13347,0.17439
1991,Rural regions,Tenant,5 rooms,0.04549,60,1196,0.03367,0.05730
1992,Urban regions,Owner,2 rooms,0.08623,98,1343,0.07121,0.10125
1992,Urban regions,Owner,3 rooms,0.21161,278,1343,0.18976,0.23346
1992,Urban regions,Owner,4 rooms,0.27313,380,1343,0.24929,0.29697
