year,bula_h,rentown,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1991,Berlin,Tenant,300,1.91675,1.79145,2.04205,1.00000,2.00000,3.00000,1,6.00000,2,1.00000,2.00000
1991,Brandenburg,Owner,118,2.60331,2.38488,2.82174,2.00000,2.00000,4.00000,1,6,2,2.00000,3.00000
1991,Brandenburg,Tenant,204,2.39475,2.22983,2.55967,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1991,Mecklenburg-Western Pomerania,Owner,60,3.08481,2.78803,3.38159,2.00000,3.00000,4.00000,1,7.00000,3,3.00000,4.00000
1991,Mecklenburg-Western Pomerania,Tenant,161,2.45494,2.26222,2.64766,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,3.00000
1991,Saxony,Owner,140,2.56547,2.35085,2.78009,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,3.00000
1991,Saxony,Tenant,456,2.27196,2.16957,2.37435,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1991,Saxony-Anhalt,Owner,127,2.75825,2.56214,2.95436,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,3.00000
1991,Saxony-Anhalt,Tenant,247,2.22741,2.07340,2.38143,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1991,Thuringa,Owner,135,2.88155,2.67761,3.08550,2.00000,3.00000,4.00000,1,7.00000,3,2.00000,3.00000
1991,Thuringa,Tenant,197,2.24695,2.07321,2.42069,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1992,Schleswig-Holstein,Owner,69,2.39771,2.12090,2.67451,2.00000,2.00000,3.00000,1,4.50000,2,2.00000,3.00000
1992,Schleswig-Holstein,Tenant,78,2.38420,2.03664,2.73177,1.00000,2.00000,3.00000,1,6.00000,2,1.00000,2.00000
1992,Hamburg,Owner,,,,,,,,,,,,
1992,Hamburg,Tenant,77,1.45247,1.25512,1.64983,1.00000,1.00000,2.00000,1,3.50000,1,1.00000,1.00000
1992,Lower Saxony,Owner,215,2.63614,2.48087,2.79141,2.00000,2.00000,3.00000,1,4.50000,2,2.00000,3.00000
1992,Lower Saxony,Tenant,273,1.93136,1.78697,2.07575,1.00000,2.00000,2.00000,1,3.50000,2,1.00000,2.00000
1992,Bremen,Owner,,,,,,,,,,,,
1992,Bremen,Tenant,41,1.45904,1.21499,1.70309,1.00000,1.00000,2.00000,1,3.50000,1,1.00000,1.00000
1992,North Rhine-Westphalia,Owner,422,2.64706,2.52654,2.76758,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,3.00000
1992,North Rhine-Westphalia,Tenant,830,2.02441,1.94274,2.10608,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1992,Hesse,Owner,162,2.49116,2.30982,2.67249,2.00000,2.00000,3.00000,1,4.50000,2,2.00000,2.00000
1992,Hesse,Tenant,301,2.07214,1.93828,2.20600,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1992,"Rhineland-Palatinate, Saarland",Owner,161,2.53420,2.34576,2.72264,2.00000,2.00000,3.00000,1,4.50000,2,2.00000,3.00000
1992,"Rhineland-Palatinate, Saarland",Tenant,169,1.97168,1.79537,2.14799,1.00000,2.00000,2.00000,1,3.50000,2,1.00000,2.00000
1992,Baden-Wuerttemberg,Owner,344,2.65905,2.51836,2.79974,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,3.00000
1992,Baden-Wuerttemberg,Tenant,488,2.15963,2.05044,2.26882,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1992,Bavaria,Owner,353,2.63905,2.48844,2.78966,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,3.00000
1992,Bavaria,Tenant,465,1.93407,1.83394,2.03420,1.00000,2.00000,2.00000,1,3.50000,2,1.00000,2.00000
1992,Berlin,Owner,,,,,,,,,,,,
1992,Berlin,Tenant,309,1.90642,1.78684,2.02600,1.00000,2.00000,3.00000,1,6.00000,2,1.00000,2.00000
1992,Brandenburg,Owner,108,2.49333,2.27058,2.71609,2.00000,2.00000,3.00000,1,4.50000,2,2.00000,3.00000
1992,Brandenburg,Tenant,212,2.37810,2.21857,2.53764,1.00000,2.00000,3.00000,1,5,2,2.00000,2.00000
1992,Mecklenburg-Western Pomerania,Owner,56,3.02760,2.73059,3.32461,2.00000,3.00000,4.00000,1,7.00000,3,2.00000,4.00000
1992,Mecklenburg-Western Pomerania,Tenant,142,2.32932,2.13718,2.52146,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1992,Saxony,Owner,141,2.60828,2.40181,2.81475,2.00000,2.00000,4.00000,1,6,2,2.00000,3.00000
1992,Saxony,Tenant,437,2.24330,2.13971,2.34690,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1992,Saxony-Anhalt,Owner,116,2.66967,2.46654,2.87280,2.00000,2.00000,3.00000,1,4.50000,2,2.00000,3.00000
1992,Saxony-Anhalt,Tenant,252,2.16054,2.01501,2.30606,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1992,Thuringa,Owner,136,2.84551,2.64604,3.04499,2.00000,3.00000,4.00000,1,7.00000,3,2.00000,3.00000
1992,Thuringa,Tenant,194,2.22175,2.04596,2.39753,1.00000,2.00000,3.00000,1,6.00000,2,2.00000,2.00000
1993,Schleswig-Holstein,Owner,69,2.41676,2.11678,2.71674,1.98991,2.00000,3.00000,1,4.51514,2,2.00000,3.00000
1993,Schleswig-Holstein,Tenant,89,2.06949,1.78647,2.35251,1.00000,2.00000,3.00000,1,6.00000,2,1.00000,2.00000
1993,Hamburg,Owner,,,,,,,,,,,,
1993,Hamburg,Tenant,78,1.45254,1.26449,1.64059,1.00000,1.00000,2.00000,1,3.50000,1,1.00000,1.00000
1993,Lower Saxony,Owner,220,2.71414,2.55572,2.87255,2.00000,2.00000,4.00000,1,7.00000,2,2.00000,3.00000
1993,Lower Saxony,Tenant,282,1.89979,1.76387,2.03571,1.00000,2.00000,2.00000,1,3.50000,2,1.00000,2.00000
1993,Bremen,Owner,,,,,,,,,,,,
1993,Bremen,Tenant,42,1.45227,1.21174,1.69280,1.00000,1.00000,2.00000,1,3.50000,1,1.00000,1.00000
