year,bula_h,ple0011,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2019,Saxony-Anhalt,No,0.9156355455568054,42417,0.9129905364605293,0.9182805546530814
2019,Saxony-Anhalt,Yes,0.0843644544431946,42417,0.08171944534691856,0.08700946353947063
2019,Thuringa,No,0.9198266522210184,42417,0.9172422857336266,0.9224110187084102
2019,Thuringa,Yes,0.08017334777898158,42417,0.07758898129158978,0.08275771426637338
2021,Schleswig-Holstein,No,0.9078787878787878,27598,0.9044667721647636,0.9112908035928121
2021,Schleswig-Holstein,Yes,0.09212121212121212,27598,0.08870919640718784,0.09553322783523639
2021,Hamburg,No,0.8911111111111111,27598,0.8874359618779138,0.8947862603443083
2021,Hamburg,Yes,0.10888888888888888,27598,0.10521373965569165,0.11256403812208611
2021,Lower Saxony,No,0.8942052099946837,27598,0.8905763684527228,0.8978340515366445
2021,Lower Saxony,Yes,0.10579479000531632,27598,0.10216594846335547,0.10942363154727716
2021,Bremen,No,0.8940397350993378,27598,0.8904083927501202,0.8976710774485553
2021,Bremen,Yes,0.10596026490066225,27598,0.1023289225514447,0.1095916072498798
2021,North Rhine-Westphalia,No,0.8951848249027238,27598,0.8915708452422398,0.8987988045632077
2021,North Rhine-Westphalia,Yes,0.10481517509727627,27598,0.10120119543679239,0.10842915475776015
2021,Hesse,No,0.890400604686319,27598,0.8867149548783037,0.8940862544943343
2021,Hesse,Yes,0.10959939531368103,27598,0.1059137455056657,0.11328504512169636
2021,"Rhineland-Palatinate, Saarland",No,0.8895582329317269,27598,0.8858601969602996,0.8932562689031541
2021,"Rhineland-Palatinate, Saarland",Yes,0.11044176706827309,27598,0.10674373109684586,0.11413980303970032
2021,Baden-Wuerttemberg,No,0.8920166128287955,27598,0.8883549174613348,0.8956783081962563
2021,Baden-Wuerttemberg,Yes,0.10798338717120443,27598,0.10432169180374366,0.11164508253866519
2021,Bavaria,No,0.8968782883198878,27598,0.893290233431053,0.9004663432087227
2021,Bavaria,Yes,0.10312171168011224,27598,0.0995336567912774,0.10670976656894707
2021,Berlin,No,0.8984547461368654,27598,0.8948910949803528,0.902018397293378
2021,Berlin,Yes,0.10154525386313466,27598,0.09798160270662212,0.1051089050196472
2021,Brandenburg,No,0.8815977175463623,27598,0.8777858962511371,0.8854095388415875
2021,Brandenburg,Yes,0.11840228245363767,27598,0.11459046115841254,0.1222141037488628
2021,Mecklenburg-Western Pomerania,No,0.918918918918919,27598,0.9156984758357234,0.9221393620021145
2021,Mecklenburg-Western Pomerania,Yes,0.08108108108108109,27598,0.07786063799788548,0.08430152416427669
2021,Saxony,No,0.9318965517241379,27598,0.9289242994391752,0.9348688040091006
2021,Saxony,Yes,0.06810344827586207,27598,0.06513119599089942,0.07107570056082471
2021,Saxony-Anhalt,No,0.9131886477462438,27598,0.9098667536805968,0.9165105418118907
2021,Saxony-Anhalt,Yes,0.08681135225375626,27598,0.08348945818810928,0.09013324631940324
2021,Thuringa,No,0.9083728278041074,27598,0.9049690478574746,0.9117766077507403
2021,Thuringa,Yes,0.09162717219589257,27598,0.08822339224925965,0.0950309521425255
