year,bula_h,quintil_oecd,region_secnat,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2001,Berlin,1st Quintile,Eastern Europe,0.6666666666666666,27798,0.6611249663140994,0.6722083670192338
2001,Berlin,1st Quintile,Western Asia,0.3333333333333333,27798,0.32779163298076613,0.3388750336859005
2001,Berlin,2nd Quintile,Eastern Europe,0.5,27798,0.4941221391520938,0.5058778608479062
2001,Berlin,2nd Quintile,Western Asia,0.5,27798,0.4941221391520938,0.5058778608479062
2001,Berlin,3rd Quintile,Eastern Europe,1.0,27798,1.0,1.0
2001,Berlin,4th Quintile,Sub-Saharan Africa,1.0,27798,1.0,1.0
2001,Berlin,5th Quintile,Southern Europe,1.0,27798,1.0,1.0
2001,Saxony,1st Quintile,Eastern Europe,1.0,27798,1.0,1.0
2001,Saxony,3rd Quintile,Northern Africa,1.0,27798,1.0,1.0
2001,Saxony,4th Quintile,Eastern Europe,1.0,27798,1.0,1.0
2001,Saxony-Anhalt,1st Quintile,Central Asia,0.6666666666666666,27798,0.6611249663140994,0.6722083670192338
2001,Saxony-Anhalt,1st Quintile,Eastern Europe,0.3333333333333333,27798,0.32779163298076613,0.3388750336859005
2002,Schleswig-Holstein,1st Quintile,Central Asia,0.8,28961,0.7953930946901462,0.8046069053098539
2002,Schleswig-Holstein,1st Quintile,Northern Europe,0.2,28961,0.19539309469014618,0.20460690530985384
2002,Schleswig-Holstein,2nd Quintile,Eastern Europe,1.0,28961,1.0,1.0
2002,Schleswig-Holstein,5th Quintile,Western Asia,1.0,28961,1.0,1.0
2002,Hamburg,2nd Quintile,Eastern Europe,1.0,28961,1.0,1.0
2002,Hamburg,3rd Quintile,Northern Europe,1.0,28961,1.0,1.0
2002,Hamburg,4th Quintile,Southern Europe,1.0,28961,1.0,1.0
2002,Hamburg,5th Quintile,Southern Europe,1.0,28961,1.0,1.0
2002,Lower Saxony,1st Quintile,Western Asia,0.3333333333333333,28961,0.3279040433585301,0.33876262330813656
2002,Lower Saxony,1st Quintile,Eastern Europe,0.3333333333333333,28961,0.3279040433585301,0.33876262330813656
2002,Lower Saxony,1st Quintile,Southern Europe,0.3333333333333333,28961,0.3279040433585301,0.33876262330813656
2002,Lower Saxony,2nd Quintile,Western Asia,0.75,28961,0.7450128787110465,0.7549871212889535
2002,Lower Saxony,2nd Quintile,Eastern Europe,0.25,28961,0.24501287871104643,0.25498712128895357
2002,Lower Saxony,3rd Quintile,Eastern Europe,1.0,28961,1.0,1.0
2002,Lower Saxony,4th Quintile,Northern America,0.5,28961,0.49424136836268273,0.5057586316373173
2002,Lower Saxony,4th Quintile,Northern Europe,0.5,28961,0.49424136836268273,0.5057586316373173
2002,Lower Saxony,5th Quintile,Northern Europe,1.0,28961,1.0,1.0
2002,Bremen,2nd Quintile,Eastern Europe,1.0,28961,1.0,1.0
2002,Bremen,3rd Quintile,Eastern Europe,1.0,28961,1.0,1.0
2002,North Rhine-Westphalia,1st Quintile,Eastern Europe,0.5,28961,0.49424136836268273,0.5057586316373173
2002,North Rhine-Westphalia,1st Quintile,Western Asia,0.25,28961,0.24501287871104643,0.25498712128895357
2002,North Rhine-Westphalia,1st Quintile,Northern Europe,0.15,28961,0.1458875144315756,0.15411248556842438
2002,North Rhine-Westphalia,1st Quintile,Sub-Saharan Africa,0.05,28961,0.04748987066398578,0.052510129336014226
2002,North Rhine-Westphalia,1st Quintile,Western Europe,0.05,28961,0.04748987066398578,0.052510129336014226
2002,North Rhine-Westphalia,2nd Quintile,Eastern Europe,0.6153846153846154,28961,0.6097814177908224,0.6209878129784084
2002,North Rhine-Westphalia,2nd Quintile,Southern Europe,0.15384615384615385,28961,0.14969071129435527,0.15800159639795244
2002,North Rhine-Westphalia,2nd Quintile,Western Asia,0.07692307692307693,28961,0.07385407920679782,0.07999207463935604
2002,North Rhine-Westphalia,2nd Quintile,Northern Europe,0.07692307692307693,28961,0.07385407920679782,0.07999207463935604
2002,North Rhine-Westphalia,2nd Quintile,Southern Asia,0.07692307692307693,28961,0.07385407920679782,0.07999207463935604
2002,North Rhine-Westphalia,3rd Quintile,Western Europe,0.3333333333333333,28961,0.3279040433585301,0.33876262330813656
2002,North Rhine-Westphalia,3rd Quintile,Southern Europe,0.3333333333333333,28961,0.3279040433585301,0.33876262330813656
2002,North Rhine-Westphalia,3rd Quintile,Eastern Europe,0.3333333333333333,28961,0.3279040433585301,0.33876262330813656
2002,North Rhine-Westphalia,4th Quintile,Southern Europe,0.26666666666666666,28961,0.2615735412141729,0.2717597921191604
2002,North Rhine-Westphalia,4th Quintile,Eastern Europe,0.2,28961,0.19539309469014618,0.20460690530985384
2002,North Rhine-Westphalia,4th Quintile,Northern America,0.2,28961,0.19539309469014618,0.20460690530985384
2002,North Rhine-Westphalia,4th Quintile,Northern Europe,0.13333333333333333,28961,0.12941821665463019,0.13724845001203648
2002,North Rhine-Westphalia,4th Quintile,Western Europe,0.06666666666666667,28961,0.06379375645286955,0.06953957688046378
2002,North Rhine-Westphalia,4th Quintile,Western Asia,0.06666666666666667,28961,0.06379375645286955,0.06953957688046378
2002,North Rhine-Westphalia,4th Quintile,Southern Asia,0.06666666666666667,28961,0.06379375645286955,0.06953957688046378
2002,North Rhine-Westphalia,5th Quintile,Southern Europe,0.5,28961,0.49424136836268273,0.5057586316373173
2002,North Rhine-Westphalia,5th Quintile,Western Asia,0.25,28961,0.24501287871104643,0.25498712128895357
2002,North Rhine-Westphalia,5th Quintile,Northern Europe,0.25,28961,0.24501287871104643,0.25498712128895357
2002,Hesse,1st Quintile,Central Asia,0.3333333333333333,28961,0.3279040433585301,0.33876262330813656
2002,Hesse,1st Quintile,Latin America and the Caribbean,0.3333333333333333,28961,0.3279040433585301,0.33876262330813656
2002,Hesse,1st Quintile,Western Asia,0.1111111111111111,28961,0.10749158446124227,0.11473063776097994
2002,Hesse,1st Quintile,Southern Asia,0.1111111111111111,28961,0.10749158446124227,0.11473063776097994
2002,Hesse,1st Quintile,Northern Europe,0.1111111111111111,28961,0.10749158446124227,0.11473063776097994
2002,Hesse,2nd Quintile,Eastern Europe,0.875,28961,0.8711910231989074,0.8788089768010926
2002,Hesse,2nd Quintile,Northern America,0.125,28961,0.12119102319890744,0.12880897680109257
2002,Hesse,3rd Quintile,Eastern Europe,0.5,28961,0.49424136836268273,0.5057586316373173
2002,Hesse,3rd Quintile,Southern Asia,0.5,28961,0.49424136836268273,0.5057586316373173
2002,Hesse,4th Quintile,Latin America and the Caribbean,0.6666666666666666,28961,0.6612373766918633,0.6720959566414699
2002,Hesse,4th Quintile,Eastern Europe,0.3333333333333333,28961,0.3279040433585301,0.33876262330813656
2002,Hesse,5th Quintile,Southern Europe,0.36363636363636365,28961,0.3580960337438654,0.3691766935288619
2002,Hesse,5th Quintile,Eastern Asia,0.09090909090909091,28961,0.08759811051275868,0.09422007130542315
2002,Hesse,5th Quintile,Southern Asia,0.09090909090909091,28961,0.08759811051275868,0.09422007130542315
2002,Hesse,5th Quintile,Australia and New Zealand,0.09090909090909091,28961,0.08759811051275868,0.09422007130542315
2002,Hesse,5th Quintile,Eastern Europe,0.09090909090909091,28961,0.08759811051275868,0.09422007130542315
2002,Hesse,5th Quintile,Northern America,0.09090909090909091,28961,0.08759811051275868,0.09422007130542315
2002,Hesse,5th Quintile,Western Europe,0.09090909090909091,28961,0.08759811051275868,0.09422007130542315
2002,Hesse,5th Quintile,Latin America and the Caribbean,0.09090909090909091,28961,0.08759811051275868,0.09422007130542315
2002,"Rhineland-Palatinate, Saarland",1st Quintile,Central Asia,0.6666666666666666,28961,0.6612373766918633,0.6720959566414699
2002,"Rhineland-Palatinate, Saarland",1st Quintile,Northern America,0.3333333333333333,28961,0.3279040433585301,0.33876262330813656
2002,"Rhineland-Palatinate, Saarland",2nd Quintile,Eastern Europe,0.5,28961,0.49424136836268273,0.5057586316373173
2002,"Rhineland-Palatinate, Saarland",2nd Quintile,Central Asia,0.375,28961,0.36942422889293175,0.38057577110706825
2002,"Rhineland-Palatinate, Saarland",2nd Quintile,Northern America,0.125,28961,0.12119102319890744,0.12880897680109257
2002,"Rhineland-Palatinate, Saarland",3rd Quintile,Central Asia,1.0,28961,1.0,1.0
2002,"Rhineland-Palatinate, Saarland",4th Quintile,Eastern Europe,0.6666666666666666,28961,0.6612373766918633,0.6720959566414699
2002,"Rhineland-Palatinate, Saarland",4th Quintile,Southern Europe,0.3333333333333333,28961,0.3279040433585301,0.33876262330813656
2002,"Rhineland-Palatinate, Saarland",5th Quintile,Eastern Europe,0.6666666666666666,28961,0.6612373766918633,0.6720959566414699
2002,"Rhineland-Palatinate, Saarland",5th Quintile,Western Europe,0.3333333333333333,28961,0.3279040433585301,0.33876262330813656
2002,Baden-Wuerttemberg,1st Quintile,Eastern Europe,0.3333333333333333,28961,0.3279040433585301,0.33876262330813656
