"pgisced97","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"in school","2008","Realschulabschluss","","","",""
"in school","2008","(Fach-)Abitur","","","",""
"in school","2008","AkademikerInnen","","","",""
"inadequately","2008","(noch) kein Abschluss","149","0.280025779129696","0.247848095863921","0.312203462395472"
"inadequately","2008","Hauptschulabschluss","38","0.00530502883678712","0.0035899037406179","0.00702015393295634"
"inadequately","2008","Realschulabschluss","","","",""
"inadequately","2008","(Fach-)Abitur","","","",""
"inadequately","2008","AkademikerInnen","","","",""
"general elemantary","2008","(noch) kein Abschluss","","","",""
"general elemantary","2008","Hauptschulabschluss","1578","0.252995650907693","0.242731452013159","0.263259849802228"
"general elemantary","2008","Realschulabschluss","513","0.108443224596125","0.0999658269989522","0.116920622193299"
"general elemantary","2008","(Fach-)Abitur","","","",""
"general elemantary","2008","AkademikerInnen","","","",""
"middle vocational","2008","(noch) kein Abschluss","43","0.0763527938593228","0.0573217408425631","0.0953838468760825"
"middle vocational","2008","Hauptschulabschluss","4837","0.682953560489489","0.671966943287799","0.693940177691178"
"middle vocational","2008","Realschulabschluss","4031","0.774626266546402","0.763234669935787","0.786017863157017"
"middle vocational","2008","(Fach-)Abitur","741","0.336427221850516","0.316647614705862","0.35620682899517"
"middle vocational","2008","AkademikerInnen","","","",""
"vocational + Abi","2008","(noch) kein Abschluss","","","",""
"vocational + Abi","2008","Hauptschulabschluss","","","",""
"vocational + Abi","2008","Realschulabschluss","","","",""
"vocational + Abi","2008","(Fach-)Abitur","1100","0.515344793208371","0.494423274659093","0.536266311757648"
"vocational + Abi","2008","AkademikerInnen","","","",""
"higher vocational","2008","(noch) kein Abschluss","","","",""
"higher vocational","2008","Hauptschulabschluss","438","0.0587457597660308","0.0531937694316751","0.0642977501003865"
"higher vocational","2008","Realschulabschluss","624","0.116930508857473","0.108169619437129","0.125691398277816"
"higher vocational","2008","(Fach-)Abitur","351","0.148227984941113","0.133353066194795","0.163102903687432"
"higher vocational","2008","AkademikerInnen","","","",""
"higher education","2008","(noch) kein Abschluss","","","",""
"higher education","2008","Hauptschulabschluss","","","",""
"higher education","2008","Realschulabschluss","","","",""
"higher education","2008","(Fach-)Abitur","","","",""
"higher education","2008","AkademikerInnen","4208","1","1","1"
"in school","2009","(noch) kein Abschluss","507","0.647091065107867","0.611199816788379","0.682982313427355"
"in school","2009","Hauptschulabschluss","","","",""
"in school","2009","Realschulabschluss","","","",""
"in school","2009","(Fach-)Abitur","","","",""
"in school","2009","AkademikerInnen","","","",""
"inadequately","2009","(noch) kein Abschluss","135","0.274330017111879","0.240819526988922","0.307840507234836"
"inadequately","2009","Hauptschulabschluss","34","0.0054708385267527","0.00364679652580543","0.00729488052769997"
"inadequately","2009","Realschulabschluss","","","",""
"inadequately","2009","(Fach-)Abitur","","","",""
"inadequately","2009","AkademikerInnen","","","",""
"general elemantary","2009","(noch) kein Abschluss","","","",""
"general elemantary","2009","Hauptschulabschluss","1400","0.245064620856143","0.234428229134469","0.255701012577817"
"general elemantary","2009","Realschulabschluss","454","0.101117122308389","0.0926314568956448","0.109602787721133"
"general elemantary","2009","(Fach-)Abitur","","","",""
"general elemantary","2009","AkademikerInnen","","","",""
"middle vocational","2009","(noch) kein Abschluss","37","0.0755606848159115","0.0557106313295583","0.0954107383022647"
"middle vocational","2009","Hauptschulabschluss","4446","0.688845614422914","0.677397128956326","0.700294099889502"
"middle vocational","2009","Realschulabschluss","3794","0.775669563106053","0.763928579674904","0.787410546537201"
"middle vocational","2009","(Fach-)Abitur","697","0.344237949767517","0.323549360209684","0.364926539325351"
"middle vocational","2009","AkademikerInnen","","","",""
"vocational + Abi","2009","(noch) kein Abschluss","","","",""
"vocational + Abi","2009","Hauptschulabschluss","","","",""
"vocational + Abi","2009","Realschulabschluss","","","",""
"vocational + Abi","2009","(Fach-)Abitur","1003","0.498564616809678","0.476792704058223","0.520336529561134"
"vocational + Abi","2009","AkademikerInnen","","","",""
"higher vocational","2009","(noch) kein Abschluss","","","",""
"higher vocational","2009","Hauptschulabschluss","402","0.0606189261941904","0.0547179461293244","0.0665199062590564"
"higher vocational","2009","Realschulabschluss","601","0.123213314585559","0.113962120498298","0.132464508672819"
"higher vocational","2009","(Fach-)Abitur","326","0.157197433422804","0.141347989823476","0.173046877022132"
"higher vocational","2009","AkademikerInnen","","","",""
"higher education","2009","(noch) kein Abschluss","","","",""
"higher education","2009","Hauptschulabschluss","","","",""
"higher education","2009","Realschulabschluss","","","",""
"higher education","2009","(Fach-)Abitur","","","",""
"higher education","2009","AkademikerInnen","4049","1","1","1"
"in school","2010","(noch) kein Abschluss","709","0.626353393691801","0.597366849548553","0.655339937835049"
"in school","2010","Hauptschulabschluss","","","",""
"in school","2010","Realschulabschluss","","","",""
"in school","2010","(Fach-)Abitur","","","",""
"in school","2010","AkademikerInnen","","","",""
"inadequately","2010","(noch) kein Abschluss","290","0.285804969253296","0.258734268255321","0.312875670251271"
"inadequately","2010","Hauptschulabschluss","56","0.00560259055513616","0.00392184278966351","0.00728333832060882"
"inadequately","2010","Realschulabschluss","","","",""
"inadequately","2010","(Fach-)Abitur","","","",""
"inadequately","2010","AkademikerInnen","","","",""
"general elemantary","2010","(noch) kein Abschluss","","","",""
"general elemantary","2010","Hauptschulabschluss","1873","0.256010258430875","0.246182821491868","0.265837695369882"
"general elemantary","2010","Realschulabschluss","663","0.108437868166617","0.101072474973561","0.115803261359673"
"general elemantary","2010","(Fach-)Abitur","","","",""
"general elemantary","2010","AkademikerInnen","","","",""
"middle vocational","2010","(noch) kein Abschluss","68","0.0833649709144801","0.0668016953032659","0.0999282465256943"
"middle vocational","2010","Hauptschulabschluss","5226","0.683365274147926","0.672890761332346","0.693839786963507"
"middle vocational","2010","Realschulabschluss","5441","0.774524576042169","0.764625450067201","0.784423702017137"
"middle vocational","2010","(Fach-)Abitur","925","0.345830548614558","0.329041034218891","0.362620063010225"
"middle vocational","2010","AkademikerInnen","","","",""
"vocational + Abi","2010","(noch) kein Abschluss","","","",""
"vocational + Abi","2010","Hauptschulabschluss","","","",""
"vocational + Abi","2010","Realschulabschluss","","","",""
"vocational + Abi","2010","(Fach-)Abitur","1715","0.492057886509321","0.474410656835545","0.509705116183096"
"vocational + Abi","2010","AkademikerInnen","","","",""
"higher vocational","2010","(noch) kein Abschluss","","","",""
"higher vocational","2010","Hauptschulabschluss","421","0.0550218768660625","0.0498872760492934","0.0601564776828316"
"higher vocational","2010","Realschulabschluss","742","0.117037555791214","0.10942267022662","0.124652441355807"
"higher vocational","2010","(Fach-)Abitur","443","0.162111564876121","0.149102040302708","0.175121089449535"
"higher vocational","2010","AkademikerInnen","","","",""
"higher education","2010","(noch) kein Abschluss","","","",""
"higher education","2010","Hauptschulabschluss","","","",""
"higher education","2010","Realschulabschluss","","","",""
"higher education","2010","(Fach-)Abitur","","","",""
"higher education","2010","AkademikerInnen","5386","1","1","1"
"in school","2011","(noch) kein Abschluss","896","0.597564483743102","0.571159816952674","0.623969150533529"
"in school","2011","Hauptschulabschluss","","","",""
"in school","2011","Realschulabschluss","","","",""
"in school","2011","(Fach-)Abitur","","","",""
"in school","2011","AkademikerInnen","","","",""
"inadequately","2011","(noch) kein Abschluss","337","0.313065728166381","0.288095902646532","0.33803555368623"
"inadequately","2011","Hauptschulabschluss","74","0.00660183199402017","0.004932626709136","0.00827103727890434"
"inadequately","2011","Realschulabschluss","","","",""
"inadequately","2011","(Fach-)Abitur","","","",""
"inadequately","2011","AkademikerInnen","","","",""
"general elemantary","2011","(noch) kein Abschluss","","","",""
"general elemantary","2011","Hauptschulabschluss","2260","0.250615190493089","0.241682712024599","0.25954766896158"
"general elemantary","2011","Realschulabschluss","814","0.11011251123875","0.103247056281054","0.116977966196447"
"general elemantary","2011","(Fach-)Abitur","","","",""
"general elemantary","2011","AkademikerInnen","","","",""
"middle vocational","2011","(noch) kein Abschluss","88","0.0869352507489789","0.0717651349624261","0.102105366535532"
"middle vocational","2011","Hauptschulabschluss","6223","0.6890004660289","0.679459211827634","0.698541720230166"
"middle vocational","2011","Realschulabschluss","6339","0.779830524222955","0.770742654190577","0.788918394255333"
"middle vocational","2011","(Fach-)Abitur","1134","0.35572902396768","0.340215153021767","0.371242894913593"
"middle vocational","2011","AkademikerInnen","","","",""
"vocational + Abi","2011","(noch) kein Abschluss","","","",""
"vocational + Abi","2011","Hauptschulabschluss","","","",""
"vocational + Abi","2011","Realschulabschluss","","","",""
"vocational + Abi","2011","(Fach-)Abitur","2010","0.502272805213171","0.48606994228814","0.518475668138203"
"vocational + Abi","2011","AkademikerInnen","","","",""
"higher vocational","2011","(noch) kein Abschluss","","","",""
"higher vocational","2011","Hauptschulabschluss","485","0.0537825114839904","0.0491327372743336","0.0584322856936472"
"higher vocational","2011","Realschulabschluss","833","0.110056964538295","0.103193027239103","0.116920901837487"
"higher vocational","2011","(Fach-)Abitur","514","0.141998170819149","0.130686891620693","0.153309450017605"
"higher vocational","2011","AkademikerInnen","","","",""
"higher education","2011","(noch) kein Abschluss","","","",""
"higher education","2011","Hauptschulabschluss","","","",""
"higher education","2011","Realschulabschluss","","","",""
"higher education","2011","(Fach-)Abitur","","","",""
"higher education","2011","AkademikerInnen","6225","1","1","1"
"in school","2012","(noch) kein Abschluss","912","0.582662272471988","0.556220099943228","0.609104445000749"
"in school","2012","Hauptschulabschluss","","","",""
"in school","2012","Realschulabschluss","","","",""
"in school","2012","(Fach-)Abitur","","","",""
"in school","2012","AkademikerInnen","","","",""
"inadequately","2012","(noch) kein Abschluss","322","0.316843821124289","0.291896295152852","0.341791347095727"
"inadequately","2012","Hauptschulabschluss","66","0.00584665048564139","0.00424939388048297","0.0074439070907998"
"inadequately","2012","Realschulabschluss","","","",""
"inadequately","2012","(Fach-)Abitur","","","",""
"inadequately","2012","AkademikerInnen","","","",""
"general elemantary","2012","(noch) kein Abschluss","","","",""
"general elemantary","2012","Hauptschulabschluss","2183","0.254716978150725","0.245588802314525","0.263845153986925"
"general elemantary","2012","Realschulabschluss","819","0.107906608323382","0.101030885396925","0.114782331249839"
"general elemantary","2012","(Fach-)Abitur","","","",""
"general elemantary","2012","AkademikerInnen","","","",""
"middle vocational","2012","(noch) kein Abschluss","98","0.0979030213113124","0.0819673808264883","0.113838661796137"
"middle vocational","2012","Hauptschulabschluss","6033","0.688214745308154","0.678509998501502","0.697919492114806"
"middle vocational","2012","Realschulabschluss","6192","0.781978158507474","0.772827833952369","0.791128483062579"
"middle vocational","2012","(Fach-)Abitur","1099","0.346710989567164","0.331112382578962","0.362309596555366"
"middle vocational","2012","AkademikerInnen","","","",""
"vocational + Abi","2012","(noch) kein Abschluss","","","",""
"vocational + Abi","2012","Hauptschulabschluss","","","",""
"vocational + Abi","2012","Realschulabschluss","","","",""
"vocational + Abi","2012","(Fach-)Abitur","1971","0.503388954791337","0.487001580835836","0.519776328746838"
"vocational + Abi","2012","AkademikerInnen","","","",""
"higher vocational","2012","(noch) kein Abschluss","","","",""
"higher vocational","2012","Hauptschulabschluss","470","0.0512216260554797","0.0466030988556649","0.0558401532552945"
"higher vocational","2012","Realschulabschluss","811","0.110115233169144","0.103178104132242","0.117052362206047"
"higher vocational","2012","(Fach-)Abitur","506","0.1499000556415","0.138200072745444","0.161600038537556"
"higher vocational","2012","AkademikerInnen","","","",""
"higher education","2012","(noch) kein Abschluss","","","",""
"higher education","2012","Hauptschulabschluss","","","",""
"higher education","2012","Realschulabschluss","","","",""
"higher education","2012","(Fach-)Abitur","","","",""
"higher education","2012","AkademikerInnen","6162","1","1","1"
"in school","2013","(noch) kein Abschluss","1077","0.557447650662401","0.534288950159536","0.580606351165266"
"in school","2013","Hauptschulabschluss","","","",""
"in school","2013","Realschulabschluss","","","",""
"in school","2013","(Fach-)Abitur","","","",""
"in school","2013","AkademikerInnen","","","",""
"inadequately","2013","(noch) kein Abschluss","565","0.335930557389768","0.31390832608713","0.357952788692405"
"inadequately","2013","Hauptschulabschluss","70","0.0058475689618679","0.00431613537378256","0.00737900254995324"
"inadequately","2013","Realschulabschluss","","","",""
"inadequately","2013","(Fach-)Abitur","","","",""
"inadequately","2013","AkademikerInnen","","","",""
"general elemantary","2013","(noch) kein Abschluss","","","",""
"general elemantary","2013","Hauptschulabschluss","2809","0.258311239927928","0.249519668614346","0.267102811241509"
"general elemantary","2013","Realschulabschluss","1017","0.11481443102391","0.107771579442078","0.121857282605742"
"general elemantary","2013","(Fach-)Abitur","","","",""
"general elemantary","2013","AkademikerInnen","","","",""
"middle vocational","2013","(noch) kein Abschluss","119","0.102045106305712","0.0879310070153471","0.116159205596078"
"middle vocational","2013","Hauptschulabschluss","6203","0.684849837064364","0.675518573662123","0.694181100466605"
"middle vocational","2013","Realschulabschluss","6089","0.780731259188961","0.771590710208625","0.789871808169296"
"middle vocational","2013","(Fach-)Abitur","1623","0.364198755691619","0.350134506170793","0.378263005212446"
"middle vocational","2013","AkademikerInnen","","","",""
"vocational + Abi","2013","(noch) kein Abschluss","","","",""
"vocational + Abi","2013","Hauptschulabschluss","","","",""
"vocational + Abi","2013","Realschulabschluss","","","",""
"vocational + Abi","2013","(Fach-)Abitur","2374","0.504613637504483","0.490000678621479","0.519226596387486"
"vocational + Abi","2013","AkademikerInnen","","","",""
"higher vocational","2013","(noch) kein Abschluss","","","",""
"higher vocational","2013","Hauptschulabschluss","440","0.0509913540458398","0.0465729303505235","0.055409777741156"
"higher vocational","2013","Realschulabschluss","765","0.104454309787129","0.0976975233742681","0.111211096199991"
"higher vocational","2013","(Fach-)Abitur","500","0.131187606803898","0.121320358533854","0.141054855073942"
"higher vocational","2013","AkademikerInnen","","","",""
"higher education","2013","(noch) kein Abschluss","","","",""
"higher education","2013","Hauptschulabschluss","","","",""
"higher education","2013","Realschulabschluss","","","",""
"higher education","2013","(Fach-)Abitur","","","",""
"higher education","2013","AkademikerInnen","6879","1","1","1"
"in school","2014","(noch) kein Abschluss","885","0.535701330728484","0.509942453627005","0.561460207829963"
"in school","2014","Hauptschulabschluss","","","",""
"in school","2014","Realschulabschluss","","","",""
"in school","2014","(Fach-)Abitur","","","",""
"in school","2014","AkademikerInnen","","","",""
"inadequately","2014","(noch) kein Abschluss","441","0.350210871221344","0.325572166252995","0.374849576189693"
"inadequately","2014","Hauptschulabschluss","65","0.00606776096264646","0.00439815467949567","0.00773736724579726"
"inadequately","2014","Realschulabschluss","","","",""
"inadequately","2014","(Fach-)Abitur","","","",""
"inadequately","2014","AkademikerInnen","","","",""
"general elemantary","2014","(noch) kein Abschluss","","","",""
"general elemantary","2014","Hauptschulabschluss","2363","0.260450301515027","0.251014744042148","0.269885858987905"
"general elemantary","2014","Realschulabschluss","881","0.115181476232004","0.107685234048814","0.122677718415194"
"general elemantary","2014","(Fach-)Abitur","","","",""
"general elemantary","2014","AkademikerInnen","","","",""
"middle vocational","2014","(noch) kein Abschluss","108","0.108054514142054","0.092019938956724","0.124089089327383"
"middle vocational","2014","Hauptschulabschluss","5476","0.681524688636156","0.67150855450368","0.691540822768631"
"middle vocational","2014","Realschulabschluss","5391","0.781125276595865","0.771416079068574","0.790834474123156"
"middle vocational","2014","(Fach-)Abitur","1468","0.3637684244483","0.348839236626813","0.378697612269788"
"middle vocational","2014","AkademikerInnen","","","",""
"vocational + Abi","2014","(noch) kein Abschluss","","","",""
"vocational + Abi","2014","Hauptschulabschluss","","","",""
"vocational + Abi","2014","Realschulabschluss","","","",""
"vocational + Abi","2014","(Fach-)Abitur","2058","0.500770654652062","0.485254447777219","0.516286861526906"
"vocational + Abi","2014","AkademikerInnen","","","",""
"higher vocational","2014","(noch) kein Abschluss","","","",""
"higher vocational","2014","Hauptschulabschluss","407","0.051957248886171","0.0471857098137207","0.0567287879586213"
"higher vocational","2014","Realschulabschluss","695","0.103693247172131","0.0965346362728748","0.110851858071387"
"higher vocational","2014","(Fach-)Abitur","463","0.135460920899637","0.124841143850366","0.146080697948909"
"higher vocational","2014","AkademikerInnen","","","",""
"higher education","2014","(noch) kein Abschluss","","","",""
"higher education","2014","Hauptschulabschluss","","","",""
"higher education","2014","Realschulabschluss","","","",""
"higher education","2014","(Fach-)Abitur","","","",""
"higher education","2014","AkademikerInnen","6242","1","1","1"
"in school","2015","(noch) kein Abschluss","778","0.498287077886864","0.471839842644596","0.524734313129132"
"in school","2015","Hauptschulabschluss","","","",""
"in school","2015","Realschulabschluss","","","",""
"in school","2015","(Fach-)Abitur","","","",""
"in school","2015","AkademikerInnen","","","",""
"inadequately","2015","(noch) kein Abschluss","475","0.381871629601221","0.35617294714153","0.407570312060911"
"inadequately","2015","Hauptschulabschluss","63","0.00588138664957634","0.00419896985944797","0.00756380343970471"
"inadequately","2015","Realschulabschluss","","","",""
"inadequately","2015","(Fach-)Abitur","","","",""
"inadequately","2015","AkademikerInnen","","","",""
"general elemantary","2015","(noch) kein Abschluss","","","",""
"general elemantary","2015","Hauptschulabschluss","2275","0.261081443469261","0.251417354607762","0.270745532330761"
"general elemantary","2015","Realschulabschluss","848","0.115051868798047","0.107391427991645","0.12271230960445"
"general elemantary","2015","(Fach-)Abitur","","","",""
"general elemantary","2015","AkademikerInnen","","","",""
"middle vocational","2015","(noch) kein Abschluss","114","0.113382424240225","0.0966116211530844","0.130153227327365"
"middle vocational","2015","Hauptschulabschluss","5219","0.681899154655943","0.671651673859782","0.692146635452104"
"middle vocational","2015","Realschulabschluss","5138","0.774839066138338","0.76481139022903","0.784866742047647"
"middle vocational","2015","(Fach-)Abitur","1591","0.351876330748485","0.33744225236812","0.366310409128851"
"middle vocational","2015","AkademikerInnen","","","",""
"vocational + Abi","2015","(noch) kein Abschluss","","","",""
"vocational + Abi","2015","Hauptschulabschluss","","","",""
"vocational + Abi","2015","Realschulabschluss","","","",""
"vocational + Abi","2015","(Fach-)Abitur","2170","0.51272026076904","0.497612694507895","0.527827827030186"
"vocational + Abi","2015","AkademikerInnen","","","",""
"higher vocational","2015","(noch) kein Abschluss","","","",""
"higher vocational","2015","Hauptschulabschluss","378","0.0511380152252197","0.0462912935240942","0.0559847369263453"
"higher vocational","2015","Realschulabschluss","679","0.110109065063614","0.102594083092019","0.117624047035209"
"higher vocational","2015","(Fach-)Abitur","444","0.135403408482474","0.125061834363082","0.145744982601866"
"higher vocational","2015","AkademikerInnen","","","",""
"higher education","2015","(noch) kein Abschluss","","","",""
"higher education","2015","Hauptschulabschluss","","","",""
"higher education","2015","Realschulabschluss","","","",""
"higher education","2015","(Fach-)Abitur","","","",""
"higher education","2015","AkademikerInnen","6457","1","1","1"
"in school","2016","(noch) kein Abschluss","912","0.478600184197146","0.460857214535725","0.496343153858567"
"in school","2016","Hauptschulabschluss","","","",""
"in school","2016","Realschulabschluss","","","",""
"in school","2016","(Fach-)Abitur","","","",""
"in school","2016","AkademikerInnen","","","",""
"inadequately","2016","(noch) kein Abschluss","1984","0.405535554684888","0.38809614207431","0.422974967295466"
"inadequately","2016","Hauptschulabschluss","55","0.00564719001846254","0.00400881023546109","0.00728556980146399"
"inadequately","2016","Realschulabschluss","","","",""
"inadequately","2016","(Fach-)Abitur","","","",""
"inadequately","2016","AkademikerInnen","","","",""
"general elemantary","2016","(noch) kein Abschluss","","","",""
"general elemantary","2016","Hauptschulabschluss","2782","0.264442403983493","0.254799629330109","0.274085178636876"
"general elemantary","2016","Realschulabschluss","803","0.121179931588388","0.113025282785193","0.129334580391582"
"general elemantary","2016","(Fach-)Abitur","","","",""
"general elemantary","2016","AkademikerInnen","","","",""
"middle vocational","2016","(noch) kein Abschluss","142","0.105846898329008","0.0949199357857605","0.116773860872256"
"middle vocational","2016","Hauptschulabschluss","4855","0.68173067644472","0.671546358809642","0.691914994079799"
"middle vocational","2016","Realschulabschluss","4731","0.771895084068609","0.761409650631681","0.782380517505536"
"middle vocational","2016","(Fach-)Abitur","1934","0.344122951235312","0.33023458119471","0.358011321275915"
"middle vocational","2016","AkademikerInnen","","","",""
"vocational + Abi","2016","(noch) kein Abschluss","","","",""
"vocational + Abi","2016","Hauptschulabschluss","","","",""
"vocational + Abi","2016","Realschulabschluss","","","",""
"vocational + Abi","2016","(Fach-)Abitur","2143","0.522171615882565","0.507569161925642","0.536774069839488"
"vocational + Abi","2016","AkademikerInnen","","","",""
"higher vocational","2016","(noch) kein Abschluss","","","",""
"higher vocational","2016","Hauptschulabschluss","344","0.0481797295533249","0.0434976608656783","0.0528617982409715"
"higher vocational","2016","Realschulabschluss","618","0.106924984343004","0.0992030963963833","0.114646872289624"
"higher vocational","2016","(Fach-)Abitur","418","0.133705432882123","0.123756177800307","0.143654687963939"
"higher vocational","2016","AkademikerInnen","","","",""
"higher education","2016","(noch) kein Abschluss","","","",""
"higher education","2016","Hauptschulabschluss","","","",""
"higher education","2016","Realschulabschluss","","","",""
"higher education","2016","(Fach-)Abitur","","","",""
"higher education","2016","AkademikerInnen","6691","1","1","1"
"in school","2017","(noch) kein Abschluss","952","0.451937925147341","0.435962059184516","0.467913791110167"
"in school","2017","Hauptschulabschluss","","","",""
"in school","2017","Realschulabschluss","","","",""
"in school","2017","(Fach-)Abitur","","","",""
"in school","2017","AkademikerInnen","","","",""
"inadequately","2017","(noch) kein Abschluss","2618","0.441049837945631","0.425111592308556","0.456988083582706"
"inadequately","2017","Hauptschulabschluss","61","0.00680450616450848","0.00505520962397646","0.0085538027050405"
"inadequately","2017","Realschulabschluss","","","",""
"inadequately","2017","(Fach-)Abitur","","","",""
"inadequately","2017","AkademikerInnen","","","",""
"general elemantary","2017","(noch) kein Abschluss","","","",""
"general elemantary","2017","Hauptschulabschluss","3107","0.27394660942366","0.264456635811079","0.28343658303624"
"general elemantary","2017","Realschulabschluss","904","0.119170290544845","0.111606938561264","0.126733642528425"
"general elemantary","2017","(Fach-)Abitur","","","",""
"general elemantary","2017","AkademikerInnen","","","",""
"middle vocational","2017","(noch) kein Abschluss","152","0.099394863865662","0.0897907053264415","0.108999022404882"
"middle vocational","2017","Hauptschulabschluss","4971","0.673828910031508","0.663853165619356","0.68380465444366"
"middle vocational","2017","Realschulabschluss","5424","0.771105527803066","0.761298014717492","0.780913040888641"
"middle vocational","2017","(Fach-)Abitur","2287","0.352211090242059","0.339095305979882","0.365326874504235"
"middle vocational","2017","AkademikerInnen","","","",""
"vocational + Abi","2017","(noch) kein Abschluss","","","",""
"vocational + Abi","2017","Hauptschulabschluss","","","",""
"vocational + Abi","2017","Realschulabschluss","","","",""
"vocational + Abi","2017","(Fach-)Abitur","2360","0.523071873919374","0.509357273825419","0.53678647401333"
"vocational + Abi","2017","AkademikerInnen","","","",""
"higher vocational","2017","(noch) kein Abschluss","","","",""
"higher vocational","2017","Hauptschulabschluss","345","0.0454199743803234","0.0409892230672483","0.0498507256933985"
"higher vocational","2017","Realschulabschluss","721","0.109724181652089","0.102427963685557","0.117020399618621"
"higher vocational","2017","(Fach-)Abitur","448","0.124717035838567","0.115644825203873","0.133789246473261"
"higher vocational","2017","AkademikerInnen","","","",""
"higher education","2017","(noch) kein Abschluss","","","",""
"higher education","2017","Hauptschulabschluss","","","",""
"higher education","2017","Realschulabschluss","","","",""
"higher education","2017","(Fach-)Abitur","","","",""
"higher education","2017","AkademikerInnen","7484","1","1","1"
"in school","2018","(noch) kein Abschluss","795","0.425504506840998","0.407992299398753","0.443016714283244"
"in school","2018","Hauptschulabschluss","","","",""
"in school","2018","Realschulabschluss","","","",""
"in school","2018","(Fach-)Abitur","","","",""
"in school","2018","AkademikerInnen","","","",""
"inadequately","2018","(noch) kein Abschluss","2124","0.479754418013983","0.462059066686511","0.497449769341456"
"inadequately","2018","Hauptschulabschluss","56","0.00629942619813422","0.00454011042359311","0.00805874197267534"
"inadequately","2018","Realschulabschluss","","","",""
"inadequately","2018","(Fach-)Abitur","","","",""
"inadequately","2018","AkademikerInnen","","","",""
"general elemantary","2018","(noch) kein Abschluss","","","",""
"general elemantary","2018","Hauptschulabschluss","2780","0.273279958478986","0.263370429991712","0.28318948696626"
"general elemantary","2018","Realschulabschluss","899","0.111284490046076","0.103763775298634","0.118805204793519"
"general elemantary","2018","(Fach-)Abitur","","","",""
"general elemantary","2018","AkademikerInnen","","","",""
"middle vocational","2018","(noch) kein Abschluss","137","0.09055825050079","0.0803934946099775","0.100723006391603"
"middle vocational","2018","Hauptschulabschluss","4606","0.67157854689334","0.661135440641865","0.682021653144814"
"middle vocational","2018","Realschulabschluss","5152","0.781688886000011","0.771809833159418","0.791567938840604"
"middle vocational","2018","(Fach-)Abitur","2101","0.353896195918823","0.340289118772671","0.367503273064976"
"middle vocational","2018","AkademikerInnen","","","",""
"vocational + Abi","2018","(noch) kein Abschluss","","","",""
"vocational + Abi","2018","Hauptschulabschluss","","","",""
"vocational + Abi","2018","Realschulabschluss","","","",""
"vocational + Abi","2018","(Fach-)Abitur","2213","0.521633785628168","0.507419047719225","0.535848523537111"
"vocational + Abi","2018","AkademikerInnen","","","",""
"higher vocational","2018","(noch) kein Abschluss","","","",""
"higher vocational","2018","Hauptschulabschluss","327","0.0488420684295401","0.0440492732358975","0.0536348636231828"
"higher vocational","2018","Realschulabschluss","666","0.107026623953913","0.0996335408962514","0.114419707011574"
"higher vocational","2018","(Fach-)Abitur","430","0.124470018453009","0.115076168064173","0.133863868841844"
"higher vocational","2018","AkademikerInnen","","","",""
"higher education","2018","(noch) kein Abschluss","","","",""
"higher education","2018","Hauptschulabschluss","","","",""
"higher education","2018","Realschulabschluss","","","",""
"higher education","2018","(Fach-)Abitur","","","",""
"higher education","2018","AkademikerInnen","7052","1","1","1"
"in school","2019","(noch) kein Abschluss","855","0.401713666017673","0.383861673833814","0.419565658201533"
"in school","2019","Hauptschulabschluss","","","",""
"in school","2019","Realschulabschluss","","","",""
"in school","2019","(Fach-)Abitur","","","",""
"in school","2019","AkademikerInnen","","","",""
"inadequately","2019","(noch) kein Abschluss","1900","0.499644537368263","0.48143731325424","0.517851761482285"
"inadequately","2019","Hauptschulabschluss","61","0.00832508240656939","0.0062032193457156","0.0104469454674232"
"inadequately","2019","Realschulabschluss","","","",""
"inadequately","2019","(Fach-)Abitur","","","",""
"inadequately","2019","AkademikerInnen","","","",""
"general elemantary","2019","(noch) kein Abschluss","","","",""
"general elemantary","2019","Hauptschulabschluss","2404","0.271437677470499","0.261052669439735","0.281822685501262"
"general elemantary","2019","Realschulabschluss","899","0.114375052708964","0.106826562272781","0.121923543145146"
"general elemantary","2019","(Fach-)Abitur","","","",""
"general elemantary","2019","AkademikerInnen","","","",""
"middle vocational","2019","(noch) kein Abschluss","133","0.0932699577261468","0.0826802557990806","0.103859659653213"
"middle vocational","2019","Hauptschulabschluss","4216","0.671961039813854","0.660996935030728","0.682925144596981"
"middle vocational","2019","Realschulabschluss","5160","0.777818627214401","0.767958953859168","0.787678300569635"
"middle vocational","2019","(Fach-)Abitur","1986","0.350972884414287","0.337385773414838","0.364559995413737"
"middle vocational","2019","AkademikerInnen","","","",""
"vocational + Abi","2019","(noch) kein Abschluss","","","",""
"vocational + Abi","2019","Hauptschulabschluss","","","",""
"vocational + Abi","2019","Realschulabschluss","","","",""
"vocational + Abi","2019","(Fach-)Abitur","2262","0.522149778735769","0.507929688081833","0.536369869389704"
"vocational + Abi","2019","AkademikerInnen","","","",""
"higher vocational","2019","(noch) kein Abschluss","","","",""
"higher vocational","2019","Hauptschulabschluss","363","0.0482762003090776","0.0432705509712034","0.0532818496469517"
"higher vocational","2019","Realschulabschluss","770","0.107806320076635","0.100450667357126","0.115161972796144"
"higher vocational","2019","(Fach-)Abitur","492","0.126877336849944","0.117402132657767","0.136352541042121"
"higher vocational","2019","AkademikerInnen","","","",""
"higher education","2019","(noch) kein Abschluss","","","",""
"higher education","2019","Hauptschulabschluss","","","",""
"higher education","2019","Realschulabschluss","","","",""
