"ple0019","year","age_gr","bula_h","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Ja","2012","35-65","Baden-Wuerttemberg","","","",""
"Ja","2012","35-65","Bayern","","","",""
"Ja","2012","35-65","Saarland","","","",""
"Ja","2012","35-65","Berlin","","","",""
"Ja","2012","35-65","Brandenburg","","","",""
"Ja","2012","35-65","Mecklenburg-Vorpommern","","","",""
"Ja","2012","35-65","Sachsen","","","",""
"Ja","2012","35-65","Sachsen-Anhalt","","","",""
"Ja","2012","35-65","Thueringen","","","",""
"Ja","2012","66 +","Schleswig-Holstein","","","",""
"Ja","2012","66 +","Hamburg","","","",""
"Ja","2012","66 +","Niedersachsen","","","",""
"Ja","2012","66 +","Bremen","","","",""
"Ja","2012","66 +","Nordrhein-Westfalen","","","",""
"Ja","2012","66 +","Hessen","","","",""
"Ja","2012","66 +","Rheinland-Pfalz,Saarland","","","",""
"Ja","2012","66 +","Baden-Wuerttemberg","","","",""
"Ja","2012","66 +","Bayern","","","",""
"Ja","2012","66 +","Saarland","","","",""
"Ja","2012","66 +","Berlin","","","",""
"Ja","2012","66 +","Brandenburg","","","",""
"Ja","2012","66 +","Mecklenburg-Vorpommern","","","",""
"Ja","2012","66 +","Sachsen","","","",""
"Ja","2012","66 +","Sachsen-Anhalt","","","",""
"Ja","2012","66 +","Thueringen","","","",""
"Nein","2012","17-34","Schleswig-Holstein","","","",""
"Nein","2012","17-34","Hamburg","","","",""
"Nein","2012","17-34","Niedersachsen","","","",""
"Nein","2012","17-34","Bremen","","","",""
"Nein","2012","17-34","Nordrhein-Westfalen","","","",""
"Nein","2012","17-34","Hessen","","","",""
"Nein","2012","17-34","Rheinland-Pfalz,Saarland","","","",""
"Nein","2012","17-34","Baden-Wuerttemberg","","","",""
"Nein","2012","17-34","Bayern","","","",""
"Nein","2012","17-34","Saarland","","","",""
"Nein","2012","17-34","Berlin","","","",""
"Nein","2012","17-34","Brandenburg","","","",""
"Nein","2012","17-34","Mecklenburg-Vorpommern","","","",""
"Nein","2012","17-34","Sachsen","","","",""
"Nein","2012","17-34","Sachsen-Anhalt","","","",""
"Nein","2012","17-34","Thueringen","","","",""
"Nein","2012","35-65","Schleswig-Holstein","","","",""
"Nein","2012","35-65","Hamburg","","","",""
"Nein","2012","35-65","Niedersachsen","","","",""
"Nein","2012","35-65","Bremen","","","",""
"Nein","2012","35-65","Nordrhein-Westfalen","","","",""
"Nein","2012","35-65","Hessen","","","",""
"Nein","2012","35-65","Rheinland-Pfalz,Saarland","","","",""
"Nein","2012","35-65","Baden-Wuerttemberg","","","",""
"Nein","2012","35-65","Bayern","","","",""
"Nein","2012","35-65","Saarland","","","",""
"Nein","2012","35-65","Berlin","","","",""
"Nein","2012","35-65","Brandenburg","","","",""
"Nein","2012","35-65","Mecklenburg-Vorpommern","","","",""
"Nein","2012","35-65","Sachsen","","","",""
"Nein","2012","35-65","Sachsen-Anhalt","","","",""
"Nein","2012","35-65","Thueringen","","","",""
"Nein","2012","66 +","Schleswig-Holstein","","","",""
"Nein","2012","66 +","Hamburg","","","",""
"Nein","2012","66 +","Niedersachsen","","","",""
"Nein","2012","66 +","Bremen","","","",""
"Nein","2012","66 +","Nordrhein-Westfalen","","","",""
"Nein","2012","66 +","Hessen","","","",""
"Nein","2012","66 +","Rheinland-Pfalz,Saarland","","","",""
"Nein","2012","66 +","Baden-Wuerttemberg","","","",""
"Nein","2012","66 +","Bayern","","","",""
"Nein","2012","66 +","Saarland","","","",""
"Nein","2012","66 +","Berlin","","","",""
"Nein","2012","66 +","Brandenburg","","","",""
"Nein","2012","66 +","Mecklenburg-Vorpommern","","","",""
"Nein","2012","66 +","Sachsen","","","",""
"Nein","2012","66 +","Sachsen-Anhalt","","","",""
"Nein","2012","66 +","Thueringen","","","",""
"Ja","2013","17-34","Schleswig-Holstein","5","","",""
"Ja","2013","17-34","Hamburg","6","","",""
"Ja","2013","17-34","Niedersachsen","10","","",""
"Ja","2013","17-34","Bremen","2","","",""
"Ja","2013","17-34","Nordrhein-Westfalen","40","0.0527299282110333","0.0367349756069248","0.0687248808151417"
"Ja","2013","17-34","Hessen","8","","",""
"Ja","2013","17-34","Rheinland-Pfalz,Saarland","10","","",""
"Ja","2013","17-34","Baden-Wuerttemberg","16","","",""
"Ja","2013","17-34","Bayern","17","","",""
"Ja","2013","17-34","Saarland","","","",""
"Ja","2013","17-34","Berlin","8","","",""
"Ja","2013","17-34","Brandenburg","1","","",""
"Ja","2013","17-34","Mecklenburg-Vorpommern","4","","",""
"Ja","2013","17-34","Sachsen","19","","",""
"Ja","2013","17-34","Sachsen-Anhalt","4","","",""
"Ja","2013","17-34","Thueringen","8","","",""
"Ja","2013","35-65","Schleswig-Holstein","23","","",""
"Ja","2013","35-65","Hamburg","9","","",""
"Ja","2013","35-65","Niedersachsen","91","0.0879380063610956","0.0699574913145234","0.105918521407668"
"Ja","2013","35-65","Bremen","4","","",""
"Ja","2013","35-65","Nordrhein-Westfalen","197","0.108321560795372","0.094798697590196","0.121844424000549"
"Ja","2013","35-65","Hessen","69","0.107537788542433","0.08543993535195","0.129635641732916"
"Ja","2013","35-65","Rheinland-Pfalz,Saarland","61","0.101925309789878","0.0776762587483998","0.126174360831356"
"Ja","2013","35-65","Baden-Wuerttemberg","96","0.0987647083037176","0.0813463940870641","0.116183022520371"
"Ja","2013","35-65","Bayern","158","0.111688663932701","0.0962692282464076","0.127108099618993"
"Ja","2013","35-65","Saarland","","","",""
"Ja","2013","35-65","Berlin","54","0.13060161006306","0.0976209315634155","0.163582288562705"
"Ja","2013","35-65","Brandenburg","36","0.10950585554664","0.0799904966438301","0.139021214449449"
"Ja","2013","35-65","Mecklenburg-Vorpommern","27","","",""
"Ja","2013","35-65","Sachsen","51","0.0792585116615114","0.0598211215481606","0.0986959017748623"
"Ja","2013","35-65","Sachsen-Anhalt","23","","",""
"Ja","2013","35-65","Thueringen","32","0.0814913854342599","0.0560719703415092","0.106910800527011"
"Ja","2013","66 +","Schleswig-Holstein","6","","",""
"Ja","2013","66 +","Hamburg","5","","",""
"Ja","2013","66 +","Niedersachsen","26","","",""
"Ja","2013","66 +","Bremen","1","","",""
"Ja","2013","66 +","Nordrhein-Westfalen","52","0.0534702112151758","0.0390809536012542","0.0678594688290975"
"Ja","2013","66 +","Hessen","19","","",""
"Ja","2013","66 +","Rheinland-Pfalz,Saarland","14","","",""
"Ja","2013","66 +","Baden-Wuerttemberg","29","","",""
"Ja","2013","66 +","Bayern","44","0.0769335301346233","0.0580248968052681","0.0958421634639784"
