year,age_gr,bula_h,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1988,17-29 y.,"Rhineland-Palatinate, Saarland",Germany,0.91667,172,172,0.87524,0.95809
1988,17-29 y.,Baden-Wuerttemberg,Germany,0.87703,380,554,0.84966,0.90441
1988,17-29 y.,Baden-Wuerttemberg,Southern Europe,0.03374,88,554,0.01869,0.04879
1988,17-29 y.,Baden-Wuerttemberg,Western Asia,0.03722,86,554,0.02144,0.05300
1988,17-29 y.,Bavaria,Germany,0.93044,376,448,0.90685,0.95402
1988,17-29 y.,Bavaria,Southern Europe,0.01471,38,448,0.00355,0.02587
1988,17-29 y.,Bavaria,Western Asia,0.02003,34,448,0.00704,0.03301
1988,17-29 y.,Berlin,Germany,0.82052,52,52,0.71520,0.92584
1988,30-45 y.,Schleswig-Holstein,Germany,0.95967,94,94,0.91969,0.99965
1988,30-45 y.,Hamburg,Germany,0.86616,43,43,0.76319,0.96913
1988,30-45 y.,Lower Saxony,Germany,0.90901,218,218,0.87075,0.94728
1988,30-45 y.,North Rhine-Westphalia,Germany,0.88002,625,802,0.85752,0.90253
1988,30-45 y.,North Rhine-Westphalia,Southern Europe,0.02742,97,802,0.01611,0.03873
1988,30-45 y.,North Rhine-Westphalia,Western Asia,0.03317,80,802,0.02077,0.04557
1988,30-45 y.,Hesse,Germany,0.84478,174,246,0.79944,0.89013
1988,30-45 y.,Hesse,Southern Europe,0.05328,72,246,0.02515,0.08140
1988,30-45 y.,"Rhineland-Palatinate, Saarland",Germany,0.87884,126,126,0.82163,0.93604
1988,30-45 y.,Baden-Wuerttemberg,Germany,0.80178,297,497,0.76670,0.83687
1988,30-45 y.,Baden-Wuerttemberg,Southern Europe,0.06848,140,497,0.04625,0.09071
1988,30-45 y.,Baden-Wuerttemberg,Western Asia,0.04142,60,497,0.02389,0.05896
1988,30-45 y.,Bavaria,Germany,0.87486,364,435,0.84372,0.90599
1988,30-45 y.,Bavaria,Southern Europe,0.03532,71,435,0.01796,0.05269
1988,30-45 y.,Berlin,Germany,0.81711,64,64,0.72165,0.91257
1988,46-65 y.,Schleswig-Holstein,Germany,0.93580,86,86,0.88369,0.98791
1988,46-65 y.,Hamburg,Germany,0.90047,42,42,0.80884,0.99211
1988,46-65 y.,Lower Saxony,Germany,0.92274,285,285,0.89169,0.95380
1988,46-65 y.,North Rhine-Westphalia,Germany,0.87953,569,761,0.85639,0.90267
1988,46-65 y.,North Rhine-Westphalia,Southern Europe,0.02765,122,761,0.01600,0.03931
1988,46-65 y.,North Rhine-Westphalia,Western Asia,0.02097,70,761,0.01078,0.03115
1988,46-65 y.,Hesse,Germany,0.81780,193,285,0.77290,0.86269
1988,46-65 y.,Hesse,Southern Europe,0.03240,55,285,0.01181,0.05300
1988,46-65 y.,Hesse,Western Asia,0.02257,37,285,0.00529,0.03984
1988,46-65 y.,"Rhineland-Palatinate, Saarland",Germany,0.95209,215,215,0.92347,0.98070
1988,46-65 y.,Baden-Wuerttemberg,Germany,0.82485,340,514,0.79196,0.85775
1988,46-65 y.,Baden-Wuerttemberg,Southern Europe,0.03896,133,514,0.02222,0.05571
1988,46-65 y.,Baden-Wuerttemberg,Western Asia,0.01329,41,514,0.00338,0.02319
1988,46-65 y.,Bavaria,Germany,0.89759,375,437,0.86913,0.92605
1988,46-65 y.,Bavaria,Southern Europe,0.02369,62,437,0.00941,0.03796
1988,46-65 y.,Berlin,Germany,0.92590,84,84,0.86955,0.98225
1988,66 and older,Hamburg,Germany,0.99569,35,35,0.97366,1.01771
1988,66 and older,Lower Saxony,Germany,0.97287,119,119,0.94355,1.00218
1988,66 and older,Bremen,Germany,0.96796,31,31,0.90495,1.03098
1988,66 and older,North Rhine-Westphalia,Germany,0.94916,216,216,0.91979,0.97852
1988,66 and older,Hesse,Germany,0.91083,94,94,0.85290,0.96875
1988,66 and older,"Rhineland-Palatinate, Saarland",Germany,0.99580,96,96,0.98279,1.00881
1988,66 and older,Baden-Wuerttemberg,Germany,0.92368,145,145,0.88032,0.96705
1988,66 and older,Bavaria,Germany,0.95205,172,172,0.92002,0.98407
1988,66 and older,Berlin,Germany,0.96415,32,32,0.89870,1.02960
1989,17-29 y.,Schleswig-Holstein,Germany,0.95471,67,67,0.90455,1.00488
1989,17-29 y.,Hamburg,Germany,0.95757,37,37,0.89173,1.02342
1989,17-29 y.,Lower Saxony,Germany,0.94430,240,240,0.91522,0.97337
1989,17-29 y.,North Rhine-Westphalia,Germany,0.90501,579,758,0.88412,0.92589
1989,17-29 y.,North Rhine-Westphalia,Southern Europe,0.01406,55,758,0.00567,0.02245
1989,17-29 y.,North Rhine-Westphalia,Western Asia,0.04740,124,758,0.03226,0.06254
1989,17-29 y.,Hesse,Germany,0.85463,183,241,0.81003,0.89922
1989,17-29 y.,Hesse,Western Asia,0.05372,58,241,0.02520,0.08225
1989,17-29 y.,"Rhineland-Palatinate, Saarland",Germany,0.92887,168,168,0.88988,0.96786
1989,17-29 y.,Baden-Wuerttemberg,Germany,0.85904,355,520,0.82910,0.88898
1989,17-29 y.,Baden-Wuerttemberg,Southern Europe,0.03593,79,520,0.01991,0.05194
1989,17-29 y.,Baden-Wuerttemberg,Western Asia,0.04550,86,520,0.02757,0.06343
1989,17-29 y.,Bavaria,Germany,0.91119,384,460,0.88516,0.93721
1989,17-29 y.,Bavaria,Southern Europe,0.01809,36,460,0.00590,0.03028
1989,17-29 y.,Bavaria,Western Asia,0.02560,40,460,0.01115,0.04005
1989,17-29 y.,Berlin,Germany,0.85128,55,86,0.77564,0.92692
1989,17-29 y.,Berlin,Western Asia,0.11214,31,86,0.04506,0.17923
1989,30-45 y.,Schleswig-Holstein,Germany,0.95928,85,85,0.91702,1.00155
1989,30-45 y.,Hamburg,Germany,0.84313,40,40,0.72898,0.95727
1989,30-45 y.,Lower Saxony,Germany,0.89980,204,204,0.85849,0.94110
1989,30-45 y.,North Rhine-Westphalia,Germany,0.88095,617,786,0.85830,0.90361
1989,30-45 y.,North Rhine-Westphalia,Southern Europe,0.03035,94,786,0.01835,0.04235
1989,30-45 y.,North Rhine-Westphalia,Western Asia,0.03224,75,786,0.01989,0.04460
1989,30-45 y.,Hesse,Germany,0.83761,167,268,0.79337,0.88185
1989,30-45 y.,Hesse,Southern Europe,0.05622,70,268,0.02859,0.08385
1989,30-45 y.,Hesse,Western Asia,0.05535,31,268,0.02792,0.08277
1989,30-45 y.,"Rhineland-Palatinate, Saarland",Germany,0.87606,122,122,0.81735,0.93477
