"plb0022_h","year","sex","n","percent","lower_confidence","upper_confidence"
"Freiwilliger Wehrdienst","2014","weiblich","","","",""
"FSJ/FOeJ/BFD","2014","maennlich","","","",""
"FSJ/FOeJ/BFD","2014","weiblich","34","0.00197102102035924","0.00125457761719445","0.00268746442352404"
"Werkstatt fuer Behinderte","2014","maennlich","","","",""
"Werkstatt fuer Behinderte","2014","weiblich","","","",""
"Nicht erwerbstaetig","2014","maennlich","4157","0.357088385673955","0.348686135633664","0.365490635714246"
"Nicht erwerbstaetig","2014","weiblich","6136","0.462637321120848","0.454583188680502","0.470691453561193"
"Betriebliches Praktikum","2014","maennlich","","","",""
"Betriebliches Praktikum","2014","weiblich","","","",""
"Wehrpflicht/Zivildienst","2014","maennlich","","","",""
"Wehrpflicht/Zivildienst","2014","weiblich","","","",""
"Voll erwerbstaetig","2015","maennlich","6822","0.523740344084173","0.51494799875805","0.532532689410297"
"Voll erwerbstaetig","2015","weiblich","3302","0.245911114935656","0.238917397123521","0.252904832747791"
"Teilzeitbeschaeftigung","2015","maennlich","496","0.0381943164122256","0.0348201393727318","0.0415684934517193"
"Teilzeitbeschaeftigung","2015","weiblich","3464","0.197254731118228","0.190792085416757","0.203717376819698"
"Ausbildung/Lehre","2015","maennlich","383","0.029455511103212","0.0264789429501337","0.0324320792562904"
"Ausbildung/Lehre","2015","weiblich","341","0.0182873731174145","0.0161112893600598","0.0204634568747692"
"Geringfuegig erwerbstaetig","2015","maennlich","470","0.0407467106968867","0.0372662418412237","0.0442271795525498"
"Geringfuegig erwerbstaetig","2015","weiblich","1234","0.0758586811619644","0.0715585708777012","0.0801587914462277"
"Altersteilzeit mit Arbeitszeit Null","2015","maennlich","41","0.00340441391520897","0.00237898517932042","0.00442984265109752"
"Altersteilzeit mit Arbeitszeit Null","2015","weiblich","45","0.00450089801014873","0.00341377727784553","0.00558801874245192"
"Freiwilliger Wehrdienst","2015","maennlich","","","",""
"Freiwilliger Wehrdienst","2015","weiblich","","","",""
"FSJ/FOeJ/BFD","2015","maennlich","","","",""
"FSJ/FOeJ/BFD","2015","weiblich","","","",""
"Werkstatt fuer Behinderte","2015","maennlich","","","",""
"Werkstatt fuer Behinderte","2015","weiblich","","","",""
"Nicht erwerbstaetig","2015","maennlich","4134","0.358575563623473","0.350132736028251","0.367018391218695"
"Nicht erwerbstaetig","2015","weiblich","6133","0.455499444503849","0.447411263805063","0.463587625202635"
"Betriebliches Praktikum","2015","maennlich","","","",""
"Betriebliches Praktikum","2015","weiblich","","","",""
"Wehrpflicht/Zivildienst","2015","maennlich","","","",""
"Wehrpflicht/Zivildienst","2015","weiblich","","","",""
"Voll erwerbstaetig","2016","maennlich","6175","0.518921955257098","0.510633679854362","0.527210230659834"
"Voll erwerbstaetig","2016","weiblich","3125","0.254893995494321","0.247904919340236","0.261883071648406"
"Teilzeitbeschaeftigung","2016","maennlich","575","0.0440596754139617","0.0406552688474133","0.0474640819805102"
"Teilzeitbeschaeftigung","2016","weiblich","3277","0.198565820064875","0.19216821958393","0.20496342054582"
"Ausbildung/Lehre","2016","maennlich","394","0.0289375643205882","0.0261568271264935","0.0317183015146829"
"Ausbildung/Lehre","2016","weiblich","310","0.0178850138579892","0.015759535202469","0.0200104925135094"
"Geringfuegig erwerbstaetig","2016","maennlich","516","0.0410036746157879","0.0377142098216424","0.0442931394099334"
"Geringfuegig erwerbstaetig","2016","weiblich","1119","0.0715931586094157","0.0674585360843084","0.0757277811345229"
"Altersteilzeit mit Arbeitszeit Null","2016","maennlich","31","0.00269973852174772","0.00183898422357931","0.00356049281991613"
"Altersteilzeit mit Arbeitszeit Null","2016","weiblich","","","",""
"Freiwilliger Wehrdienst","2016","maennlich","","","",""
"Freiwilliger Wehrdienst","2016","weiblich","","","",""
"FSJ/FOeJ/BFD","2016","maennlich","","","",""
"FSJ/FOeJ/BFD","2016","weiblich","37","0.00207222329172731","0.00134293579219641","0.00280151079125821"
"Werkstatt fuer Behinderte","2016","maennlich","","","",""
"Werkstatt fuer Behinderte","2016","weiblich","","","",""
"Nicht erwerbstaetig","2016","maennlich","6158","0.358928779844376","0.350971536065298","0.366886023623453"
"Nicht erwerbstaetig","2016","weiblich","7013","0.450496858019935","0.442517610969849","0.45847610507002"
"Betriebliches Praktikum","2016","maennlich","68","0.000433232481422394","8.80316831345795e-05","0.000778433279710208"
"Betriebliches Praktikum","2016","weiblich","","","",""
"Wehrpflicht/Zivildienst","2016","maennlich","","","",""
"Wehrpflicht/Zivildienst","2016","weiblich","","","",""
"Voll erwerbstaetig","2017","maennlich","7184","0.525959852598096","0.518147053810243","0.53377265138595"
"Voll erwerbstaetig","2017","weiblich","3571","0.252951601275243","0.246336183820881","0.259567018729605"
"Teilzeitbeschaeftigung","2017","maennlich","679","0.0421183950992556","0.0389756105922819","0.0452611796062293"
"Teilzeitbeschaeftigung","2017","weiblich","3707","0.202266086069311","0.196153081339124","0.208379090799498"
"Ausbildung/Lehre","2017","maennlich","473","0.0269252455540375","0.024392592391626","0.029457898716449"
"Ausbildung/Lehre","2017","weiblich","353","0.0209032878839961","0.0187261583681544","0.0230804173998378"
"Geringfuegig erwerbstaetig","2017","maennlich","597","0.0426883647124983","0.0395253281819159","0.0458514012430808"
"Geringfuegig erwerbstaetig","2017","weiblich","1188","0.0751641361947454","0.0711517582413324","0.0791765141481584"
"Altersteilzeit mit Arbeitszeit Null","2017","maennlich","42","0.00353158211088976","0.00260338715649012","0.00445977706528941"
"Altersteilzeit mit Arbeitszeit Null","2017","weiblich","","","",""
"Freiwilliger Wehrdienst","2017","maennlich","","","",""
"Freiwilliger Wehrdienst","2017","weiblich","","","",""
"FSJ/FOeJ/BFD","2017","maennlich","","","",""
"FSJ/FOeJ/BFD","2017","weiblich","39","0.00191108217909213","0.00124643913066804","0.00257572522751623"
"Werkstatt fuer Behinderte","2017","maennlich","","","",""
"Werkstatt fuer Behinderte","2017","weiblich","","","",""
"Nicht erwerbstaetig","2017","maennlich","6611","0.354001102125714","0.346518701194061","0.361483503057366"
"Nicht erwerbstaetig","2017","weiblich","7675","0.443021768069348","0.435462220350849","0.450581315787847"
"Betriebliches Praktikum","2017","maennlich","64","0.000385896181884583","7.85879398971119e-05","0.000693204423872054"
"Betriebliches Praktikum","2017","weiblich","","","",""
"Wehrpflicht/Zivildienst","2017","maennlich","","","",""
"Wehrpflicht/Zivildienst","2017","weiblich","","","",""
"Voll erwerbstaetig","2018","maennlich","6902","0.530342598397475","0.522216767983593","0.538468428811357"
"Voll erwerbstaetig","2018","weiblich","3475","0.256921821460552","0.250070353601844","0.26377328931926"
"Teilzeitbeschaeftigung","2018","maennlich","815","0.0506207593823568","0.0470514589360488","0.0541900598286649"
"Teilzeitbeschaeftigung","2018","weiblich","3607","0.207605929365234","0.201245940434999","0.213965918295468"
"Ausbildung/Lehre","2018","maennlich","499","0.0255606176093323","0.0229910384671603","0.0281301967515044"
"Ausbildung/Lehre","2018","weiblich","336","0.01942540022708","0.0172612311761645","0.0215895692779955"
"Geringfuegig erwerbstaetig","2018","maennlich","604","0.0421244546877583","0.0388539061288635","0.045395003246653"
"Geringfuegig erwerbstaetig","2018","weiblich","1109","0.0695677807751963","0.0655783372660463","0.0735572242843462"
"Altersteilzeit mit Arbeitszeit Null","2018","maennlich","35","0.0034018402736149","0.00245382373820781","0.00434985680902199"
"Altersteilzeit mit Arbeitszeit Null","2018","weiblich","","","",""
"Freiwilliger Wehrdienst","2018","maennlich","","","",""
"Freiwilliger Wehrdienst","2018","weiblich","","","",""
"FSJ/FOeJ/BFD","2018","maennlich","","","",""
"FSJ/FOeJ/BFD","2018","weiblich","34","0.0012413531438959","0.000689219991202894","0.00179348629658892"
"Werkstatt fuer Behinderte","2018","maennlich","","","",""
"Werkstatt fuer Behinderte","2018","weiblich","","","",""
"Nicht erwerbstaetig","2018","maennlich","5557","0.341337564035902","0.333617473327156","0.349057654744649"
"Nicht erwerbstaetig","2018","weiblich","7012","0.442252417578182","0.434464527183398","0.450040307972965"
"Betriebliches Praktikum","2018","maennlich","30","0.000167988853872949","-4.30209651230269e-05","0.000378998672868925"
"Betriebliches Praktikum","2018","weiblich","","","",""
"Wehrpflicht/Zivildienst","2018","maennlich","","","",""
"Wehrpflicht/Zivildienst","2018","weiblich","","","",""
"Voll erwerbstaetig","2019","maennlich","7660","0.534356822806757","0.526286581124431","0.542427064489084"
"Voll erwerbstaetig","2019","weiblich","3638","0.25982662166658","0.252818930041737","0.266834313291424"
"Teilzeitbeschaeftigung","2019","maennlich","851","0.0554012514256051","0.0517001779258963","0.0591023249253138"
"Teilzeitbeschaeftigung","2019","weiblich","3623","0.220677804365433","0.214050998034121","0.227304610696745"
"Ausbildung/Lehre","2019","maennlich","466","0.0255313809426447","0.0229794711334034","0.0280832907518861"
"Ausbildung/Lehre","2019","weiblich","331","0.0192685855419462","0.0170719075968798","0.0214652634870126"
"Geringfuegig erwerbstaetig","2019","maennlich","590","0.0377896352671261","0.0347045611300603","0.0408747094041919"
"Geringfuegig erwerbstaetig","2019","weiblich","1032","0.0636181028690325","0.0597179350894002","0.0675182706486648"
"Altersteilzeit mit Arbeitszeit Null","2019","maennlich","36","0.00430430929936214","0.00324515486474822","0.00536346373397606"
"Altersteilzeit mit Arbeitszeit Null","2019","weiblich","","","",""
"Freiwilliger Wehrdienst","2019","maennlich","","","",""
"Freiwilliger Wehrdienst","2019","weiblich","","","",""
"FSJ/FOeJ/BFD","2019","maennlich","","","",""
"FSJ/FOeJ/BFD","2019","weiblich","36","0.00241623248148301","0.00163170082092335","0.00320076414204268"
"Werkstatt fuer Behinderte","2019","maennlich","","","",""
"Werkstatt fuer Behinderte","2019","weiblich","","","",""
"Nicht erwerbstaetig","2019","maennlich","5007","0.337361943774931","0.329712489167684","0.345011398382178"
"Nicht erwerbstaetig","2019","weiblich","6339","0.431277147478423","0.42336316669163","0.439191128265217"
"Betriebliches Praktikum","2019","maennlich","","","",""
"Betriebliches Praktikum","2019","weiblich","","","",""
"Wehrpflicht/Zivildienst","2019","maennlich","","","",""
"Wehrpflicht/Zivildienst","2019","weiblich","","","",""
