year,bula_h,rentown,hlf0261,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2004,Saxony,Tenant,No,0.96731,492,492,0.95158,0.98304
2004,Saxony-Anhalt,Owner,No,0.97522,216,216,0.95445,0.99600
2004,Saxony-Anhalt,Tenant,No,0.96112,250,250,0.93711,0.98513
2004,Thuringa,Owner,No,0.99075,230,230,0.97835,1.00315
2004,Thuringa,Tenant,No,0.94108,238,238,0.91111,0.97106
2005,Schleswig-Holstein,Owner,No,0.85253,159,159,0.79724,0.90782
2005,Schleswig-Holstein,Tenant,No,0.90503,142,142,0.85664,0.95342
2005,Hamburg,Owner,No,0.86826,36,36,0.75621,0.98031
2005,Hamburg,Tenant,No,0.93737,121,121,0.89402,0.98073
2005,Lower Saxony,Owner,"Yes, Regularly",0.08396,58,546,0.06067,0.10724
2005,Lower Saxony,Owner,No,0.87863,488,546,0.85122,0.90605
2005,Lower Saxony,Tenant,No,0.91875,352,352,0.89016,0.94733
2005,Bremen,Owner,No,0.86140,31,31,0.73775,0.98504
2005,Bremen,Tenant,No,0.86227,43,43,0.75805,0.96650
2005,North Rhine-Westphalia,Owner,"Yes, Regularly",0.13299,164,1085,0.11277,0.15320
2005,North Rhine-Westphalia,Owner,"Yes, Occasionally",0.07564,66,1085,0.05990,0.09138
2005,North Rhine-Westphalia,Owner,No,0.78981,855,1085,0.76555,0.81406
2005,North Rhine-Westphalia,Tenant,"Yes, Regularly",0.07142,80,1274,0.05728,0.08557
2005,North Rhine-Westphalia,Tenant,"Yes, Occasionally",0.03809,37,1274,0.02758,0.04861
2005,North Rhine-Westphalia,Tenant,No,0.88809,1157,1274,0.87077,0.90541
2005,Hesse,Owner,"Yes, Regularly",0.10591,52,345,0.07340,0.13843
2005,Hesse,Owner,No,0.83105,293,345,0.79145,0.87064
2005,Hesse,Tenant,No,0.89733,360,360,0.86593,0.92873
2005,"Rhineland-Palatinate, Saarland",Owner,"Yes, Regularly",0.09840,37,366,0.06784,0.12896
2005,"Rhineland-Palatinate, Saarland",Owner,No,0.86664,329,366,0.83176,0.90152
2005,"Rhineland-Palatinate, Saarland",Tenant,No,0.90647,268,268,0.87154,0.94139
2005,Baden-Wuerttemberg,Owner,"Yes, Regularly",0.07227,50,667,0.05261,0.09194
2005,Baden-Wuerttemberg,Owner,"Yes, Occasionally",0.04893,39,667,0.03255,0.06532
2005,Baden-Wuerttemberg,Owner,No,0.87593,578,667,0.85090,0.90097
2005,Baden-Wuerttemberg,Tenant,No,0.91659,608,608,0.89459,0.93858
2005,Bavaria,Owner,"Yes, Regularly",0.07230,84,854,0.05492,0.08968
2005,Bavaria,Owner,"Yes, Occasionally",0.06299,46,854,0.04669,0.07929
2005,Bavaria,Owner,No,0.86455,724,854,0.84159,0.88752
2005,Bavaria,Tenant,No,0.92120,645,645,0.90039,0.94201
2005,Berlin,Owner,No,0.87066,62,62,0.78645,0.95488
2005,Berlin,Tenant,No,0.93382,355,355,0.90792,0.95971
2005,Brandenburg,Owner,No,0.96574,176,176,0.93878,0.99269
2005,Brandenburg,Tenant,No,0.94918,275,275,0.92318,0.97519
2005,Mecklenburg-Western Pomerania,Owner,No,0.99171,115,115,0.97506,1.00835
2005,Mecklenburg-Western Pomerania,Tenant,No,0.96265,153,153,0.93251,0.99280
2005,Saxony,Owner,No,0.94645,309,309,0.92131,0.97159
2005,Saxony,Tenant,No,0.96349,471,471,0.94654,0.98045
2005,Saxony-Anhalt,Owner,No,0.97219,214,214,0.95011,0.99427
