"erwst","year","age_gr","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"nicht erwerbstätig","2003","66","Städtischer Raum","","","",""
"nicht erwerbstätig","2003","66","Ländlicher Raum","","","",""
"Andere","2003","17-29","Städtischer Raum","538","0.194568042425255","0.179369180532386","0.209766904318123"
"Andere","2003","17-29","Ländlicher Raum","305","0.201646378510017","0.180636580042294","0.22265617697774"
"Andere","2003","30-45","Städtischer Raum","205","0.0469268995280066","0.0408529803495207","0.0530008187064924"
"Andere","2003","30-45","Ländlicher Raum","119","0.0523747400094201","0.0432302408994068","0.0615192391194334"
"Andere","2003","46-65","Städtischer Raum","181","0.0392535833682824","0.033890603625165","0.0446165631113997"
"Andere","2003","46-65","Ländlicher Raum","93","0.0422205541702822","0.0343924998570776","0.0500486084834868"
"Andere","2003","66","Städtischer Raum","","","",""
"Andere","2003","66","Ländlicher Raum","","","",""
"voll erwerbstätig","2004","17-29","Städtischer Raum","746","0.310584882613486","0.292705243213316","0.328464522013657"
"voll erwerbstätig","2004","17-29","Ländlicher Raum","419","0.332617499444838","0.307804277573325","0.35743072131635"
"voll erwerbstätig","2004","30-45","Städtischer Raum","2629","0.603006461736313","0.588583962137655","0.617428961334971"
"voll erwerbstätig","2004","30-45","Ländlicher Raum","1235","0.583871420764044","0.56282951028585","0.604913331242238"
"voll erwerbstätig","2004","46-65","Städtischer Raum","2302","0.450434690284799","0.436446693396672","0.464422687172927"
"voll erwerbstätig","2004","46-65","Ländlicher Raum","1144","0.41394639022783","0.394658490107742","0.433234290347917"
"voll erwerbstätig","2004","66","Städtischer Raum","","","",""
"voll erwerbstätig","2004","66","Ländlicher Raum","","","",""
"Teilzeit","2004","17-29","Städtischer Raum","130","0.0542117964276726","0.0454625218977799","0.0629610709575654"
"Teilzeit","2004","17-29","Ländlicher Raum","70","0.0519843850487778","0.0402929612040186","0.063675808893537"
"Teilzeit","2004","30-45","Städtischer Raum","738","0.154724403855881","0.144064177954591","0.165384629757172"
"Teilzeit","2004","30-45","Ländlicher Raum","310","0.135093136062816","0.120501160241234","0.149685111884397"
"Teilzeit","2004","46-65","Städtischer Raum","610","0.114696226811324","0.105737409520885","0.123655044101762"
"Teilzeit","2004","46-65","Ländlicher Raum","288","0.1133506937904","0.100936107355676","0.125765280225124"
"Teilzeit","2004","66","Städtischer Raum","","","",""
"Teilzeit","2004","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","2004","17-29","Städtischer Raum","1177","0.428324576750167","0.409204507710879","0.447444645789456"
"nicht erwerbstätig","2004","17-29","Ländlicher Raum","604","0.420792840755199","0.394792781599314","0.446792899911083"
"nicht erwerbstätig","2004","30-45","Städtischer Raum","831","0.19045588206649","0.178881300776961","0.202030463356018"
"nicht erwerbstätig","2004","30-45","Ländlicher Raum","446","0.230173251327556","0.212203721558257","0.248142781096855"
"nicht erwerbstätig","2004","46-65","Städtischer Raum","1758","0.391736407774419","0.378012656580652","0.405460158968187"
"nicht erwerbstätig","2004","46-65","Ländlicher Raum","957","0.422810271046711","0.403464934589641","0.442155607503781"
"nicht erwerbstätig","2004","66","Städtischer Raum","","","",""
"nicht erwerbstätig","2004","66","Ländlicher Raum","","","",""
"Andere","2004","17-29","Städtischer Raum","520","0.206878744208674","0.191227245556209","0.222530242861138"
"Andere","2004","17-29","Ländlicher Raum","292","0.194605274751186","0.173755330475625","0.215455219026747"
"Andere","2004","30-45","Städtischer Raum","223","0.0518132523413155","0.0452796123456514","0.0583468923369796"
"Andere","2004","30-45","Ländlicher Raum","117","0.0508621918455844","0.0414827939432262","0.0602415897479426"
"Andere","2004","46-65","Städtischer Raum","190","0.0431326751294577","0.0374210589413014","0.048844291317614"
"Andere","2004","46-65","Ländlicher Raum","116","0.0498926449350595","0.0413665761946877","0.0584187136754313"
"Andere","2004","66","Städtischer Raum","","","",""
"Andere","2004","66","Ländlicher Raum","","","",""
"voll erwerbstätig","2005","17-29","Städtischer Raum","711","0.299735896426334","0.281816431170755","0.317655361681913"
"voll erwerbstätig","2005","17-29","Ländlicher Raum","389","0.322914017618629","0.297660576556621","0.348167458680637"
"voll erwerbstätig","2005","30-45","Städtischer Raum","2440","0.598964970458559","0.584012163619808","0.613917777297309"
"voll erwerbstätig","2005","30-45","Ländlicher Raum","1127","0.569054543362791","0.547136721395585","0.590972365329997"
"voll erwerbstätig","2005","46-65","Städtischer Raum","2168","0.450996064190251","0.436618143646102","0.4653739847344"
"voll erwerbstätig","2005","46-65","Ländlicher Raum","1117","0.434338379328299","0.414569503047911","0.454107255608686"
"voll erwerbstätig","2005","66","Städtischer Raum","","","",""
"voll erwerbstätig","2005","66","Ländlicher Raum","","","",""
"Teilzeit","2005","17-29","Städtischer Raum","120","0.0555576131876543","0.0465981031662149","0.0645171232090938"
"Teilzeit","2005","17-29","Ländlicher Raum","60","0.0503948816528705","0.0385802566470157","0.0622095066587253"
"Teilzeit","2005","30-45","Städtischer Raum","677","0.157663785921546","0.146545455711588","0.168782116131505"
"Teilzeit","2005","30-45","Ländlicher Raum","295","0.139649652584219","0.124308185479017","0.154991119689421"
"Teilzeit","2005","46-65","Städtischer Raum","605","0.121368859623725","0.111933055740779","0.130804663506671"
"Teilzeit","2005","46-65","Ländlicher Raum","288","0.112969383878977","0.100344156498511","0.125594611259443"
"Teilzeit","2005","66","Städtischer Raum","","","",""
"Teilzeit","2005","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","2005","17-29","Städtischer Raum","1169","0.440573546537139","0.421155504242757","0.459991588831521"
"nicht erwerbstätig","2005","17-29","Ländlicher Raum","612","0.442083587212561","0.415261537187008","0.468905637238114"
"nicht erwerbstätig","2005","30-45","Städtischer Raum","775","0.187261569214488","0.17535927767586","0.199163860753115"
"nicht erwerbstätig","2005","30-45","Ländlicher Raum","421","0.227965020624801","0.209397159053558","0.246532882196044"
"nicht erwerbstätig","2005","46-65","Städtischer Raum","1623","0.375459171002824","0.361467043610962","0.389451298394686"
"nicht erwerbstätig","2005","46-65","Ländlicher Raum","897","0.402205437421816","0.382649012165203","0.421761862678429"
"nicht erwerbstätig","2005","66","Städtischer Raum","","","",""
"nicht erwerbstätig","2005","66","Ländlicher Raum","","","",""
"Andere","2005","17-29","Städtischer Raum","511","0.204132943848873","0.188367668946971","0.219898218750774"
"Andere","2005","17-29","Ländlicher Raum","256","0.184607513515939","0.163653691888789","0.20556133514309"
"Andere","2005","30-45","Städtischer Raum","235","0.0561096744054072","0.0490884880807178","0.0631308607300967"
"Andere","2005","30-45","Ländlicher Raum","118","0.0633307834281899","0.0525510046556878","0.074110562200692"
"Andere","2005","46-65","Städtischer Raum","205","0.0521759051831999","0.045750199304198","0.0586016110622017"
"Andere","2005","46-65","Ländlicher Raum","113","0.0504867993709085","0.0417544933587074","0.0592191053831096"
"Andere","2005","66","Städtischer Raum","","","",""
"Andere","2005","66","Ländlicher Raum","","","",""
"voll erwerbstätig","2006","17-29","Städtischer Raum","738","0.303181679727602","0.285439053973392","0.320924305481811"
"voll erwerbstätig","2006","17-29","Ländlicher Raum","391","0.326127186190946","0.301596950265619","0.350657422116273"
"voll erwerbstätig","2006","30-45","Städtischer Raum","2432","0.581830450290272","0.566941221077779","0.596719679502766"
"voll erwerbstätig","2006","30-45","Ländlicher Raum","1183","0.586378893622103","0.565132571807237","0.607625215436968"
"voll erwerbstätig","2006","46-65","Städtischer Raum","2313","0.460425953714904","0.446504182483831","0.474347724945978"
"voll erwerbstätig","2006","46-65","Ländlicher Raum","1204","0.436075972266782","0.417206018129401","0.454945926404164"
"voll erwerbstätig","2006","66","Städtischer Raum","","","",""
"voll erwerbstätig","2006","66","Ländlicher Raum","","","",""
"Teilzeit","2006","17-29","Städtischer Raum","134","0.0575231609126388","0.048535155008318","0.0665111668169596"
"Teilzeit","2006","17-29","Ländlicher Raum","55","0.0384289788575774","0.0283703366335149","0.04848762108164"
"Teilzeit","2006","30-45","Städtischer Raum","737","0.163994844474481","0.152818047414484","0.175171641534477"
"Teilzeit","2006","30-45","Ländlicher Raum","326","0.136644948418329","0.121827113493941","0.151462783342717"
"Teilzeit","2006","46-65","Städtischer Raum","663","0.118626068719445","0.109594582190878","0.127657555248013"
"Teilzeit","2006","46-65","Ländlicher Raum","342","0.113363344011178","0.101299418935009","0.125427269087347"
"Teilzeit","2006","66","Städtischer Raum","","","",""
"Teilzeit","2006","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","2006","17-29","Städtischer Raum","1163","0.427035189087046","0.407940946250781","0.446129431923311"
"nicht erwerbstätig","2006","17-29","Ländlicher Raum","624","0.414512784789531","0.388734920758917","0.440290648820146"
"nicht erwerbstätig","2006","30-45","Städtischer Raum","809","0.195500665774697","0.183529546586615","0.207471784962779"
"nicht erwerbstätig","2006","30-45","Ländlicher Raum","424","0.21406367191","0.196368352280842","0.231758991539158"
"nicht erwerbstätig","2006","46-65","Städtischer Raum","1710","0.366930212130123","0.353468304728496","0.38039211953175"
"nicht erwerbstätig","2006","46-65","Ländlicher Raum","978","0.398047753451807","0.379421389938894","0.416674116964721"
"nicht erwerbstätig","2006","66","Städtischer Raum","","","",""
"nicht erwerbstätig","2006","66","Ländlicher Raum","","","",""
"Andere","2006","17-29","Städtischer Raum","543","0.212259970272713","0.196475422582624","0.228044517962802"
"Andere","2006","17-29","Ländlicher Raum","333","0.220931050161945","0.19922226194696","0.24263983837693"
"Andere","2006","30-45","Städtischer Raum","238","0.0586740394605501","0.0515800456980286","0.0657680332230716"
"Andere","2006","30-45","Ländlicher Raum","131","0.0629124860495682","0.0524375412331776","0.0733874308659588"
"Andere","2006","46-65","Städtischer Raum","238","0.0540177654355276","0.0477038484658079","0.0603316824052472"
"Andere","2006","46-65","Ländlicher Raum","129","0.0525129302702325","0.0440250501233774","0.0610008104170877"
"Andere","2006","66","Städtischer Raum","","","",""
"Andere","2006","66","Ländlicher Raum","","","",""
"voll erwerbstätig","2007","17-29","Städtischer Raum","697","0.310229930833469","0.291829933058526","0.328629928608412"
"voll erwerbstätig","2007","17-29","Ländlicher Raum","365","0.31541585619482","0.290252554647263","0.340579157742376"
"voll erwerbstätig","2007","30-45","Städtischer Raum","2224","0.58548188806657","0.569841154983213","0.601122621149927"
"voll erwerbstätig","2007","30-45","Ländlicher Raum","1151","0.625234230314401","0.603457066471873","0.64701139415693"
"voll erwerbstätig","2007","46-65","Städtischer Raum","2196","0.474963957470635","0.460458743085043","0.489469171856227"
"voll erwerbstätig","2007","46-65","Ländlicher Raum","1188","0.455008908675473","0.435516048141604","0.474501769209341"
"voll erwerbstätig","2007","66","Städtischer Raum","","","",""
"voll erwerbstätig","2007","66","Ländlicher Raum","","","",""
"Teilzeit","2007","17-29","Städtischer Raum","140","0.0662420539220775","0.0563495142625484","0.0761345935816065"
"Teilzeit","2007","17-29","Ländlicher Raum","65","0.0513033942364395","0.0393566610047769","0.063250127468102"
"Teilzeit","2007","30-45","Städtischer Raum","720","0.176674793869159","0.16456597956578","0.188783608172538"
"Teilzeit","2007","30-45","Ländlicher Raum","325","0.149695513056445","0.133644900410619","0.165746125702271"
"Teilzeit","2007","46-65","Städtischer Raum","661","0.124947048275172","0.115342444941765","0.134551651608579"
"Teilzeit","2007","46-65","Ländlicher Raum","328","0.124137075548577","0.111229646379892","0.137044504717261"
"Teilzeit","2007","66","Städtischer Raum","","","",""
"Teilzeit","2007","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","2007","17-29","Städtischer Raum","1094","0.42119296141381","0.401553426264431","0.44083249656319"
"nicht erwerbstätig","2007","17-29","Ländlicher Raum","584","0.409609864166735","0.382980107813452","0.436239620520017"
"nicht erwerbstätig","2007","30-45","Städtischer Raum","641","0.171443289328859","0.159477262245818","0.183409316411899"
"nicht erwerbstätig","2007","30-45","Ländlicher Raum","309","0.16922068649489","0.152352455087536","0.186088917902244"
"nicht erwerbstätig","2007","46-65","Städtischer Raum","1472","0.351057726839042","0.337193630520142","0.364921823157942"
"nicht erwerbstätig","2007","46-65","Ländlicher Raum","877","0.367483875373835","0.348611530312936","0.386356220434734"
"nicht erwerbstätig","2007","66","Städtischer Raum","","","",""
"nicht erwerbstätig","2007","66","Ländlicher Raum","","","",""
"Andere","2007","17-29","Städtischer Raum","497","0.202335053830643","0.186355319010275","0.21831478865101"
"Andere","2007","17-29","Ländlicher Raum","296","0.223670885402006","0.201105637526608","0.246236133277405"
"Andere","2007","30-45","Städtischer Raum","226","0.0664000287354124","0.0584951872570611","0.0743048702137637"
"Andere","2007","30-45","Ländlicher Raum","113","0.0558495701342636","0.0455188522463116","0.0661802880222156"
"Andere","2007","46-65","Städtischer Raum","224","0.0490312674151511","0.0427590811875805","0.0553034536427216"
"Andere","2007","46-65","Ländlicher Raum","114","0.0533701404021154","0.0445716088383267","0.0621686719659041"
"Andere","2007","66","Städtischer Raum","","","",""
"Andere","2007","66","Ländlicher Raum","","","",""
"voll erwerbstätig","2008","17-29","Städtischer Raum","681","0.327079063530028","0.307698395765946","0.34645973129411"
"voll erwerbstätig","2008","17-29","Ländlicher Raum","348","0.328641810922759","0.30162273236518","0.355660889480338"
"voll erwerbstätig","2008","30-45","Städtischer Raum","2069","0.614139323126819","0.597867213227585","0.630411433026052"
"voll erwerbstätig","2008","30-45","Ländlicher Raum","1059","0.63593941679418","0.61327240558202","0.65860642800634"
"voll erwerbstätig","2008","46-65","Städtischer Raum","2147","0.489684704143532","0.474769292176934","0.504600116110131"
"voll erwerbstätig","2008","46-65","Ländlicher Raum","1156","0.46522798233267","0.445184733346466","0.485271231318874"
"voll erwerbstätig","2008","66","Städtischer Raum","","","",""
"voll erwerbstätig","2008","66","Ländlicher Raum","","","",""
"Teilzeit","2008","17-29","Städtischer Raum","116","0.0561329674602184","0.0466241884767164","0.0656417464437204"
"Teilzeit","2008","17-29","Ländlicher Raum","58","0.0582508548601013","0.0447782755121442","0.0717234342080585"
"Teilzeit","2008","30-45","Städtischer Raum","625","0.167017991900648","0.154550055041658","0.179485928759638"
"Teilzeit","2008","30-45","Ländlicher Raum","277","0.138929048852575","0.122635504864958","0.155222592840192"
"Teilzeit","2008","46-65","Städtischer Raum","662","0.131368683540287","0.121289592772243","0.141447774308331"
"Teilzeit","2008","46-65","Ländlicher Raum","338","0.140944038144933","0.12696153411452","0.154926542175347"
"Teilzeit","2008","66","Städtischer Raum","","","",""
"Teilzeit","2008","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","2008","17-29","Städtischer Raum","955","0.386222289240764","0.366108932020615","0.406335646460913"
"nicht erwerbstätig","2008","17-29","Ländlicher Raum","494","0.399617391874394","0.371442113005899","0.427792670742889"
"nicht erwerbstätig","2008","30-45","Städtischer Raum","536","0.152700955232641","0.140677358820597","0.164724551644685"
"nicht erwerbstätig","2008","30-45","Ländlicher Raum","274","0.157999313925656","0.140816931519651","0.175181696331661"
"nicht erwerbstätig","2008","46-65","Städtischer Raum","1283","0.321910731512471","0.307970536344234","0.335850926680709"
"nicht erwerbstätig","2008","46-65","Ländlicher Raum","776","0.341879183957125","0.32281843273275","0.360939935181501"
"nicht erwerbstätig","2008","66","Städtischer Raum","","","",""
"nicht erwerbstätig","2008","66","Ländlicher Raum","","","",""
"Andere","2008","17-29","Städtischer Raum","499","0.23056567976899","0.213165912016063","0.247965447521916"
"Andere","2008","17-29","Ländlicher Raum","261","0.213489942342746","0.189919223288135","0.237060661397356"
"Andere","2008","30-45","Städtischer Raum","208","0.0661417297398923","0.0578341711345549","0.0744492883452297"
"Andere","2008","30-45","Ländlicher Raum","121","0.0671322204275892","0.0553432708651525","0.078921169990026"
"Andere","2008","46-65","Städtischer Raum","223","0.0570358808037094","0.0501163069146658","0.063955454692753"
"Andere","2008","46-65","Ländlicher Raum","109","0.0519487955652714","0.0430310616759599","0.0608665294545829"
"Andere","2008","66","Städtischer Raum","","","",""
"Andere","2008","66","Ländlicher Raum","","","",""
"voll erwerbstätig","2009","17-29","Städtischer Raum","585","0.322442640828033","0.302124747787951","0.342760533868116"
"voll erwerbstätig","2009","17-29","Ländlicher Raum","321","0.324086117368527","0.295857342565236","0.352314892171818"
"voll erwerbstätig","2009","30-45","Städtischer Raum","1820","0.613754155293161","0.59651714327468","0.630991167311642"
"voll erwerbstätig","2009","30-45","Ländlicher Raum","981","0.635472792253071","0.611963009932782","0.65898257457336"
"voll erwerbstätig","2009","46-65","Städtischer Raum","2056","0.494907924766631","0.479456286259765","0.510359563273498"
"voll erwerbstätig","2009","46-65","Ländlicher Raum","1154","0.487042568643471","0.466628703303789","0.507456433983154"
"voll erwerbstätig","2009","66","Städtischer Raum","","","",""
"voll erwerbstätig","2009","66","Ländlicher Raum","","","",""
"Teilzeit","2009","17-29","Städtischer Raum","97","0.0516287774542085","0.0420101189519445","0.0612474359564725"
"Teilzeit","2009","17-29","Ländlicher Raum","56","0.0670362437697289","0.0519527011764628","0.0821197863629951"
"Teilzeit","2009","30-45","Städtischer Raum","569","0.165194930327126","0.152048018566168","0.178341842088083"
"Teilzeit","2009","30-45","Ländlicher Raum","271","0.137475485282126","0.120655194189939","0.154295776374312"
"Teilzeit","2009","46-65","Städtischer Raum","613","0.136088715691117","0.125491965678715","0.146685465703519"
"Teilzeit","2009","46-65","Ländlicher Raum","323","0.13276468478677","0.118906355264333","0.146623014309207"
"Teilzeit","2009","66","Städtischer Raum","","","",""
"Teilzeit","2009","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","2009","17-29","Städtischer Raum","866","0.388296216172753","0.367111065144657","0.409481367200848"
"nicht erwerbstätig","2009","17-29","Ländlicher Raum","451","0.392368962132126","0.362919088908132","0.421818835356119"
"nicht erwerbstätig","2009","30-45","Städtischer Raum","486","0.156159325411964","0.143308026018393","0.169010624805535"
"nicht erwerbstätig","2009","30-45","Ländlicher Raum","263","0.174611910924409","0.156068006326897","0.193155815521922"
"nicht erwerbstätig","2009","46-65","Städtischer Raum","1152","0.310507062407532","0.296207336596052","0.324806788219012"
"nicht erwerbstätig","2009","46-65","Ländlicher Raum","713","0.319886999403301","0.300837219801104","0.338936779005498"
"nicht erwerbstätig","2009","66","Städtischer Raum","","","",""
"nicht erwerbstätig","2009","66","Ländlicher Raum","","","",""
"Andere","2009","17-29","Städtischer Raum","485","0.237632365545005","0.219130546776374","0.256134184313637"
"Andere","2009","17-29","Ländlicher Raum","228","0.216508676729618","0.1916675734538","0.241349780005437"
"Andere","2009","30-45","Städtischer Raum","190","0.0648915889677498","0.0561707546109152","0.0736124233245845"
"Andere","2009","30-45","Ländlicher Raum","95","0.0524398115403943","0.0415512849270606","0.063328338153728"
"Andere","2009","46-65","Städtischer Raum","201","0.0584962971347192","0.0512435545789874","0.065749039690451"
"Andere","2009","46-65","Ländlicher Raum","113","0.060305747166458","0.0505833410371094","0.0700281532958067"
"Andere","2009","66","Städtischer Raum","","","",""
"Andere","2009","66","Ländlicher Raum","","","",""
"voll erwerbstätig","2010","17-29","Städtischer Raum","649","0.293751444714211","0.276880559632874","0.310622329795548"
"voll erwerbstätig","2010","17-29","Ländlicher Raum","387","0.334876310298437","0.310832092433168","0.358920528163706"
"voll erwerbstätig","2010","30-45","Städtischer Raum","2900","0.61277698252468","0.600409161195215","0.625144803854145"
"voll erwerbstätig","2010","30-45","Ländlicher Raum","1539","0.62499540470338","0.607980692664051","0.642010116742708"
"voll erwerbstätig","2010","46-65","Städtischer Raum","2226","0.491002067547504","0.47630894178503","0.505695193309977"
"voll erwerbstätig","2010","46-65","Ländlicher Raum","1255","0.501284764401294","0.481704759483791","0.520864769318797"
"voll erwerbstätig","2010","66","Städtischer Raum","","","",""
"voll erwerbstätig","2010","66","Ländlicher Raum","","","",""
"Teilzeit","2010","17-29","Städtischer Raum","163","0.0563874117461724","0.0478434947900606","0.0649313287022842"
"Teilzeit","2010","17-29","Ländlicher Raum","74","0.0610911727837647","0.0488895336742083","0.0732928118933211"
"Teilzeit","2010","30-45","Städtischer Raum","1071","0.156452494589967","0.147228746845636","0.165676242334297"
"Teilzeit","2010","30-45","Ländlicher Raum","542","0.15751936468824","0.144716273582695","0.170322455793785"
"Teilzeit","2010","46-65","Städtischer Raum","763","0.151550757603175","0.141011585045248","0.162089930161101"
"Teilzeit","2010","46-65","Ländlicher Raum","385","0.136755768249888","0.123300762266231","0.150210774233545"
"Teilzeit","2010","66","Städtischer Raum","","","",""
"Teilzeit","2010","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","2010","17-29","Städtischer Raum","1414","0.417460806238912","0.399194972329153","0.435726640148671"
"nicht erwerbstätig","2010","17-29","Ländlicher Raum","699","0.363211095789896","0.338709490984321","0.38771270059547"
"nicht erwerbstätig","2010","30-45","Städtischer Raum","1602","0.170135648801666","0.160595336017379","0.179675961585954"
"nicht erwerbstätig","2010","30-45","Ländlicher Raum","769","0.148047371217231","0.135565607118018","0.160529135316445"
"nicht erwerbstätig","2010","46-65","Städtischer Raum","1173","0.294366004979573","0.280970838950459","0.307761171008687"
"nicht erwerbstätig","2010","46-65","Ländlicher Raum","724","0.29283684849627","0.27501647101011","0.31065722598243"
"nicht erwerbstätig","2010","66","Städtischer Raum","","","",""
"nicht erwerbstätig","2010","66","Ländlicher Raum","","","",""
"Andere","2010","17-29","Städtischer Raum","574","0.232400337300705","0.216756083969138","0.248044590632272"
"Andere","2010","17-29","Ländlicher Raum","320","0.240821421127902","0.219037464507102","0.262605377748703"
"Andere","2010","30-45","Städtischer Raum","386","0.0606348740836871","0.0545753313195971","0.0666944168477771"
"Andere","2010","30-45","Ländlicher Raum","260","0.0694378593911486","0.0605040074996111","0.0783717112826861"
"Andere","2010","46-65","Städtischer Raum","285","0.0630811698697488","0.0559359535829396","0.070226386156558"
"Andere","2010","46-65","Ländlicher Raum","141","0.0691226188525481","0.0591891586362791","0.0790560790688171"
"Andere","2010","66","Städtischer Raum","","","",""
"Andere","2010","66","Ländlicher Raum","","","",""
"voll erwerbstätig","2011","17-29","Städtischer Raum","707","0.320343986825314","0.3036635863673","0.337024387283327"
"voll erwerbstätig","2011","17-29","Ländlicher Raum","465","0.371616860422615","0.348591423577255","0.394642297267974"
"voll erwerbstätig","2011","30-45","Städtischer Raum","3200","0.623817148916959","0.611985825972774","0.635648471861144"
"voll erwerbstätig","2011","30-45","Ländlicher Raum","1769","0.615854349952917","0.599719678248988","0.631989021656845"
"voll erwerbstätig","2011","46-65","Städtischer Raum","2908","0.518434530943279","0.505454065223478","0.53141499666308"
"voll erwerbstätig","2011","46-65","Ländlicher Raum","1708","0.505621876579193","0.488892479771068","0.522351273387318"
"voll erwerbstätig","2011","66","Städtischer Raum","","","",""
"voll erwerbstätig","2011","66","Ländlicher Raum","","","",""
"Teilzeit","2011","17-29","Städtischer Raum","193","0.0614831928308234","0.0528959679491436","0.0700704177125032"
"Teilzeit","2011","17-29","Ländlicher Raum","97","0.0480712300387268","0.0378784475767837","0.0582640125006699"
"Teilzeit","2011","30-45","Städtischer Raum","1386","0.159840103297041","0.150889980233252","0.168790226360831"
"Teilzeit","2011","30-45","Ländlicher Raum","707","0.161274537764388","0.149074364925308","0.173474710603468"
"Teilzeit","2011","46-65","Städtischer Raum","971","0.144613282461375","0.135476337930038","0.153750226992711"
"Teilzeit","2011","46-65","Ländlicher Raum","515","0.143340578713923","0.13161521274982","0.155065944678026"
"Teilzeit","2011","66","Städtischer Raum","","","",""
"Teilzeit","2011","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","2011","17-29","Städtischer Raum","1490","0.417001073530401","0.399374980137227","0.434627166923576"
"nicht erwerbstätig","2011","17-29","Ländlicher Raum","743","0.342679552987575","0.320065386847716","0.365293719127434"
"nicht erwerbstätig","2011","30-45","Städtischer Raum","1444","0.164208837226568","0.155160843148487","0.173256831304649"
"nicht erwerbstätig","2011","30-45","Ländlicher Raum","738","0.149060217814018","0.137246041274107","0.16087439435393"
"nicht erwerbstätig","2011","46-65","Städtischer Raum","1497","0.278723077437699","0.267075030069528","0.290371124805869"
"nicht erwerbstätig","2011","46-65","Ländlicher Raum","1012","0.290362957319105","0.275174051956049","0.30555186268216"
"nicht erwerbstätig","2011","66","Städtischer Raum","","","",""
"nicht erwerbstätig","2011","66","Ländlicher Raum","","","",""
"Andere","2011","17-29","Städtischer Raum","616","0.201171746813462","0.186841165597572","0.215502328029351"
"Andere","2011","17-29","Ländlicher Raum","387","0.237632356551083","0.217351657202437","0.25791305589973"
"Andere","2011","30-45","Städtischer Raum","410","0.0521339105594317","0.0467046735386687","0.0575631475801947"
"Andere","2011","30-45","Ländlicher Raum","277","0.0738108944686769","0.0651376171067348","0.082484171830619"
"Andere","2011","46-65","Städtischer Raum","316","0.0582291091576475","0.0521455413981703","0.0643126769171248"
"Andere","2011","46-65","Ländlicher Raum","196","0.0606745873877797","0.0526863827149794","0.06866279206058"
"Andere","2011","66","Städtischer Raum","","","",""
"Andere","2011","66","Ländlicher Raum","","","",""
"voll erwerbstätig","2012","17-29","Städtischer Raum","689","0.317092774684063","0.300197029762684","0.333988519605442"
"voll erwerbstätig","2012","17-29","Ländlicher Raum","423","0.360627447619451","0.337076845444237","0.384178049794664"
"voll erwerbstätig","2012","30-45","Städtischer Raum","2934","0.621869333009449","0.60942390451308","0.634314761505819"
"voll erwerbstätig","2012","30-45","Ländlicher Raum","1651","0.607498060235834","0.590689328838596","0.624306791633072"
"voll erwerbstätig","2012","46-65","Städtischer Raum","2970","0.531105236397375","0.518226790784991","0.543983682009759"
"voll erwerbstätig","2012","46-65","Ländlicher Raum","1764","0.494094442485007","0.47777840368112","0.510410481288894"
"voll erwerbstätig","2012","66","Städtischer Raum","","","",""
"voll erwerbstätig","2012","66","Ländlicher Raum","","","",""
"Teilzeit","2012","17-29","Städtischer Raum","177","0.0649782086022527","0.0560287234760779","0.0739276937284276"
"Teilzeit","2012","17-29","Ländlicher Raum","92","0.0552062084808561","0.0440051746510338","0.0664072423106783"
"Teilzeit","2012","30-45","Städtischer Raum","1327","0.165488951770009","0.155951334710615","0.175026568829403"
"Teilzeit","2012","30-45","Ländlicher Raum","700","0.165216758318585","0.152433089968103","0.178000426669067"
"Teilzeit","2012","46-65","Städtischer Raum","994","0.143380675738229","0.134336380928869","0.152424970547588"
"Teilzeit","2012","46-65","Ländlicher Raum","575","0.156507437873267","0.144650210731894","0.16836466501464"
"Teilzeit","2012","66","Städtischer Raum","","","",""
"Teilzeit","2012","66","Ländlicher Raum","","","",""
"nicht erwerbstätig","2012","17-29","Städtischer Raum","1373","0.386656885738617","0.368975433239678","0.404338338237555"
"nicht erwerbstätig","2012","17-29","Ländlicher Raum","686","0.356035587100506","0.332551522216648","0.379519651984364"
"nicht erwerbstätig","2012","30-45","Städtischer Raum","1190","0.160450878804843","0.151031257590841","0.169870500018845"
"nicht erwerbstätig","2012","30-45","Ländlicher Raum","643","0.169060100319607","0.156158399891462","0.181961800747751"
"nicht erwerbstätig","2012","46-65","Städtischer Raum","1469","0.270265311621961","0.258804559627565","0.281726063616356"
"nicht erwerbstätig","2012","46-65","Ländlicher Raum","1059","0.291942121274413","0.277104722149225","0.306779520399602"
"nicht erwerbstätig","2012","66","Städtischer Raum","","","",""
"nicht erwerbstätig","2012","66","Ländlicher Raum","","","",""
"Andere","2012","17-29","Städtischer Raum","675","0.231272130975068","0.21596297381822","0.246581288131915"
"Andere","2012","17-29","Ländlicher Raum","396","0.228130756799187","0.207550090947822","0.248711422650552"
"Andere","2012","30-45","Städtischer Raum","381","0.0521908364156986","0.0464826662222885","0.0578990066091088"
"Andere","2012","30-45","Ländlicher Raum","248","0.0582250811259742","0.0501644286593527","0.0662857335925958"
"Andere","2012","46-65","Städtischer Raum","335","0.0552487762424357","0.049352802670647","0.0611447498142244"
