"erwst","year","age_gr","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Teilzeit","2013","35-65","Westdeutschland","2989","","",""
"Teilzeit","2013","35-65","Ostdeutschland","589","0.142129097492211","0.130606874639161","0.153651320345262"
"Teilzeit","2013","66 +","Westdeutschland","64","0.0134245887760622","0.00977223039042033","0.0170769471617041"
"Teilzeit","2013","66 +","Ostdeutschland","9","0.00590076590418","0.00162403623493264","0.0101774955734274"
"nicht erwerbstätig","2013","17-34","Westdeutschland","2674","","",""
"nicht erwerbstätig","2013","17-34","Ostdeutschland","540","0.305489278808408","0.281715242337266","0.32926331527955"
"nicht erwerbstätig","2013","35-65","Westdeutschland","3183","0.228188151784527","0.221289055572741","0.235087247996313"
"nicht erwerbstätig","2013","35-65","Ostdeutschland","882","0.250742766302785","0.236440216078422","0.265045316527148"
"nicht erwerbstätig","2013","66 +","Westdeutschland","3551","0.940222094702748","0.93269818942553","0.947745999979967"
"nicht erwerbstätig","2013","66 +","Ostdeutschland","1199","","",""
"Andere","2013","17-34","Westdeutschland","1459","","",""
"Andere","2013","17-34","Ostdeutschland","239","","",""
"Andere","2013","35-65","Westdeutschland","989","0.0605839572312189","0.0566620461738458","0.0645058682885921"
"Andere","2013","35-65","Ostdeutschland","180","","",""
"Andere","2013","66 +","Westdeutschland","146","","",""
"Andere","2013","66 +","Ostdeutschland","15","","",""
"voll erwerbstätig","2014","17-34","Westdeutschland","1836","","",""
"voll erwerbstätig","2014","17-34","Ostdeutschland","419","0.409077985206146","0.381919636198363","0.436236334213929"
"voll erwerbstätig","2014","35-65","Westdeutschland","6190","0.539030068340478","0.530258545522069","0.547801591158888"
"voll erwerbstätig","2014","35-65","Ostdeutschland","1719","","",""
"voll erwerbstätig","2014","66 +","Westdeutschland","55","0.0120327267522384","0.0085341712096043","0.0155312822948725"
"voll erwerbstätig","2014","66 +","Ostdeutschland","7","0.0039638968753077","0.0004409085662028","0.0074868851844126"
"Teilzeit","2014","17-34","Westdeutschland","494","0.0846463083494517","0.0775097065167921","0.0917829101821114"
"Teilzeit","2014","17-34","Ostdeutschland","140","","",""
"Teilzeit","2014","35-65","Westdeutschland","2663","","",""
"Teilzeit","2014","35-65","Ostdeutschland","526","0.144155122844292","0.131958551142533","0.156351694546051"
"Teilzeit","2014","66 +","Westdeutschland","73","0.0156177143873563","0.0116391526690019","0.0195962761057108"
"Teilzeit","2014","66 +","Ostdeutschland","7","0.00290389028599114","-0.000113080473027168","0.00592086104500946"
"nicht erwerbstätig","2014","17-34","Westdeutschland","2188","","",""
"nicht erwerbstätig","2014","17-34","Ostdeutschland","498","0.325097009545025","0.299223080102813","0.350970938987237"
"nicht erwerbstätig","2014","35-65","Westdeutschland","2647","","",""
"nicht erwerbstätig","2014","35-65","Ostdeutschland","782","0.251459185728172","0.236394270216333","0.26652410124001"
"nicht erwerbstätig","2014","66 +","Westdeutschland","3441","0.932755159305688","0.924718995493531","0.940791323117845"
"nicht erwerbstätig","2014","66 +","Ostdeutschland","1183","","",""
"Andere","2014","17-34","Westdeutschland","1326","","",""
"Andere","2014","17-34","Ostdeutschland","202","","",""
"Andere","2014","35-65","Westdeutschland","906","0.0639163260374253","0.059612096338736","0.0682205557361147"
"Andere","2014","35-65","Ostdeutschland","159","","",""
"Andere","2014","66 +","Westdeutschland","162","","",""
"Andere","2014","66 +","Ostdeutschland","25","","",""
"voll erwerbstätig","2015","17-34","Westdeutschland","1951","","",""
"voll erwerbstätig","2015","17-34","Ostdeutschland","408","0.412837298714625","0.385141911504514","0.440532685924737"
"voll erwerbstätig","2015","35-65","Westdeutschland","6040","0.534666607941677","0.525802895169501","0.543530320713853"
"voll erwerbstätig","2015","35-65","Ostdeutschland","1637","","",""
"voll erwerbstätig","2015","66 +","Westdeutschland","52","0.0132388933283491","0.00954709429239946","0.0169306923642987"
"voll erwerbstätig","2015","66 +","Ostdeutschland","8","0.00800350540875777","0.003003581836958","0.0130034289805575"
"Teilzeit","2015","17-34","Westdeutschland","510","0.0805289432654086","0.0736431545658364","0.0874147319649808"
"Teilzeit","2015","17-34","Ostdeutschland","145","","",""
"Teilzeit","2015","35-65","Westdeutschland","2704","","",""
"Teilzeit","2015","35-65","Ostdeutschland","509","0.151099641488306","0.138414200384978","0.163785082591633"
"Teilzeit","2015","66 +","Westdeutschland","72","0.0147596465240945","0.0108645764699817","0.0186547165782073"
"Teilzeit","2015","66 +","Ostdeutschland","11","","",""
"nicht erwerbstätig","2015","17-34","Westdeutschland","2278","","",""
"nicht erwerbstätig","2015","17-34","Ostdeutschland","450","0.300256828431501","0.274472576930811","0.326041079932191"
"nicht erwerbstätig","2015","35-65","Westdeutschland","2582","","",""
"nicht erwerbstätig","2015","35-65","Ostdeutschland","766","0.241719254848703","0.226555172460986","0.25688333723642"
"nicht erwerbstätig","2015","66 +","Westdeutschland","3398","0.928963536402898","0.920666056693043","0.937261016112753"
"nicht erwerbstätig","2015","66 +","Ostdeutschland","1172","","",""
"Andere","2015","17-34","Westdeutschland","1260","","",""
"Andere","2015","17-34","Ostdeutschland","211","","",""
"Andere","2015","35-65","Westdeutschland","839","0.062235476514607","0.0579425056263568","0.0665284474028573"
"Andere","2015","35-65","Ostdeutschland","150","","",""
"Andere","2015","66 +","Westdeutschland","160","","",""
"Andere","2015","66 +","Ostdeutschland","29","","",""
"voll erwerbstätig","2016","17-34","Westdeutschland","1696","","",""
"voll erwerbstätig","2016","17-34","Ostdeutschland","353","0.358940046339978","0.333294690005183","0.384585402674772"
"voll erwerbstätig","2016","35-65","Westdeutschland","5554","0.545160804972183","0.536320380432596","0.55400122951177"
"voll erwerbstätig","2016","35-65","Ostdeutschland","1578","","",""
"voll erwerbstätig","2016","66 +","Westdeutschland","60","0.0139348955543997","0.0100891595254856","0.0177806315833139"
"voll erwerbstätig","2016","66 +","Ostdeutschland","10","","",""
"Teilzeit","2016","17-34","Westdeutschland","457","0.0744906896828113","0.0680584003540385","0.0809229790115841"
"Teilzeit","2016","17-34","Ostdeutschland","131","","",""
"Teilzeit","2016","35-65","Westdeutschland","2617","","",""
"Teilzeit","2016","35-65","Ostdeutschland","523","0.16024849288639","0.14738687943332","0.173110106339459"
"Teilzeit","2016","66 +","Westdeutschland","76","0.0182249224990422","0.0138364471440756","0.0226133978540087"
"Teilzeit","2016","66 +","Ostdeutschland","13","","",""
"nicht erwerbstätig","2016","17-34","Westdeutschland","3076","0.333395972525427","0.321847133747317","0.344944811303537"
"nicht erwerbstätig","2016","17-34","Ostdeutschland","666","0.355697121072275","0.330103386145053","0.381290855999498"
"nicht erwerbstätig","2016","35-65","Westdeutschland","3224","0.197563246054578","0.190494533021611","0.204631959087545"
"nicht erwerbstätig","2016","35-65","Ostdeutschland","871","0.231054716045781","0.216276288807507","0.245833143284055"
"nicht erwerbstätig","2016","66 +","Westdeutschland","3279","0.927101322294678","0.918572319775328","0.935630324814028"
"nicht erwerbstätig","2016","66 +","Ostdeutschland","1120","","",""
"Andere","2016","17-34","Westdeutschland","1172","","",""
"Andere","2016","17-34","Ostdeutschland","194","","",""
"Andere","2016","35-65","Westdeutschland","793","0.0609572725828965","0.0567097342341542","0.0652048109316388"
"Andere","2016","35-65","Ostdeutschland","153","","",""
"Andere","2016","66 +","Westdeutschland","154","","",""
"Andere","2016","66 +","Ostdeutschland","27","","",""
"voll erwerbstätig","2017","17-34","Westdeutschland","2001","","",""
"voll erwerbstätig","2017","17-34","Ostdeutschland","437","0.428945324061575","0.404039832629715","0.453850815493436"
"voll erwerbstätig","2017","35-65","Westdeutschland","6267","0.544954660950482","0.536606568689418","0.553302753211547"
"voll erwerbstätig","2017","35-65","Ostdeutschland","1842","","",""
"voll erwerbstätig","2017","66 +","Westdeutschland","73","0.0165283613066756","0.0124617944449898","0.0205949281683614"
"voll erwerbstätig","2017","66 +","Ostdeutschland","8","0.00723092125191438","0.00247464386145949","0.0119871986423693"
"Teilzeit","2017","17-34","Westdeutschland","559","0.0842878246975315","0.0779703308303182","0.0906053185647447"
"Teilzeit","2017","17-34","Ostdeutschland","123","","",""
"Teilzeit","2017","35-65","Westdeutschland","2964","","",""
"Teilzeit","2017","35-65","Ostdeutschland","584","0.165869052955408","0.153602076175751","0.178136029735065"
"Teilzeit","2017","66 +","Westdeutschland","90","0.0170306096490693","0.012903773817675","0.0211574454804636"
"Teilzeit","2017","66 +","Ostdeutschland","13","","",""
"nicht erwerbstätig","2017","17-34","Westdeutschland","3581","0.315537824398289","0.304970054414612","0.326105594381966"
"nicht erwerbstätig","2017","17-34","Ostdeutschland","739","0.330588142910123","0.306915560487208","0.354260725333038"
"nicht erwerbstätig","2017","35-65","Westdeutschland","3575","0.196728787541684","0.190064637316956","0.203392937766411"
"nicht erwerbstätig","2017","35-65","Ostdeutschland","953","0.222203544633351","0.208493268094481","0.235913821172221"
"nicht erwerbstätig","2017","66 +","Westdeutschland","3420","0.914110987159597","0.905173809971716","0.923048164347478"
"nicht erwerbstätig","2017","66 +","Ostdeutschland","1164","","",""
"Andere","2017","17-34","Westdeutschland","1288","","",""
"Andere","2017","17-34","Ostdeutschland","218","","",""
"Andere","2017","35-65","Westdeutschland","863","0.0626011218402789","0.0585401218167978","0.06666212186376"
"Andere","2017","35-65","Ostdeutschland","153","","",""
"Andere","2017","66 +","Westdeutschland","193","","",""
"Andere","2017","66 +","Ostdeutschland","34","0.0206314639914239","0.0126518049495617","0.0286111230332862"
"voll erwerbstätig","2018","17-34","Westdeutschland","1998","","",""
"voll erwerbstätig","2018","17-34","Ostdeutschland","434","0.390242088781243","0.365271609312725","0.415212568249761"
"voll erwerbstätig","2018","35-65","Westdeutschland","5971","0.554075083211091","0.545517970298655","0.562632196123528"
"voll erwerbstätig","2018","35-65","Ostdeutschland","1776","","",""
"voll erwerbstätig","2018","66 +","Westdeutschland","64","0.015689597870696","0.011727965836444","0.0196512299049479"
"voll erwerbstätig","2018","66 +","Ostdeutschland","9","0.014913547633958","0.00816725921253283","0.0216598360553832"
"Teilzeit","2018","17-34","Westdeutschland","611","0.0962417651552072","0.0892850275439384","0.103198502766476"
"Teilzeit","2018","17-34","Ostdeutschland","128","","",""
"Teilzeit","2018","35-65","Westdeutschland","2897","","",""
"Teilzeit","2018","35-65","Ostdeutschland","608","0.160739359551442","0.148427941306372","0.173050777796511"
"Teilzeit","2018","66 +","Westdeutschland","103","","",""
"Teilzeit","2018","66 +","Ostdeutschland","15","","",""
"nicht erwerbstätig","2018","17-34","Westdeutschland","3016","0.295678091404519","0.284913615954288","0.306442566854751"
"nicht erwerbstätig","2018","17-34","Ostdeutschland","665","0.349704095743209","0.325293016831497","0.37411517465492"
"nicht erwerbstätig","2018","35-65","Westdeutschland","3312","0.188214272604873","0.181485140335635","0.194943404874111"
"nicht erwerbstätig","2018","35-65","Ostdeutschland","877","0.210044897724762","0.196391026168124","0.2236987692814"
"nicht erwerbstätig","2018","66 +","Westdeutschland","3404","0.903524278860314","0.894112296134628","0.912936261586001"
"nicht erwerbstätig","2018","66 +","Ostdeutschland","1180","","",""
"Andere","2018","17-34","Westdeutschland","1279","","",""
"Andere","2018","17-34","Ostdeutschland","239","","",""
"Andere","2018","35-65","Westdeutschland","782","0.0544740753884701","0.0505670724606363","0.0583810783163038"
"Andere","2018","35-65","Ostdeutschland","158","","",""
"Andere","2018","66 +","Westdeutschland","209","","",""
"Andere","2018","66 +","Ostdeutschland","36","0.0305967274328687","0.0210109580142363","0.040182496851501"
"voll erwerbstätig","2019","17-34","Westdeutschland","1925","","",""
"voll erwerbstätig","2019","17-34","Ostdeutschland","402","0.396599269448789","0.369715918218287","0.423482620679292"
"voll erwerbstätig","2019","35-65","Westdeutschland","6615","0.54899054101136","0.540542160956221","0.557438921066499"
"voll erwerbstätig","2019","35-65","Ostdeutschland","2010","","",""
"voll erwerbstätig","2019","66 +","Westdeutschland","172","","",""
"voll erwerbstätig","2019","66 +","Ostdeutschland","46","0.0146335989238125","0.00813843409530765","0.0211287637523174"
"Teilzeit","2019","17-34","Westdeutschland","603","0.113665619480103","0.105768102695944","0.121563136264262"
"Teilzeit","2019","17-34","Ostdeutschland","121","","",""
"Teilzeit","2019","35-65","Westdeutschland","2947","","",""
"Teilzeit","2019","35-65","Ostdeutschland","580","0.161278575410363","0.149144142925981","0.173413007894744"
"Teilzeit","2019","66 +","Westdeutschland","151","","",""
"Teilzeit","2019","66 +","Ostdeutschland","31","0.01123505191419","0.0055340681939674","0.0169360356344127"
"nicht erwerbstätig","2019","17-34","Westdeutschland","2491","","",""
"nicht erwerbstätig","2019","17-34","Ostdeutschland","534","0.311761346419212","0.286305637298612","0.337217055539811"
"nicht erwerbstätig","2019","35-65","Westdeutschland","3017","0.185026029013851","0.178432977488902","0.191619080538799"
"nicht erwerbstätig","2019","35-65","Ostdeutschland","792","0.211592633233358","0.198117040708519","0.225068225758196"
"nicht erwerbstätig","2019","66 +","Westdeutschland","3405","0.910742142012571","0.901841717366701","0.91964256665844"
"nicht erwerbstätig","2019","66 +","Ostdeutschland","1186","","",""
"Andere","2019","17-34","Westdeutschland","1186","","",""
"Andere","2019","17-34","Ostdeutschland","215","","",""
"Andere","2019","35-65","Westdeutschland","747","0.0546047423562333","0.0507471167357249","0.0584623679767416"
"Andere","2019","35-65","Ostdeutschland","147","","",""
"Andere","2019","66 +","Westdeutschland","214","","",""
"Andere","2019","66 +","Ostdeutschland","50","0.0270847448526046","0.0183043184115421","0.0358651712936671"
"voll erwerbstätig","2020","17-34","Westdeutschland","2661","","",""
"voll erwerbstätig","2020","17-34","Ostdeutschland","463","0.398716989303026","0.372893014524312","0.42454096408174"
"voll erwerbstätig","2020","35-65","Westdeutschland","6558","0.547835449733748","0.539329123725842","0.556341775741654"
"voll erwerbstätig","2020","35-65","Ostdeutschland","1846","","",""
"voll erwerbstätig","2020","66 +","Westdeutschland","113","","",""
"voll erwerbstätig","2020","66 +","Ostdeutschland","35","0.0146150154451328","0.00798880190090301","0.0212412289893625"
"Teilzeit","2020","17-34","Westdeutschland","602","0.107510053378586","0.100339126438088","0.114680980319084"
"Teilzeit","2020","17-34","Ostdeutschland","142","","",""
"Teilzeit","2020","35-65","Westdeutschland","2869","","",""
"Teilzeit","2020","35-65","Ostdeutschland","575","0.171011386014515","0.158192253551251","0.183830518477778"
"Teilzeit","2020","66 +","Westdeutschland","129","","",""
"Teilzeit","2020","66 +","Ostdeutschland","35","0.0217397307851164","0.0136874834360517","0.0297919781341811"
"nicht erwerbstätig","2020","17-34","Westdeutschland","2672","","",""
"nicht erwerbstätig","2020","17-34","Ostdeutschland","563","0.292961972833501","0.268958268775023","0.31696567689198"
"nicht erwerbstätig","2020","35-65","Westdeutschland","3056","0.187143351208635","0.180477388428147","0.193809313989122"
"nicht erwerbstätig","2020","35-65","Ostdeutschland","773","0.211202374501427","0.197305919208895","0.225098829793959"
"nicht erwerbstätig","2020","66 +","Westdeutschland","3269","0.909015331810207","0.89978119344714","0.918249470173275"
"nicht erwerbstätig","2020","66 +","Ostdeutschland","1144","","",""
"Andere","2020","17-34","Westdeutschland","1233","","",""
"Andere","2020","17-34","Ostdeutschland","213","","",""
"Andere","2020","35-65","Westdeutschland","668","0.0491765209571008","0.0454808137976516","0.0528722281165499"
"Andere","2020","35-65","Ostdeutschland","120","","",""
"Andere","2020","66 +","Westdeutschland","215","","",""
"Andere","2020","66 +","Ostdeutschland","46","0.0317168660629231","0.0220405702614673","0.0413931618643789"
