year,plb0419_h,quintil_oecd,sex,proportion,n,lower_confidence,upper_confidence
2008,Difficult,3rd Quintile,male,0.07514880952380952,23673,0.07179045604861602,0.07850716299900302
2008,Difficult,2nd Quintile,male,0.07068452380952381,23673,0.06741959906468122,0.0739494485543664
2008,Difficult,4th Quintile,male,0.06696428571428571,23673,0.06378008689807968,0.07014848453049174
2008,Difficult,5th Quintile,male,0.049107142857142856,23673,0.04635438793242112,0.05185989778186459
2008,Almost impossible,1st Quintile,female,0.2485981308411215,23673,0.24309240619791858,0.25410385548432446
2008,Almost impossible,1st Quintile,male,0.17383177570093458,23673,0.1690042093753168,0.17865934202655237
2008,Almost impossible,2nd Quintile,female,0.10654205607476636,23673,0.10261174417359796,0.11047236797593475
2008,Almost impossible,3rd Quintile,female,0.09906542056074766,23673,0.09525969826811237,0.10287114285338295
2008,Almost impossible,4th Quintile,female,0.07850467289719626,23673,0.07507838584463021,0.08193095994976231
2008,Almost impossible,2nd Quintile,male,0.07289719626168224,23673,0.06958551308358196,0.07620887943978252
2008,Almost impossible,3rd Quintile,male,0.05794392523364486,23673,0.05496765914937107,0.06092019131791865
2008,Almost impossible,5th Quintile,male,0.056074766355140186,23673,0.053143994874912025,0.05900553783536835
2008,Almost impossible,5th Quintile,female,0.05420560747663551,23673,0.05132124459772908,0.05708997035554195
2008,Almost impossible,4th Quintile,male,0.052336448598130844,23673,0.049499453171965614,0.055173444024296074
2009,Easy,5th Quintile,female,0.15789473684210525,21983,0.15307437534171067,0.16271509834249984
2009,Easy,4th Quintile,female,0.14736842105263157,21983,0.14268249410913472,0.1520543479961284
2009,Easy,3rd Quintile,female,0.10789473684210527,21983,0.10379344407374674,0.11199602961046379
2009,Easy,4th Quintile,male,0.10263157894736842,21983,0.09861978621023552,0.10664337168450132
2009,Easy,5th Quintile,male,0.09736842105263158,21983,0.09344940613292448,0.10128743597233868
2009,Easy,1st Quintile,female,0.09210526315789473,21983,0.08828254249097259,0.09592798382481688
2009,Easy,3rd Quintile,male,0.0868421052631579,21983,0.0831194681555428,0.090564742370773
2009,Easy,2nd Quintile,female,0.08157894736842106,21983,0.07796049754095012,0.08519739719589199
2009,Easy,1st Quintile,male,0.06842105263157895,21983,0.065083583175654,0.0717585220875039
2009,Easy,2nd Quintile,male,0.05789473684210526,21983,0.05480741540482127,0.060982058279389253
2009,Difficult,1st Quintile,female,0.14309764309764308,21983,0.1384685650791107,0.14772672111617546
2009,Difficult,2nd Quintile,female,0.12626262626262627,21983,0.12187185859986253,0.13065339392539
2009,Difficult,3rd Quintile,female,0.12205387205387205,21983,0.11772651923066402,0.1263812248770801
2009,Difficult,1st Quintile,male,0.10858585858585859,21983,0.10447304537410776,0.11269867179760942
2009,Difficult,4th Quintile,female,0.10774410774410774,21983,0.10364533284224837,0.1118428826459671
2009,Difficult,5th Quintile,female,0.09343434343434344,21983,0.08958695981320465,0.09728172705548223
2009,Difficult,3rd Quintile,male,0.0867003367003367,21983,0.08298045068705737,0.09042022271361602
2009,Difficult,4th Quintile,male,0.07828282828282829,21983,0.07473187724061467,0.0818337793250419
2009,Difficult,2nd Quintile,male,0.0723905723905724,21983,0.06896497614759091,0.07581616863355388
2009,Difficult,5th Quintile,male,0.061447811447811446,21983,0.058273167569814904,0.06462245532580799
2009,Almost impossible,1st Quintile,female,0.21747967479674796,21983,0.21202624480538462,0.2229331047881113
2009,Almost impossible,1st Quintile,male,0.17682926829268292,21983,0.1717857380824309,0.18187279850293495
2009,Almost impossible,2nd Quintile,female,0.11585365853658537,21983,0.11162278986361993,0.12008452720955082
2009,Almost impossible,3rd Quintile,female,0.08536585365853659,21983,0.08167201101478642,0.08905969630228676
2009,Almost impossible,4th Quintile,female,0.08536585365853659,21983,0.08167201101478642,0.08905969630228676
