year,bula_h,pli0097_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2003,Hesse,Never,0.91890,1320,21676,0.91866,0.91915
2003,"Rhineland-Palatinate, Saarland",At least once per month,0.03478,48,21676,0.03460,0.03495
2003,"Rhineland-Palatinate, Saarland",Seldom,0.11193,157,21676,0.11163,0.11223
2003,"Rhineland-Palatinate, Saarland",Never,0.85330,1124,21676,0.85296,0.85363
2003,Baden-Wuerttemberg,At least once per month,0.01221,39,21676,0.01214,0.01228
2003,Baden-Wuerttemberg,Seldom,0.08548,195,21676,0.08530,0.08567
2003,Baden-Wuerttemberg,Never,0.90231,2414,21676,0.90211,0.90250
2003,Bavaria,At least once per week,0.01001,38,21676,0.00995,0.01008
2003,Bavaria,At least once per month,0.02316,76,21676,0.02307,0.02326
2003,Bavaria,Seldom,0.08851,321,21676,0.08834,0.08869
2003,Bavaria,Never,0.87831,2661,21676,0.87810,0.87851
2003,Berlin,Seldom,0.08869,72,21676,0.08835,0.08903
2003,Berlin,Never,0.91131,710,21676,0.91097,0.91165
2003,Brandenburg,Seldom,0.10260,88,21676,0.10220,0.10301
2003,Brandenburg,Never,0.89740,817,21676,0.89699,0.89780
2003,Mecklenburg-Western Pomerania,Seldom,0.09704,52,21676,0.09655,0.09754
2003,Mecklenburg-Western Pomerania,Never,0.90296,449,21676,0.90246,0.90345
2003,Saxony,At least once per month,0.01893,32,21676,0.01879,0.01907
2003,Saxony,Seldom,0.07377,124,21676,0.07351,0.07403
2003,Saxony,Never,0.90730,1431,21676,0.90701,0.90759
2003,Saxony-Anhalt,Seldom,0.05867,65,21676,0.05835,0.05898
2003,Saxony-Anhalt,Never,0.94133,844,21676,0.94102,0.94165
2003,Thuringa,Seldom,0.07621,80,21676,0.07583,0.07658
2003,Thuringa,Never,0.92379,846,21676,0.92342,0.92417
2005,Schleswig-Holstein,At least once per month,0.06559,46,20206,0.06529,0.06589
2005,Schleswig-Holstein,Seldom,0.25815,154,20206,0.25762,0.25869
2005,Schleswig-Holstein,Never,0.67625,429,20206,0.67568,0.67682
2005,Hamburg,Never,1.00000,266,20206,1.00000,1.00000
2005,Lower Saxony,At least once per month,0.02562,39,20206,0.02550,0.02574
2005,Lower Saxony,Seldom,0.05314,108,20206,0.05297,0.05332
2005,Lower Saxony,Never,0.92123,1606,20206,0.92103,0.92144
2005,Bremen,Never,1.00000,125,20206,1.00000,1.00000
2005,North Rhine-Westphalia,At least once per week,0.00766,47,20206,0.00762,0.00771
2005,North Rhine-Westphalia,At least once per month,0.00885,51,20206,0.00880,0.00890
2005,North Rhine-Westphalia,Seldom,0.05017,234,20206,0.05006,0.05028
2005,North Rhine-Westphalia,Never,0.93332,3990,20206,0.93319,0.93345
2005,Hesse,Seldom,0.06815,83,20206,0.06793,0.06838
2005,Hesse,Never,0.93185,1229,20206,0.93162,0.93207
2005,"Rhineland-Palatinate, Saarland",At least once per month,0.02475,36,20206,0.02460,0.02490
2005,"Rhineland-Palatinate, Saarland",Seldom,0.07488,94,20206,0.07462,0.07513
2005,"Rhineland-Palatinate, Saarland",Never,0.90037,1087,20206,0.90008,0.90066
2005,Baden-Wuerttemberg,Seldom,0.07164,169,20206,0.07146,0.07181
2005,Baden-Wuerttemberg,Never,0.92836,2279,20206,0.92819,0.92854
2005,Bavaria,At least once per week,0.01002,36,20206,0.00995,0.01008
2005,Bavaria,At least once per month,0.02191,51,20206,0.02182,0.02200
2005,Bavaria,Seldom,0.07523,234,20206,0.07507,0.07540
2005,Bavaria,Never,0.89285,2545,20206,0.89265,0.89304
2005,Berlin,Seldom,0.07006,48,20206,0.06976,0.07035
