year,pgisced97,quintil_oecd,pli0097_h,proportion,n,lower_confidence,upper_confidence
2015,middle vocational,1. Quintil,Min 1x pro Woche,0.0002689824777128804,38036,0.00010418057170371247,0.0004337843837220483
2015,higher vocational,3. Quintil,Min 1x pro Monat,0.0002689824777128804,38036,0.00010418057170371247,0.0004337843837220483
2015,vocational + Abi,2. Quintil,Seltener,0.00023055640946818322,38036,7.797656017800568e-05,0.0003831362587583607
2015,vocational + Abi,1. Quintil,Seltener,0.00023055640946818322,38036,7.797656017800568e-05,0.0003831362587583607
2015,general elemantary,4. Quintil,Min 1x pro Monat,0.00023055640946818322,38036,7.797656017800568e-05,0.0003831362587583607
2015,in school,5. Quintil,Seltener,0.00023055640946818322,38036,7.797656017800568e-05,0.0003831362587583607
2015,vocational + Abi,5. Quintil,Min 1x pro Woche,0.000192130341223486,38036,5.284195573604695e-05,0.00033141872671092504
2015,higher education,2. Quintil,Min 1x pro Woche,0.000192130341223486,38036,5.284195573604695e-05,0.00033141872671092504
2015,middle vocational,2. Quintil,Min 1x pro Woche,0.000192130341223486,38036,5.284195573604695e-05,0.00033141872671092504
2015,vocational + Abi,4. Quintil,Min 1x pro Woche,0.0001537042729787888,38036,2.9118559547805755e-05,0.0002782899864097718
2015,vocational + Abi,4. Quintil,Min 1x pro Monat,0.0001537042729787888,38036,2.9118559547805755e-05,0.0002782899864097718
2015,general elemantary,5. Quintil,Min 1x pro Woche,0.0001537042729787888,38036,2.9118559547805755e-05,0.0002782899864097718
2015,vocational + Abi,3. Quintil,Min 1x pro Monat,0.0001537042729787888,38036,2.9118559547805755e-05,0.0002782899864097718
2015,inadequately,1. Quintil,Seltener,0.0001537042729787888,38036,2.9118559547805755e-05,0.0002782899864097718
2015,higher education,3. Quintil,Min 1x pro Woche,0.0001537042729787888,38036,2.9118559547805755e-05,0.0002782899864097718
2015,general elemantary,2. Quintil,Min 1x pro Woche,0.00011527820473409161,38036,7.3817386768472855e-06,0.00022317467079133592
2015,general elemantary,3. Quintil,Min 1x pro Monat,0.00011527820473409161,38036,7.3817386768472855e-06,0.00022317467079133592
2015,in school,1. Quintil,Seltener,0.00011527820473409161,38036,7.3817386768472855e-06,0.00022317467079133592
2015,higher vocational,2. Quintil,Min 1x pro Monat,0.00011527820473409161,38036,7.3817386768472855e-06,0.00022317467079133592
2015,vocational + Abi,3. Quintil,Min 1x pro Woche,0.00011527820473409161,38036,7.3817386768472855e-06,0.00022317467079133592
2015,inadequately,2. Quintil,Seltener,0.00011527820473409161,38036,7.3817386768472855e-06,0.00022317467079133592
2015,general elemantary,1. Quintil,Min 1x pro Monat,0.00011527820473409161,38036,7.3817386768472855e-06,0.00022317467079133592
2015,in school,2. Quintil,Seltener,7.68521364893944e-05,38036,-1.124665193191475e-05,0.00016495092491070355
2015,in school,4. Quintil,Min 1x pro Monat,7.68521364893944e-05,38036,-1.124665193191475e-05,0.00016495092491070355
2015,vocational + Abi,1. Quintil,Min 1x pro Monat,7.68521364893944e-05,38036,-1.124665193191475e-05,0.00016495092491070355
2015,higher vocational,4. Quintil,Min 1x pro Woche,7.68521364893944e-05,38036,-1.124665193191475e-05,0.00016495092491070355
2015,inadequately,3. Quintil,Min 1x pro Monat,7.68521364893944e-05,38036,-1.124665193191475e-05,0.00016495092491070355
2015,higher vocational,3. Quintil,Min 1x pro Woche,7.68521364893944e-05,38036,-1.124665193191475e-05,0.00016495092491070355
2015,inadequately,3. Quintil,Seltener,7.68521364893944e-05,38036,-1.124665193191475e-05,0.00016495092491070355
2015,general elemantary,2. Quintil,Min 1x pro Monat,7.68521364893944e-05,38036,-1.124665193191475e-05,0.00016495092491070355
2015,higher vocational,1. Quintil,Seltener,7.68521364893944e-05,38036,-1.124665193191475e-05,0.00016495092491070355
2015,general elemantary,3. Quintil,Min 1x pro Woche,7.68521364893944e-05,38036,-1.124665193191475e-05,0.00016495092491070355
2015,in school,3. Quintil,Min 1x pro Woche,3.84260682446972e-05,38036,-2.3870379423597406e-05,0.0001007225159129918
2015,general elemantary,4. Quintil,Min 1x pro Woche,3.84260682446972e-05,38036,-2.3870379423597406e-05,0.0001007225159129918
2015,inadequately,4. Quintil,Seltener,3.84260682446972e-05,38036,-2.3870379423597406e-05,0.0001007225159129918
2015,in school,2. Quintil,Min 1x pro Woche,3.84260682446972e-05,38036,-2.3870379423597406e-05,0.0001007225159129918
2015,in school,3. Quintil,Min 1x pro Monat,3.84260682446972e-05,38036,-2.3870379423597406e-05,0.0001007225159129918
2015,in school,5. Quintil,Min 1x pro Monat,3.84260682446972e-05,38036,-2.3870379423597406e-05,0.0001007225159129918
2015,inadequately,1. Quintil,Min 1x pro Monat,3.84260682446972e-05,38036,-2.3870379423597406e-05,0.0001007225159129918
2015,higher education,1. Quintil,Min 1x pro Woche,3.84260682446972e-05,38036,-2.3870379423597406e-05,0.0001007225159129918
2015,higher vocational,1. Quintil,Min 1x pro Monat,3.84260682446972e-05,38036,-2.3870379423597406e-05,0.0001007225159129918
2015,inadequately,2. Quintil,Min 1x pro Monat,3.84260682446972e-05,38036,-2.3870379423597406e-05,0.0001007225159129918
2015,inadequately,4. Quintil,Min 1x pro Woche,3.84260682446972e-05,38036,-2.3870379423597406e-05,0.0001007225159129918
2015,vocational + Abi,2. Quintil,Min 1x pro Monat,3.84260682446972e-05,38036,-2.3870379423597406e-05,0.0001007225159129918
2015,vocational + Abi,2. Quintil,Min 1x pro Woche,3.84260682446972e-05,38036,-2.3870379423597406e-05,0.0001007225159129918
2015,general elemantary,5. Quintil,Min 1x pro Monat,3.84260682446972e-05,38036,-2.3870379423597406e-05,0.0001007225159129918
2015,inadequately,5. Quintil,Min 1x pro Monat,3.84260682446972e-05,38036,-2.3870379423597406e-05,0.0001007225159129918
2017,higher education,5. Quintil,Nie,0.1346526217953683,45410,0.13151295927632717,0.13779228431440943
2017,middle vocational,5. Quintil,Nie,0.12609402834792038,45410,0.12304079544672819,0.12914726124911258
2017,middle vocational,4. Quintil,Nie,0.12171791495623886,45410,0.11871062998012391,0.12472519993235381
2017,middle vocational,3. Quintil,Nie,0.0925180079002401,45410,0.08985291431011763,0.09518310149036258
2017,middle vocational,2. Quintil,Nie,0.057238014096506855,45410,0.055101412097809076,0.059374616095204634
2017,higher education,4. Quintil,Nie,0.04484548059793974,45410,0.042941877165691505,0.04674908403018797
2017,middle vocational,1. Quintil,Nie,0.033498567113314226,45410,0.0318435797317196,0.035153554494908854
2017,vocational + Abi,5. Quintil,Nie,0.029742080396561073,45410,0.028179617942060933,0.03130454285106121
2017,higher vocational,5. Quintil,Nie,0.02571450700952676,45410,0.02425867072372613,0.027170343295327387
2017,general elemantary,2. Quintil,Nie,0.024242893656571916,45410,0.022828261877586537,0.025657525435557296
2017,general elemantary,3. Quintil,Nie,0.023429633645728448,45410,0.022038352690812363,0.024820914600644534
2017,higher education,3. Quintil,Nie,0.021725660289675472,45410,0.02038475796508497,0.023066562614265974
2017,vocational + Abi,4. Quintil,Nie,0.021609480288126405,45410,0.020272088662571956,0.022946871913680854
2017,general elemantary,4. Quintil,Nie,0.021454573619394315,45410,0.020121878644698957,0.022787268594089673
2017,general elemantary,1. Quintil,Nie,0.018472620246301603,45410,0.017234120902218437,0.019711119590384768
2017,vocational + Abi,3. Quintil,Nie,0.015335760204476802,45410,0.014205503588388065,0.01646601682056554
2017,higher vocational,4. Quintil,Nie,0.01370924018278987,45410,0.012639718742266833,0.014778761623312906
2017,higher education,5. Quintil,Seltener,0.01355433351405778,45410,0.012490788223574207,0.014617878804541354
2017,general elemantary,5. Quintil,Nie,0.013283246843776625,45410,0.012230246063398993,0.014336247624154258
2017,higher education,2. Quintil,Nie,0.010494926806599024,45410,0.009557625893651467,0.01143222771954658
2017,middle vocational,5. Quintil,Seltener,0.009255673456742313,45410,0.008374898151673242,0.010136448761811384
2017,vocational + Abi,2. Quintil,Nie,0.008093873441251646,45410,0.0072697470698964185,0.008917999812606874
2017,higher vocational,3. Quintil,Nie,0.00782278677097049,45410,0.007012468388794261,0.00863310515314672
