year,bula_h,sex,plg0267_h,proportion,n,lower_confidence,upper_confidence
2015,Sachsen-Anhalt,maennlich,Weiterbildung / Umschulung,0.001183431952662722,38036,0.0008379119723002153,0.0015289519330252284
2015,Mecklenburg-Vorpommern,maennlich,Hochschule,0.0007889546351084812,38036,0.0005067830479123917,0.0010711262223045707
2015,Bremen,weiblich,Berufliche Ausbildung,0.0007889546351084812,38036,0.0005067830479123917,0.0010711262223045707
2015,Hamburg,maennlich,Weiterbildung / Umschulung,0.0007889546351084812,38036,0.0005067830479123917,0.0010711262223045707
2015,Brandenburg,maennlich,Weiterbildung / Umschulung,0.0007889546351084812,38036,0.0005067830479123917,0.0010711262223045707
2015,Bremen,maennlich,Allgemeinbildende Schule,0.0007889546351084812,38036,0.0005067830479123917,0.0010711262223045707
2015,Thüringen,maennlich,Weiterbildung / Umschulung,0.0003944773175542406,38036,0.00019491249347229473,0.0005940421416361865
2015,Hamburg,weiblich,Weiterbildung / Umschulung,0.0003944773175542406,38036,0.00019491249347229473,0.0005940421416361865
2016,Nordrhein-Westfalen,maennlich,Berufliche Ausbildung,0.043241137514608494,41132,0.04127544329869789,0.0452068317305191
2016,Nordrhein-Westfalen,maennlich,Hochschule,0.04285157771717959,41132,0.0408943596777742,0.044808795756584974
2016,Nordrhein-Westfalen,weiblich,Hochschule,0.04090377873003506,41132,0.038989615528548946,0.04281794193152118
2016,Nordrhein-Westfalen,weiblich,Berufliche Ausbildung,0.03272302298402805,41132,0.03100365715229927,0.034442388815756834
2016,Bayern,weiblich,Berufliche Ausbildung,0.0292169848071679,41132,0.02758939508094493,0.03084457453339087
2016,Bayern,weiblich,Hochschule,0.0292169848071679,41132,0.02758939508094493,0.03084457453339087
2016,Nordrhein-Westfalen,weiblich,Allgemeinbildende Schule,0.02843786521231009,41132,0.026831479089364986,0.030044251335255193
2016,Bayern,maennlich,Berufliche Ausbildung,0.026879626022594468,41132,0.025316618560219255,0.02844263348496968
2016,Niedersachsen,maennlich,Berufliche Ausbildung,0.025710946630307752,41132,0.02418137752590292,0.027240515734712586
2016,Baden-Württemberg,maennlich,Hochschule,0.02337358784573432,41132,0.021913452610404192,0.02483372308106445
2016,Niedersachsen,weiblich,Berufliche Ausbildung,0.022204908453447605,41132,0.020780893408567064,0.023628923498328146
2016,Nordrhein-Westfalen,maennlich,Allgemeinbildende Schule,0.0218153486560187,41132,0.02040359910276065,0.02322709820927675
2016,Niedersachsen,weiblich,Hochschule,0.019867549668874173,41132,0.018518957307143757,0.02121614203060459
