year,pgisced97,quintil_oecd,plh0184,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,Upper Secondary Level,5th Quintile,Very seldom,0.008375094861827038,184,16717,0.008352584338647502,0.008397605385006574
2009,Upper Secondary Level,5th Quintile,Seldom,0.023241158821686158,454,16717,0.02320394197501394,0.023278375668358376
2009,Upper Secondary Level,5th Quintile,Sometimes,0.03895739174033846,746,16717,0.03890959665227883,0.039005186828398083
2009,Upper Secondary Level,5th Quintile,Often,0.015223611372266221,287,16717,0.01519336699362651,0.015253855750905931
2009,Upper Secondary Level,5th Quintile,Very often,0.003409339957802281,63,16717,0.0033949416793222615,0.0034237382362823005
2009,Post-secondary Non-tertiary Level,1st Quintile,Sometimes,0.003984480081383307,52,16717,0.003968919139118031,0.004000041023648582
2009,Post-secondary Non-tertiary Level,2nd Quintile,Sometimes,0.004753948545358405,68,16717,0.00473695791551345,0.004770939175203361
2009,Post-secondary Non-tertiary Level,2nd Quintile,Often,0.002313966687847906,39,16717,0.0023020982787988233,0.0023258350968969888
2009,Post-secondary Non-tertiary Level,3rd Quintile,Seldom,0.0029058405705924494,36,16717,0.002892544571213235,0.0029191365699716637
2009,Post-secondary Non-tertiary Level,3rd Quintile,Sometimes,0.006486901085110023,93,16717,0.006467071097399731,0.006506731072820315
2009,Post-secondary Non-tertiary Level,3rd Quintile,Often,0.0034154249033795233,51,16717,0.003401013825693048,0.003429835981065999
2009,Post-secondary Non-tertiary Level,4th Quintile,Seldom,0.0038107815044075488,62,16717,0.003795562194820186,0.0038260008139949114
2009,Post-secondary Non-tertiary Level,4th Quintile,Sometimes,0.006618731037152246,96,16717,0.00659870189455716,0.006638760179747331
2009,Post-secondary Non-tertiary Level,4th Quintile,Often,0.0027844202400285623,52,16717,0.0027714041984576044,0.00279743628159952
2009,Post-secondary Non-tertiary Level,5th Quintile,Seldom,0.0034910983932783793,74,16717,0.0034765290946778306,0.003505667691878928
2009,Post-secondary Non-tertiary Level,5th Quintile,Sometimes,0.007336107240079613,120,16717,0.007315028193832133,0.007357186286327093
2009,Post-secondary Non-tertiary Level,5th Quintile,Often,0.0041082210201072765,73,16717,0.0040924212785769815,0.0041240207616375715
2009,First Stage of Tertiary Education,1st Quintile,Seldom,0.0027642242306917756,33,16717,0.0027512553478035145,0.0027771931135800367
2009,First Stage of Tertiary Education,1st Quintile,Sometimes,0.0028519505569087615,41,16717,0.0028387780684553028,0.0028651230453622203
2009,First Stage of Tertiary Education,2nd Quintile,Seldom,0.002532281263650369,48,16717,0.0025198669588526075,0.00254469556844813
2009,First Stage of Tertiary Education,2nd Quintile,Sometimes,0.004949541935646054,83,16717,0.004932207006750956,0.004966876864541152
2009,First Stage of Tertiary Education,2nd Quintile,Often,0.002180240193334972,38,16717,0.0021687190592945744,0.00219176132737537
2009,First Stage of Tertiary Education,3rd Quintile,Very seldom,0.0021455169958543127,33,16717,0.0021340877758017902,0.0021569462159068352
2009,First Stage of Tertiary Education,3rd Quintile,Seldom,0.003642440131814762,70,16717,0.0036275595185509494,0.0036573207450785747
2009,First Stage of Tertiary Education,3rd Quintile,Sometimes,0.00867509116009887,132,16717,0.008652184485765385,0.008697997834432354
2009,First Stage of Tertiary Education,3rd Quintile,Often,0.0035207262906164325,53,16717,0.003506095517515597,0.003535357063717268
2009,First Stage of Tertiary Education,4th Quintile,Seldom,0.005067674089443245,84,16717,0.005050134552732083,0.005085213626154407
2009,First Stage of Tertiary Education,4th Quintile,Sometimes,0.008370533058557318,129,16717,0.008348028615041,0.008393037502073637
2009,First Stage of Tertiary Education,4th Quintile,Often,0.003576163747001078,69,16717,0.003561418645696344,0.003590908848305812
2009,First Stage of Tertiary Education,5th Quintile,Very seldom,0.0014702152564872316,34,16717,0.001460750967713969,0.0014796795452604941
2009,First Stage of Tertiary Education,5th Quintile,Seldom,0.004100915654770807,90,16717,0.004085129909387134,0.00411670140015448
2009,First Stage of Tertiary Education,5th Quintile,Sometimes,0.009654744209424146,165,16717,0.009630590674077386,0.009678897744770907
2009,First Stage of Tertiary Education,5th Quintile,Often,0.004063972386051927,62,16717,0.004048257613334007,0.004079687158769847
2009,Second Stage of Tertiary Education,1st Quintile,Seldom,0.003105902692054699,40,16717,0.003092157986414221,0.003119647397695177
2009,Second Stage of Tertiary Education,1st Quintile,Sometimes,0.006907910960301366,93,16717,0.006887451925777388,0.006928369994825344
2009,Second Stage of Tertiary Education,1st Quintile,Often,0.002905580095786992,50,16717,0.002892284690600368,0.0029188755009736164
2009,Second Stage of Tertiary Education,2nd Quintile,Very seldom,0.002018941805359987,34,16717,0.0020078541413213885,0.002030029469398585
2009,Second Stage of Tertiary Education,2nd Quintile,Seldom,0.005087621059453839,87,16717,0.005070047213956592,0.005105194904951086
2009,Second Stage of Tertiary Education,2nd Quintile,Sometimes,0.008168468298788964,124,16717,0.00814623487848864,0.008190701719089288
2009,Second Stage of Tertiary Education,2nd Quintile,Often,0.003997484127219658,57,16717,0.00398189791446268,0.004013070339976637
2009,Second Stage of Tertiary Education,3rd Quintile,Very seldom,0.003566592409683231,64,16717,0.00355186698296124,0.0035813178364052217
2009,Second Stage of Tertiary Education,3rd Quintile,Seldom,0.0083175318357342,144,16717,0.008295098153592799,0.008339965517875601
2009,Second Stage of Tertiary Education,3rd Quintile,Sometimes,0.012508776976515559,247,16717,0.012481323897799719,0.012536230055231398
2009,Second Stage of Tertiary Education,3rd Quintile,Often,0.0046841203324505505,92,16717,0.0046672543557249565,0.004700986309176145
2009,Second Stage of Tertiary Education,4th Quintile,Very seldom,0.0037602593981932025,67,16717,0.00374514092820286,0.003775377868183545
2009,Second Stage of Tertiary Education,4th Quintile,Seldom,0.012856630914333228,216,16717,0.012828803637211852,0.012884458191454604
2009,Second Stage of Tertiary Education,4th Quintile,Sometimes,0.019142251681787188,350,16717,0.0191084049661196,0.019176098397454776
2009,Second Stage of Tertiary Education,4th Quintile,Often,0.006806137894895695,138,16717,0.0067858290887609736,0.006826446701030417
2009,Second Stage of Tertiary Education,5th Quintile,Very seldom,0.009802856536851163,224,16717,0.009778520258363833,0.009827192815338493
2009,Second Stage of Tertiary Education,5th Quintile,Seldom,0.023919657095159724,599,16717,0.023881914021332693,0.023957400168986755
2009,Second Stage of Tertiary Education,5th Quintile,Sometimes,0.03921085977352888,896,16717,0.03916291577693034,0.03925880377012742
2009,Second Stage of Tertiary Education,5th Quintile,Often,0.01598733001373695,348,16717,0.015956348308078537,0.016018311719395363
2009,Second Stage of Tertiary Education,5th Quintile,Very often,0.0033204927957913247,65,16717,0.003306282731459864,0.0033347028601227856
2010,Primary Level,1st Quintile,Sometimes,0.0032427893402668423,39,15255,0.003227957406452485,0.0032576212740811996
2010,Lower Secondary Level,1st Quintile,Very seldom,0.0065793979627175175,70,15255,0.0065583066613811285,0.0066004892640539065
2010,Lower Secondary Level,1st Quintile,Seldom,0.011484688255534987,139,15255,0.011456891441389281,0.011512485069680693
2010,Lower Secondary Level,1st Quintile,Sometimes,0.018120545526366518,229,15255,0.01808574719352151,0.018155343859211526
2010,Lower Secondary Level,1st Quintile,Often,0.006192046581036027,90,15255,0.0061715815664351885,0.006212511595636866
2010,Lower Secondary Level,2nd Quintile,Very seldom,0.004946833461472486,57,15255,0.004928530114806011,0.004965136808138962
2010,Lower Secondary Level,2nd Quintile,Seldom,0.009633940357699978,115,15255,0.009608457767608478,0.009659422947791478
2010,Lower Secondary Level,2nd Quintile,Sometimes,0.015524735807048065,180,15255,0.01549248368973328,0.01555698792436285
2010,Lower Secondary Level,2nd Quintile,Often,0.005235519596143411,60,15255,0.005216692482373351,0.005254346709913471
2010,Lower Secondary Level,3rd Quintile,Very seldom,0.0034790227289762266,43,15255,0.003463661867487478,0.0034943835904649753
2010,Lower Secondary Level,3rd Quintile,Seldom,0.006640084933561771,81,15255,0.006618897231850327,0.006661272635273216
2010,Lower Secondary Level,3rd Quintile,Sometimes,0.010719783188688398,114,15255,0.010692917598824608,0.010746648778552189
2010,Lower Secondary Level,3rd Quintile,Often,0.004868980015000289,61,15255,0.004850820558532216,0.004887139471468363
2010,Lower Secondary Level,4th Quintile,Seldom,0.005115010745898214,64,15255,0.005096400443424379,0.00513362104837205
2010,Lower Secondary Level,4th Quintile,Sometimes,0.00536020845202316,81,15255,0.005341159658610619,0.005379257245435701
2010,Lower Secondary Level,5th Quintile,Seldom,0.002396034540303204,35,15255,0.002383279867032854,0.0024087892135735544
2010,Lower Secondary Level,5th Quintile,Sometimes,0.0023133581603144585,38,15255,0.0023008249526840436,0.0023258913679448734
2010,Upper Secondary Level,1st Quintile,Very seldom,0.012950674022445017,171,15255,0.012921178280055692,0.012980169764834341
2010,Upper Secondary Level,1st Quintile,Seldom,0.029373482994809713,404,15255,0.029329432832131876,0.02941753315748755
2010,Upper Secondary Level,1st Quintile,Sometimes,0.0396536567590081,568,15255,0.0396027472061704,0.0397045663118458
2010,Upper Secondary Level,1st Quintile,Often,0.015416622053616292,255,15255,0.015384480669130602,0.01544876343810198
2010,Upper Secondary Level,1st Quintile,Very often,0.003786441291203712,56,15255,0.0037704185965896056,0.0038024639858178183
2010,Upper Secondary Level,2nd Quintile,Very seldom,0.017310903911125875,255,15255,0.01727687785148944,0.01734492997076231
2010,Upper Secondary Level,2nd Quintile,Seldom,0.03148360277571288,434,15255,0.03143804742247823,0.031529158128947535
2010,Upper Secondary Level,2nd Quintile,Sometimes,0.05097771154718632,781,15255,0.05092033002149557,0.05103509307287707
2010,Upper Secondary Level,2nd Quintile,Often,0.01812961720512032,260,15255,0.018094810323623277,0.018164424086617365
