year,age_gr,bula_h,pli0095_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1988,30-45 y.,"Rhineland-Palatinate, Saarland",Seldom,0.62237,90,9041,0.62108,0.62366
1988,30-45 y.,Baden-Wuerttemberg,At least once per week,0.07072,40,9041,0.07035,0.07108
1988,30-45 y.,Baden-Wuerttemberg,At least once per month,0.25016,145,9041,0.24954,0.25078
1988,30-45 y.,Baden-Wuerttemberg,Seldom,0.52037,247,9041,0.51966,0.52108
1988,30-45 y.,Baden-Wuerttemberg,Never,0.15875,118,9041,0.15823,0.15928
1988,30-45 y.,Bavaria,At least once per week,0.09253,55,9041,0.09217,0.09290
1988,30-45 y.,Bavaria,At least once per month,0.24768,128,9041,0.24713,0.24822
1988,30-45 y.,Bavaria,Seldom,0.53268,250,9041,0.53206,0.53331
1988,30-45 y.,Bavaria,Never,0.12711,68,9041,0.12669,0.12753
1988,30-45 y.,Berlin,At least once per month,0.45111,33,9041,0.44935,0.45286
1988,30-45 y.,Berlin,Seldom,0.54889,40,9041,0.54714,0.55065
1988,46-65 y.,Schleswig-Holstein,Seldom,1.00000,51,9041,1.00000,1.00000
1988,46-65 y.,Lower Saxony,At least once per month,0.20505,70,9041,0.20447,0.20563
1988,46-65 y.,Lower Saxony,Seldom,0.63588,201,9041,0.63519,0.63658
1988,46-65 y.,Lower Saxony,Never,0.15907,52,9041,0.15854,0.15960
1988,46-65 y.,North Rhine-Westphalia,At least once per week,0.05568,55,9041,0.05546,0.05590
1988,46-65 y.,North Rhine-Westphalia,At least once per month,0.15860,128,9041,0.15824,0.15895
1988,46-65 y.,North Rhine-Westphalia,Seldom,0.51087,410,9041,0.51039,0.51135
1988,46-65 y.,North Rhine-Westphalia,Never,0.27486,207,9041,0.27443,0.27529
1988,46-65 y.,Hesse,At least once per week,0.14035,52,9041,0.13979,0.14091
1988,46-65 y.,Hesse,At least once per month,0.17381,52,9041,0.17320,0.17442
1988,46-65 y.,Hesse,Seldom,0.46098,127,9041,0.46018,0.46178
1988,46-65 y.,Hesse,Never,0.22486,85,9041,0.22419,0.22553
1988,46-65 y.,"Rhineland-Palatinate, Saarland",At least once per month,0.24823,56,9041,0.24748,0.24898
1988,46-65 y.,"Rhineland-Palatinate, Saarland",Seldom,0.55811,136,9041,0.55725,0.55897
1988,46-65 y.,"Rhineland-Palatinate, Saarland",Never,0.19366,42,9041,0.19297,0.19435
1988,46-65 y.,Baden-Wuerttemberg,At least once per week,0.09230,61,9041,0.09194,0.09266
1988,46-65 y.,Baden-Wuerttemberg,At least once per month,0.21380,131,9041,0.21329,0.21430
1988,46-65 y.,Baden-Wuerttemberg,Seldom,0.49906,261,9041,0.49844,0.49968
1988,46-65 y.,Baden-Wuerttemberg,Never,0.19484,136,9041,0.19435,0.19533
1988,46-65 y.,Bavaria,At least once per week,0.11060,58,9041,0.11023,0.11097
1988,46-65 y.,Bavaria,At least once per month,0.21908,113,9041,0.21859,0.21956
1988,46-65 y.,Bavaria,Seldom,0.43228,202,9041,0.43169,0.43286
