year,rentown,hgseval,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1996,Tenant,A Bit Too Small,0.2235209923664122,6631,0.21349354074579702,0.2335484439870274
1996,Tenant,A Bit Too Large,0.05629770992366412,6631,0.05074979967864424,0.061845620168683994
1996,Tenant,Much Too Small,0.04317748091603053,6631,0.03828520545818737,0.048069756373873694
1996,Tenant,Much Too Large,0.004293893129770993,6631,0.002720063351324919,0.005867722908217066
1997,Owner,Just Right,0.7683429513602638,6546,0.7581225397620786,0.778563362958449
1997,Owner,A Bit Too Large,0.12201154163231658,6546,0.11408264179546221,0.12994044146917094
1997,Owner,A Bit Too Small,0.09274525968672712,6546,0.08571812051670048,0.09977239885675375
1997,Owner,Much Too Large,0.011129431162407255,6546,0.008588023819469347,0.013670838505345163
1997,Owner,Much Too Small,0.005770816158285243,6546,0.003935842036346908,0.007605790280223578
1997,Tenant,Just Right,0.68762278978389,6546,0.6763952947182004,0.6988502848495797
1997,Tenant,A Bit Too Small,0.2193025540275049,6546,0.20927877936686248,0.2293263286881473
1997,Tenant,A Bit Too Large,0.0550098231827112,6546,0.04948648236241935,0.06053316400300305
1997,Tenant,Much Too Small,0.03536345776031434,6546,0.03088913522733109,0.03983778029329759
1997,Tenant,Much Too Large,0.0027013752455795677,6546,0.001443976163809223,0.003958774327349913
1998,Owner,Just Right,0.7545454545454545,7417,0.7447512273300088,0.7643396817609003
1998,Owner,A Bit Too Large,0.13776223776223775,7417,0.12991854550989762,0.1456059300145779
1998,Owner,A Bit Too Small,0.08461538461538462,7417,0.07828152544562687,0.09094924378514237
1998,Owner,Much Too Large,0.016783216783216783,7417,0.013859709530507068,0.019706724035926496
1998,Owner,Much Too Small,0.006293706293706294,7417,0.004493906539916614,0.008093506047495974
1998,Tenant,Just Right,0.6884353741496598,7417,0.6778952047130435,0.6989755435862761
1998,Tenant,A Bit Too Small,0.20612244897959184,7417,0.19691622918292248,0.2153286687762612
1998,Tenant,A Bit Too Large,0.06303854875283446,7417,0.05750752024671746,0.06856957725895146
1998,Tenant,Much Too Small,0.03945578231292517,7417,0.03502524965391419,0.043886314971936145
1998,Tenant,Much Too Large,0.0029478458049886623,7417,0.0017140216982219824,0.004181669911755342
1999,Owner,Just Right,0.7725834797891037,7143,0.7628627368188615,0.7823042227593459
1999,Owner,A Bit Too Large,0.1272407732864675,7143,0.11951261300729564,0.13496893356563933
1999,Owner,A Bit Too Small,0.08646748681898067,7143,0.07994963971018591,0.09298533392777543
1999,Owner,Much Too Large,0.009490333919156414,7143,0.007241870366844772,0.011738797471468058
1999,Owner,Much Too Small,0.00421792618629174,7143,0.0027149663126621185,0.005720886059921362
1999,Tenant,Just Right,0.7032606145906638,7143,0.6926665774621077,0.7138546517192199
1999,Tenant,A Bit Too Small,0.2043162092423176,7143,0.19496565372863287,0.21366676475600235
1999,Tenant,A Bit Too Large,0.05747126436781609,7143,0.05207381692606813,0.06286871180956406
1999,Tenant,Much Too Small,0.03166783954961295,7143,0.027606800718236183,0.03572887838098972
1999,Tenant,Much Too Large,0.003284072249589491,7143,0.001957265118476559,0.004610879380702423
2000,Owner,Just Right,0.7725388601036269,12950,0.7653188973025811,0.7797588229046728
2000,Owner,A Bit Too Large,0.13557858376511225,12950,0.12968228484228903,0.14147488268793548
2000,Owner,A Bit Too Small,0.07115716753022452,12950,0.06672922851958667,0.07558510654086238
2000,Owner,Much Too Large,0.015716753022452505,12950,0.013574540034423311,0.0178589660104817
2000,Owner,Much Too Small,0.005008635578583765,12950,0.0037927560120579584,0.006224515145109572
2000,Tenant,Just Right,0.7180355630821338,12950,0.7102857481345463,0.7257853780297213
2000,Tenant,A Bit Too Small,0.19658481512842224,12950,0.189739929604201,0.20342970065264349
2000,Tenant,A Bit Too Large,0.053909116567880326,12950,0.050019393133200474,0.05779884000256018
2000,Tenant,Much Too Small,0.029635901778154106,12950,0.026715130020733707,0.0325566735355745
2000,Tenant,Much Too Large,0.00183460344340954,12950,0.0010975592240899824,0.0025716476627290976
2001,Owner,Just Right,0.7683648158748331,11680,0.7607137727749682,0.7760158589746979
2001,Owner,A Bit Too Large,0.13623354321694334,11680,0.13001233347496707,0.1424547529589196
2001,Owner,A Bit Too Small,0.07613050944476245,11680,0.07132079458125136,0.08094022430827354
2001,Owner,Much Too Large,0.014119442854417096,11680,0.011979729580348566,0.016259156128485625
2001,Owner,Much Too Small,0.005151688609044075,11680,0.003853350257869176,0.006450026960218975
2001,Tenant,Just Right,0.7253366739743188,11680,0.7172418985287577,0.7334314494198798
2001,Tenant,A Bit Too Small,0.18916379580331977,11680,0.18206114888363562,0.19626644272300392
2001,Tenant,A Bit Too Large,0.05433761352959599,11680,0.05022656136079681,0.05844866569839517
2001,Tenant,Much Too Small,0.028499843407453804,11680,0.025482134642172097,0.03151755217273551
2001,Tenant,Much Too Large,0.002662073285311619,11680,0.0017276023010309783,0.0035965442695922597
2002,Owner,Just Right,0.732761578044597,12212,0.7249129550674108,0.7406102010217831
2002,Owner,A Bit Too Large,0.1502572898799314,12212,0.14391969939545057,0.15659488036441221
2002,Owner,A Bit Too Small,0.08850771869639794,12212,0.08347004835256863,0.09354538904022724
2002,Owner,Much Too Large,0.022126929674099485,12212,0.019517987252803504,0.024735872095395465
2002,Owner,Much Too Small,0.006346483704974271,12212,0.004938016481107971,0.0077549509288405705
2002,Tenant,Just Right,0.7107789142407553,12212,0.7027372688651626,0.718820559616348
2002,Tenant,A Bit Too Small,0.1880409126671912,12212,0.18111055063528053,0.19497127469910186
2002,Tenant,A Bit Too Large,0.06278520849724627,12212,0.05848280724745033,0.0670876097470422
2002,Tenant,Much Too Small,0.03257277734067663,12212,0.029424309796226872,0.03572124488512639
2002,Tenant,Much Too Large,0.005822187254130606,12212,0.004472796309295392,0.00717157819896582
2003,Owner,Just Right,0.7331798866855525,11804,0.7252007478036255,0.7411590255674794
2003,Owner,A Bit Too Large,0.15403682719546744,11804,0.14752460092501776,0.1605490534659171
2003,Owner,A Bit Too Small,0.08640226628895184,11804,0.08133374185191021,0.09147079072599347
2003,Owner,Much Too Large,0.020892351274787536,11804,0.01831216920917371,0.023472533340401364
2003,Owner,Much Too Small,0.005488668555240793,11804,0.004155822957908858,0.006821514152572728
2003,Tenant,Just Right,0.7117704597326378,11804,0.7035993565382199,0.7199415629270556
2003,Tenant,A Bit Too Small,0.19057711118356702,11804,0.18349170778511453,0.1976625145820195
2003,Tenant,A Bit Too Large,0.06472122595370068,11804,0.06028273460593884,0.06915971730146253
2003,Tenant,Much Too Small,0.02787740462993153,11804,0.02490759809086423,0.030847211168998828
2003,Tenant,Much Too Large,0.0050537985001630256,11804,0.0037745638007577152,0.006333033199568336
2004,Owner,Just Right,0.7348375451263538,11543,0.7267847174087759,0.7428903728439317
2004,Owner,A Bit Too Large,0.15830324909747293,11543,0.1516440888924079,0.16496240930253794
2004,Owner,A Bit Too Small,0.08267148014440433,11543,0.07764762593119776,0.0876953343576109
2004,Owner,Much Too Large,0.0203971119133574,11543,0.017818380615260518,0.02297584321145428
2004,Owner,Much Too Small,0.0037906137184115524,11543,0.0026695590199366575,0.004911668416886447
2004,Tenant,Just Right,0.7271507630387389,11543,0.7190248844817325,0.7352766415957454
2004,Tenant,A Bit Too Small,0.17742746939460002,11543,0.17045808764290762,0.18439685114629242
2004,Tenant,A Bit Too Large,0.0645648163676002,11543,0.06008147782843295,0.06904815490676744
2004,Tenant,Much Too Small,0.026664430655710215,11543,0.023725467252000372,0.029603394059420057
