year,hhtyp,rentown,hgseval,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1994,Single-person household,Tenant,Just Right,0.78047,777,6148,0.78020,0.78074
1994,Single-person household,Tenant,A Bit Too Large,0.07973,92,6148,0.07955,0.07990
1994,Couple without children,Owner,A Bit Too Small,0.05208,34,6148,0.05186,0.05229
1994,Couple without children,Owner,Just Right,0.76638,491,6148,0.76598,0.76679
1994,Couple without children,Owner,A Bit Too Large,0.18154,109,6148,0.18117,0.18191
1994,Couple without children,Tenant,A Bit Too Small,0.18666,196,6148,0.18633,0.18699
1994,Couple without children,Tenant,Just Right,0.75548,792,6148,0.75512,0.75585
1994,Couple without children,Tenant,A Bit Too Large,0.05786,60,6148,0.05766,0.05806
1994,Single parent,Owner,Just Right,1.00000,73,6148,1.00000,1.00000
1994,Single parent,Tenant,A Bit Too Small,0.25659,62,6148,0.25581,0.25737
1994,Single parent,Tenant,Just Right,0.74341,176,6148,0.74263,0.74419
1994,Couple with children,Owner,A Bit Too Small,0.12310,142,6148,0.12283,0.12338
1994,Couple with children,Owner,Just Right,0.79841,894,6148,0.79808,0.79874
1994,Couple with children,Owner,A Bit Too Large,0.07849,76,6148,0.07826,0.07871
1994,Couple with children,Tenant,Much Too Small,0.08482,146,6148,0.08458,0.08507
1994,Couple with children,Tenant,A Bit Too Small,0.33021,472,6148,0.32980,0.33062
1994,Couple with children,Tenant,Just Right,0.54420,852,6148,0.54376,0.54464
1994,Couple with children,Tenant,A Bit Too Large,0.04077,48,6148,0.04059,0.04094
1994,Multi-generational household,Owner,Just Right,1.00000,63,6148,1.00000,1.00000
1994,Multi-generational household,Tenant,Just Right,1.00000,37,6148,1.00000,1.00000
1994,Other Combinations,Owner,Just Right,1.00000,54,6148,1.00000,1.00000
1994,Other Combinations,Tenant,A Bit Too Small,0.37389,34,6148,0.37247,0.37531
1994,Other Combinations,Tenant,Just Right,0.62611,61,6148,0.62469,0.62753
1995,Single-person household,Owner,Just Right,0.76045,207,6380,0.75997,0.76094
1995,Single-person household,Owner,A Bit Too Large,0.23955,65,6380,0.23906,0.24003
1995,Single-person household,Tenant,A Bit Too Small,0.16202,174,6380,0.16179,0.16226
1995,Single-person household,Tenant,Just Right,0.77013,822,6380,0.76986,0.77040
1995,Single-person household,Tenant,A Bit Too Large,0.06785,80,6380,0.06769,0.06801
1995,Couple without children,Owner,A Bit Too Small,0.04297,32,6380,0.04278,0.04316
1995,Couple without children,Owner,Just Right,0.76921,512,6380,0.76882,0.76961
1995,Couple without children,Owner,A Bit Too Large,0.18781,112,6380,0.18745,0.18818
1995,Couple without children,Tenant,Much Too Small,0.02212,33,6380,0.02200,0.02224
1995,Couple without children,Tenant,A Bit Too Small,0.15271,174,6380,0.15241,0.15301
1995,Couple without children,Tenant,Just Right,0.74949,844,6380,0.74913,0.74985
1995,Couple without children,Tenant,A Bit Too Large,0.07568,82,6380,0.07546,0.07590
1995,Single parent,Owner,Just Right,1.00000,73,6380,1.00000,1.00000
1995,Single parent,Tenant,A Bit Too Small,0.31157,68,6380,0.31071,0.31242
1995,Single parent,Tenant,Just Right,0.68843,176,6380,0.68758,0.68929
1995,Couple with children,Owner,A Bit Too Small,0.12929,136,6380,0.12901,0.12957
1995,Couple with children,Owner,Just Right,0.78988,901,6380,0.78954,0.79022
1995,Couple with children,Owner,A Bit Too Large,0.08083,86,6380,0.08060,0.08105
1995,Couple with children,Tenant,Much Too Small,0.08433,133,6380,0.08409,0.08458
1995,Couple with children,Tenant,A Bit Too Small,0.33093,508,6380,0.33051,0.33135
1995,Couple with children,Tenant,Just Right,0.54784,907,6380,0.54740,0.54828
1995,Couple with children,Tenant,A Bit Too Large,0.03690,50,6380,0.03673,0.03707
1995,Multi-generational household,Owner,Just Right,1.00000,57,6380,1.00000,1.00000
1995,Other Combinations,Owner,Just Right,1.00000,55,6380,1.00000,1.00000
1995,Other Combinations,Tenant,A Bit Too Small,0.40053,36,6380,0.39908,0.40197
1995,Other Combinations,Tenant,Just Right,0.59947,57,6380,0.59803,0.60092
1996,Single-person household,Owner,Just Right,0.73826,199,6266,0.73775,0.73876
1996,Single-person household,Owner,A Bit Too Large,0.26174,70,6266,0.26124,0.26225
1996,Single-person household,Tenant,A Bit Too Small,0.14835,154,6266,0.14812,0.14857
1996,Single-person household,Tenant,Just Right,0.76555,848,6266,0.76528,0.76582
1996,Single-person household,Tenant,A Bit Too Large,0.08610,91,6266,0.08593,0.08628
1996,Couple without children,Owner,Just Right,0.78493,523,6266,0.78454,0.78531
1996,Couple without children,Owner,A Bit Too Large,0.21507,123,6266,0.21469,0.21546
1996,Couple without children,Tenant,A Bit Too Small,0.17509,189,6266,0.17477,0.17541
1996,Couple without children,Tenant,Just Right,0.75944,844,6266,0.75908,0.75980
1996,Couple without children,Tenant,A Bit Too Large,0.06547,75,6266,0.06526,0.06568
1996,Single parent,Owner,Just Right,1.00000,72,6266,1.00000,1.00000
1996,Single parent,Tenant,A Bit Too Small,0.24772,58,6266,0.24696,0.24848
1996,Single parent,Tenant,Just Right,0.75228,190,6266,0.75152,0.75304
1996,Couple with children,Owner,A Bit Too Small,0.13148,137,6266,0.13120,0.13176
1996,Couple with children,Owner,Just Right,0.78080,925,6266,0.78046,0.78115
1996,Couple with children,Owner,A Bit Too Large,0.08772,83,6266,0.08748,0.08795
1996,Couple with children,Tenant,Much Too Small,0.06171,106,6266,0.06149,0.06192
1996,Couple with children,Tenant,A Bit Too Small,0.33616,493,6266,0.33573,0.33658
1996,Couple with children,Tenant,Just Right,0.56487,847,6266,0.56442,0.56531
1996,Couple with children,Tenant,A Bit Too Large,0.03727,47,6266,0.03710,0.03744
1996,Multi-generational household,Owner,Just Right,1.00000,53,6266,1.00000,1.00000
1996,Multi-generational household,Tenant,Just Right,1.00000,32,6266,1.00000,1.00000
1996,Other Combinations,Owner,Just Right,1.00000,48,6266,1.00000,1.00000
1996,Other Combinations,Tenant,Just Right,1.00000,59,6266,1.00000,1.00000
1997,Single-person household,Owner,Just Right,0.71408,191,6230,0.71357,0.71460
1997,Single-person household,Owner,A Bit Too Large,0.28592,73,6230,0.28540,0.28643
1997,Single-person household,Tenant,A Bit Too Small,0.16805,178,6230,0.16782,0.16829
1997,Single-person household,Tenant,Just Right,0.74652,807,6230,0.74625,0.74679
1997,Single-person household,Tenant,A Bit Too Large,0.08542,86,6230,0.08525,0.08560
1997,Couple without children,Owner,A Bit Too Small,0.04509,33,6230,0.04490,0.04528
1997,Couple without children,Owner,Just Right,0.78277,561,6230,0.78240,0.78314
1997,Couple without children,Owner,A Bit Too Large,0.17214,113,6230,0.17180,0.17248
1997,Couple without children,Tenant,A Bit Too Small,0.17108,187,6230,0.17076,0.17140
1997,Couple without children,Tenant,Just Right,0.74921,863,6230,0.74885,0.74958
1997,Couple without children,Tenant,A Bit Too Large,0.07971,78,6230,0.07948,0.07994
