"pli0091_h","year","sampreg","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nie","1998","Ostdeutschland","weiblich","760","0.447913837928701","0.426032295712914","0.469795380144488"
"Taeglich","1999","Westdeutschland","maennlich","","","",""
"Taeglich","1999","Westdeutschland","weiblich","","","",""
"Taeglich","1999","Ostdeutschland","maennlich","","","",""
"Taeglich","1999","Ostdeutschland","weiblich","","","",""
"Min 1x pro Woche","1999","Westdeutschland","maennlich","476","0.0908606198518113","0.082703487433979","0.0990177522696436"
"Min 1x pro Woche","1999","Westdeutschland","weiblich","306","0.0561614560079717","0.049822790689801","0.0625001213261423"
"Min 1x pro Woche","1999","Ostdeutschland","maennlich","174","0.0879971453324953","0.0749462233264537","0.101048067338537"
"Min 1x pro Woche","1999","Ostdeutschland","weiblich","134","0.0540066504543614","0.0439615114427366","0.0640517894659862"
"Min 1x pro Monat","1999","Westdeutschland","maennlich","964","0.200204042920478","0.188847125870957","0.211560959969999"
"Min 1x pro Monat","1999","Westdeutschland","weiblich","840","0.143899514668514","0.134236295624913","0.153562733712115"
"Min 1x pro Monat","1999","Ostdeutschland","maennlich","365","0.195209013666927","0.176949034027108","0.213468993306746"
"Min 1x pro Monat","1999","Ostdeutschland","weiblich","325","0.149869189361033","0.134006115534613","0.165732263187452"
"Seltener","1999","Westdeutschland","maennlich","1959","0.411490961368946","0.397524346790881","0.425457575947011"
"Seltener","1999","Westdeutschland","weiblich","2087","0.39882283592867","0.385341869279828","0.412303802577512"
"Seltener","1999","Ostdeutschland","maennlich","863","0.454717810494993","0.431777967433638","0.477657653556347"
"Seltener","1999","Ostdeutschland","weiblich","887","0.41287806527144","0.390997257710255","0.434758872832624"
"Nie","1999","Westdeutschland","maennlich","1370","0.297444375858765","0.284470263102899","0.310418488614631"
"Nie","1999","Westdeutschland","weiblich","1835","0.401116193394844","0.387622334307949","0.414610052481739"
"Nie","1999","Ostdeutschland","maennlich","408","0.262076030505585","0.24181655193923","0.28233550907194"
"Nie","1999","Ostdeutschland","weiblich","599","0.383246094913166","0.361639660117808","0.404852529708525"
"Taeglich","2000","Westdeutschland","maennlich","","","",""
"Taeglich","2000","Westdeutschland","weiblich","","","",""
"Taeglich","2000","Ostdeutschland","maennlich","","","",""
"Taeglich","2000","Ostdeutschland","weiblich","","","",""
"Min 1x pro Woche","2000","Westdeutschland","maennlich","","","",""
"Min 1x pro Woche","2000","Westdeutschland","weiblich","","","",""
"Min 1x pro Woche","2000","Ostdeutschland","maennlich","","","",""
"Min 1x pro Woche","2000","Ostdeutschland","weiblich","","","",""
"Min 1x pro Monat","2000","Westdeutschland","maennlich","","","",""
"Min 1x pro Monat","2000","Westdeutschland","weiblich","","","",""
"Min 1x pro Monat","2000","Ostdeutschland","maennlich","","","",""
"Min 1x pro Monat","2000","Ostdeutschland","weiblich","","","",""
"Seltener","2000","Westdeutschland","maennlich","","","",""
"Seltener","2000","Westdeutschland","weiblich","","","",""
"Seltener","2000","Ostdeutschland","maennlich","","","",""
"Seltener","2000","Ostdeutschland","weiblich","","","",""
"Nie","2000","Westdeutschland","maennlich","","","",""
"Nie","2000","Westdeutschland","weiblich","","","",""
"Nie","2000","Ostdeutschland","maennlich","","","",""
"Nie","2000","Ostdeutschland","weiblich","","","",""
