"party","year","alter_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"CDU/CSU","1989","66 und älter","Staedtischer Raum","226","0.299582520573256","0.266842730244678","0.332322310901834"
"CDU/CSU","1989","66 und älter","Laendlicher Raum","81","0.315913621941299","0.258172121489067","0.373655122393531"
"SPD","1989","16-34 J.","Staedtischer Raum","694","0.221530775775707","0.206643237479312","0.236418314072103"
"SPD","1989","16-34 J.","Laendlicher Raum","132","0.17682883376268","0.149246815756734","0.204410851768626"
"SPD","1989","35-65 J.","Staedtischer Raum","1214","0.325289045836199","0.310536672900428","0.34004141877197"
"SPD","1989","35-65 J.","Laendlicher Raum","264","0.277678068590251","0.249723948655467","0.305632188525034"
"SPD","1989","66 und älter","Staedtischer Raum","213","0.298891652225297","0.266173510248689","0.331609794201904"
"SPD","1989","66 und älter","Laendlicher Raum","52","0.218932299938775","0.167569619912393","0.270294979965157"
"FDP","1989","16-34 J.","Staedtischer Raum","","","",""
"FDP","1989","16-34 J.","Laendlicher Raum","","","",""
"FDP","1989","35-65 J.","Staedtischer Raum","66","0.0196064701057174","0.0152406261725178","0.023972314038917"
"FDP","1989","35-65 J.","Laendlicher Raum","","","",""
"FDP","1989","66 und älter","Staedtischer Raum","","","",""
"FDP","1989","66 und älter","Laendlicher Raum","","","",""
"Grüne","1989","16-34 J.","Staedtischer Raum","211","0.0815838004147093","0.0717706858904031","0.0913969149390155"
"Grüne","1989","16-34 J.","Laendlicher Raum","","","",""
"Grüne","1989","35-65 J.","Staedtischer Raum","104","0.0289697722052129","0.0236882732558071","0.0342512711546186"
"Grüne","1989","35-65 J.","Laendlicher Raum","","","",""
"Grüne","1989","66 und älter","Staedtischer Raum","","","",""
"Grüne","1989","66 und älter","Laendlicher Raum","","","",""
"PDS/Linke","1989","16-34 J.","Staedtischer Raum","","","",""
"PDS/Linke","1989","16-34 J.","Laendlicher Raum","","","",""
"PDS/Linke","1989","35-65 J.","Staedtischer Raum","","","",""
"PDS/Linke","1989","35-65 J.","Laendlicher Raum","","","",""
"PDS/Linke","1989","66 und älter","Staedtischer Raum","","","",""
"PDS/Linke","1989","66 und älter","Laendlicher Raum","","","",""
"Rechtsextrem","1989","16-34 J.","Staedtischer Raum","","","",""
"Rechtsextrem","1989","16-34 J.","Laendlicher Raum","","","",""
"Rechtsextrem","1989","35-65 J.","Staedtischer Raum","","","",""
"Rechtsextrem","1989","35-65 J.","Laendlicher Raum","","","",""
"Rechtsextrem","1989","66 und älter","Staedtischer Raum","","","",""
"Rechtsextrem","1989","66 und älter","Laendlicher Raum","","","",""
"AfD","1989","16-34 J.","Staedtischer Raum","","","",""
"AfD","1989","16-34 J.","Laendlicher Raum","","","",""
"AfD","1989","35-65 J.","Staedtischer Raum","","","",""
"AfD","1989","35-65 J.","Laendlicher Raum","","","",""
"AfD","1989","66 und älter","Staedtischer Raum","","","",""
"AfD","1989","66 und älter","Laendlicher Raum","","","",""
"Sonstige","1989","16-34 J.","Staedtischer Raum","54","0.0234114427070047","0.0179907468845305","0.0288321385294788"
"Sonstige","1989","16-34 J.","Laendlicher Raum","","","",""
"Sonstige","1989","35-65 J.","Staedtischer Raum","69","0.0218430964676641","0.0172402165290264","0.0264459764063019"
"Sonstige","1989","35-65 J.","Laendlicher Raum","","","",""
"Sonstige","1989","66 und älter","Staedtischer Raum","","","",""
"Sonstige","1989","66 und älter","Laendlicher Raum","","","",""
"keine PN","1990","16-34 J.","Staedtischer Raum","1562","0.500437991497758","0.482129371299688","0.518746611695828"
"keine PN","1990","16-34 J.","Laendlicher Raum","451","0.570157067113785","0.534821296304226","0.605492837923344"
"keine PN","1990","35-65 J.","Staedtischer Raum","1582","0.338305720812886","0.323250650484921","0.35336079114085"
"keine PN","1990","35-65 J.","Laendlicher Raum","399","0.368987114119357","0.338526806286377","0.399447421952337"
"keine PN","1990","66 und älter","Staedtischer Raum","267","0.326727103469634","0.293812476547022","0.359641730392246"
"keine PN","1990","66 und älter","Laendlicher Raum","95","0.380620372726114","0.320909185535526","0.440331559916702"
"CDU/CSU","1990","16-34 J.","Staedtischer Raum","345","0.155642401912259","0.142368061583474","0.168916742241044"
"CDU/CSU","1990","16-34 J.","Laendlicher Raum","112","0.160337627966224","0.134147809326825","0.186527446605624"
"CDU/CSU","1990","35-65 J.","Staedtischer Raum","747","0.244933708012219","0.231249607744439","0.25861780828"
"CDU/CSU","1990","35-65 J.","Laendlicher Raum","257","0.304238203463756","0.275194851543821","0.333281555383691"
"CDU/CSU","1990","66 und älter","Staedtischer Raum","253","0.328341755054613","0.295385487314593","0.361298022794633"
"CDU/CSU","1990","66 und älter","Laendlicher Raum","94","0.342031866439975","0.283691796136158","0.400371936743792"
"SPD","1990","16-34 J.","Staedtischer Raum","725","0.247455141757797","0.231653572631259","0.263256710884335"
"SPD","1990","16-34 J.","Laendlicher Raum","136","0.19799452542939","0.169551376481272","0.226437674377507"
"SPD","1990","35-65 J.","Staedtischer Raum","1250","0.349605221298146","0.334432030957697","0.364778411638594"
"SPD","1990","35-65 J.","Laendlicher Raum","258","0.279223324236145","0.250903811091057","0.307542837381232"
"SPD","1990","66 und älter","Staedtischer Raum","229","0.303821039600269","0.271545749134285","0.336096330066253"
"SPD","1990","66 und älter","Laendlicher Raum","55","0.230191980718018","0.178423246879871","0.281960714556166"
"FDP","1990","16-34 J.","Staedtischer Raum","39","0.0186962804101734","0.0137364696447962","0.0236560911755506"
"FDP","1990","16-34 J.","Laendlicher Raum","","","",""
"FDP","1990","35-65 J.","Staedtischer Raum","99","0.0308863998270965","0.0253812338591282","0.0363915657950649"
"FDP","1990","35-65 J.","Laendlicher Raum","","","",""
"FDP","1990","66 und älter","Staedtischer Raum","","","",""
"FDP","1990","66 und älter","Laendlicher Raum","","","",""
"Grüne","1990","16-34 J.","Staedtischer Raum","156","0.0625859389227192","0.0537166276764357","0.0714552501690028"
"Grüne","1990","16-34 J.","Laendlicher Raum","36","0.0494586243201018","0.0339822599091844","0.0649349887310193"
"Grüne","1990","35-65 J.","Staedtischer Raum","84","0.0253467934013369","0.020345457794249","0.0303481290084247"
"Grüne","1990","35-65 J.","Laendlicher Raum","","","",""
"Grüne","1990","66 und älter","Staedtischer Raum","","","",""
"Grüne","1990","66 und älter","Laendlicher Raum","","","",""
"PDS/Linke","1990","16-34 J.","Staedtischer Raum","","","",""
"PDS/Linke","1990","16-34 J.","Laendlicher Raum","","","",""
"PDS/Linke","1990","35-65 J.","Staedtischer Raum","","","",""
"PDS/Linke","1990","35-65 J.","Laendlicher Raum","","","",""
"PDS/Linke","1990","66 und älter","Staedtischer Raum","","","",""
"PDS/Linke","1990","66 und älter","Laendlicher Raum","","","",""
"Rechtsextrem","1990","16-34 J.","Staedtischer Raum","30","0.0118828578324563","0.00791505169102123","0.0158506639738914"
"Rechtsextrem","1990","16-34 J.","Laendlicher Raum","","","",""
"Rechtsextrem","1990","35-65 J.","Staedtischer Raum","","","",""
"Rechtsextrem","1990","35-65 J.","Laendlicher Raum","","","",""
"Rechtsextrem","1990","66 und älter","Staedtischer Raum","","","",""
"Rechtsextrem","1990","66 und älter","Laendlicher Raum","","","",""
"AfD","1990","16-34 J.","Staedtischer Raum","","","",""
"AfD","1990","16-34 J.","Laendlicher Raum","","","",""
"AfD","1990","35-65 J.","Staedtischer Raum","","","",""
"AfD","1990","35-65 J.","Laendlicher Raum","","","",""
"AfD","1990","66 und älter","Staedtischer Raum","","","",""
"AfD","1990","66 und älter","Laendlicher Raum","","","",""
"Sonstige","1990","16-34 J.","Staedtischer Raum","","","",""
"Sonstige","1990","16-34 J.","Laendlicher Raum","","","",""
"Sonstige","1990","35-65 J.","Staedtischer Raum","","","",""
"Sonstige","1990","35-65 J.","Laendlicher Raum","","","",""
"Sonstige","1990","66 und älter","Staedtischer Raum","","","",""
"Sonstige","1990","66 und älter","Laendlicher Raum","","","",""
"keine PN","1991","16-34 J.","Staedtischer Raum","2387","0.606883718606316","0.590238917909588","0.623528519303043"
"keine PN","1991","16-34 J.","Laendlicher Raum","1508","0.755865335575397","0.735970642801","0.775760028349795"
"keine PN","1991","35-65 J.","Staedtischer Raum","2723","0.458364086809716","0.443789913210801","0.472938260408631"
"keine PN","1991","35-65 J.","Laendlicher Raum","1905","0.638838055581069","0.619724165965642","0.657951945196497"
"keine PN","1991","66 und älter","Staedtischer Raum","419","0.417416972098452","0.385270905383655","0.449563038813249"
"keine PN","1991","66 und älter","Laendlicher Raum","362","0.605186948294525","0.563334297028243","0.647039599560807"
"CDU/CSU","1991","16-34 J.","Staedtischer Raum","310","0.131072796487344","0.119572386577628","0.142573206397061"
"CDU/CSU","1991","16-34 J.","Laendlicher Raum","122","0.104821166680037","0.0906345218849533","0.11900781147512"
"CDU/CSU","1991","35-65 J.","Staedtischer Raum","718","0.221033972550114","0.208896907102375","0.233171037997852"
"CDU/CSU","1991","35-65 J.","Laendlicher Raum","265","0.185300591346678","0.169839512464586","0.200761670228771"
