year,quintil_oecd_hh,rentown,hlf0291,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,2nd Quintile,Owner,Yes,0.05898,52,971,0.04416,0.07381
2000,2nd Quintile,Owner,No,0.94102,919,971,0.92619,0.95584
2000,2nd Quintile,Tenant,Yes,0.04331,67,1742,0.03375,0.05287
2000,2nd Quintile,Tenant,No,0.95669,1675,1742,0.94713,0.96625
2000,3rd Quintile,Owner,Yes,0.06784,75,1239,0.05383,0.08185
2000,3rd Quintile,Owner,No,0.93216,1164,1239,0.91815,0.94617
2000,3rd Quintile,Tenant,Yes,0.04212,54,1411,0.03164,0.05261
2000,3rd Quintile,Tenant,No,0.95788,1357,1411,0.94739,0.96836
2000,4th Quintile,Owner,Yes,0.03753,61,1455,0.02776,0.04730
2000,4th Quintile,Owner,No,0.96247,1394,1455,0.95270,0.97224
2000,4th Quintile,Tenant,No,0.97430,1122,1122,0.96504,0.98357
2000,5th Quintile,Owner,Yes,0.02814,45,1643,0.02014,0.03614
2000,5th Quintile,Owner,No,0.97186,1598,1643,0.96386,0.97986
2000,5th Quintile,Tenant,No,0.97093,764,764,0.95901,0.98285
2001,1st Quintile,Owner,No,0.94927,372,372,0.92694,0.97160
2001,1st Quintile,Tenant,Yes,0.03121,61,1837,0.02326,0.03917
2001,1st Quintile,Tenant,No,0.96879,1776,1837,0.96083,0.97674
2001,2nd Quintile,Owner,Yes,0.04945,46,912,0.03537,0.06353
2001,2nd Quintile,Owner,No,0.95055,866,912,0.93647,0.96463
2001,2nd Quintile,Tenant,Yes,0.04249,55,1547,0.03244,0.05254
2001,2nd Quintile,Tenant,No,0.95532,1492,1547,0.94502,0.96562
2001,3rd Quintile,Owner,Yes,0.05509,61,1167,0.04199,0.06819
2001,3rd Quintile,Owner,No,0.94304,1106,1167,0.92973,0.95634
2001,3rd Quintile,Tenant,Yes,0.04396,50,1267,0.03267,0.05525
2001,3rd Quintile,Tenant,No,0.95604,1217,1267,0.94475,0.96733
2001,4th Quintile,Owner,Yes,0.04676,61,1331,0.03541,0.05811
2001,4th Quintile,Owner,No,0.95324,1270,1331,0.94189,0.96459
2001,4th Quintile,Tenant,Yes,0.03588,33,1038,0.02456,0.04721
2001,4th Quintile,Tenant,No,0.96412,1005,1038,0.95279,0.97544
2001,5th Quintile,Owner,Yes,0.03606,48,1461,0.02650,0.04563
2001,5th Quintile,Owner,No,0.96394,1413,1461,0.95437,0.97350
2001,5th Quintile,Tenant,No,0.97468,704,704,0.96307,0.98629
2002,1st Quintile,Owner,No,0.93843,359,359,0.91353,0.96333
2002,1st Quintile,Tenant,Yes,0.03825,66,1717,0.02918,0.04733
