year,age_gr,migback,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1995,46-65 y.,No migration background,2862,0.16258493040062094,0.14800116023469323,0.17716870056654865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,46-65 y.,Direct migration background,1026,0.1810721645515518,0.1534322216115823,0.20871210749152133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,46-65 y.,Indirect migration background,,,,,,,,,,,,
1995,66 and older,No migration background,1276,0.3141237998927822,0.2904351945088394,0.337812405276725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,66 and older,Direct migration background,208,0.2769936045949165,0.21335741292517701,0.340629796264656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,66 and older,Indirect migration background,,,,,,,,,,,,
1996,under 18 y.,No migration background,,,,,,,,,,,,
1996,under 18 y.,Direct migration background,,,,,,,,,,,,
1996,under 18 y.,Indirect migration background,,,,,,,,,,,,
1996,18-29 y.,No migration background,2001,0.1238954011648799,0.11449596291987066,0.13329483940988915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,18-29 y.,Direct migration background,519,0.1304067038562445,0.10847023865047477,0.15234316906201423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,18-29 y.,Indirect migration background,406,0.09736595439843902,0.08142020023638698,0.11331170856049107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,30-45 y.,No migration background,3493,0.12961333608864484,0.12079458023085785,0.13843209194643183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,30-45 y.,Direct migration background,847,0.14585266350103704,0.13025924463384295,0.16144608236823113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,30-45 y.,Indirect migration background,63,0.20133619972754693,0.13921140264926266,0.2634609968058312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,46-65 y.,No migration background,2863,0.1957020809553635,0.1750328698741517,0.21637129203657532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,46-65 y.,Direct migration background,975,0.17045929248244693,0.14889553501529773,0.19202304994959613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,46-65 y.,Indirect migration background,,,,,,,,,,,,
1996,66 and older,No migration background,1294,0.39632873665723856,0.35451460622577097,0.43814286708870614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,66 and older,Direct migration background,219,0.2284098275267942,0.19526840990146088,0.2615512451521275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,66 and older,Indirect migration background,,,,,,,,,,,,
1997,under 18 y.,No migration background,,,,,,,,,,,,
1997,under 18 y.,Direct migration background,,,,,,,,,,,,
1997,under 18 y.,Indirect migration background,,,,,,,,,,,,
1997,18-29 y.,No migration background,1909,0.12196035660384176,0.11330691951031913,0.1306137936973644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,18-29 y.,Direct migration background,453,0.12202631953217914,0.10632981409805393,0.13772282496630436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,18-29 y.,Indirect migration background,405,0.09280313542658665,0.07611584125755194,0.10949042959562136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,30-45 y.,No migration background,3448,0.12319256758102742,0.1149147144681174,0.13147042069393744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
