"plh0033","year","bildungsniveau","regtyp","n","percent","lower_confidence","upper_confidence"
"Keine Sorgen","1990","AkademikerIn","Staedtischer Raum","388","0.495890629711527","0.464491041785574","0.52729021763748"
"Keine Sorgen","1990","Hauptschule","Laendlicher Raum","644","0.331506051544639","0.312581396560852","0.350430706528425"
"Keine Sorgen","1990","Hauptschule","Staedtischer Raum","1666","0.420649600344346","0.406259569220413","0.435039631468279"
"Keine Sorgen","1990","Realschule","Laendlicher Raum","258","0.279544285005482","0.255909472648186","0.303179097362778"
"Keine Sorgen","1990","Realschule","Staedtischer Raum","684","0.471272486896581","0.44791847329645","0.494626500496712"
"Einige Sorgen","1991","(Fach-)Abitur","Laendlicher Raum","91","0.491795678436895","0.419164359958466","0.564426996915324"
"Einige Sorgen","1991","(Fach-)Abitur","Staedtischer Raum","339","0.475774349479639","0.438804411011478","0.512744287947801"
"Einige Sorgen","1991","(noch) kein Abschluss","Laendlicher Raum","81","0.512973951021583","0.434031340856742","0.591916561186423"
"Einige Sorgen","1991","(noch) kein Abschluss","Staedtischer Raum","331","0.450967351536813","0.41449475299936","0.487439950074267"
"Einige Sorgen","1991","AkademikerIn","Laendlicher Raum","383","0.514346810625822","0.476864281480172","0.551829339771472"
"Einige Sorgen","1991","AkademikerIn","Staedtischer Raum","405","0.368540115348399","0.338119023698576","0.398961206998222"
"Einige Sorgen","1991","Hauptschule","Laendlicher Raum","1030","0.440412527631219","0.420070984090157","0.460754071172281"
"Einige Sorgen","1991","Hauptschule","Staedtischer Raum","2049","0.446444151161772","0.431708399116714","0.461179903206831"
"Einige Sorgen","1991","Realschule","Laendlicher Raum","694","0.463708241625595","0.437224307067435","0.490192176183754"
"Einige Sorgen","1991","Realschule","Staedtischer Raum","765","0.412032421186456","0.388825442322541","0.435239400050371"
"Grosse Sorgen","1991","(Fach-)Abitur","Laendlicher Raum","44","0.183274343449263","0.127065929276143","0.239482757622382"
"Grosse Sorgen","1991","(Fach-)Abitur","Staedtischer Raum","105","0.118744073424426","0.0947973510702947","0.142690795778557"
"Grosse Sorgen","1991","(noch) kein Abschluss","Laendlicher Raum","27","","",""
"Grosse Sorgen","1991","(noch) kein Abschluss","Staedtischer Raum","148","0.195839987342247","0.166751777591121","0.224928197093373"
"Grosse Sorgen","1991","AkademikerIn","Laendlicher Raum","181","0.217631250993424","0.186685279884808","0.248577222102041"
"Grosse Sorgen","1991","AkademikerIn","Staedtischer Raum","163","0.128674781240448","0.107559523395309","0.149790039085587"
"Grosse Sorgen","1991","Hauptschule","Laendlicher Raum","636","0.216704771487979","0.19982303727564","0.233586505700318"
"Grosse Sorgen","1991","Hauptschule","Staedtischer Raum","701","0.132266302434329","0.122224172130146","0.142308432738513"
"Grosse Sorgen","1991","Realschule","Laendlicher Raum","437","0.275090478366939","0.251374599764151","0.298806356969727"
"Grosse Sorgen","1991","Realschule","Staedtischer Raum","272","0.117395593449341","0.102218620312149","0.132572566586532"
"Keine Sorgen","1991","(Fach-)Abitur","Laendlicher Raum","47","0.324929978113843","0.256887252978177","0.392972703249509"
"Keine Sorgen","1991","(Fach-)Abitur","Staedtischer Raum","257","0.405481577095935","0.369135520035544","0.441827634156326"
"Keine Sorgen","1991","(noch) kein Abschluss","Laendlicher Raum","46","0.356866443796761","0.281202117047148","0.432530770546375"
"Keine Sorgen","1991","(noch) kein Abschluss","Staedtischer Raum","236","0.35319266112094","0.318158770071838","0.388226552170042"
"Keine Sorgen","1991","AkademikerIn","Laendlicher Raum","119","0.268021938380754","0.23480405596246","0.301239820799047"
"Keine Sorgen","1991","AkademikerIn","Staedtischer Raum","398","0.502785103411153","0.471255188801996","0.53431501802031"
"Keine Sorgen","1991","Hauptschule","Laendlicher Raum","622","0.342882700880802","0.323432937665526","0.362332464096078"
"Keine Sorgen","1991","Hauptschule","Staedtischer Raum","1622","0.421289546403899","0.406653323346795","0.435925769461002"
"Keine Sorgen","1991","Realschule","Laendlicher Raum","231","0.261201280007467","0.237871520882008","0.284531039132925"
"Keine Sorgen","1991","Realschule","Staedtischer Raum","691","0.470571985364203","0.447038149757538","0.494105820970868"
"Einige Sorgen","1992","(Fach-)Abitur","Laendlicher Raum","96","0.465964933291092","0.393887272353188","0.538042594228996"
"Einige Sorgen","1992","(Fach-)Abitur","Staedtischer Raum","339","0.498701840373015","0.461767503839576","0.535636176906454"
"Einige Sorgen","1992","(noch) kein Abschluss","Laendlicher Raum","78","0.463387341346896","0.386599382525502","0.540175300168289"
"Einige Sorgen","1992","(noch) kein Abschluss","Staedtischer Raum","316","0.412871857152551","0.376135369193334","0.449608345111768"
"Einige Sorgen","1992","AkademikerIn","Laendlicher Raum","371","0.537329700482201","0.498487621233465","0.576171779730936"
"Einige Sorgen","1992","AkademikerIn","Staedtischer Raum","466","0.441885384296481","0.410872190552285","0.472898578040676"
"Einige Sorgen","1992","Hauptschule","Laendlicher Raum","1138","0.525892943471365","0.504849989139245","0.546935897803484"
"Einige Sorgen","1992","Hauptschule","Staedtischer Raum","2056","0.476526361035608","0.461545905256705","0.491506816814511"
"Einige Sorgen","1992","Realschule","Laendlicher Raum","730","0.544278788028431","0.517370846656391","0.57118672940047"
"Einige Sorgen","1992","Realschule","Staedtischer Raum","857","0.471636876407437","0.448017981380127","0.495255771434747"
"Grosse Sorgen","1992","(Fach-)Abitur","Laendlicher Raum","33","0.16824762326077","0.114195759463071","0.222299487058468"
"Grosse Sorgen","1992","(Fach-)Abitur","Staedtischer Raum","117","0.128890457084414","0.104138557807956","0.153642356360872"
"Grosse Sorgen","1992","(noch) kein Abschluss","Laendlicher Raum","37","0.214809814072818","0.151567889959877","0.27805173818576"
"Grosse Sorgen","1992","(noch) kein Abschluss","Staedtischer Raum","176","0.236965725673356","0.205238044243835","0.268693407102877"
"Grosse Sorgen","1992","AkademikerIn","Laendlicher Raum","136","0.183535728300454","0.153379630842209","0.213691825758699"
"Grosse Sorgen","1992","AkademikerIn","Staedtischer Raum","141","0.104680708718076","0.0855622765710538","0.123799140865098"
"Grosse Sorgen","1992","Hauptschule","Laendlicher Raum","524","0.198416804821808","0.181610069562458","0.215223540081158"
"Grosse Sorgen","1992","Hauptschule","Staedtischer Raum","867","0.170921416951153","0.159630473196197","0.182212360706109"
"Grosse Sorgen","1992","Realschule","Laendlicher Raum","365","0.238051016665795","0.215040937458593","0.261061095872996"
"Grosse Sorgen","1992","Realschule","Staedtischer Raum","254","0.119270517726176","0.103935747649189","0.134605287803162"
"Keine Sorgen","1992","(Fach-)Abitur","Laendlicher Raum","55","0.365787443448139","0.296193572382945","0.435381314513332"
"Keine Sorgen","1992","(Fach-)Abitur","Staedtischer Raum","248","0.372407702542571","0.336696054616844","0.408119350468297"
"Keine Sorgen","1992","(noch) kein Abschluss","Laendlicher Raum","47","0.321802844580286","0.249863992251739","0.393741696908833"
"Keine Sorgen","1992","(noch) kein Abschluss","Staedtischer Raum","198","0.350162417174093","0.314569734404701","0.385755099943485"
"Keine Sorgen","1992","AkademikerIn","Laendlicher Raum","126","0.279134571217345","0.244189965151","0.31407917728369"
"Keine Sorgen","1992","AkademikerIn","Staedtischer Raum","378","0.453433906985443","0.422344795144159","0.484523018826727"
