year,pgisced97,sampreg,pli0081,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2008,Lower Secondary Level,West,Daily,0.11352290771735107,211,18613,0.11329594282205759,0.11374987261264456
2008,Lower Secondary Level,West,At least once per week,0.41034043669367803,713,18613,0.4099885069205903,0.41069236646676577
2008,Lower Secondary Level,West,At least once per month,0.22518427939854854,399,18613,0.22488543066201358,0.2254831281350835
2008,Lower Secondary Level,West,Seldom,0.2091543086932835,325,18613,0.2088633291469868,0.2094452882395802
2008,Lower Secondary Level,West,Never,0.04179806749713886,54,18613,0.041654885043376895,0.04194124995090082
2008,Lower Secondary Level,East,Daily,0.12939613905600464,33,18613,0.12870064065111428,0.130091637460895
2008,Lower Secondary Level,East,At least once per week,0.39427799636855126,114,18613,0.3932653375933044,0.39529065514379813
2008,Lower Secondary Level,East,At least once per month,0.2846933352564309,85,18613,0.2837582311357068,0.28562843937715504
2008,Lower Secondary Level,East,Seldom,0.19163252931901323,59,18613,0.19081695373605345,0.192448104901973
2008,Upper Secondary Level,West,Daily,0.081743884733549,624,18613,0.08164309842525075,0.08184467104184726
2008,Upper Secondary Level,West,At least once per week,0.39205056321202525,2888,18613,0.39187096717143827,0.39223015925261223
2008,Upper Secondary Level,West,At least once per month,0.28059912744575266,2024,18613,0.28043384732372023,0.2807644075677851
2008,Upper Secondary Level,West,Seldom,0.21955691410680755,1498,18613,0.2194046364573761,0.21970919175623901
2008,Upper Secondary Level,West,Never,0.026049510501865547,153,18613,0.025990915548879154,0.02610810545485194
2008,Upper Secondary Level,East,Daily,0.08651071280511989,210,18613,0.08630264585422985,0.08671877975600993
2008,Upper Secondary Level,East,At least once per week,0.37059818922915777,949,18613,0.37024072542826947,0.3709556530300461
2008,Upper Secondary Level,East,At least once per month,0.31144160947596017,803,18613,0.31109886131493725,0.3117843576369831
2008,Upper Secondary Level,East,Seldom,0.20573475226824922,482,18613,0.20543555815954695,0.2060339463769515
2008,Upper Secondary Level,East,Never,0.025714736221512866,50,18613,0.025597583998980992,0.02583188844404474
2008,Post-secondary Non-tertiary Level,West,Daily,0.05592002636713231,55,18613,0.05567927493911295,0.05616077779515167
2008,Post-secondary Non-tertiary Level,West,At least once per week,0.4323785641158791,382,18613,0.43185947458870627,0.43289765364305194
2008,Post-secondary Non-tertiary Level,West,At least once per month,0.2949955162871557,271,18613,0.2945176741517797,0.2954733584225317
2008,Post-secondary Non-tertiary Level,West,Seldom,0.21670589322983294,194,18613,0.21627419667182335,0.21713758978784253
