year,rentown,sampreg,hgeqpter,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2018,Tenant,East,No,0.33712,807,17697,0,0.30790,0,0.36997
2019,Owner,West,Yes,0.93564,4558,14910,0,0.90801,0,0.96104
2019,Owner,West,No,0.06436,268,14910,0,0.05747,0,0.07130
2019,Owner,East,Yes,0.73072,834,14910,0,0.65607,0,0.78964
2019,Owner,East,No,0.26928,285,14910,0,0.23667,0,0.29848
2019,Tenant,West,Yes,0.76071,4968,14910,0,0.73372,0,0.78756
2019,Tenant,West,No,0.23929,1954,14910,0,0.22147,0,0.25832
2019,Tenant,East,Yes,0.68064,1419,14910,0,0.63835,0,0.72597
2019,Tenant,East,No,0.31936,624,14910,0,0.28635,0,0.35355
2020,Owner,West,Yes,0.93942,5340,19301,0,0.91361,0,0.96914
2020,Owner,West,No,0.06058,284,19301,0,0.05350,0,0.06693
2020,Owner,East,Yes,0.76407,1070,19301,0,0.69912,0,0.81680
2020,Owner,East,No,0.23593,289,19301,0,0.20845,0,0.27407
2020,Tenant,West,Yes,0.75500,6817,19301,0,0.72969,0,0.77960
2020,Tenant,West,No,0.24500,3027,19301,0,0.22873,0,0.26182
2020,Tenant,East,Yes,0.67432,1672,19301,0,0.63398,0,0.72493
2020,Tenant,East,No,0.32568,802,19301,0,0.29604,0,0.36301
2021,Owner,West,Yes,0.94070,3601,11174,0,0.89886,0,0.97304
2021,Owner,West,No,0.05930,191,11174,0,0.04993,0,0.06856
2021,Owner,East,Yes,0.77519,690,11174,0,0.69346,0,0.85741
2021,Owner,East,No,0.22481,183,11174,0,0.17698,0,0.26074
2021,Tenant,West,Yes,0.75774,3634,11174,0,0.72391,0,0.78888
2021,Tenant,West,No,0.24226,1399,11174,0,0.22512,0,0.26308
2021,Tenant,East,Yes,0.66410,992,11174,0,0.60705,0,0.72559
2021,Tenant,East,No,0.33590,484,11174,0,0.29902,0,0.37823
