year,quintil_oecd_hh,regtyp,hgeqpter,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2011,3rd Quintile,Urban regions,No,0.020369302356279016,316,16600,0.02032522507954469,0.020413379633013342
2011,3rd Quintile,Rural regions,Yes,0.05630732468191543,996,16600,0.05623539747057541,0.056379251893255454
2011,3rd Quintile,Rural regions,No,0.014959951444480408,268,16600,0.014922073402595713,0.014997829486365103
2011,4th Quintile,Urban regions,Yes,0.12360018074266699,1826,16600,0.12349748411640331,0.12370287736893067
2011,4th Quintile,Urban regions,No,0.01595203219650672,217,16600,0.015912938059808847,0.01599112633320459
2011,4th Quintile,Rural regions,Yes,0.051106213743339006,838,16600,0.05103750039071927,0.05117492709595874
2011,4th Quintile,Rural regions,No,0.009344158477994028,139,16600,0.00931413735151642,0.009374179604471636
2011,5th Quintile,Urban regions,Yes,0.139098963100312,2212,16600,0.13899098540694374,0.13920694079368026
2011,5th Quintile,Urban regions,No,0.014671558367247265,187,16600,0.014634041711660346,0.014709075022834184
2011,5th Quintile,Rural regions,Yes,0.04217246476567485,745,16600,0.0421097523348524,0.042235177196497296
2011,5th Quintile,Rural regions,No,0.004028644771619992,68,16600,0.004008879699858462,0.004048409843381523
2012,1st Quintile,Urban regions,Yes,0.08942276451696965,1579,16297,0.08933397675557146,0.08951155227836784
2012,1st Quintile,Urban regions,No,0.04183318545375874,626,16297,0.04177089066800854,0.04189548023950894
2012,1st Quintile,Rural regions,Yes,0.042977769354038124,939,16297,0.042914665829832464,0.043040872878243784
2012,1st Quintile,Rural regions,No,0.02568484175527149,485,16297,0.025635619802117437,0.025734063708425545
2012,2nd Quintile,Urban regions,Yes,0.10510859369857482,1625,16297,0.10501316589071967,0.10520402150642998
2012,2nd Quintile,Urban regions,No,0.028204771601605536,374,16297,0.02815325830533973,0.028256284897871343
2012,2nd Quintile,Rural regions,Yes,0.05018234650213691,952,16297,0.0501144157744363,0.05025027722983752
2012,2nd Quintile,Rural regions,No,0.01675493788330799,308,16297,0.016715001110840254,0.016794874655775727
2012,3rd Quintile,Urban regions,Yes,0.10895316702247254,1646,16297,0.10885621857454204,0.10905011547040304
2012,3rd Quintile,Urban regions,No,0.02010182777047337,306,16297,0.020058158200676565,0.02014549734027017
2012,3rd Quintile,Rural regions,Yes,0.05532554737550758,1021,16297,0.055254413804583256,0.0553966809464319
2012,3rd Quintile,Rural regions,No,0.015417245993030817,264,16297,0.01537891057714748,0.015455581408914154
2012,4th Quintile,Urban regions,Yes,0.11754276427876355,1710,16297,0.11744255326626961,0.11764297529125749
2012,4th Quintile,Urban regions,No,0.016357957265243722,228,16297,0.016318488481632597,0.016397426048854847
2012,4th Quintile,Rural regions,Yes,0.05635028729050856,906,16297,0.0562785369214604,0.05642203765955672
2012,4th Quintile,Rural regions,No,0.00975429309121552,167,16297,0.009723712910295265,0.009784873272135775
2012,5th Quintile,Urban regions,Yes,0.13841104592289508,2143,16297,0.13830359600143055,0.1385184958443596
2012,5th Quintile,Urban regions,No,0.014210835358469617,188,16297,0.014174007837115568,0.014247662879823665
2012,5th Quintile,Rural regions,Yes,0.04340288586403247,760,16297,0.04333948509840004,0.0434662866296649
