year,bula_h,sampreg,plb0218_v1,proportion,n,lower_confidence,upper_confidence
2011,Mecklenburg-Vorpommern,Ostdeutschland,"Ja, jede Woche",0.002689296599533855,41903,0.002193426291388266,0.0031851669076794443
2011,Berlin,Ostdeutschland,"Ja, jede Woche",0.0025100101595649316,41903,0.0020309108713835386,0.0029891094477463246
2011,Hamburg,Westdeutschland,"Ja, jede Woche",0.002390485866252316,41903,0.0019229048245217148,0.002858066907982917
2011,Berlin,Westdeutschland,"Ja, alle 2 Wochen",0.002330723719596008,41903,0.0018690106056185767,0.0027924368335734396
2011,Bremen,Westdeutschland,"Nein, nie",0.002151437279627084,41903,0.0017077978116478935,0.0025950767476062746
2011,Berlin,Ostdeutschland,"Ja, alle 2 Wochen",0.0019123886930018526,41903,0.0014940712934960795,0.002330706092507626
2011,Bremen,Westdeutschland,Seltener,0.001792864399689237,41903,0.0013878060679010673,0.0021979227314774066
2011,Berlin,Ostdeutschland,"Ja, alle 3-4 Wochen",0.001792864399689237,41903,0.0013878060679010673,0.0021979227314774066
2011,Hamburg,Westdeutschland,"Ja, alle 2 Wochen",0.001673340106376621,41903,0.0012819931527317582,0.002064687060021484
2011,Mecklenburg-Vorpommern,Ostdeutschland,"Ja, alle 3-4 Wochen",0.0016135779597203131,41903,0.0012292713779095822,0.001997884541531044
2011,Berlin,Westdeutschland,"Ja, alle 3-4 Wochen",0.0015538158130640053,41903,0.001176681878423312,0.0019309497477046987
2011,Hamburg,Westdeutschland,"Ja, alle 3-4 Wochen",0.0012550050797824658,41903,0.0009160176745458932,0.0015939924850190384
2011,Bremen,Westdeutschland,"Ja, jede Woche",0.0008964321998446185,41903,0.0006098841271164732,0.0011829802725727638
2011,Bremen,Westdeutschland,"Ja, alle 2 Wochen",0.0008366700531883105,41903,0.0005598300353408024,0.0011135100710358186
2011,Bremen,Westdeutschland,"Ja, alle 3-4 Wochen",0.0003585728799378474,41903,0.00017729519115134657,0.0005398505687243482
2013,Nordrhein-Westfalen,Westdeutschland,"Nein, nie",0.07849961330239752,44486,0.0760002700082998,0.08099895659649524
2013,Bayern,Westdeutschland,"Nein, nie",0.06760763083268884,44486,0.06527448649675571,0.06994077516862196
