year,bula_h,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1992,Baden-Wuerttemberg,794,1788.65963,1720.75652,1856.56274,1061.58560,1636.00000,2301.00000,0.00000,4160.12160,1636.00000,1534.00000,1790.00000
1992,Bavaria,790,1745.07605,1675.46152,1814.69058,1023.00000,1585.00000,2199.00000,239.00000,3963.00000,1585.00000,1534.00000,1687.00000
1992,Berlin,323,1595.24151,1479.26458,1711.21843,1004.32598,1380.00000,2045.00000,205.00000,3606.01102,1380.00000,1278.00000,1534.00000
1992,Brandenburg,313,1145.30393,1084.67520,1205.93265,703.97627,1026.10142,1493.17528,256.00000,2676.97380,1023.00000,1023.00000,1125.00000
1992,Mecklenburg-Western Pomerania,191,1173.45179,1089.81236,1257.09121,681.46069,1074.00000,1534.00000,307.00000,2812.80897,1074.00000,920.00000,1227.00000
1992,Saxony,560,1061.21531,1017.36253,1105.06808,654.04777,1023.00000,1380.00000,179.00000,2468.92835,1023.00000,920.00000,1023.00000
1992,Saxony-Anhalt,365,1076.03819,1019.56093,1132.51545,653.98829,1023.00000,1380.00000,205.00000,2469.01757,1023.00000,920.00000,1023.00000
1992,Thuringa,323,1042.87529,985.68349,1100.06708,665.00000,971.00000,1278.00000,245.00000,2197.50000,971.00000,869.00000,1023.00000
1993,Schleswig-Holstein,153,1727.14198,1569.09156,1885.19241,1023.00000,1534.00000,2147.00000,230.00000,3833.00000,1534.00000,1329.00000,1738.00000
1993,Hamburg,89,1486.53692,1341.63332,1631.44052,1000.07991,1278.00000,2043.35686,562.00000,3608.27227,1278.00000,1067.00000,1483.00000
1993,Lower Saxony,485,1760.14058,1665.68763,1854.59354,1072.53983,1534.00000,2226.79327,26.00000,3958.17344,1534.00000,1483.00000,1738.00000
1993,Bremen,56,1324.46422,1132.11077,1516.81767,803.04516,1097.75222,1790.00000,328.00000,3270.43227,1074.00000,939.00000,1380.00000
1993,North Rhine-Westphalia,1191,1814.49925,1756.36684,1872.63166,1072.93135,1568.50309,2352.00000,153.00000,4270.60297,1564.00000,1534.00000,1687.00000
1993,Hesse,446,1939.52842,1822.64397,2056.41288,1125.00000,1738.00000,2556.00000,307.00000,4702.50000,1738.00000,1534.00000,1892.25000
1993,"Rhineland-Palatinate, Saarland",304,1662.28396,1562.88614,1761.68177,1023.00000,1483.00000,2147.00000,343.00000,3833.00000,1483.00000,1328.75000,1636.00000
1993,Baden-Wuerttemberg,796,1892.05060,1817.87795,1966.22326,1125.00000,1780.91129,2454.00000,256.00000,4447.50000,1790.00000,1611.00000,1790.00000
1993,Bavaria,781,1841.78622,1757.60731,1925.96513,1023.00000,1679.98055,2351.70870,307.00000,4344.77174,1687.00000,1534.00000,1790.00000
1993,Berlin,313,1657.89475,1551.52092,1764.26857,1023.00000,1534.00000,2175.23318,256.00000,3903.58294,1534.00000,1278.00000,1585.00000
1993,Brandenburg,299,1344.28134,1258.83055,1429.73214,767.00000,1274.43528,1636.00000,253.00000,2939.50000,1278.00000,1142.90000,1329.00000
1993,Mecklenburg-Western Pomerania,192,1324.12897,1210.82830,1437.42964,769.98315,1278.00000,1687.00000,235.00000,3062.52528,1278.00000,1023.00000,1380.00000
1993,Saxony,537,1289.37287,1232.68229,1346.06346,818.00000,1176.00000,1610.71994,184.00000,2799.79984,1176.00000,1125.00000,1278.00000
1993,Saxony-Anhalt,345,1271.96905,1200.25283,1343.68528,753.45432,1193.91482,1636.00000,220.00000,2959.81851,1202.00000,1023.00000,1271.00000
1993,Thuringa,314,1187.18140,1122.29655,1252.06626,767.00000,1074.00000,1534.00000,231.00000,2684.50000,1074.00000,1023.00000,1227.00000
1994,Schleswig-Holstein,145,1787.26888,1637.47104,1937.06672,1133.08089,1598.28829,2196.60790,383.00000,3791.89842,1585.00000,1385.85000,1774.40000
1994,Hamburg,87,1589.84658,1429.61229,1750.08087,1023.00000,1415.24738,2045.00000,511.00000,3578.00000,1432.00000,1176.00000,1534.00000
1994,Lower Saxony,484,1792.31910,1687.28954,1897.34865,1111.04271,1534.00000,2222.06642,179.00000,3888.60198,1534.00000,1534.00000,1687.00000
1994,Bremen,52,1320.88519,1141.18420,1500.58618,936.93935,1125.00000,1551.31013,219.00000,2472.86629,1125.00000,1023.00000,1279.27500
1994,North Rhine-Westphalia,1168,1872.01845,1808.12292,1935.91397,1082.99541,1636.00000,2352.00000,174.00000,4255.50688,1636.00000,1559.00000,1738.00000
1994,Hesse,440,1906.95224,1771.69205,2042.21243,1023.00000,1636.00000,2408.46299,205.00000,4486.65749,1636.00000,1481.72500,1790.00000
1994,"Rhineland-Palatinate, Saarland",309,1742.23134,1641.58349,1842.87919,1026.29355,1534.00000,2263.76899,358.00000,4119.98216,1534.00000,1430.70000,1790.00000
1994,Baden-Wuerttemberg,787,1895.59182,1824.75474,1966.42891,1176.00000,1790.00000,2418.49200,153.00000,4282.22999,1790.00000,1636.00000,1943.00000
1994,Bavaria,801,1795.30459,1729.72872,1860.88046,1038.88581,1585.00000,2366.72203,256.00000,4358.47636,1585.00000,1534.00000,1765.00000
