year,bula_h,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2000,Saxony-Anhalt,Urban regions,,,,,,,,,,,,
2000,Saxony-Anhalt,Rural regions,,,,,,,,,,,,
2000,Thuringa,Urban regions,,,,,,,,,,,,
2000,Thuringa,Rural regions,,,,,,,,,,,,
2001,Schleswig-Holstein,Urban regions,,,,,,,,,,,,
2001,Schleswig-Holstein,Rural regions,,,,,,,,,,,,
2001,Hamburg,Urban regions,,,,,,,,,,,,
2001,Lower Saxony,Urban regions,,,,,,,,,,,,
2001,Lower Saxony,Rural regions,,,,,,,,,,,,
2001,Bremen,Urban regions,,,,,,,,,,,,
2001,North Rhine-Westphalia,Urban regions,,,,,,,,,,,,
2001,North Rhine-Westphalia,Rural regions,,,,,,,,,,,,
2001,Hesse,Urban regions,,,,,,,,,,,,
2001,Hesse,Rural regions,,,,,,,,,,,,
2001,"Rhineland-Palatinate, Saarland",Urban regions,,,,,,,,,,,,
2001,"Rhineland-Palatinate, Saarland",Rural regions,,,,,,,,,,,,
2001,Baden-Wuerttemberg,Urban regions,,,,,,,,,,,,
2001,Baden-Wuerttemberg,Rural regions,,,,,,,,,,,,
2001,Bavaria,Urban regions,,,,,,,,,,,,
2001,Bavaria,Rural regions,,,,,,,,,,,,
2001,Berlin,Urban regions,,,,,,,,,,,,
2001,Brandenburg,Urban regions,,,,,,,,,,,,
2001,Brandenburg,Rural regions,,,,,,,,,,,,
2001,Mecklenburg-Western Pomerania,Urban regions,,,,,,,,,,,,
2001,Mecklenburg-Western Pomerania,Rural regions,,,,,,,,,,,,
2001,Saxony,Urban regions,,,,,,,,,,,,
2001,Saxony,Rural regions,,,,,,,,,,,,
2001,Saxony-Anhalt,Urban regions,,,,,,,,,,,,
2001,Saxony-Anhalt,Rural regions,,,,,,,,,,,,
2001,Thuringa,Urban regions,,,,,,,,,,,,
2001,Thuringa,Rural regions,,,,,,,,,,,,
2002,Schleswig-Holstein,Urban regions,,,,,,,,,,,,
2002,Schleswig-Holstein,Rural regions,,,,,,,,,,,,
2002,Hamburg,Urban regions,,,,,,,,,,,,
2002,Lower Saxony,Urban regions,,,,,,,,,,,,
2002,Lower Saxony,Rural regions,,,,,,,,,,,,
2002,Bremen,Urban regions,,,,,,,,,,,,
2002,North Rhine-Westphalia,Urban regions,,,,,,,,,,,,
2002,North Rhine-Westphalia,Rural regions,,,,,,,,,,,,
2002,Hesse,Urban regions,,,,,,,,,,,,
2002,Hesse,Rural regions,,,,,,,,,,,,
2002,"Rhineland-Palatinate, Saarland",Urban regions,,,,,,,,,,,,
2002,"Rhineland-Palatinate, Saarland",Rural regions,,,,,,,,,,,,
2002,Baden-Wuerttemberg,Urban regions,,,,,,,,,,,,
2002,Baden-Wuerttemberg,Rural regions,,,,,,,,,,,,
2002,Bavaria,Urban regions,,,,,,,,,,,,
2002,Bavaria,Rural regions,,,,,,,,,,,,
2002,Berlin,Urban regions,,,,,,,,,,,,
2002,Brandenburg,Urban regions,,,,,,,,,,,,
2002,Brandenburg,Rural regions,,,,,,,,,,,,
2002,Mecklenburg-Western Pomerania,Urban regions,,,,,,,,,,,,
2002,Mecklenburg-Western Pomerania,Rural regions,,,,,,,,,,,,
2002,Saxony,Urban regions,,,,,,,,,,,,
2002,Saxony,Rural regions,,,,,,,,,,,,
2002,Saxony-Anhalt,Urban regions,,,,,,,,,,,,
2002,Saxony-Anhalt,Rural regions,,,,,,,,,,,,
2002,Thuringa,Urban regions,,,,,,,,,,,,
2002,Thuringa,Rural regions,,,,,,,,,,,,
2003,Schleswig-Holstein,Urban regions,,,,,,,,,,,,
2003,Schleswig-Holstein,Rural regions,,,,,,,,,,,,
2003,Hamburg,Urban regions,,,,,,,,,,,,
2003,Lower Saxony,Urban regions,,,,,,,,,,,,
2003,Lower Saxony,Rural regions,,,,,,,,,,,,
2003,Bremen,Urban regions,,,,,,,,,,,,
