year,bula_h,overyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2017,Bavaria,Yes,0.23950,1276,1704,0.21923,0.25977
2017,Bavaria,No,0.07938,428,1704,0.06654,0.09222
2017,Berlin,Yes,0.21766,262,325,0.17273,0.26259
2017,Berlin,No,0.05098,63,325,0.02703,0.07493
2017,Brandenburg,Yes,0.19159,236,320,0.14840,0.23478
2017,Brandenburg,No,0.05835,84,320,0.03263,0.08408
2017,Mecklenburg-Western Pomerania,Yes,0.20349,128,176,0.14384,0.26314
2017,Mecklenburg-Western Pomerania,No,0.07314,48,176,0.03456,0.11171
2017,Saxony,Yes,0.26376,456,647,0.22978,0.29775
2017,Saxony,No,0.08607,191,647,0.06445,0.10770
2017,Saxony-Anhalt,Yes,0.18861,245,321,0.14575,0.23148
2017,Saxony-Anhalt,No,0.06074,76,321,0.03457,0.08691
2017,Thuringa,Yes,0.21939,258,365,0.17687,0.26190
2017,Thuringa,No,0.08440,107,365,0.05584,0.11295
2018,Schleswig-Holstein,Yes,0.22808,279,381,0.18589,0.27027
2018,Schleswig-Holstein,No,0.07977,102,381,0.05253,0.10701
2018,Hamburg,Yes,0.17043,111,149,0.10985,0.23101
2018,Hamburg,No,0.05953,38,149,0.02141,0.09765
2018,Lower Saxony,Yes,0.24281,759,1027,0.21657,0.26905
2018,Lower Saxony,No,0.08759,268,1027,0.07029,0.10488
2018,Bremen,Yes,0.24281,58,58,0.13149,0.35412
2018,North Rhine-Westphalia,Yes,0.22363,1409,1908,0.20493,0.24233
2018,North Rhine-Westphalia,No,0.07207,499,1908,0.06046,0.08367
2018,Hesse,Yes,0.24184,536,717,0.21048,0.27321
2018,Hesse,No,0.08794,181,717,0.06720,0.10869
2018,"Rhineland-Palatinate, Saarland",Yes,0.22456,413,590,0.19086,0.25826
2018,"Rhineland-Palatinate, Saarland",No,0.09068,177,590,0.06749,0.11387
2018,Baden-Wuerttemberg,Yes,0.29256,1039,1311,0.26792,0.31719
2018,Baden-Wuerttemberg,No,0.06167,272,1311,0.04864,0.07470
2018,Bavaria,Yes,0.26951,1267,1724,0.24856,0.29046
2018,Bavaria,No,0.08652,457,1724,0.07325,0.09980
2018,Berlin,Yes,0.23269,268,364,0.18922,0.27616
2018,Berlin,No,0.07246,96,364,0.04579,0.09912
2018,Brandenburg,Yes,0.18959,242,340,0.14786,0.23132
2018,Brandenburg,No,0.08868,98,340,0.05841,0.11894
2018,Mecklenburg-Western Pomerania,Yes,0.21308,136,187,0.15423,0.27193
2018,Mecklenburg-Western Pomerania,No,0.06358,51,187,0.02851,0.09864
2018,Saxony,Yes,0.26008,452,685,0.22720,0.29295
2018,Saxony,No,0.11496,233,685,0.09106,0.13887
2018,Saxony-Anhalt,Yes,0.18616,239,330,0.14410,0.22822
2018,Saxony-Anhalt,No,0.06400,91,330,0.03756,0.09045
2018,Thuringa,Yes,0.21919,256,369,0.17692,0.26146
2018,Thuringa,No,0.09296,113,369,0.06329,0.12263
2019,Schleswig-Holstein,Yes,0.24384,268,349,0.19873,0.28896
2019,Schleswig-Holstein,No,0.06586,81,349,0.03980,0.09192
2019,Hamburg,Yes,0.18175,102,102,0.10654,0.25696
2019,Lower Saxony,Yes,0.23751,695,906,0.20978,0.26524
2019,Lower Saxony,No,0.06472,211,906,0.04869,0.08075
2019,Bremen,Yes,0.27926,60,60,0.16478,0.39374
2019,North Rhine-Westphalia,Yes,0.22243,1322,1732,0.20284,0.24202
2019,North Rhine-Westphalia,No,0.05735,410,1732,0.04639,0.06830
2019,Hesse,Yes,0.26026,518,667,0.22694,0.29359
2019,Hesse,No,0.07412,149,667,0.05422,0.09401
2019,"Rhineland-Palatinate, Saarland",Yes,0.22071,392,519,0.18500,0.25643
2019,"Rhineland-Palatinate, Saarland",No,0.07727,127,519,0.05428,0.10027
2019,Baden-Wuerttemberg,Yes,0.25947,897,1181,0.23446,0.28449
2019,Baden-Wuerttemberg,No,0.07661,284,1181,0.06144,0.09179
2019,Bavaria,Yes,0.25377,1164,1545,0.23206,0.27548
2019,Bavaria,No,0.07787,381,1545,0.06451,0.09124
2019,Berlin,Yes,0.21939,259,346,0.17572,0.26306
2019,Berlin,No,0.07679,87,346,0.04870,0.10489
2019,Brandenburg,Yes,0.19064,251,347,0.14925,0.23203
2019,Brandenburg,No,0.08286,96,347,0.05381,0.11191
2019,Mecklenburg-Western Pomerania,Yes,0.18624,120,162,0.12611,0.24638
2019,Mecklenburg-Western Pomerania,No,0.08905,42,162,0.04506,0.13305
2019,Saxony,Yes,0.25720,461,629,0.22302,0.29139
2019,Saxony,No,0.10232,168,629,0.07862,0.12603
2019,Saxony-Anhalt,Yes,0.21349,237,299,0.16697,0.26002
2019,Saxony-Anhalt,No,0.04899,62,299,0.02448,0.07349
2019,Thuringa,Yes,0.21102,250,329,0.16686,0.25518
2019,Thuringa,No,0.06938,79,329,0.04188,0.09689
2020,Schleswig-Holstein,Yes,0.22971,240,345,0.18526,0.27416
2020,Schleswig-Holstein,No,0.09582,105,345,0.06471,0.12692
2020,Hamburg,Yes,0.18825,107,166,0.12860,0.24790
2020,Hamburg,No,0.09644,59,166,0.05140,0.14149
2020,Lower Saxony,Yes,0.22040,651,1008,0.19480,0.24600
2020,Lower Saxony,No,0.11114,357,1008,0.09173,0.13055
2020,Bremen,Yes,0.18275,53,53,0.07771,0.28780
2020,North Rhine-Westphalia,Yes,0.19893,1286,1972,0.18131,0.21656
2020,North Rhine-Westphalia,No,0.10249,686,1972,0.08910,0.11588
2020,Hesse,Yes,0.23758,498,765,0.20740,0.26776
2020,Hesse,No,0.10768,267,765,0.08570,0.12966
2020,"Rhineland-Palatinate, Saarland",Yes,0.20457,308,524,0.17000,0.23915
2020,"Rhineland-Palatinate, Saarland",No,0.11683,216,524,0.08930,0.14436
2020,Baden-Wuerttemberg,Yes,0.23009,804,1265,0.20689,0.25329
2020,Baden-Wuerttemberg,No,0.11418,461,1265,0.09664,0.13171
2020,Bavaria,Yes,0.22893,1124,1795,0.20949,0.24837
2020,Bavaria,No,0.13563,671,1795,0.11979,0.15148
2020,Berlin,Yes,0.22364,299,459,0.18548,0.26180
2020,Berlin,No,0.08878,160,459,0.06273,0.11483
2020,Brandenburg,Yes,0.20536,238,364,0.16380,0.24691
2020,Brandenburg,No,0.11661,126,364,0.08359,0.14963
2020,Mecklenburg-Western Pomerania,Yes,0.17828,101,154,0.11763,0.23893
2020,Mecklenburg-Western Pomerania,No,0.07747,53,154,0.03511,0.11983
2020,Saxony,Yes,0.22290,390,644,0.19073,0.25507
2020,Saxony,No,0.15480,254,644,0.12684,0.18276
2020,Saxony-Anhalt,Yes,0.21260,218,328,0.16825,0.25695
2020,Saxony-Anhalt,No,0.08927,110,328,0.05837,0.12018
2020,Thuringa,Yes,0.21194,208,343,0.16863,0.25525
2020,Thuringa,No,0.11249,135,343,0.07900,0.14598
2021,Schleswig-Holstein,Yes,0.22572,205,275,0.17622,0.27523
2021,Schleswig-Holstein,No,0.07780,70,275,0.04608,0.10952
2021,Hamburg,Yes,0.20798,80,117,0.13412,0.28183
2021,Hamburg,No,0.07246,37,117,0.02528,0.11964
2021,Lower Saxony,Yes,0.27111,511,680,0.23767,0.30454
2021,Lower Saxony,No,0.05985,169,680,0.04201,0.07769
2021,Bremen,Yes,0.22855,36,36,0.08944,0.36767
2021,North Rhine-Westphalia,Yes,0.21847,1026,1397,0.19679,0.24015
2021,North Rhine-Westphalia,No,0.07565,371,1397,0.06178,0.08952
2021,Hesse,Yes,0.26323,376,493,0.22432,0.30215
2021,Hesse,No,0.05817,117,493,0.03749,0.07885
2021,"Rhineland-Palatinate, Saarland",Yes,0.23295,257,382,0.19050,0.27540
2021,"Rhineland-Palatinate, Saarland",No,0.08421,125,382,0.05632,0.11209
2021,Baden-Wuerttemberg,Yes,0.27234,663,932,0.24374,0.30094
2021,Baden-Wuerttemberg,No,0.09141,269,932,0.07290,0.10992
2021,Bavaria,Yes,0.24557,872,1195,0.22115,0.26998
2021,Bavaria,No,0.11169,323,1195,0.09382,0.12955
2021,Berlin,Yes,0.22056,222,313,0.17455,0.26657
2021,Berlin,No,0.07065,91,313,0.04222,0.09909
2021,Brandenburg,Yes,0.22874,168,249,0.17646,0.28101
2021,Brandenburg,No,0.11498,81,249,0.07528,0.15468
2021,Mecklenburg-Western Pomerania,Yes,0.22001,103,142,0.15163,0.28838
2021,Mecklenburg-Western Pomerania,No,0.08218,39,142,0.03685,0.12751
2021,Saxony,Yes,0.24128,318,450,0.20171,0.28086
2021,Saxony,No,0.11499,132,450,0.08548,0.14450
2021,Saxony-Anhalt,Yes,0.20228,153,213,0.14820,0.25635
2021,Saxony-Anhalt,No,0.08685,60,213,0.04894,0.12476
2021,Thuringa,Yes,0.23871,174,225,0.18288,0.29454
2021,Thuringa,No,0.10436,51,225,0.06432,0.14440
