year,age_gr,quintil_oecd,plh0107,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,66 and older,3rd Quintile,Less important,0.14113,138,783,0.11673,0.16553
2008,66 and older,3rd Quintile,Unimportant,0.39822,354,783,0.36391,0.43254
2008,66 and older,4th Quintile,Very important,0.06911,52,592,0.04866,0.08956
2008,66 and older,4th Quintile,Important,0.27328,187,592,0.23735,0.30921
2008,66 and older,4th Quintile,Less important,0.12596,100,592,0.09921,0.15271
2008,66 and older,4th Quintile,Unimportant,0.34117,253,592,0.30295,0.37940
2008,66 and older,5th Quintile,Very important,0.11498,110,747,0.09209,0.13787
2008,66 and older,5th Quintile,Important,0.30179,294,747,0.26885,0.33474
2008,66 and older,5th Quintile,Less important,0.11120,108,747,0.08864,0.13376
2008,66 and older,5th Quintile,Unimportant,0.27321,235,747,0.24124,0.30519
2012,17-29 y.,1st Quintile,Very important,0.37484,499,1183,0.34725,0.40244
2012,17-29 y.,1st Quintile,Important,0.45807,565,1183,0.42966,0.48647
2012,17-29 y.,1st Quintile,Less important,0.08183,119,1183,0.06620,0.09746
2012,17-29 y.,2nd Quintile,Very important,0.37750,313,731,0.34234,0.41267
2012,17-29 y.,2nd Quintile,Important,0.44286,357,731,0.40682,0.47889
2012,17-29 y.,2nd Quintile,Less important,0.08999,61,731,0.06924,0.11075
2012,17-29 y.,3rd Quintile,Very important,0.28991,241,660,0.25526,0.32455
2012,17-29 y.,3rd Quintile,Important,0.55257,357,660,0.51461,0.59054
2012,17-29 y.,3rd Quintile,Less important,0.07291,62,660,0.05306,0.09276
2012,17-29 y.,4th Quintile,Very important,0.39805,217,573,0.35793,0.43816
2012,17-29 y.,4th Quintile,Important,0.43988,301,573,0.39920,0.48055
