year,age_gr,quintil_oecd,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1988,46-65 J.,2. Quintil,10.595549705846596,10.538578483000148,10.652520928693043,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5,973.0
1988,46-65 J.,3. Quintil,11.213237331185478,11.119533017178236,11.30694164519272,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5,566.0
1988,46-65 J.,4. Quintil,12.224157477134682,12.057080515158018,12.391234439111345,10.5,11.5,13.184228384687376,7.0,17.21057096171844,11.5,11.5,12.0,249.0
1988,46-65 J.,5. Quintil,13.410346020645951,13.137571908659464,13.683120132632439,10.5,12.0,16.0,7.0,18.0,12.0,9.5,12.5,113.0
1988,66 und älter,1. Quintil,10.079838569584266,10.027206306119124,10.132470833049409,9.0,10.5,10.5,7.0,12.75,10.5,10.5,12.0,612.0
1988,66 und älter,2. Quintil,10.894399539129916,10.78855793472895,11.000241143530882,10.0,10.5,11.5,7.75,13.75,10.5,10.0,10.5,235.0
1988,66 und älter,3. Quintil,11.670226923665432,11.451516170073553,11.88893767725731,10.5,10.5,12.0,9.0,14.25,10.5,9.987499999999997,10.5,113.0
1988,66 und älter,4. Quintil,12.578995773454654,12.197185260025742,12.960806286883566,10.5,11.836110680514645,15.0,9.0,18.0,12.0,12.0,13.5,51.0
1988,66 und älter,5. Quintil,,,,,,,,,,,,
1989,unter 18 J.,-6,,,,,,,,,,,,
1989,18-29 J.,1. Quintil,10.916091974128364,10.857442685263559,10.974741262993168,9.0,10.5,12.0,7.0,16.5,10.5,10.5,10.5,1049.0
1989,18-29 J.,2. Quintil,11.183179146854453,11.124249213415231,11.242109080293675,10.5,10.5,11.5,9.0,13.0,10.5,10.0,10.5,740.0
1989,18-29 J.,3. Quintil,11.476555814663929,11.38793032017601,11.565181309151848,10.5,11.0,13.0,7.0,16.75,11.0,10.5,11.5,462.0
1989,18-29 J.,4. Quintil,11.895386175406369,11.729353630430529,12.061418720382209,10.5,11.5,13.0,7.0,16.75,11.5,11.5,11.5,160.0
1989,18-29 J.,5. Quintil,12.992328147380556,12.644867778187264,13.339788516573849,11.5,13.0,14.5,10.0,18.0,13.0,12.5,14.0125,33.0
1989,30-45 J.,1. Quintil,10.635080430273945,10.579528710851157,10.690632149696732,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5,1085.0
1989,30-45 J.,2. Quintil,11.463939661382504,11.38755833572987,11.540320987035138,10.5,10.5,12.0,8.25,14.25,10.5,10.5,10.5,867.0
1989,30-45 J.,3. Quintil,11.948717213597964,11.835022650716828,12.0624117764791,10.5,11.0,12.0,8.25,14.25,11.0,10.5,11.5,477.0
1989,30-45 J.,4. Quintil,13.332747691698192,13.156894184893833,13.50860119850255,10.5,12.0,16.0,7.0,18.0,12.0,12.0,12.5,271.0
1989,30-45 J.,5. Quintil,13.941735485767056,13.650549207813931,14.232921763720181,11.5,12.928479705578662,18.0,7.0,18.0,13.0,11.0,14.0,102.0
1989,46-65 J.,1. Quintil,10.074066425071967,10.030251863788559,10.117880986355376,9.0,10.5,10.5,7.0,12.75,10.5,10.5,10.5,1021.0
1989,46-65 J.,2. Quintil,10.491122955762078,10.436160891577488,10.546085019946668,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5,920.0
1989,46-65 J.,3. Quintil,11.137373856724063,11.050716466583705,11.22403124686442,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5,619.0
1989,46-65 J.,4. Quintil,12.136451367531048,11.982519038729071,12.290383696333025,10.5,11.5,13.0,7.0,16.75,11.5,11.5,12.0,287.0
1989,46-65 J.,5. Quintil,13.921635297864636,13.631181434532172,14.2120891611971,11.0,13.0,18.0,9.0,18.0,13.0,11.0,14.5,106.0
1989,66 und älter,1. Quintil,10.00903152303508,9.955488060365242,10.062574985704918,9.0,10.0,10.5,7.0,12.75,10.0,9.5,11.0,536.0
1989,66 und älter,2. Quintil,10.678508626946389,10.57832266958122,10.778694584311557,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5,240.0
1989,66 und älter,3. Quintil,11.48162089686963,11.306797994583164,11.656443799156097,10.5,11.0,12.0,8.25,14.25,11.0,10.5,11.5,131.0
1989,66 und älter,4. Quintil,12.883207544067053,12.544853216200007,13.2215618719341,10.5,12.0,15.0,7.0,18.0,12.0,10.0,12.5,69.0
1989,66 und älter,5. Quintil,12.895343765264935,12.375449522805747,13.415238007724122,10.5,11.737971024261283,15.832152328233725,9.0,18.0,11.5,8.0,12.5,33.0
1990,unter 18 J.,-6,,,,,,,,,,,,
1990,18-29 J.,-6,11.803995394499966,11.755127799875888,11.852862989124043,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,1067.0
1990,18-29 J.,1. Quintil,10.790052997089754,10.7260004403258,10.854105553853708,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5,875.0
1990,18-29 J.,2. Quintil,11.110365470782376,11.046469327735917,11.174261613828836,10.0,10.5,12.0,7.0,15.0,10.5,10.5,10.5,732.0
1990,18-29 J.,3. Quintil,11.46524487455335,11.387786623747653,11.542703125359049,10.5,11.5,12.0,8.25,14.25,11.5,11.5,12.5,496.0
1990,18-29 J.,4. Quintil,11.997813147141033,11.859115187142313,12.136511107139752,10.5,11.5,13.0,7.0,16.75,11.5,11.5,11.5,189.0
1990,18-29 J.,5. Quintil,12.773173860757499,12.461845836933971,13.084501884581027,11.5,12.0,14.5,9.0,18.0,12.0,11.0,12.5,47.0
1990,30-45 J.,-6,12.483651122443273,12.425884405155232,12.541417839731315,11.5,11.5,13.0,9.25,15.25,11.5,11.5,11.5,1512.0
1990,30-45 J.,1. Quintil,10.637558998603417,10.578857666600403,10.696260330606432,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5,1009.0
1990,30-45 J.,2. Quintil,11.492583836192292,11.413725960882307,11.571441711502278,10.5,10.5,12.0,8.25,14.25,10.5,10.5,10.5,824.0
1990,30-45 J.,3. Quintil,12.165164828345365,12.044953866271442,12.285375790419288,10.5,11.0,13.0,7.0,16.75,11.0,10.5,11.0,468.0
1990,30-45 J.,4. Quintil,12.976825064524773,12.820986004978513,13.132664124071033,10.5,12.0,15.0,7.0,18.0,12.0,12.0,12.5,301.0
1990,30-45 J.,5. Quintil,13.730584533506315,13.482419592937251,13.978749474075379,11.5,12.0,18.0,7.0,18.0,12.0,10.0,12.5,137.0
1990,46-65 J.,-6,11.368331937000319,11.312131643002546,11.424532230998091,10.5,10.5,12.0,8.25,14.25,10.5,10.5,10.5,1343.0
1990,46-65 J.,1. Quintil,10.04298949638671,9.994497149079804,10.091481843693616,9.0,10.5,10.5,7.0,12.75,10.5,10.5,10.5,923.0
1990,46-65 J.,2. Quintil,10.46070665824,10.406109783153932,10.515303533326067,9.0,10.5,10.5,7.0,12.75,10.5,10.5,10.5,860.0
1990,46-65 J.,3. Quintil,11.069309132956844,10.980002122416824,11.158616143496864,10.0,10.5,11.5,7.75,13.75,10.5,10.5,10.5,604.0
1990,46-65 J.,4. Quintil,11.926243306358252,11.795888449985029,12.056598162731476,10.5,11.0,12.0,8.25,14.25,11.0,10.5,11.0,365.0
1990,46-65 J.,5. Quintil,13.534281012898358,13.28404712443588,13.784514901360836,11.0,12.0,18.0,7.0,18.0,12.0,10.0,12.0,133.0
1990,66 und älter,-6,10.363664655563776,10.296507543667168,10.430821767460383,9.0,10.5,10.5,7.0,12.75,10.5,10.5,10.5,418.0
1990,66 und älter,1. Quintil,10.02934355798578,9.971025966610751,10.087661149360807,9.0,10.5,10.5,7.0,12.75,10.5,10.5,12.0,514.0
1990,66 und älter,2. Quintil,10.613231620163688,10.518744127149938,10.707719113177438,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5,265.0
1990,66 und älter,3. Quintil,11.392951840595256,11.227040270856707,11.558863410333805,10.5,10.5,12.0,8.25,14.25,10.5,10.0,10.5,155.0
1990,66 und älter,4. Quintil,13.042824908257778,12.72448636742174,13.361163449093816,11.014559208017495,12.0,15.0,9.0,18.0,12.0,10.0,12.5,64.0
1990,66 und älter,5. Quintil,12.791178787913207,12.340315906388556,13.242041669437858,10.5,11.5,15.0,9.0,18.0,11.5,11.0,12.5,40.0
1991,unter 18 J.,-6,,,,,,,,,,,,
1991,18-29 J.,-6,11.801460554618556,11.7483436212826,11.854577487954511,11.5,11.5,11.5,11.5,11.5,11.5,11.5,11.5,942.0
1991,18-29 J.,1. Quintil,10.87025789537391,10.79864204995087,10.941873740796952,9.0,10.5,11.5,7.0,15.25,10.5,10.5,10.5,763.0
1991,18-29 J.,2. Quintil,11.06669822258476,10.998442549388177,11.134953895781344,10.0,10.5,12.0,7.0,15.0,10.5,10.0,10.5,640.0
1991,18-29 J.,3. Quintil,11.336326166584824,11.265702548660242,11.406949784509406,10.5,11.5,12.0,8.25,14.25,11.5,11.5,12.5,552.0
1991,18-29 J.,4. Quintil,11.69228063761495,11.584746416310738,11.799814858919161,10.5,11.5,13.0,7.0,16.75,11.5,11.5,11.5,310.0
1991,18-29 J.,5. Quintil,12.789660775480167,12.476076659405447,13.103244891554887,11.5,12.0,14.5,9.0,18.0,12.0,11.0,12.5,46.0
1991,30-45 J.,-6,12.415191061583648,12.35863004935399,12.471752073813308,11.5,11.5,13.0,9.25,15.25,11.5,11.5,11.5,1492.0
1991,30-45 J.,1. Quintil,10.642343120507665,10.571344139120024,10.713342101895305,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5,786.0
1991,30-45 J.,2. Quintil,11.290233103590056,11.216902597277183,11.36356360990293,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5,851.0
1991,30-45 J.,3. Quintil,12.123332745261058,12.010234967248577,12.236430523273539,10.5,11.0,13.0,7.0,16.75,11.0,10.5,11.5,526.0
1991,30-45 J.,4. Quintil,12.739781771770776,12.603389203325154,12.876174340216398,10.5,11.5,15.0,7.0,18.0,11.5,11.5,11.5,413.0
1991,30-45 J.,5. Quintil,13.671283763786116,13.461432140390507,13.881135387181725,11.0,12.0,18.0,7.0,18.0,12.0,9.987499999999997,12.5,187.0
1991,46-65 J.,-6,11.48065207602667,11.421174636693697,11.540129515359643,10.5,10.5,12.0,8.25,14.25,10.5,10.5,10.5,1272.0
1991,46-65 J.,1. Quintil,9.945197192600592,9.889308364965798,10.001086020235386,9.0,10.5,10.5,7.0,12.75,10.5,10.5,12.0,717.0
1991,46-65 J.,2. Quintil,10.397215720998888,10.341214223556639,10.453217218441138,9.0,10.5,10.5,7.0,12.75,10.5,10.5,10.5,776.0
1991,46-65 J.,3. Quintil,10.875906426821217,10.800798478877137,10.951014374765297,10.0,10.5,11.0,8.5,12.5,10.5,10.5,10.5,697.0
1991,46-65 J.,4. Quintil,11.876591370439929,11.75824588122166,11.994936859658198,10.5,11.0,12.0,8.25,14.25,11.0,11.0,11.5,463.0
1991,46-65 J.,5. Quintil,13.14704329507478,12.929480127125004,13.364606463024558,10.624209278786916,12.0,16.0,9.0,18.0,12.0,12.0,12.5,172.0
1991,66 und älter,-6,10.431237334372867,10.358852837694151,10.503621831051582,9.0,10.5,10.5,7.0,12.75,10.5,10.5,10.5,386.0
1991,66 und älter,1. Quintil,10.064432764673784,10.003566522908171,10.125299006439397,9.0,10.5,10.5,7.0,12.75,10.5,10.5,12.0,488.0
1991,66 und älter,2. Quintil,10.506764878495037,10.419643224259703,10.593886532730371,9.0,10.5,11.0,7.0,14.0,10.5,10.5,10.5,263.0
1991,66 und älter,3. Quintil,11.518579654127093,11.346891236971409,11.690268071282777,10.5,10.5,12.0,9.0,14.25,10.5,10.0,10.5,169.0
1991,66 und älter,4. Quintil,12.339224099931984,12.06963519761165,12.608813002252319,10.5,11.5,15.0,7.0,18.0,11.5,11.0,12.0125,88.0
1991,66 und älter,5. Quintil,12.790098067147005,12.345432374796413,13.234763759497596,10.5,11.5,15.0,7.0,18.0,11.5,8.987499999999997,12.5,42.0
1992,unter 18 J.,-6,,,,,,,,,,,,
1992,18-29 J.,1. Quintil,11.163389915755861,11.107795647825556,11.218984183686166,10.0,11.5,11.5,7.75,13.75,11.5,11.5,12.0125,1122.0
1992,18-29 J.,2. Quintil,11.101780858461437,11.042442929260057,11.161118787662817,10.0,11.0,11.5,7.75,13.75,11.0,10.5,11.5,889.0
1992,18-29 J.,3. Quintil,11.398456686510903,11.33041818285456,11.466495190167246,10.5,11.5,12.0,8.25,14.25,11.5,11.5,12.0,616.0
1992,18-29 J.,4. Quintil,11.820795001037435,11.727957629197828,11.913632372877043,10.5,11.5,13.0,7.0,16.75,11.5,11.5,11.5,405.0
1992,18-29 J.,5. Quintil,12.252025896156074,11.991298048544829,12.512753743767318,10.5,11.5,13.0,9.0,16.75,11.5,10.0,11.5125,76.0
1992,30-45 J.,1. Quintil,11.31613183869903,11.261480530744713,11.370783146653348,10.5,11.0,11.5,9.0,13.0,11.0,10.5,11.5,1579.0
1992,30-45 J.,2. Quintil,11.514296814009857,11.450926414918907,11.577667213100806,10.5,10.5,12.0,8.25,14.25,10.5,10.0,10.5,1216.0
1992,30-45 J.,3. Quintil,12.025842711733807,11.93310933287503,12.118576090592583,10.5,11.0,13.0,7.0,16.75,11.0,10.5,11.0,702.0
1992,30-45 J.,4. Quintil,12.830561838584032,12.706911599264302,12.954212077903762,10.5,11.5,15.0,7.0,18.0,11.5,11.487499999999997,11.5,496.0
