year,bula_h,rentown,hgeqpgar,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
1993,Hesse,Tenant,Yes,0.37513,97,6179,0,0.31325,0,0.42715
1993,Hesse,Tenant,No,0.62487,198,6179,0,0.53057,0,0.70547
1993,"Rhineland-Palatinate, Saarland",Owner,Yes,1.00000,153,6179,0,0.93362,0,1.06291
1993,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.41000,64,6179,0,0.35216,0,0.46916
1993,"Rhineland-Palatinate, Saarland",Tenant,No,0.59000,87,6179,0,0.48861,0,0.67919
1993,Baden-Wuerttemberg,Owner,Yes,0.86874,285,6179,0,0.81150,0,0.92566
1993,Baden-Wuerttemberg,Owner,No,0.13126,48,6179,0,0.10347,0,0.15974
1993,Baden-Wuerttemberg,Tenant,Yes,0.43201,191,6179,0,0.37946,0,0.49099
1993,Baden-Wuerttemberg,Tenant,No,0.56799,302,6179,0,0.50707,0,0.63693
1993,Bavaria,Owner,Yes,0.89100,313,6179,0,0.84189,0,0.94276
1993,Bavaria,Owner,No,0.10900,35,6179,0,0.08640,0,0.12939
1993,Bavaria,Tenant,Yes,0.33624,152,6179,0,0.30736,0,0.37104
1993,Bavaria,Tenant,No,0.66376,299,6179,0,0.61109,0,0.71929
1993,Berlin,Tenant,No,1.00000,243,6179,0,0.92042,0,1.07403
1993,Brandenburg,Owner,Yes,1.00000,102,6179,0,0.91670,0,1.09299
1993,Brandenburg,Tenant,Yes,0.42998,78,6179,0,0.38065,0,0.48386
