"pgstib","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1997","Thueringen","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1997","Schleswig-Holstein","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1997","Hamburg","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1997","Niedersachsen","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1997","Bremen","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1997","Nordrhein-Westfalen","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1997","Hessen","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1997","Rheinland-Pfalz,Saarland","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1997","Baden-Wuerttemberg","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1997","Bayern","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1997","Saarland","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1997","Berlin","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1997","Brandenburg","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1997","Mecklenburg-Vorpommern","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1997","Sachsen","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1997","Sachsen-Anhalt","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1997","Thueringen","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1997","Schleswig-Holstein","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1997","Hamburg","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1997","Niedersachsen","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1997","Bremen","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1997","Nordrhein-Westfalen","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1997","Hessen","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1997","Rheinland-Pfalz,Saarland","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1997","Baden-Wuerttemberg","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1997","Bayern","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1997","Saarland","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1997","Berlin","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1997","Brandenburg","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1997","Mecklenburg-Vorpommern","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1997","Sachsen","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1997","Sachsen-Anhalt","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1997","Thueringen","","","",""
"sonstige selbständiger","1997","Schleswig-Holstein","","","",""
"sonstige selbständiger","1997","Hamburg","","","",""
"sonstige selbständiger","1997","Niedersachsen","","","",""
"sonstige selbständiger","1997","Bremen","","","",""
"sonstige selbständiger","1997","Nordrhein-Westfalen","","","",""
"sonstige selbständiger","1997","Hessen","","","",""
"sonstige selbständiger","1997","Rheinland-Pfalz,Saarland","","","",""
"sonstige selbständiger","1997","Baden-Wuerttemberg","","","",""
"sonstige selbständiger","1997","Bayern","","","",""
"sonstige selbständiger","1997","Saarland","","","",""
"sonstige selbständiger","1997","Berlin","","","",""
"sonstige selbständiger","1997","Brandenburg","","","",""
"sonstige selbständiger","1997","Mecklenburg-Vorpommern","","","",""
"sonstige selbständiger","1997","Sachsen","","","",""
"sonstige selbständiger","1997","Sachsen-Anhalt","","","",""
"sonstige selbständiger","1997","Thueringen","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1997","Schleswig-Holstein","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1997","Hamburg","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1997","Niedersachsen","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1997","Bremen","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1997","Nordrhein-Westfalen","36","0.0143067952828344","0.00967121901399371","0.0189423715516751"
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1997","Hessen","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1997","Rheinland-Pfalz,Saarland","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1997","Baden-Wuerttemberg","31","0.0245438362048762","0.0172378213155098","0.0318498510942425"
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1997","Bayern","31","0.0160045435290557","0.00991423487473295","0.0220948521833784"
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1997","Saarland","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1997","Berlin","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1997","Brandenburg","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1997","Mecklenburg-Vorpommern","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1997","Sachsen","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1997","Sachsen-Anhalt","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1997","Thueringen","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1997","Schleswig-Holstein","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1997","Hamburg","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1997","Niedersachsen","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1997","Bremen","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1997","Nordrhein-Westfalen","58","0.0221410620878055","0.0163972662060015","0.0278848579696095"
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1997","Hessen","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1997","Rheinland-Pfalz,Saarland","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1997","Baden-Wuerttemberg","31","0.016889835479158","0.0108054145005361","0.02297425645778"
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1997","Bayern","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1997","Saarland","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1997","Berlin","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1997","Brandenburg","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1997","Mecklenburg-Vorpommern","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1997","Sachsen","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1997","Sachsen-Anhalt","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1997","Thueringen","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1997","Schleswig-Holstein","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1997","Hamburg","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1997","Niedersachsen","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1997","Bremen","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1997","Nordrhein-Westfalen","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1997","Hessen","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1997","Rheinland-Pfalz,Saarland","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1997","Baden-Wuerttemberg","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1997","Bayern","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1997","Saarland","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1997","Berlin","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1997","Brandenburg","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1997","Mecklenburg-Vorpommern","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1997","Sachsen","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1997","Sachsen-Anhalt","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1997","Thueringen","","","",""
"mithelfende Familienangehörige","1997","Schleswig-Holstein","","","",""
"mithelfende Familienangehörige","1997","Hamburg","","","",""
"mithelfende Familienangehörige","1997","Niedersachsen","","","",""
"mithelfende Familienangehörige","1997","Bremen","","","",""
"mithelfende Familienangehörige","1997","Nordrhein-Westfalen","","","",""
"mithelfende Familienangehörige","1997","Hessen","","","",""
"mithelfende Familienangehörige","1997","Rheinland-Pfalz,Saarland","","","",""
"mithelfende Familienangehörige","1997","Baden-Wuerttemberg","","","",""
"mithelfende Familienangehörige","1997","Bayern","","","",""
"mithelfende Familienangehörige","1997","Saarland","","","",""
"mithelfende Familienangehörige","1997","Berlin","","","",""
"mithelfende Familienangehörige","1997","Brandenburg","","","",""
"mithelfende Familienangehörige","1997","Mecklenburg-Vorpommern","","","",""
"mithelfende Familienangehörige","1997","Sachsen","","","",""
"mithelfende Familienangehörige","1997","Sachsen-Anhalt","","","",""
"mithelfende Familienangehörige","1997","Thueringen","","","",""
"Angestellte, Industrie- und Werkmeister","1997","Schleswig-Holstein","","","",""
"Angestellte, Industrie- und Werkmeister","1997","Hamburg","","","",""
"Angestellte, Industrie- und Werkmeister","1997","Niedersachsen","","","",""
"Angestellte, Industrie- und Werkmeister","1997","Bremen","","","",""
"Angestellte, Industrie- und Werkmeister","1997","Nordrhein-Westfalen","","","",""
"Angestellte, Industrie- und Werkmeister","1997","Hessen","","","",""
"Angestellte, Industrie- und Werkmeister","1997","Rheinland-Pfalz,Saarland","","","",""
"Angestellte, Industrie- und Werkmeister","1997","Baden-Wuerttemberg","","","",""
"Angestellte, Industrie- und Werkmeister","1997","Bayern","","","",""
"Angestellte, Industrie- und Werkmeister","1997","Saarland","","","",""
"Angestellte, Industrie- und Werkmeister","1997","Berlin","","","",""
"Angestellte, Industrie- und Werkmeister","1997","Brandenburg","","","",""
"Angestellte, Industrie- und Werkmeister","1997","Mecklenburg-Vorpommern","","","",""
"Angestellte, Industrie- und Werkmeister","1997","Sachsen","","","",""
"Angestellte, Industrie- und Werkmeister","1997","Sachsen-Anhalt","","","",""
"Angestellte, Industrie- und Werkmeister","1997","Thueringen","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1997","Schleswig-Holstein","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1997","Hamburg","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1997","Niedersachsen","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1997","Bremen","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1997","Nordrhein-Westfalen","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1997","Hessen","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1997","Rheinland-Pfalz,Saarland","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1997","Baden-Wuerttemberg","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1997","Bayern","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1997","Saarland","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1997","Berlin","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1997","Brandenburg","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1997","Mecklenburg-Vorpommern","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1997","Sachsen","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1997","Sachsen-Anhalt","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1997","Thueringen","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1997","Schleswig-Holstein","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1997","Hamburg","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1997","Niedersachsen","37","0.0241476300882833","0.0148315062146502","0.0334637539619165"
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1997","Bremen","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1997","Nordrhein-Westfalen","71","0.027367741510398","0.0209989727229472","0.0337365102978488"
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1997","Hessen","32","0.0329170557773232","0.0209577109736943","0.0448764005809522"
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1997","Rheinland-Pfalz,Saarland","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1997","Baden-Wuerttemberg","53","0.0273808608775018","0.0196753682853705","0.0350863534696332"
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1997","Bayern","41","0.0197314213445999","0.0129819021486587","0.026480940540541"
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1997","Saarland","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1997","Berlin","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1997","Brandenburg","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1997","Mecklenburg-Vorpommern","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1997","Sachsen","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1997","Sachsen-Anhalt","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1997","Thueringen","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1997","Schleswig-Holstein","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1997","Hamburg","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1997","Niedersachsen","38","0.0312345399978487","0.0206777272794086","0.0417913527162887"
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1997","Bremen","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1997","Nordrhein-Westfalen","108","0.0384673643971523","0.0309599584753267","0.0459747703189779"
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1997","Hessen","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1997","Rheinland-Pfalz,Saarland","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1997","Baden-Wuerttemberg","46","0.02300688825883","0.0159277540688455","0.0300860224488145"
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1997","Bayern","50","0.0316344345592575","0.0231402671236676","0.0401286019948473"
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1997","Saarland","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1997","Berlin","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1997","Brandenburg","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1997","Mecklenburg-Vorpommern","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1997","Sachsen","37","0.0313373187186439","0.0210036633545955","0.0416709740826922"
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1997","Sachsen-Anhalt","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1997","Thueringen","34","0.0444454595473057","0.0287231057839601","0.0601678133106513"
"Angestellte, qualifizierte Tätigkeit","1997","Schleswig-Holstein","41","0.143517447653067","0.101852076944622","0.185182818361512"
"Angestellte, qualifizierte Tätigkeit","1997","Hamburg","","","",""
"Angestellte, qualifizierte Tätigkeit","1997","Niedersachsen","114","0.105807902210987","0.0871406496832999","0.124475154738675"
"Angestellte, qualifizierte Tätigkeit","1997","Bremen","","","",""
"Angestellte, qualifizierte Tätigkeit","1997","Nordrhein-Westfalen","289","0.124002144802821","0.111136611654575","0.136867677951068"
"Angestellte, qualifizierte Tätigkeit","1997","Hessen","117","0.126531008895967","0.104247310847538","0.148814706944396"
"Angestellte, qualifizierte Tätigkeit","1997","Rheinland-Pfalz,Saarland","65","0.0856211888039278","0.0650543760464108","0.106188001561445"
"Angestellte, qualifizierte Tätigkeit","1997","Baden-Wuerttemberg","180","0.120474585154287","0.105104461242098","0.135844709066476"
"Angestellte, qualifizierte Tätigkeit","1997","Bayern","213","0.131524616981158","0.115122368387829","0.147926865574487"
"Angestellte, qualifizierte Tätigkeit","1997","Saarland","","","",""
"Angestellte, qualifizierte Tätigkeit","1997","Berlin","68","0.106061445667613","0.0793639671155623","0.132758924219664"
"Angestellte, qualifizierte Tätigkeit","1997","Brandenburg","66","0.0964961634412933","0.0728305632675922","0.120161763614994"
"Angestellte, qualifizierte Tätigkeit","1997","Mecklenburg-Vorpommern","45","0.0851623273857481","0.0574602990905897","0.112864355680907"
"Angestellte, qualifizierte Tätigkeit","1997","Sachsen","126","0.0877672817297418","0.0709848102388141","0.10454975322067"
"Angestellte, qualifizierte Tätigkeit","1997","Sachsen-Anhalt","93","0.117893935398541","0.0934390294854719","0.14234884131161"
"Angestellte, qualifizierte Tätigkeit","1997","Thueringen","67","0.0877686146374873","0.0661813184646536","0.109355910810321"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1997","Schleswig-Holstein","","","",""
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1997","Hamburg","","","",""
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1997","Niedersachsen","60","0.0489290796978281","0.0358373837023727","0.0620207756932834"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1997","Bremen","","","",""
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1997","Nordrhein-Westfalen","154","0.0797063428520527","0.0691339979170036","0.0902786877871018"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1997","Hessen","42","0.0528639884261734","0.0378653729372851","0.0678626039150617"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1997","Rheinland-Pfalz,Saarland","37","0.0414106031036535","0.0267657378911914","0.0560554683161157"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1997","Baden-Wuerttemberg","67","0.0567506387259446","0.0458260753334398","0.0676752021184494"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1997","Bayern","98","0.0608721035458728","0.0492685065728095","0.0724757005189361"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1997","Saarland","","","",""
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1997","Berlin","39","0.0721954957496253","0.0497555950525896","0.094635396446661"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1997","Brandenburg","39","0.0690049569125657","0.0486902141277683","0.0893196996973631"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1997","Mecklenburg-Vorpommern","","","",""
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1997","Sachsen","72","0.0665539390182562","0.0517707453056982","0.0813371327308143"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1997","Sachsen-Anhalt","37","0.0399564660430751","0.0251039900784089","0.0548089420077412"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1997","Thueringen","38","0.0437407121028714","0.0281377562035897","0.0593436680021532"
"Angestellte, umfassende Führungsaufgaben","1997","Schleswig-Holstein","","","",""
"Angestellte, umfassende Führungsaufgaben","1997","Hamburg","","","",""
"Angestellte, umfassende Führungsaufgaben","1997","Niedersachsen","","","",""
"Angestellte, umfassende Führungsaufgaben","1997","Bremen","","","",""
"Angestellte, umfassende Führungsaufgaben","1997","Nordrhein-Westfalen","","","",""
"Angestellte, umfassende Führungsaufgaben","1997","Hessen","","","",""
"Angestellte, umfassende Führungsaufgaben","1997","Rheinland-Pfalz,Saarland","","","",""
"Angestellte, umfassende Führungsaufgaben","1997","Baden-Wuerttemberg","","","",""
"Angestellte, umfassende Führungsaufgaben","1997","Bayern","","","",""
"Angestellte, umfassende Führungsaufgaben","1997","Saarland","","","",""
"Angestellte, umfassende Führungsaufgaben","1997","Berlin","","","",""
"Angestellte, umfassende Führungsaufgaben","1997","Brandenburg","","","",""
"Angestellte, umfassende Führungsaufgaben","1997","Mecklenburg-Vorpommern","","","",""
"Angestellte, umfassende Führungsaufgaben","1997","Sachsen","","","",""
"Angestellte, umfassende Führungsaufgaben","1997","Sachsen-Anhalt","","","",""
"Angestellte, umfassende Führungsaufgaben","1997","Thueringen","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1997","Schleswig-Holstein","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1997","Hamburg","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1997","Niedersachsen","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1997","Bremen","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1997","Nordrhein-Westfalen","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1997","Hessen","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1997","Rheinland-Pfalz,Saarland","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1997","Baden-Wuerttemberg","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1997","Bayern","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1997","Saarland","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1997","Berlin","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1997","Brandenburg","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1997","Mecklenburg-Vorpommern","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1997","Sachsen","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1997","Sachsen-Anhalt","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1997","Thueringen","","","",""
"Beamte, einfacher Dienst","1997","Schleswig-Holstein","","","",""
"Beamte, einfacher Dienst","1997","Hamburg","","","",""
"Beamte, einfacher Dienst","1997","Niedersachsen","","","",""
"Beamte, einfacher Dienst","1997","Bremen","","","",""
"Beamte, einfacher Dienst","1997","Nordrhein-Westfalen","","","",""
"Beamte, einfacher Dienst","1997","Hessen","","","",""
"Beamte, einfacher Dienst","1997","Rheinland-Pfalz,Saarland","","","",""
"Beamte, einfacher Dienst","1997","Baden-Wuerttemberg","","","",""
"Beamte, einfacher Dienst","1997","Bayern","","","",""
"Beamte, einfacher Dienst","1997","Saarland","","","",""
"Beamte, einfacher Dienst","1997","Berlin","","","",""
"Beamte, einfacher Dienst","1997","Brandenburg","","","",""
"Beamte, einfacher Dienst","1997","Mecklenburg-Vorpommern","","","",""
"Beamte, einfacher Dienst","1997","Sachsen","","","",""
"Beamte, einfacher Dienst","1997","Sachsen-Anhalt","","","",""
"Beamte, einfacher Dienst","1997","Thueringen","","","",""
"Beamte, mittlerer Dienst","1997","Schleswig-Holstein","","","",""
"Beamte, mittlerer Dienst","1997","Hamburg","","","",""
"Beamte, mittlerer Dienst","1997","Niedersachsen","","","",""
"Beamte, mittlerer Dienst","1997","Bremen","","","",""
"Beamte, mittlerer Dienst","1997","Nordrhein-Westfalen","30","0.012671933461968","0.00830563065128674","0.0170382362726493"
"Beamte, mittlerer Dienst","1997","Hessen","","","",""
"Beamte, mittlerer Dienst","1997","Rheinland-Pfalz,Saarland","","","",""
"Beamte, mittlerer Dienst","1997","Baden-Wuerttemberg","","","",""
"Beamte, mittlerer Dienst","1997","Bayern","30","0.0153889496578777","0.00941504959883593","0.0213628497169196"
"Beamte, mittlerer Dienst","1997","Saarland","","","",""
"Beamte, mittlerer Dienst","1997","Berlin","","","",""
"Beamte, mittlerer Dienst","1997","Brandenburg","","","",""
"Beamte, mittlerer Dienst","1997","Mecklenburg-Vorpommern","","","",""
"Beamte, mittlerer Dienst","1997","Sachsen","","","",""
"Beamte, mittlerer Dienst","1997","Sachsen-Anhalt","","","",""
"Beamte, mittlerer Dienst","1997","Thueringen","","","",""
"Beamte, gehobener Dienst","1997","Schleswig-Holstein","","","",""
"Beamte, gehobener Dienst","1997","Hamburg","","","",""
"Beamte, gehobener Dienst","1997","Niedersachsen","","","",""
"Beamte, gehobener Dienst","1997","Bremen","","","",""
"Beamte, gehobener Dienst","1997","Nordrhein-Westfalen","54","0.0240192669586165","0.0180425572170589","0.0299959767001741"
"Beamte, gehobener Dienst","1997","Hessen","","","",""
"Beamte, gehobener Dienst","1997","Rheinland-Pfalz,Saarland","","","",""
"Beamte, gehobener Dienst","1997","Baden-Wuerttemberg","","","",""
"Beamte, gehobener Dienst","1997","Bayern","","","",""
"Beamte, gehobener Dienst","1997","Saarland","","","",""
"Beamte, gehobener Dienst","1997","Berlin","","","",""
"Beamte, gehobener Dienst","1997","Brandenburg","","","",""
"Beamte, gehobener Dienst","1997","Mecklenburg-Vorpommern","","","",""
"Beamte, gehobener Dienst","1997","Sachsen","","","",""
"Beamte, gehobener Dienst","1997","Sachsen-Anhalt","","","",""
"Beamte, gehobener Dienst","1997","Thueringen","","","",""
"Beamte, höherer Dienst","1997","Schleswig-Holstein","","","",""
"Beamte, höherer Dienst","1997","Hamburg","","","",""
"Beamte, höherer Dienst","1997","Niedersachsen","","","",""
"Beamte, höherer Dienst","1997","Bremen","","","",""
"Beamte, höherer Dienst","1997","Nordrhein-Westfalen","","","",""
"Beamte, höherer Dienst","1997","Hessen","","","",""
"Beamte, höherer Dienst","1997","Rheinland-Pfalz,Saarland","","","",""
"Beamte, höherer Dienst","1997","Baden-Wuerttemberg","","","",""
"Beamte, höherer Dienst","1997","Bayern","","","",""
"Beamte, höherer Dienst","1997","Saarland","","","",""
"Beamte, höherer Dienst","1997","Berlin","","","",""
"Beamte, höherer Dienst","1997","Brandenburg","","","",""
"Beamte, höherer Dienst","1997","Mecklenburg-Vorpommern","","","",""
"Beamte, höherer Dienst","1997","Sachsen","","","",""
"Beamte, höherer Dienst","1997","Sachsen-Anhalt","","","",""
"Beamte, höherer Dienst","1997","Thueringen","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1998","Schleswig-Holstein","34","0.0976296503047436","0.0667103444581462","0.128548956151341"
