year,bula_h,pgisced97,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1986,Bayern,higher education,143,0.9633301321407902,0.7733043975885963,1.1533558666929842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Berlin,in school,,,,,,,,,,,,
1986,Berlin,inadequately,30,1.6128068768333528,1.1924230360364716,2.0331907176302337,0.0,0.0,2.0,0.0,5.0,0.0,-2.0,0.0
1986,Berlin,general elemantary,76,0.9603174681531766,0.6818378158462828,1.2387971204600705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Berlin,middle vocational,164,1.1449606501583438,0.8837819051146922,1.4061393952019954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Berlin,vocational + Abi,,,,,,,,,,,,
1986,Berlin,higher vocational,,,,,,,,,,,,
1986,Berlin,higher education,34,1.179087298719043,0.7628832262974676,1.5952913711406185,0.0,0.0,0.38170290341642726,0.0,0.9542572585410682,0.0,0.0,0.0
1987,Schleswig-Holstein,in school,,,,,,,,,,,,
1987,Schleswig-Holstein,inadequately,,,,,,,,,,,,
1987,Schleswig-Holstein,general elemantary,71,0.5432671801304878,0.3108582151819703,0.7756761450790053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Schleswig-Holstein,middle vocational,183,1.5717286443237046,1.3356488100688966,1.8078084785785127,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1987,Schleswig-Holstein,vocational + Abi,,,,,,,,,,,,
1987,Schleswig-Holstein,higher vocational,,,,,,,,,,,,
1987,Schleswig-Holstein,higher education,,,,,,,,,,,,
1987,Hamburg,in school,,,,,,,,,,,,
1987,Hamburg,inadequately,,,,,,,,,,,,
1987,Hamburg,general elemantary,48,0.929207844455379,0.47668323141405045,1.3817324574967076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Hamburg,middle vocational,118,0.7586103169255828,0.5559203140362656,0.9613003198148999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Hamburg,vocational + Abi,,,,,,,,,,,,
1987,Hamburg,higher vocational,,,,,,,,,,,,
1987,Hamburg,higher education,,,,,,,,,,,,
1987,Niedersachsen,in school,,,,,,,,,,,,
1987,Niedersachsen,inadequately,49,2.4332332296105355,1.9303024684209833,2.936163990800088,0.0,0.0,4.0,0.0,10.0,0.0,-3.0250000000000057,0.0
1987,Niedersachsen,general elemantary,284,0.6050366473312203,0.48963416833093737,0.7204391263315033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Niedersachsen,middle vocational,555,1.1894835473480192,1.0663851978410945,1.3125818968549439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Niedersachsen,vocational + Abi,,,,,,,,,,,,
1987,Niedersachsen,higher vocational,70,0.9527638327114102,0.7280299039867288,1.1774977614360915,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1987,Niedersachsen,higher education,77,1.2512610032890554,0.9038632388700145,1.5986587677080963,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1987,Bremen,in school,,,,,,,,,,,,
1987,Bremen,inadequately,,,,,,,,,,,,
1987,Bremen,general elemantary,,,,,,,,,,,,
1987,Bremen,middle vocational,57,1.0653406095647056,0.6341109849194315,1.4965702342099796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Bremen,vocational + Abi,,,,,,,,,,,,
1987,Bremen,higher vocational,,,,,,,,,,,,
1987,Bremen,higher education,,,,,,,,,,,,
1987,Nordrhein-Westfalen,in school,46,0.11948886294814319,0.055128040940004924,0.18384968495628146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Nordrhein-Westfalen,inadequately,227,1.7718142331571378,1.5812001151605326,1.962428351153743,0.0,0.0,3.0,0.0,7.5,0.0,0.0,0.0
1987,Nordrhein-Westfalen,general elemantary,657,0.8836374074711039,0.7900547936378246,0.9772200213043831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
