year,age_gr,migback,hospitalyn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2004,17-29 y.,Indirect migration background,No,0.9224162577050254,467,21478,0.9219926002703424,0.9228399151397085
2004,30-45 y.,No migration background,Yes,0.09373507951193637,515,21478,0.09359361849187889,0.09387654053199385
2004,30-45 y.,No migration background,No,0.9062649204880636,4933,21478,0.9061234594680061,0.9064063815081211
2004,30-45 y.,Direct migration background,Yes,0.091067658242557,80,21478,0.09073253109555843,0.09140278538955557
2004,30-45 y.,Direct migration background,No,0.908932341757443,763,21478,0.9085972146104444,0.9092674689044415
2004,30-45 y.,Indirect migration background,No,1.0,198,21478,1.0,1.0
2004,46-65 y.,No migration background,Yes,0.12411088625068256,761,21478,0.12396071961115145,0.12426105289021368
2004,46-65 y.,No migration background,No,0.8758891137493173,5588,21478,0.8757389471097862,0.8760392803888485
2004,46-65 y.,Direct migration background,Yes,0.12776732148126796,115,21478,0.12740137550666802,0.1281332674558679
2004,46-65 y.,Direct migration background,No,0.872232678518732,834,21478,0.871866732544132,0.8725986244933319
2004,46-65 y.,Indirect migration background,No,1.0,40,21478,1.0,1.0
2004,66 and older,No migration background,Yes,0.21881140789124162,691,21478,0.21859191946132692,0.21903089632115633
2004,66 and older,No migration background,No,0.7811885921087585,2689,21478,0.7809691036788438,0.7814080805386732
2004,66 and older,Direct migration background,Yes,0.23257798260647505,76,21478,0.23187484325627244,0.23328112195667766
2004,66 and older,Direct migration background,No,0.7674220173935249,283,21478,0.7667188780433223,0.7681251567437275
2005,17-29 y.,No migration background,Yes,0.06932899207773635,203,20562,0.06916446684643142,0.06949351730904128
2005,17-29 y.,No migration background,No,0.9306710079222638,2779,20562,0.9305064826909588,0.9308355331535687
2005,17-29 y.,Direct migration background,No,1.0,289,20562,1.0,1.0
2005,17-29 y.,Indirect migration background,Yes,0.07954676774061491,33,20562,0.07914624949582444,0.07994728598540538
2005,17-29 y.,Indirect migration background,No,0.9204532322593851,483,20562,0.9200527140145947,0.9208537505041756
