year,migback,quintil_oecd,hospitalyn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1995,Indirect migration background,3rd Quintile,No,1.00000,90,13139,1.00000,1.00000
1995,Indirect migration background,4th Quintile,No,1.00000,86,13139,1.00000,1.00000
1995,Indirect migration background,5th Quintile,No,1.00000,48,13139,1.00000,1.00000
1996,No migration background,1st Quintile,Yes,0.17695,255,12917,0.17670,0.17720
1996,No migration background,1st Quintile,No,0.82305,1302,12917,0.82280,0.82330
1996,No migration background,2nd Quintile,Yes,0.12734,229,12917,0.12714,0.12755
1996,No migration background,2nd Quintile,No,0.87266,1700,12917,0.87245,0.87286
1996,No migration background,3rd Quintile,Yes,0.12692,253,12917,0.12673,0.12712
1996,No migration background,3rd Quintile,No,0.87308,1834,12917,0.87288,0.87327
1996,No migration background,4th Quintile,Yes,0.11150,243,12917,0.11132,0.11168
1996,No migration background,4th Quintile,No,0.88850,1970,12917,0.88832,0.88868
1996,No migration background,5th Quintile,Yes,0.11339,229,12917,0.11321,0.11356
1996,No migration background,5th Quintile,No,0.88661,1854,12917,0.88644,0.88679
1996,Direct migration background,1st Quintile,Yes,0.14385,100,12917,0.14343,0.14427
1996,Direct migration background,1st Quintile,No,0.85615,710,12917,0.85573,0.85657
1996,Direct migration background,2nd Quintile,Yes,0.15123,98,12917,0.15073,0.15173
1996,Direct migration background,2nd Quintile,No,0.84877,573,12917,0.84827,0.84927
1996,Direct migration background,3rd Quintile,Yes,0.13093,62,12917,0.13042,0.13144
1996,Direct migration background,3rd Quintile,No,0.86907,399,12917,0.86856,0.86958
1996,Direct migration background,4th Quintile,Yes,0.11749,37,12917,0.11697,0.11800
1996,Direct migration background,4th Quintile,No,0.88251,352,12917,0.88200,0.88303
1996,Direct migration background,5th Quintile,No,1.00000,230,12917,1.00000,1.00000
1996,Indirect migration background,1st Quintile,No,1.00000,147,12917,1.00000,1.00000
1996,Indirect migration background,2nd Quintile,No,1.00000,111,12917,1.00000,1.00000
