year,quintil_oecd,regtyp,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2021,3rd Quintile,Rural regions,No,0.84735,976,1126,0.82634,0.86837
2021,4th Quintile,Urban regions,Yes,0.11789,227,2097,0.10408,0.13169
2021,4th Quintile,Urban regions,No,0.88211,1870,2097,0.86831,0.89592
2021,4th Quintile,Rural regions,Yes,0.08872,103,1082,0.07177,0.10567
2021,4th Quintile,Rural regions,No,0.91128,979,1082,0.89433,0.92823
2021,5th Quintile,Urban regions,Yes,0.11226,345,3160,0.10125,0.12327
2021,5th Quintile,Urban regions,No,0.88774,2815,3160,0.87673,0.89875
2021,5th Quintile,Rural regions,Yes,0.10990,123,1115,0.09154,0.12827
2021,5th Quintile,Rural regions,No,0.89010,992,1115,0.87173,0.90846
2022,1st Quintile,Urban regions,Yes,0.15593,444,2971,0.14288,0.16898
2022,1st Quintile,Urban regions,No,0.84407,2527,2971,0.83102,0.85712
2022,1st Quintile,Rural regions,Yes,0.17626,197,1277,0.15535,0.19717
2022,1st Quintile,Rural regions,No,0.82374,1080,1277,0.80283,0.84465
2022,2nd Quintile,Urban regions,Yes,0.14331,242,1994,0.12792,0.15869
2022,2nd Quintile,Urban regions,No,0.85669,1752,1994,0.84131,0.87208
2022,2nd Quintile,Rural regions,Yes,0.14427,163,1230,0.12462,0.16391
2022,2nd Quintile,Rural regions,No,0.85573,1067,1230,0.83609,0.87538
2022,3rd Quintile,Urban regions,Yes,0.14427,209,1903,0.12848,0.16006
2022,3rd Quintile,Urban regions,No,0.85573,1694,1903,0.83994,0.87152
2022,3rd Quintile,Rural regions,Yes,0.16099,134,1060,0.13886,0.18313
2022,3rd Quintile,Rural regions,No,0.83901,926,1060,0.81687,0.86114
2022,4th Quintile,Urban regions,Yes,0.11793,226,2064,0.10402,0.13185
2022,4th Quintile,Urban regions,No,0.88207,1838,2064,0.86815,0.89598
2022,4th Quintile,Rural regions,Yes,0.11302,104,1051,0.09387,0.13217
2022,4th Quintile,Rural regions,No,0.88698,947,1051,0.86783,0.90613
2022,5th Quintile,Urban regions,Yes,0.11095,289,2946,0.09960,0.12229
2022,5th Quintile,Urban regions,No,0.88905,2657,2946,0.87771,0.90040
2022,5th Quintile,Rural regions,Yes,0.08579,94,1061,0.06893,0.10265
2022,5th Quintile,Rural regions,No,0.91421,967,1061,0.89735,0.93107
