,Unnamed: 0,year,bula_h,sex,pli0098_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
271,271,1995,Baden-Wuerttemberg,female,At least once per week,0.20954,192,12688,0.18538,0.23511
272,272,1995,Baden-Wuerttemberg,female,At least once per month,0.13716,140,12688,0.11608,0.16023
273,273,1995,Baden-Wuerttemberg,female,Seldom,0.33858,296,12688,0.30649,0.37578
274,274,1995,Baden-Wuerttemberg,female,Never,0.31472,276,12688,0.27982,0.34901
275,275,1995,Bavaria,male,At least once per week,0.14661,110,12688,0.1301,0.16636
276,276,1995,Bavaria,male,At least once per month,0.17639,136,12688,0.15098,0.20156
277,277,1995,Bavaria,male,Seldom,0.29041,237,12688,0.26203,0.32108
278,278,1995,Bavaria,male,Never,0.3866,334,12688,0.35506,0.41649
279,279,1995,Bavaria,female,At least once per week,0.2168,163,12688,0.19216,0.24306
280,280,1995,Bavaria,female,At least once per month,0.14767,134,12688,0.13018,0.16406
281,281,1995,Bavaria,female,Seldom,0.29679,252,12688,0.27141,0.32274
282,282,1995,Bavaria,female,Never,0.33873,311,12688,0.30881,0.36545
283,283,1995,Berlin,male,Seldom,0.22852,54,12688,0.17819,0.27806
284,284,1995,Berlin,male,Never,0.77148,193,12688,0.70106,0.8397
285,285,1995,Berlin,female,Seldom,0.16632,52,12688,0.14195,0.19303
286,286,1995,Berlin,female,Never,0.83368,214,12688,0.75803,0.90564
287,287,1995,Brandenburg,male,Seldom,0.14968,38,12688,0.12756,0.17622
288,288,1995,Brandenburg,male,Never,0.85032,232,12688,0.78542,0.91211
289,289,1995,Brandenburg,female,Seldom,0.21955,56,12688,0.18726,0.26036
290,290,1995,Brandenburg,female,Never,0.78045,231,12688,0.73,0.83327
291,291,1995,Mecklenburg-Western Pomerania,male,Never,1.0,174,12688,0.91416,1.10529
292,292,1995,Mecklenburg-Western Pomerania,female,Seldom,0.20961,33,12688,0.16919,0.25425
293,293,1995,Mecklenburg-Western Pomerania,female,Never,0.79039,159,12688,0.71907,0.88624
294,294,1995,Saxony,male,Seldom,0.16723,80,12688,0.14214,0.19664
