year,bula_h,quintil_oecd_hh,pet_fish,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2011,Bavaria,3rd Quintile,No,1.00000,330,11368,0,0.90648,0,1.09402
2011,Bavaria,4th Quintile,No,1.00000,396,11368,0,0.91094,0,1.09645
2011,Bavaria,5th Quintile,Yes,0.06041,35,11368,0,0.04123,0,0.08045
2011,Bavaria,5th Quintile,No,0.93959,474,11368,0,0.86433,0,1.01167
2011,Berlin,1st Quintile,No,1.00000,108,11368,0,0.87746,0,1.11846
2011,Berlin,2nd Quintile,No,1.00000,83,11368,0,0.83878,0,1.16875
2011,Berlin,3rd Quintile,No,1.00000,100,11368,0,0.87432,0,1.16293
2011,Berlin,4th Quintile,No,1.00000,92,11368,0,0.85704,0,1.16351
2011,Berlin,5th Quintile,No,1.00000,113,11368,0,0.84636,0,1.15648
2011,Brandenburg,1st Quintile,No,1.00000,114,11368,0,0.87828,0,1.13770
2011,Brandenburg,2nd Quintile,No,1.00000,126,11368,0,0.87430,0,1.14664
2011,Brandenburg,3rd Quintile,No,1.00000,115,11368,0,0.81877,0,1.20552
2011,Brandenburg,4th Quintile,No,1.00000,76,11368,0,0.78446,0,1.24201
2011,Brandenburg,5th Quintile,No,1.00000,62,11368,0,0.76155,0,1.34522
2011,Mecklenburg-Western Pomerania,1st Quintile,No,1.00000,82,11368,0,0.84595,0,1.21984
2011,Mecklenburg-Western Pomerania,2nd Quintile,No,1.00000,74,11368,0,0.83476,0,1.19953
2011,Mecklenburg-Western Pomerania,3rd Quintile,No,1.00000,55,11368,0,0.77503,0,1.29155
2011,Mecklenburg-Western Pomerania,4th Quintile,No,1.00000,46,11368,0,0.74006,0,1.37031
2011,Mecklenburg-Western Pomerania,5th Quintile,No,1.00000,37,11368,0,0.83773,0,1.21515
2011,Saxony,1st Quintile,No,1.00000,183,11368,0,0.90240,0,1.13494
2011,Saxony,2nd Quintile,No,1.00000,199,11368,0,0.88480,0,1.11682
2011,Saxony,3rd Quintile,No,1.00000,174,11368,0,0.87389,0,1.14486
2011,Saxony,4th Quintile,No,1.00000,111,11368,0,0.84566,0,1.13493
2011,Saxony,5th Quintile,No,1.00000,73,11368,0,0.78917,0,1.19025
2011,Saxony-Anhalt,1st Quintile,No,1.00000,121,11368,0,0.83330,0,1.15374
2011,Saxony-Anhalt,2nd Quintile,No,1.00000,120,11368,0,0.83855,0,1.16594
2011,Saxony-Anhalt,3rd Quintile,No,1.00000,96,11368,0,0.88826,0,1.12183
2011,Saxony-Anhalt,4th Quintile,No,1.00000,74,11368,0,0.81985,0,1.26650
2011,Saxony-Anhalt,5th Quintile,No,1.00000,56,11368,0,0.69006,0,1.42064
2011,Thuringa,1st Quintile,No,1.00000,122,11368,0,0.86341,0,1.12070
2011,Thuringa,2nd Quintile,No,1.00000,132,11368,0,0.87318,0,1.14320
2011,Thuringa,3rd Quintile,No,1.00000,107,11368,0,0.83711,0,1.18486
2011,Thuringa,4th Quintile,No,1.00000,76,11368,0,0.75494,0,1.23802
2011,Thuringa,5th Quintile,No,1.00000,37,11368,0,0.67161,0,1.31706
2016,Schleswig-Holstein,1st Quintile,No,1.00000,123,13546,0,0.83892,0,1.18866
2016,Schleswig-Holstein,2nd Quintile,No,1.00000,100,13546,0,0.78215,0,1.26528
2016,Schleswig-Holstein,3rd Quintile,No,1.00000,92,13546,0,0.79069,0,1.24571
2016,Schleswig-Holstein,4th Quintile,No,1.00000,82,13546,0,0.80998,0,1.24699
2016,Schleswig-Holstein,5th Quintile,No,1.00000,77,13546,0,0.80769,0,1.21385
2016,Hamburg,1st Quintile,No,1.00000,47,13546,0,0.74951,0,1.22105
2016,Hamburg,2nd Quintile,No,1.00000,50,13546,0,0.70888,0,1.24682
2016,Hamburg,3rd Quintile,No,1.00000,44,13546,0,0.73664,0,1.30503
2016,Hamburg,4th Quintile,No,1.00000,54,13546,0,0.81741,0,1.19767
2016,Hamburg,5th Quintile,No,1.00000,62,13546,0,0.74974,0,1.35313
2016,Lower Saxony,1st Quintile,No,1.00000,289,13546,0,0.87133,0,1.15339
2016,Lower Saxony,2nd Quintile,No,1.00000,245,13546,0,0.86645,0,1.13372
2016,Lower Saxony,3rd Quintile,No,1.00000,218,13546,0,0.86676,0,1.16049
2016,Lower Saxony,4th Quintile,No,1.00000,264,13546,0,0.87956,0,1.13562
2016,Lower Saxony,5th Quintile,No,1.00000,248,13546,0,0.87525,0,1.16475
2016,Bremen,1st Quintile,No,1.00000,37,13546,0,0.61389,0,1.39883
2016,North Rhine-Westphalia,1st Quintile,No,1.00000,656,13546,0,0.87331,0,1.08613
2016,North Rhine-Westphalia,2nd Quintile,No,1.00000,575,13546,0,0.91481,0,1.08070
2016,North Rhine-Westphalia,3rd Quintile,No,1.00000,496,13546,0,0.89112,0,1.08977
2016,North Rhine-Westphalia,4th Quintile,No,1.00000,522,13546,0,0.91399,0,1.09778
2016,North Rhine-Westphalia,5th Quintile,No,1.00000,545,13546,0,0.90853,0,1.09496
2016,Hesse,1st Quintile,No,1.00000,190,13546,0,0.85683,0,1.17878
2016,Hesse,2nd Quintile,No,1.00000,184,13546,0,0.85317,0,1.17258
