year,pgisced97,sampreg,pli0094_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2005,Primary Level,West,At least once per month,0.002212788217908158,34,20110,0.0022015084781911195,0.0022240679576251963
2005,Primary Level,West,Seldom,0.0034862445300600665,45,20110,0.003472095366781886,0.003500393693338247
2005,Lower Secondary Level,West,At least once per week,0.05778551110263533,1026,20110,0.05772949736472407,0.05784152484054659
2005,Lower Secondary Level,West,At least once per month,0.03548054820386786,562,20110,0.035436140241896064,0.03552495616583966
2005,Lower Secondary Level,West,Seldom,0.025731566898287324,373,20110,0.025693558233055108,0.02576957556351954
2005,Lower Secondary Level,West,Never,0.005307831711220472,81,20110,0.005290389035450934,0.00532527438699001
2005,Lower Secondary Level,East,At least once per week,0.005765725954101959,144,20110,0.005747550655700335,0.005783901252503583
2005,Lower Secondary Level,East,At least once per month,0.003829016624376671,79,20110,0.0038141907349749284,0.003843842513778414
2005,Lower Secondary Level,East,Seldom,0.004397009319514824,90,20110,0.0043811263400021965,0.004412892299027451
2005,Upper Secondary Level,West,At least once per week,0.18244349884426042,3403,20110,0.18235078741617974,0.1825362102723411
2005,Upper Secondary Level,West,At least once per month,0.14870717619853535,2632,20110,0.14862176483875728,0.14879258755831343
2005,Upper Secondary Level,West,Seldom,0.0837280688956978,1387,20110,0.08366157865347076,0.08379455913792483
2005,Upper Secondary Level,West,Never,0.011427197834324814,169,20110,0.011401683491395032,0.011452712177254597
2005,Upper Secondary Level,East,At least once per week,0.030788364249976195,736,20110,0.030746896277266348,0.03082983222268604
2005,Upper Secondary Level,East,At least once per month,0.04313714589652477,1081,20110,0.04308837500014623,0.04318591679290332
2005,Upper Secondary Level,East,Seldom,0.027819493237036502,706,20110,0.027780014954754115,0.02785897151931889
2005,Upper Secondary Level,East,Never,0.003986847691854489,90,20110,0.003971720526804679,0.0040019748569042985
2005,Post-secondary Non-tertiary Level,West,At least once per week,0.027761907636795674,485,20110,0.0277224690671799,0.027801346206411448
2005,Post-secondary Non-tertiary Level,West,At least once per month,0.016474068398110057,341,20110,0.016443511903847692,0.01650462489237242
2005,Post-secondary Non-tertiary Level,West,Seldom,0.007011615089026446,127,20110,0.006991584611447016,0.0070316455666058755
2005,Post-secondary Non-tertiary Level,East,At least once per week,0.0027795219138490902,73,20110,0.002766883550655441,0.0027921602770427396
2005,Post-secondary Non-tertiary Level,East,At least once per month,0.002280807025841705,65,20110,0.0022693556248953805,0.002292258426788029
2005,First Stage of Tertiary Education,West,At least once per week,0.025081507196261878,466,20110,0.02504396919402399,0.025119045198499765
2005,First Stage of Tertiary Education,West,At least once per month,0.022011388526923203,450,20110,0.021976167598077283,0.022046609455769122
2005,First Stage of Tertiary Education,West,Seldom,0.011958876660445879,199,20110,0.011932782526332477,0.01198497079455928
