,Unnamed: 0,year,quintil_oecd,pli0094_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
245,245,2011,2nd Quintile,Never,0.03874,117,21801,0.03253,0.04484
246,246,2011,3rd Quintile,At least once per week,0.39518,1702,21801,0.3726,0.41904
247,247,2011,3rd Quintile,At least once per month,0.37354,1553,21801,0.35296,0.39448
248,248,2011,3rd Quintile,Seldom,0.20426,739,21801,0.1876,0.22236
249,249,2011,3rd Quintile,Never,0.02702,89,21801,0.02225,0.03211
250,250,2011,4th Quintile,At least once per week,0.41206,1730,21801,0.38659,0.43555
251,251,2011,4th Quintile,At least once per month,0.39617,1585,21801,0.379,0.41879
252,252,2011,4th Quintile,Seldom,0.1784,651,21801,0.16367,0.19523
253,253,2011,4th Quintile,Never,0.01336,48,21801,0.0098,0.01691
254,254,2011,5th Quintile,At least once per week,0.45414,2179,21801,0.43084,0.47973
255,255,2011,5th Quintile,At least once per month,0.37692,1859,21801,0.3566,0.39964
256,256,2011,5th Quintile,Seldom,0.15765,691,21801,0.14523,0.1729
257,257,2011,5th Quintile,Never,0.01129,44,21801,0.00843,0.01432
258,258,2015,1st Quintile,At least once per week,0.45119,2335,25073,0.4292,0.47528
259,259,2015,1st Quintile,At least once per month,0.27289,1416,25073,0.2533,0.29066
260,260,2015,1st Quintile,Seldom,0.21604,998,25073,0.20014,0.23075
261,261,2015,1st Quintile,Never,0.05988,289,25073,0.05335,0.0663
262,262,2015,2nd Quintile,At least once per week,0.38299,2152,25073,0.36194,0.40287
263,263,2015,2nd Quintile,At least once per month,0.35657,1887,25073,0.33967,0.37871
264,264,2015,2nd Quintile,Seldom,0.21349,1032,25073,0.20192,0.22872
265,265,2015,2nd Quintile,Never,0.04695,211,25073,0.04164,0.05281
266,266,2015,3rd Quintile,At least once per week,0.42205,2096,25073,0.39871,0.4443
267,267,2015,3rd Quintile,At least once per month,0.35941,1808,25073,0.34084,0.37875
268,268,2015,3rd Quintile,Seldom,0.19486,863,25073,0.18232,0.20694
269,269,2015,3rd Quintile,Never,0.02368,113,25073,0.01928,0.02852
270,270,2015,4th Quintile,At least once per week,0.43225,2044,25073,0.41342,0.45736
271,271,2015,4th Quintile,At least once per month,0.39414,1896,25073,0.37681,0.41452
272,272,2015,4th Quintile,Seldom,0.15862,768,25073,0.14806,0.17307
273,273,2015,4th Quintile,Never,0.01499,63,25073,0.01168,0.01846
274,274,2015,5th Quintile,At least once per week,0.44929,2259,25073,0.43223,0.46958
275,275,2015,5th Quintile,At least once per month,0.39267,2055,25073,0.3726,0.4131
276,276,2015,5th Quintile,Seldom,0.14454,727,25073,0.13278,0.15706
277,277,2015,5th Quintile,Never,0.0135,61,25073,0.01078,0.0169
278,278,2017,1st Quintile,At least once per week,0.46367,2146,22796,0.44134,0.48806
279,279,2017,1st Quintile,At least once per month,0.27302,1336,22796,0.25538,0.29541
280,280,2017,1st Quintile,Seldom,0.20423,928,22796,0.18962,0.21972
281,281,2017,1st Quintile,Never,0.05908,256,22796,0.05071,0.06839
282,282,2017,2nd Quintile,At least once per week,0.40084,1961,22796,0.38028,0.42264
283,283,2017,2nd Quintile,At least once per month,0.33493,1679,22796,0.31285,0.35039
284,284,2017,2nd Quintile,Seldom,0.22652,1048,22796,0.21425,0.24055
285,285,2017,2nd Quintile,Never,0.03771,154,22796,0.03083,0.04549
286,286,2017,3rd Quintile,At least once per week,0.4117,1809,22796,0.38725,0.43257
287,287,2017,3rd Quintile,At least once per month,0.3676,1695,22796,0.34782,0.38844
288,288,2017,3rd Quintile,Seldom,0.19245,807,22796,0.17861,0.2068
289,289,2017,3rd Quintile,Never,0.02825,99,22796,0.02333,0.03255
290,290,2017,4th Quintile,At least once per week,0.44599,1911,22796,0.42032,0.46942
291,291,2017,4th Quintile,At least once per month,0.39544,1715,22796,0.37284,0.41733
292,292,2017,4th Quintile,Seldom,0.14571,650,22796,0.13558,0.15909
293,293,2017,4th Quintile,Never,0.01286,57,22796,0.0101,0.01612
294,294,2017,5th Quintile,At least once per week,0.45977,2020,22796,0.43662,0.48516
295,295,2017,5th Quintile,At least once per month,0.39136,1833,22796,0.37017,0.41614
296,296,2017,5th Quintile,Seldom,0.13499,645,22796,0.12539,0.14647
297,297,2017,5th Quintile,Never,0.01388,47,22796,0.00958,0.01907
