year,quintil_oecd_hh,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2002,,West,1004,395.10371437033984,390.7551477788599,399.4522809618198,295.0,380.0,469.0,65.0,730.0,380.0,371.95,391.075
2002,,East,496,312.3282472151333,307.6615333644762,316.99496106579033,244.0,300.0,364.7174690680873,62.92379639786901,545.7936726702183,300.0,285.0,308.0
2002,,West,1020,414.33530630878784,409.8959342523818,418.7746783651939,314.5705395994335,390.0,491.0,49.92634899858382,755.6441906008497,390.0,380.0,403.0
2002,,East,369,361.57746558971184,354.52799243934345,368.6269387400802,271.36647837624963,345.0,424.6102148475492,72.0,654.4758195544985,345.0,328.0,363.0
2002,,West,835,463.8192167978062,457.29280507075924,470.3456285248531,336.0092663105978,434.5342171940674,570.0,50.0,920.9861005341033,435.0,416.95,455.075
2002,,East,235,380.3665697905425,370.2830288848433,390.45011069624167,272.67790210645387,351.0,477.0,75.0,783.4831468403193,351.0,330.0,377.0
2002,,West,651,559.1274970495645,548.660231095777,569.5947630033519,365.0,510.0,690.0,128.0,1177.5,510.0,469.875,544.0
2002,,East,87,497.18004292133253,474.32010844296116,520.039977399704,317.0,450.07473789801884,692.5358420527895,150.0,1255.8396051319737,450.0,341.79999999999995,550.0
2003,,West,846,366.3109426481651,361.3611501798269,371.2607351165033,270.0,340.11511303854127,430.0,30.0,670.0,340.0,329.95,353.05
2003,,East,395,283.0652765411801,277.9008550779736,288.2296980043866,210.0,275.1981240410623,340.80291417302914,27.0,537.0072854325729,275.0,270.0,291.0
2003,,West,929,396.06285398978827,391.58346217869683,400.5422458008797,300.0,375.90437003405236,473.44384190131865,68.0,733.6096047532967,376.0,364.0,390.0
2003,,East,461,317.2432073022219,312.24662034911233,322.23979425533145,243.57176884566044,300.0,370.8996884661924,85.0,561.8915678969904,300.0,288.975,309.0
2003,,West,955,424.6070771409904,419.2758676159315,429.9382866660493,312.0,392.0,510.0,40.0,807.0,392.0,374.0,407.05
2003,,East,409,357.26127487809595,351.28391467746525,363.23863507872665,275.0,338.0,418.8404134893086,80.0,634.6010337232715,338.0,320.0,349.0
2003,,West,836,469.3759449858673,463.3901800007338,475.36170997100083,350.0,443.0,559.7159656200337,35.42605156994949,874.2899140500842,443.0,426.975,461.0
2003,,East,228,405.34740291389636,394.9218294959782,415.7729763318145,299.8280059049672,354.0,471.8966134835043,100.0,729.9995248513101,354.0,308.0,365.0
