year,pgisced97,quintil_oecd,pli0092_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2007,Lower Secondary Level,4th Quintile,At least once per week,0.00468405423265825,93,19541,0.004667385618500045,0.0047007228468164556
2007,Lower Secondary Level,4th Quintile,Seldom,0.0030802676076012773,49,19541,0.003066739645561443,0.0030937955696411115
2007,Lower Secondary Level,4th Quintile,Never,0.009906779762508061,176,19541,0.009882602209011665,0.009930957316004458
2007,Lower Secondary Level,5th Quintile,At least once per week,0.002694600186580411,65,19541,0.0026819449779728623,0.0027072553951879596
2007,Lower Secondary Level,5th Quintile,Never,0.004089032298338624,81,19541,0.004073453692703771,0.004104610903973477
2007,Upper Secondary Level,1st Quintile,At least once per week,0.022923397483967857,358,19541,0.022886862253208524,0.02295993271472719
2007,Upper Secondary Level,1st Quintile,At least once per month,0.006554371315278415,93,19541,0.006534672249626184,0.006574070380930646
2007,Upper Secondary Level,1st Quintile,Seldom,0.019157730915563727,311,19541,0.019124266774938517,0.019191195056188937
2007,Upper Secondary Level,1st Quintile,Never,0.05766764829431763,978,19541,0.05761073991381262,0.05772455667482264
2007,Upper Secondary Level,2nd Quintile,At least once per week,0.02855379697039052,471,19541,0.028513138656293926,0.028594455284487116
2007,Upper Secondary Level,2nd Quintile,At least once per month,0.007715767873443411,151,19541,0.007694407163768124,0.007737128583118697
2007,Upper Secondary Level,2nd Quintile,Seldom,0.01889171084530855,335,19541,0.018858475348675116,0.018924946341941987
2007,Upper Secondary Level,2nd Quintile,Never,0.05758804338755903,1086,19541,0.05753117189702292,0.057644914878095144
2007,Upper Secondary Level,3rd Quintile,At least once per week,0.03531972739289907,630,19541,0.03527466560432132,0.03536478918147682
2007,Upper Secondary Level,3rd Quintile,At least once per month,0.008425226864265185,146,19541,0.00840291367794118,0.008447540050589189
2007,Upper Secondary Level,3rd Quintile,Seldom,0.02252887740284609,408,19541,0.022492650617379505,0.022565104188312674
2007,Upper Secondary Level,3rd Quintile,Never,0.053467978765228394,972,19541,0.053413059768575875,0.05352289776188091
2007,Upper Secondary Level,4th Quintile,At least once per week,0.039735398725791994,787,19541,0.03968771257114701,0.03978308488043698
2007,Upper Secondary Level,4th Quintile,At least once per month,0.008672886022597066,177,19541,0.00865025009128886,0.008695521953905272
2007,Upper Secondary Level,4th Quintile,Seldom,0.020303244034543737,435,19541,0.020268814067440837,0.020337674001646638
2007,Upper Secondary Level,4th Quintile,Never,0.04550864274369617,843,19541,0.04545776345897818,0.04555952202841416
2007,Upper Secondary Level,5th Quintile,At least once per week,0.03897431180933698,936,19541,0.03892706583808553,0.039021557780588426
2007,Upper Secondary Level,5th Quintile,At least once per month,0.005981958918172252,134,19541,0.005963134268535878,0.006000783567808626
2007,Upper Secondary Level,5th Quintile,Seldom,0.016182030187538988,348,19541,0.016151227973500715,0.01621283240157726
2007,Upper Secondary Level,5th Quintile,Never,0.029712141288347236,652,19541,0.029670691212484467,0.029753591364210005
2007,Post-secondary Non-tertiary Level,1st Quintile,At least once per week,0.002479679814364621,45,19541,0.002467538471194457,0.002491821157534785
2007,Post-secondary Non-tertiary Level,1st Quintile,Seldom,0.003011742604281347,40,19541,0.0029983655033676733,0.003025119705195021
2007,Post-secondary Non-tertiary Level,1st Quintile,Never,0.0031888755446205287,52,19541,0.0031751119054542697,0.0032026391837867876
2007,Post-secondary Non-tertiary Level,2nd Quintile,At least once per week,0.0029751627270568977,53,19541,0.002961866867888574,0.0029884585862252214
2007,Post-secondary Non-tertiary Level,2nd Quintile,Seldom,0.002272432936922006,45,19541,0.0022608088304558,0.0022840570433882122
2007,Post-secondary Non-tertiary Level,2nd Quintile,Never,0.004120448576308563,69,19541,0.004104810486167309,0.004136086666449817
2007,Post-secondary Non-tertiary Level,3rd Quintile,At least once per week,0.006089953614757282,94,19541,0.006070960832555507,0.006108946396959056
2007,Post-secondary Non-tertiary Level,3rd Quintile,Seldom,0.0020558901846249884,37,19541,0.0020448325783631897,0.002066947790886787
2007,Post-secondary Non-tertiary Level,3rd Quintile,Never,0.003746380598876671,74,19541,0.0037314664333313696,0.0037612947644219724
2007,Post-secondary Non-tertiary Level,4th Quintile,At least once per week,0.0074801178647431995,126,19541,0.007459083379731024,0.007501152349755375
2007,Post-secondary Non-tertiary Level,4th Quintile,Seldom,0.0028484366611347314,61,19541,0.002835426222877072,0.0028614470993923906
2007,Post-secondary Non-tertiary Level,4th Quintile,Never,0.0032408491064003578,56,19541,0.0032269741196666105,0.003254724093134105
2007,Post-secondary Non-tertiary Level,5th Quintile,At least once per week,0.006276411594939894,159,19541,0.006257132059588584,0.006295691130291204
2007,Post-secondary Non-tertiary Level,5th Quintile,At least once per month,0.001973668185499764,40,19541,0.0019628335045873586,0.0019845028664121694
2007,Post-secondary Non-tertiary Level,5th Quintile,Seldom,0.002698801806595708,60,19541,0.0026861367620412387,0.0027114668511501773
2007,Post-secondary Non-tertiary Level,5th Quintile,Never,0.003361242181114266,84,19541,0.0033471126794785452,0.0033753716827499866
2007,First Stage of Tertiary Education,1st Quintile,At least once per week,0.0030443071761278645,39,19541,0.0030308581691181322,0.0030577561831375967
2007,First Stage of Tertiary Education,1st Quintile,Never,0.004028083056052035,58,19541,0.00401262051697095,0.004043545595133121
2007,First Stage of Tertiary Education,2nd Quintile,At least once per week,0.004055531033918914,70,19541,0.004040016116010912,0.004071045951826916
2007,First Stage of Tertiary Education,2nd Quintile,Seldom,0.0024426748729383585,54,19541,0.0024306242410860345,0.0024547255047906824
2007,First Stage of Tertiary Education,2nd Quintile,Never,0.004932351297558693,107,19541,0.0049152487282431235,0.004949453866874262
2007,First Stage of Tertiary Education,3rd Quintile,At least once per week,0.00549016056747168,98,19541,0.0054721218722586324,0.005508199262684727
2007,First Stage of Tertiary Education,3rd Quintile,Seldom,0.0032827640047563274,72,19541,0.003268799875148657,0.003296728134363998
2007,First Stage of Tertiary Education,3rd Quintile,Never,0.006280774553192376,137,19541,0.006261488360396081,0.006300060745988671
2007,First Stage of Tertiary Education,4th Quintile,At least once per week,0.007936066083476741,151,19541,0.007914404982651954,0.007957727184301528
2007,First Stage of Tertiary Education,4th Quintile,Seldom,0.004442503122800091,81,19541,0.004426268017871258,0.004458738227728924
2007,First Stage of Tertiary Education,4th Quintile,Never,0.00614129330342448,135,19541,0.006122221125109636,0.006160365481739324
2007,First Stage of Tertiary Education,5th Quintile,At least once per week,0.008393584557630266,212,19541,0.008371312955769343,0.008415856159491189
2007,First Stage of Tertiary Education,5th Quintile,At least once per month,0.0019132612879027883,38,19541,0.0019025933779739579,0.0019239291978316187
2007,First Stage of Tertiary Education,5th Quintile,Seldom,0.004516768044173705,87,19541,0.004500398411880048,0.004533137676467361
2007,First Stage of Tertiary Education,5th Quintile,Never,0.004559012289719618,105,19541,0.004542566633920503,0.004575457945518733
2007,Second Stage of Tertiary Education,1st Quintile,At least once per week,0.0045060308293561465,76,19541,0.004489680577325041,0.004522381081387252
2007,Second Stage of Tertiary Education,1st Quintile,Seldom,0.003031689595182503,40,19541,0.0030182684028805403,0.0030451107874844654
2007,Second Stage of Tertiary Education,1st Quintile,Never,0.005287561472323346,74,19541,0.00526985693651805,0.005305266008128642
2007,Second Stage of Tertiary Education,2nd Quintile,At least once per week,0.006798194346755392,121,19541,0.006778134685556161,0.006818254007954623
2007,Second Stage of Tertiary Education,2nd Quintile,At least once per month,0.0017069064247522997,34,19541,0.0016968291767844063,0.0017169836727201932
2007,Second Stage of Tertiary Education,2nd Quintile,Seldom,0.003198788072833401,62,19541,0.003185003126867434,0.0032125730187993677
2007,Second Stage of Tertiary Education,2nd Quintile,Never,0.005884849898609576,114,19541,0.005866177758537552,0.005903522038681599
2007,Second Stage of Tertiary Education,3rd Quintile,At least once per week,0.010273406324015652,211,19541,0.010248790016538655,0.010298022631492649
2007,Second Stage of Tertiary Education,3rd Quintile,At least once per month,0.0018631798823527097,42,19541,0.0018526522554113798,0.0018737075092940397
2007,Second Stage of Tertiary Education,3rd Quintile,Seldom,0.004609694369937369,107,19541,0.004593157975426865,0.004626230764447873
2007,Second Stage of Tertiary Education,3rd Quintile,Never,0.00811321453710796,179,19541,0.008091314967099621,0.008135114107116297
2007,Second Stage of Tertiary Education,4th Quintile,At least once per week,0.01986880313362443,434,19541,0.019834735966966593,0.019902870300282264
2007,Second Stage of Tertiary Education,4th Quintile,At least once per month,0.003108133358422712,81,19541,0.0030945445334758757,0.0031217221833695482
2007,Second Stage of Tertiary Education,4th Quintile,Seldom,0.008539923613276032,190,19541,0.008517460359478597,0.008562386867073467
2007,Second Stage of Tertiary Education,4th Quintile,Never,0.009151575796659307,210,19541,0.00912832918784779,0.009174822405470823
2007,Second Stage of Tertiary Education,5th Quintile,At least once per week,0.047381751598351306,1256,19541,0.04732988675631256,0.04743361644039005
2007,Second Stage of Tertiary Education,5th Quintile,At least once per month,0.008260014958058904,221,19541,0.008237919786191636,0.008282110129926173
2007,Second Stage of Tertiary Education,5th Quintile,Seldom,0.014840085127527028,416,19541,0.014810567624408291,0.014869602630645766
2007,Second Stage of Tertiary Education,5th Quintile,Never,0.016834664765293886,480,19541,0.01680325797385604,0.016866071556731733
2008,Pre-primary Level,1st Quintile,At least once per week,0.002314725714823368,34,18370,0.0023030062357750456,0.0023264451938716907
2008,Pre-primary Level,2nd Quintile,At least once per week,0.0020244887992219534,41,18370,0.002013527061942227,0.0020354505365016797
2008,Pre-primary Level,3rd Quintile,At least once per week,0.0026772180747556204,53,18370,0.0026646165962844835,0.0026898195532267574
2008,Pre-primary Level,4th Quintile,At least once per week,0.0019260023758945898,51,18370,0.0019153100659949909,0.0019366946857941887
2008,Pre-primary Level,5th Quintile,At least once per week,0.0022537822495601262,71,18370,0.0022422177250784768,0.0022653467740417757
2008,Primary Level,1st Quintile,Never,0.0059361536048429635,82,18370,0.0059174199953778645,0.0059548872143080625
2008,Lower Secondary Level,1st Quintile,At least once per week,0.00819011652281569,114,18370,0.00816813686059922,0.008212096185032162
2008,Lower Secondary Level,1st Quintile,Seldom,0.0057804539693814124,70,18370,0.005761966227043485,0.00579894171171934
2008,Lower Secondary Level,1st Quintile,Never,0.0291592010747553,424,18370,0.029118168990528184,0.029200233158982413
2008,Lower Secondary Level,2nd Quintile,At least once per week,0.006905138988866227,112,18370,0.006884944013056527,0.0069253339646759265
2008,Lower Secondary Level,2nd Quintile,Seldom,0.005154663174682818,77,18370,0.0051371993369246334,0.0051721270124410025
2008,Lower Secondary Level,2nd Quintile,Never,0.021228785873966646,307,18370,0.02119363266870377,0.02126393907922952
2008,Lower Secondary Level,3rd Quintile,At least once per week,0.007604748388959948,130,18370,0.007583562508314249,0.007625934269605648
2008,Lower Secondary Level,3rd Quintile,Seldom,0.0037835880854864817,54,18370,0.0037686157162644075,0.003798560454708556
2008,Lower Secondary Level,3rd Quintile,Never,0.013306576920433098,204,18370,0.013278633082824653,0.013334520758041543
2008,Lower Secondary Level,4th Quintile,At least once per week,0.005497118370401163,94,18370,0.005479086850935718,0.005515149889866609
2008,Lower Secondary Level,4th Quintile,Seldom,0.0026638075864054206,42,18370,0.0026512376241627786,0.0026763775486480625
2008,Lower Secondary Level,4th Quintile,Never,0.006371749327611462,121,18370,0.00635234480047503,0.006391153854747893
2008,Lower Secondary Level,5th Quintile,At least once per week,0.0026552291653166465,55,18370,0.0026426794053290487,0.0026677789253042442
2008,Lower Secondary Level,5th Quintile,Seldom,0.001978640977125668,33,18370,0.001967803824866644,0.001989478129384692
2008,Lower Secondary Level,5th Quintile,Never,0.002904843554676178,56,18370,0.002891718792735031,0.002917968316617325
2008,Upper Secondary Level,1st Quintile,At least once per week,0.02638635135433157,400,18370,0.026347263236845293,0.026425439471817847
2008,Upper Secondary Level,1st Quintile,At least once per month,0.007265051211896681,103,18370,0.007244340369998985,0.007285762053794378
2008,Upper Secondary Level,1st Quintile,Seldom,0.017067889535013835,260,18370,0.017036302167685185,0.017099476902342484
2008,Upper Secondary Level,1st Quintile,Never,0.053293684769294206,856,18370,0.05323890663086451,0.0533484629077239
2008,Upper Secondary Level,2nd Quintile,At least once per week,0.032758311693979345,540,18370,0.032714901670936554,0.032801721717022135
2008,Upper Secondary Level,2nd Quintile,At least once per month,0.00790057642685876,118,18370,0.007878985626301934,0.007922167227415585
2008,Upper Secondary Level,2nd Quintile,Seldom,0.024997278161471764,425,18370,0.02495920569321842,0.02503535062972511
2008,Upper Secondary Level,2nd Quintile,Never,0.04970248361810766,878,18370,0.049649483040790934,0.04975548419542439
2008,Upper Secondary Level,3rd Quintile,At least once per week,0.040311365849588984,712,18370,0.0402633990558119,0.040359332643366067
2008,Upper Secondary Level,3rd Quintile,At least once per month,0.008919022691601504,153,18370,0.008896094227577887,0.00894195115562512
2008,Upper Secondary Level,3rd Quintile,Seldom,0.025602189446769685,460,18370,0.025563671027078322,0.025640707866461047
2008,Upper Secondary Level,3rd Quintile,Never,0.04222122015397998,745,18370,0.04217217910478286,0.0422702612031771
2008,Upper Secondary Level,4th Quintile,At least once per week,0.04940386984977497,840,18370,0.04935102042518893,0.04945671927436101
2008,Upper Secondary Level,4th Quintile,At least once per month,0.009049437883348995,161,18370,0.009026343915676235,0.009072531851021755
2008,Upper Secondary Level,4th Quintile,Seldom,0.027743332914015414,456,18370,0.02770328023784295,0.02778338559018788
2008,Upper Secondary Level,4th Quintile,Never,0.03667987053351713,661,18370,0.03663402880631073,0.03672571226072353
2008,Upper Secondary Level,5th Quintile,At least once per week,0.04449421254919351,989,18370,0.04444392850710698,0.044544496591280035
2008,Upper Secondary Level,5th Quintile,At least once per month,0.0071188814868673855,160,18370,0.00709837854099663,0.007139384432738141
2008,Upper Secondary Level,5th Quintile,Seldom,0.01505723371265792,314,18370,0.015027534847749073,0.015086932577566768
2008,Upper Secondary Level,5th Quintile,Never,0.021230275343373354,443,18370,0.0211951209316584,0.021265429755088307
