,Unnamed: 0,year,sampreg,pli0092_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
154,154,2017,East,Seldom,0.14087,866,30424,0.12857,0.15018
155,155,2017,East,Never,0.42458,2720,30424,0.40783,0.44188
156,156,2019,West,At least once per week,0.55243,12427,28674,0.53934,0.56887
157,157,2019,West,At least once per month,0.04482,1018,28674,0.04147,0.04879
158,158,2019,West,Seldom,0.12766,2860,28674,0.12072,0.13529
159,159,2019,West,Never,0.27509,6411,28674,0.2657,0.2843
160,160,2019,East,At least once per week,0.47716,2788,28674,0.45491,0.50644
161,161,2019,East,At least once per month,0.0588,315,28674,0.05047,0.06828
162,162,2019,East,Seldom,0.15437,904,28674,0.14189,0.16975
163,163,2019,East,Never,0.30968,1951,28674,0.29349,0.32634
164,164,2021,West,At least once per week,0.56703,8007,17189,0.54911,0.58317
165,165,2021,West,At least once per month,0.08353,1130,17189,0.07684,0.08995
166,166,2021,West,Seldom,0.14437,1849,17189,0.13681,0.15292
167,167,2021,West,Never,0.20507,2584,17189,0.1972,0.21562
168,168,2021,East,At least once per week,0.49894,1863,17189,0.47382,0.53116
169,169,2021,East,At least once per month,0.09813,310,17189,0.08434,0.11181
170,170,2021,East,Seldom,0.16092,581,17189,0.14522,0.18136
171,171,2021,East,Never,0.24201,865,17189,0.22462,0.26271
