year,bula_h,pgisced97,plb0037_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1990,Berlin,Second Stage of Tertiary Education,Permanent job,1.0,87,3293,1.0,1.0
1990,Brandenburg,Upper Secondary Level,Permanent job,1.0,285,3293,1.0,1.0
1990,Brandenburg,First Stage of Tertiary Education,Permanent job,1.0,33,3293,1.0,1.0
1990,Brandenburg,Second Stage of Tertiary Education,Permanent job,1.0,141,3293,1.0,1.0
1990,Mecklenburg-Western Pomerania,Upper Secondary Level,Permanent job,1.0,214,3293,1.0,1.0
1990,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Permanent job,1.0,86,3293,1.0,1.0
1990,Saxony,Lower Secondary Level,Permanent job,1.0,56,3293,1.0,1.0
1990,Saxony,Upper Secondary Level,Permanent job,0.9386443440568959,551,3293,0.9382677797695934,0.9390209083441984
1990,Saxony,Upper Secondary Level,Temporary job,0.06135565594310399,42,3293,0.060979091655801475,0.06173222023040651
1990,Saxony,First Stage of Tertiary Education,Permanent job,1.0,52,3293,1.0,1.0
1990,Saxony,Second Stage of Tertiary Education,Permanent job,1.0,229,3293,1.0,1.0
1990,Saxony-Anhalt,Lower Secondary Level,Permanent job,1.0,43,3293,1.0,1.0
1990,Saxony-Anhalt,Upper Secondary Level,Permanent job,1.0,329,3293,1.0,1.0
1990,Saxony-Anhalt,First Stage of Tertiary Education,Permanent job,1.0,38,3293,1.0,1.0
1990,Saxony-Anhalt,Second Stage of Tertiary Education,Permanent job,1.0,137,3293,1.0,1.0
1990,Thuringa,Upper Secondary Level,Permanent job,1.0,360,3293,1.0,1.0
1990,Thuringa,Second Stage of Tertiary Education,Permanent job,1.0,99,3293,1.0,1.0
1991,Lower Saxony,Upper Secondary Level,Permanent job,1.0,47,745,1.0,1.0
1991,North Rhine-Westphalia,Lower Secondary Level,Permanent job,1.0,35,745,1.0,1.0
1991,North Rhine-Westphalia,Upper Secondary Level,Permanent job,1.0,81,745,1.0,1.0
1991,Hesse,Upper Secondary Level,Permanent job,1.0,36,745,1.0,1.0
1991,Baden-Wuerttemberg,Lower Secondary Level,Permanent job,1.0,35,745,1.0,1.0
1991,Baden-Wuerttemberg,Upper Secondary Level,Permanent job,1.0,76,745,1.0,1.0
1991,Bavaria,Upper Secondary Level,Permanent job,1.0,72,745,1.0,1.0
1991,Brandenburg,Upper Secondary Level,Permanent job,1.0,48,745,1.0,1.0
1991,Mecklenburg-Western Pomerania,Upper Secondary Level,Permanent job,1.0,34,745,1.0,1.0
1991,Saxony,Upper Secondary Level,Permanent job,1.0,79,745,1.0,1.0
1991,Saxony,Second Stage of Tertiary Education,Permanent job,1.0,49,745,1.0,1.0
1991,Saxony-Anhalt,Upper Secondary Level,Permanent job,1.0,60,745,1.0,1.0
1991,Saxony-Anhalt,Second Stage of Tertiary Education,Permanent job,1.0,34,745,1.0,1.0
1991,Thuringa,Upper Secondary Level,Permanent job,1.0,59,745,1.0,1.0
1992,Lower Saxony,Upper Secondary Level,Permanent job,1.0,32,767,1.0,1.0
