"ple0055","year","quintil_oecd","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"13","1996","3","männlich","","","",""
"13","1996","3","weiblich","","","",""
"13","1996","4","männlich","","","",""
"13","1996","4","weiblich","","","",""
"13","1996","5 Einkommensstärkstes Quintil","männlich","","","",""
"13","1996","5 Einkommensstärkstes Quintil","weiblich","","","",""
"14","1996","1 Einkommensschwächstes Quintil","männlich","","","",""
"14","1996","1 Einkommensschwächstes Quintil","weiblich","2","","",""
"14","1996","2","männlich","2","","",""
"14","1996","2","weiblich","","","",""
"14","1996","3","männlich","","","",""
"14","1996","3","weiblich","","","",""
"14","1996","4","männlich","","","",""
"14","1996","4","weiblich","","","",""
"14","1996","5 Einkommensstärkstes Quintil","männlich","","","",""
"14","1996","5 Einkommensstärkstes Quintil","weiblich","","","",""
"15","1996","1 Einkommensschwächstes Quintil","männlich","","","",""
"15","1996","1 Einkommensschwächstes Quintil","weiblich","","","",""
"15","1996","2","männlich","2","","",""
"15","1996","2","weiblich","","","",""
"15","1996","3","männlich","","","",""
"15","1996","3","weiblich","","","",""
"15","1996","4","männlich","","","",""
"15","1996","4","weiblich","","","",""
"15","1996","5 Einkommensstärkstes Quintil","männlich","","","",""
"15","1996","5 Einkommensstärkstes Quintil","weiblich","","","",""
