"ple0053","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"Ja","2003","(noch) kein Abschluss","maennlich","35","0.10411994779094","0.0748762031001906","0.133363692481689"
"Ja","2003","(noch) kein Abschluss","weiblich","36","0.098365271742507","0.0714701291584459","0.125260414326568"
"Ja","2003","Hauptschule","maennlich","558","0.141181194623933","0.130482188279219","0.151880200968647"
"Ja","2003","Hauptschule","weiblich","626","0.150383567471923","0.139760130868332","0.161007004075515"
"Ja","2003","Realschule","maennlich","206","0.0801333599581164","0.0694198290413759","0.0908468908748569"
"Ja","2003","Realschule","weiblich","428","0.129115823069475","0.117680097146834","0.140551548992116"
"Ja","2003","(Fach-)Abitur","maennlich","81","0.0722760154120317","0.0569806123912594","0.0875714184328039"
"Ja","2003","(Fach-)Abitur","weiblich","140","0.130026788929293","0.111750887738418","0.148302690120168"
"Ja","2003","AkademikerIn","maennlich","234","0.0928496460411147","0.0813576673441474","0.104341624738082"
"Ja","2003","AkademikerIn","weiblich","242","0.129861696216619","0.114714850421849","0.145008542011388"
"Nein","2003","(noch) kein Abschluss","maennlich","384","0.89588005220906","0.866636307518311","0.925123796899809"
"Nein","2003","(noch) kein Abschluss","weiblich","435","0.901634728257493","0.874739585673432","0.928529870841554"
"Nein","2003","Hauptschule","maennlich","3511","0.858818805376067","0.848119799031353","0.869517811720781"
"Nein","2003","Hauptschule","weiblich","3723","0.849616432528077","0.838992995924485","0.860239869131668"
"Nein","2003","Realschule","maennlich","2261","0.919866640041884","0.909153109125143","0.930580170958624"
"Nein","2003","Realschule","weiblich","2875","0.870884176930525","0.859448451007884","0.882319902853166"
"Nein","2003","(Fach-)Abitur","maennlich","1020","0.927723984587968","0.912428581567196","0.943019387608741"
"Nein","2003","(Fach-)Abitur","weiblich","1161","0.869973211070707","0.851697309879832","0.888249112261582"
"Nein","2003","AkademikerIn","maennlich","2216","0.907150353958885","0.895658375261918","0.918642332655852"
"Nein","2003","AkademikerIn","weiblich","1650","0.870138303783381","0.854991457988611","0.885285149578151"
"Ja","2004","(noch) kein Abschluss","maennlich","31","0.0892460016456937","0.0619801935826963","0.116511809708691"
"Ja","2004","(noch) kein Abschluss","weiblich","39","0.094813777525605","0.0687413232673453","0.120886231783865"
"Ja","2004","Hauptschule","maennlich","512","0.13755660698163","0.126723066190114","0.148390147773146"
"Ja","2004","Hauptschule","weiblich","654","0.163301502374244","0.152075628128521","0.174527376619968"
"Ja","2004","Realschule","maennlich","216","0.0975943976893948","0.0856892382240166","0.109499557154773"
"Ja","2004","Realschule","weiblich","411","0.129931072934208","0.118328635068932","0.141533510799484"
"Ja","2004","(Fach-)Abitur","maennlich","81","0.0782085424682666","0.0622026947843031","0.09421439015223"
"Ja","2004","(Fach-)Abitur","weiblich","138","0.111226625900264","0.0941745835815575","0.128278668218971"
"Ja","2004","AkademikerIn","maennlich","239","0.106999186654207","0.094660593301387","0.119337780007027"
"Ja","2004","AkademikerIn","weiblich","231","0.12872554886673","0.113562966835547","0.143888130897912"
"Nein","2004","(noch) kein Abschluss","maennlich","389","0.910753998354306","0.883488190291309","0.938019806417304"
"Nein","2004","(noch) kein Abschluss","weiblich","446","0.905186222474395","0.879113768216135","0.931258676732655"
"Nein","2004","Hauptschule","maennlich","3371","0.86244339301837","0.851609852226854","0.873276933809886"
"Nein","2004","Hauptschule","weiblich","3511","0.836698497625756","0.825472623380032","0.847924371871479"
"Nein","2004","Realschule","maennlich","2171","0.902405602310605","0.890500442845227","0.914310761775983"
"Nein","2004","Realschule","weiblich","2815","0.870068927065792","0.858466489200516","0.881671364931068"
"Nein","2004","(Fach-)Abitur","maennlich","1000","0.921791457531733","0.90578560984777","0.937797305215697"
"Nein","2004","(Fach-)Abitur","weiblich","1168","0.888773374099735","0.871721331781028","0.905825416418442"
"Nein","2004","AkademikerIn","maennlich","2172","0.893000813345793","0.880662219992973","0.905339406698613"
"Nein","2004","AkademikerIn","weiblich","1643","0.87127445113327","0.856111869102088","0.886437033164453"
"Ja","2005","(noch) kein Abschluss","maennlich","24","","",""
"Ja","2005","(noch) kein Abschluss","weiblich","36","0.086153631398279","0.0611041948773074","0.111203067919251"
"Ja","2005","Hauptschule","maennlich","436","0.123031783231587","0.112378504429272","0.133685062033902"
"Ja","2005","Hauptschule","weiblich","549","0.146387106765499","0.135290017733394","0.157484195797605"
"Ja","2005","Realschule","maennlich","204","0.0954714885196962","0.0834145166334679","0.107528460405924"
"Ja","2005","Realschule","weiblich","365","0.129407464816184","0.117547825613951","0.141267104018416"
