"m11104","year","age_gr","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Mindestens einmal im Monat","2011","35-65","Staedtischer Raum","723","0.071157277222082","0.0662165452441674","0.0760980091999965"
"Mindestens einmal im Monat","2011","35-65","Laendlicher Raum","382","0.0665485458734451","0.0602362683025934","0.0728608234442968"
"Mindestens einmal im Monat","2011","66 +","Staedtischer Raum","99","0.0269598295112768","0.0214228592030468","0.0324967998195068"
"Mindestens einmal im Monat","2011","66 +","Laendlicher Raum","40","0.0235190424492036","0.0165239745426096","0.0305141103557976"
"Mindestens einmal die Woche","2011","17-34","Staedtischer Raum","1873","","",""
"Mindestens einmal die Woche","2011","17-34","Laendlicher Raum","801","0.401803499771006","0.382189269857769","0.421417729684244"
"Mindestens einmal die Woche","2011","35-65","Staedtischer Raum","4146","0.381123703254464","0.371790183578317","0.390457222930611"
"Mindestens einmal die Woche","2011","35-65","Laendlicher Raum","1985","","",""
"Mindestens einmal die Woche","2011","66 +","Staedtischer Raum","1058","","",""
"Mindestens einmal die Woche","2011","66 +","Laendlicher Raum","484","0.248049303023958","0.228114409685901","0.267984196362015"
"Fast nie oder nie","2012","17-34","Staedtischer Raum","","","",""
"Fast nie oder nie","2012","17-34","Laendlicher Raum","","","",""
"Fast nie oder nie","2012","35-65","Staedtischer Raum","","","",""
"Fast nie oder nie","2012","35-65","Laendlicher Raum","","","",""
"Fast nie oder nie","2012","66 +","Staedtischer Raum","","","",""
"Fast nie oder nie","2012","66 +","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2012","17-34","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2012","17-34","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2012","35-65","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2012","35-65","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2012","66 +","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2012","66 +","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2012","17-34","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2012","17-34","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2012","35-65","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2012","35-65","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2012","66 +","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2012","66 +","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2012","17-34","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2012","17-34","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2012","35-65","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2012","35-65","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2012","66 +","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2012","66 +","Laendlicher Raum","","","",""
"Fast nie oder nie","2013","17-34","Staedtischer Raum","889","0.160524820023617","0.14860434584412","0.172445294203114"
"Fast nie oder nie","2013","17-34","Laendlicher Raum","568","0.223151929177644","0.204709840076764","0.241594018278524"
"Fast nie oder nie","2013","35-65","Staedtischer Raum","2858","","",""
"Fast nie oder nie","2013","35-65","Laendlicher Raum","1876","","",""
"Fast nie oder nie","2013","66 +","Staedtischer Raum","1387","","",""
"Fast nie oder nie","2013","66 +","Laendlicher Raum","850","0.487645431347495","0.464246581020325","0.511044281674666"
"Mehrmals im Jahr","2013","17-34","Staedtischer Raum","496","0.129346546707299","0.118449254712087","0.140243838702511"
"Mehrmals im Jahr","2013","17-34","Laendlicher Raum","323","0.165737113136666","0.149266753047394","0.182207473225938"
"Mehrmals im Jahr","2013","35-65","Staedtischer Raum","1373","","",""
"Mehrmals im Jahr","2013","35-65","Laendlicher Raum","973","0.173967320658591","0.164027210273006","0.183907431044177"
"Mehrmals im Jahr","2013","66 +","Staedtischer Raum","281","","",""
"Mehrmals im Jahr","2013","66 +","Laendlicher Raum","208","","",""
"Mindestens einmal im Monat","2013","17-34","Staedtischer Raum","258","","",""
"Mindestens einmal im Monat","2013","17-34","Laendlicher Raum","131","","",""
"Mindestens einmal im Monat","2013","35-65","Staedtischer Raum","451","0.0520544244786851","0.0475399854137176","0.0565688635436526"
"Mindestens einmal im Monat","2013","35-65","Laendlicher Raum","268","","",""
"Mindestens einmal im Monat","2013","66 +","Staedtischer Raum","92","0.0304320279792315","0.024425830900769","0.036438225057694"
"Mindestens einmal im Monat","2013","66 +","Laendlicher Raum","48","0.0308811483749155","0.0227828760889603","0.0389794206608708"
"Mindestens einmal die Woche","2013","17-34","Staedtischer Raum","2000","","",""
"Mindestens einmal die Woche","2013","17-34","Laendlicher Raum","936","0.53158688090888","0.509484279108245","0.553689482709516"
"Mindestens einmal die Woche","2013","35-65","Staedtischer Raum","4619","0.490028145816739","0.479868773292416","0.500187518341062"
"Mindestens einmal die Woche","2013","35-65","Laendlicher Raum","2470","","",""
"Mindestens einmal die Woche","2013","66 +","Staedtischer Raum","1382","","",""
"Mindestens einmal die Woche","2013","66 +","Laendlicher Raum","647","0.347481638201666","0.325191157631325","0.369772118772007"
"Fast nie oder nie","2014","17-34","Staedtischer Raum","","","",""
"Fast nie oder nie","2014","17-34","Laendlicher Raum","","","",""
"Fast nie oder nie","2014","35-65","Staedtischer Raum","","","",""
"Fast nie oder nie","2014","35-65","Laendlicher Raum","","","",""
"Fast nie oder nie","2014","66 +","Staedtischer Raum","","","",""
"Fast nie oder nie","2014","66 +","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2014","17-34","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2014","17-34","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2014","35-65","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2014","35-65","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2014","66 +","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2014","66 +","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2014","17-34","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2014","17-34","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2014","35-65","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2014","35-65","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2014","66 +","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2014","66 +","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2014","17-34","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2014","17-34","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2014","35-65","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2014","35-65","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2014","66 +","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2014","66 +","Laendlicher Raum","","","",""
"Fast nie oder nie","2015","17-34","Staedtischer Raum","1210","","",""
"Fast nie oder nie","2015","17-34","Laendlicher Raum","710","0.27498467467836","0.255805250374013","0.294164098982706"
"Fast nie oder nie","2015","35-65","Staedtischer Raum","3637","0.357894958555566","0.348388339403643","0.367401577707488"
"Fast nie oder nie","2015","35-65","Laendlicher Raum","2237","","",""
"Fast nie oder nie","2015","66 +","Staedtischer Raum","1536","","",""
"Fast nie oder nie","2015","66 +","Laendlicher Raum","1016","","",""
"Mehrmals im Jahr","2015","17-34","Staedtischer Raum","652","0.129231795117116","0.119488910757873","0.138974679476358"
"Mehrmals im Jahr","2015","17-34","Laendlicher Raum","320","0.166719747314188","0.150709545916711","0.182729948711666"
"Mehrmals im Jahr","2015","35-65","Staedtischer Raum","1424","","",""
"Mehrmals im Jahr","2015","35-65","Laendlicher Raum","862","0.17219135291184","0.162141052674217","0.182241653149463"
"Mehrmals im Jahr","2015","66 +","Staedtischer Raum","250","","",""
"Mehrmals im Jahr","2015","66 +","Laendlicher Raum","165","","",""
"Mindestens einmal im Monat","2015","17-34","Staedtischer Raum","314","0.0859373230701157","0.0777972092660634","0.094077436874168"
"Mindestens einmal im Monat","2015","17-34","Laendlicher Raum","148","","",""
"Mindestens einmal im Monat","2015","35-65","Staedtischer Raum","537","0.0587571700151373","0.0540935136653086","0.0634208263649659"
"Mindestens einmal im Monat","2015","35-65","Laendlicher Raum","315","0.0596527548912047","0.0533480063735284","0.0659575034088811"
"Mindestens einmal im Monat","2015","66 +","Staedtischer Raum","79","0.0257312430164085","0.0201322844136295","0.0313302016191875"
"Mindestens einmal im Monat","2015","66 +","Laendlicher Raum","46","0.0260107270114792","0.0186433774125358","0.0333780766104227"
"Mindestens einmal die Woche","2015","17-34","Staedtischer Raum","2378","","",""
"Mindestens einmal die Woche","2015","17-34","Laendlicher Raum","904","0.487832787628457","0.466361944056231","0.509303631200684"
"Mindestens einmal die Woche","2015","35-65","Staedtischer Raum","4170","0.434895802812329","0.425064702212699","0.444726903411959"
"Mindestens einmal die Woche","2015","35-65","Laendlicher Raum","2007","","",""
"Mindestens einmal die Woche","2015","66 +","Staedtischer Raum","1207","","",""
"Mindestens einmal die Woche","2015","66 +","Laendlicher Raum","566","0.309509232861124","0.288111207960802","0.330907257761447"
"Fast nie oder nie","2016","17-34","Staedtischer Raum","","","",""
"Fast nie oder nie","2016","17-34","Laendlicher Raum","","","",""
"Fast nie oder nie","2016","35-65","Staedtischer Raum","","","",""
"Fast nie oder nie","2016","35-65","Laendlicher Raum","","","",""
"Fast nie oder nie","2016","66 +","Staedtischer Raum","","","",""
"Fast nie oder nie","2016","66 +","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2016","17-34","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2016","17-34","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2016","35-65","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2016","35-65","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2016","66 +","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2016","66 +","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2016","17-34","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2016","17-34","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2016","35-65","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2016","35-65","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2016","66 +","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2016","66 +","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2016","17-34","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2016","17-34","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2016","35-65","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2016","35-65","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2016","66 +","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2016","66 +","Laendlicher Raum","","","",""
"Fast nie oder nie","2017","17-34","Staedtischer Raum","1658","","",""
"Fast nie oder nie","2017","17-34","Laendlicher Raum","919","0.288668175709703","0.271438072173346","0.305898279246061"
"Fast nie oder nie","2017","35-65","Staedtischer Raum","4139","0.343098949060985","0.334247650831918","0.351950247290053"
"Fast nie oder nie","2017","35-65","Laendlicher Raum","2578","","",""
"Fast nie oder nie","2017","66 +","Staedtischer Raum","1403","","",""
"Fast nie oder nie","2017","66 +","Laendlicher Raum","985","0.541414686089433","0.518696576259326","0.564132795919541"
"Mehrmals im Jahr","2017","17-34","Staedtischer Raum","790","0.142360551434427","0.133253474788846","0.151467628080009"
"Mehrmals im Jahr","2017","17-34","Laendlicher Raum","386","0.128850160541685","0.116110987810501","0.141589333272869"
"Mehrmals im Jahr","2017","35-65","Staedtischer Raum","1513","","",""
"Mehrmals im Jahr","2017","35-65","Laendlicher Raum","955","0.163203234036727","0.153935512983245","0.172470955090209"
"Mehrmals im Jahr","2017","66 +","Staedtischer Raum","266","","",""
"Mehrmals im Jahr","2017","66 +","Laendlicher Raum","173","","",""
"Mindestens einmal im Monat","2017","17-34","Staedtischer Raum","357","0.0636888717810078","0.0573242345238029","0.0700535090382127"
"Mindestens einmal im Monat","2017","17-34","Laendlicher Raum","184","","",""
"Mindestens einmal im Monat","2017","35-65","Staedtischer Raum","560","0.0533146911201745","0.0491260459764956","0.0575033362638535"
"Mindestens einmal im Monat","2017","35-65","Laendlicher Raum","317","0.0594199675728827","0.0534912241005396","0.0653487110452257"
"Mindestens einmal im Monat","2017","66 +","Staedtischer Raum","100","","",""
"Mindestens einmal im Monat","2017","66 +","Laendlicher Raum","45","0.0185796203667119","0.0124229902627675","0.0247362504706563"
"Mindestens einmal die Woche","2017","17-34","Staedtischer Raum","2850","","",""
"Mindestens einmal die Woche","2017","17-34","Laendlicher Raum","1168","","",""
"Mindestens einmal die Woche","2017","35-65","Staedtischer Raum","4839","0.463847157723292","0.454549382179048","0.473144933267535"
"Mindestens einmal die Woche","2017","35-65","Laendlicher Raum","2258","","",""
"Mindestens einmal die Woche","2017","66 +","Staedtischer Raum","1342","","",""
"Mindestens einmal die Woche","2017","66 +","Laendlicher Raum","645","0.3348676008231","0.313350303323129","0.356384898323071"
"Fast nie oder nie","2018","17-34","Staedtischer Raum","486","0.385594400652565","0.357536051459221","0.413652749845909"
"Fast nie oder nie","2018","17-34","Laendlicher Raum","176","","",""
"Fast nie oder nie","2018","35-65","Staedtischer Raum","600","0.536815785510918","0.507857306804437","0.5657742642174"
"Fast nie oder nie","2018","35-65","Laendlicher Raum","250","","",""
"Fast nie oder nie","2018","66 +","Staedtischer Raum","14","","",""
"Fast nie oder nie","2018","66 +","Laendlicher Raum","2","","",""
"Mehrmals im Jahr","2018","17-34","Staedtischer Raum","196","","",""
"Mehrmals im Jahr","2018","17-34","Laendlicher Raum","62","0.17484110383603","0.13847208016939","0.21121012750267"
"Mehrmals im Jahr","2018","35-65","Staedtischer Raum","195","","",""
"Mehrmals im Jahr","2018","35-65","Laendlicher Raum","60","0.133037889698772","0.100938143719959","0.165137635677584"
"Mehrmals im Jahr","2018","66 +","Staedtischer Raum","1","","",""
"Mehrmals im Jahr","2018","66 +","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2018","17-34","Staedtischer Raum","73","0.0786593304652859","0.0631406633360574","0.0941779975945144"
"Mindestens einmal im Monat","2018","17-34","Laendlicher Raum","19","","",""
"Mindestens einmal im Monat","2018","35-65","Staedtischer Raum","69","0.0741455169139209","0.0589295328580587","0.089361500969783"
"Mindestens einmal im Monat","2018","35-65","Laendlicher Raum","17","","",""
"Mindestens einmal im Monat","2018","66 +","Staedtischer Raum","1","","",""
"Mindestens einmal im Monat","2018","66 +","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2018","17-34","Staedtischer Raum","401","0.369498958878087","0.341675015073845","0.39732290268233"
"Mindestens einmal die Woche","2018","17-34","Laendlicher Raum","162","","",""
"Mindestens einmal die Woche","2018","35-65","Staedtischer Raum","275","","",""
"Mindestens einmal die Woche","2018","35-65","Laendlicher Raum","103","","",""
"Mindestens einmal die Woche","2018","66 +","Staedtischer Raum","4","0.149918754246437","-0.0065369108363352","0.30637441932921"
"Mindestens einmal die Woche","2018","66 +","Laendlicher Raum","1","","",""
"Fast nie oder nie","2019","17-34","Staedtischer Raum","1081","","",""
"Fast nie oder nie","2019","17-34","Laendlicher Raum","535","0.213032396775393","0.195212082060423","0.230852711490363"
"Fast nie oder nie","2019","35-65","Staedtischer Raum","3007","0.267502460333506","0.259117099980495","0.275887820686517"
"Fast nie oder nie","2019","35-65","Laendlicher Raum","1773","","",""
"Fast nie oder nie","2019","66 +","Staedtischer Raum","1153","","",""
"Fast nie oder nie","2019","66 +","Laendlicher Raum","732","0.402131365449124","0.380066499930292","0.424196230967956"
"Mehrmals im Jahr","2019","17-34","Staedtischer Raum","569","0.116996624087326","0.107780156052323","0.126213092122329"
"Mehrmals im Jahr","2019","17-34","Laendlicher Raum","284","","",""
"Mehrmals im Jahr","2019","35-65","Staedtischer Raum","1442","","",""
"Mehrmals im Jahr","2019","35-65","Laendlicher Raum","875","0.159213561713359","0.14975093820986","0.168676185216858"
"Mehrmals im Jahr","2019","66 +","Staedtischer Raum","313","0.0983562952571661","0.0881227852691078","0.108589805245224"
"Mehrmals im Jahr","2019","66 +","Laendlicher Raum","229","","",""
"Mindestens einmal im Monat","2019","17-34","Staedtischer Raum","298","","",""
"Mindestens einmal im Monat","2019","17-34","Laendlicher Raum","145","","",""
"Mindestens einmal im Monat","2019","35-65","Staedtischer Raum","458","0.0470711440778618","0.0430591307107294","0.0510831574449942"
"Mindestens einmal im Monat","2019","35-65","Laendlicher Raum","267","","",""
"Mindestens einmal im Monat","2019","66 +","Staedtischer Raum","83","0.0260346129597789","0.0205625210430608","0.031506704876497"
"Mindestens einmal im Monat","2019","66 +","Laendlicher Raum","66","0.0341308256532686","0.0259603568582661","0.0423012944482712"
"Mindestens einmal die Woche","2019","17-34","Staedtischer Raum","2724","","",""
"Mindestens einmal die Woche","2019","17-34","Laendlicher Raum","1064","","",""
"Mindestens einmal die Woche","2019","35-65","Staedtischer Raum","5798","0.545347565320834","0.53591496994791","0.554780160693758"
"Mindestens einmal die Woche","2019","35-65","Laendlicher Raum","2828","","",""
"Mindestens einmal die Woche","2019","66 +","Staedtischer Raum","1704","","",""
"Mindestens einmal die Woche","2019","66 +","Laendlicher Raum","870","0.422911479207677","0.40068040849339","0.445142549921963"
