,Unnamed: 0,year,age_gr,bula_h,pli0093_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
209,209,1998,17-29 y.,Berlin,Never,1.0,49,12514,0.83894,1.13511
210,210,1998,17-29 y.,Brandenburg,Seldom,0.29084,42,12514,0.24605,0.34158
211,211,1998,17-29 y.,Brandenburg,Never,0.70916,69,12514,0.5914,0.8374
212,212,1998,17-29 y.,Mecklenburg-Western Pomerania,Never,1.0,43,12514,0.82971,1.18818
213,213,1998,17-29 y.,Saxony,At least once per week,0.19951,39,12514,0.15831,0.25417
214,214,1998,17-29 y.,Saxony,Seldom,0.34793,81,12514,0.29113,0.41929
215,215,1998,17-29 y.,Saxony,Never,0.45256,109,12514,0.40786,0.48588
216,216,1998,17-29 y.,Saxony-Anhalt,Seldom,0.4522,48,12514,0.35984,0.54402
217,217,1998,17-29 y.,Saxony-Anhalt,Never,0.5478,67,12514,0.46661,0.63061
218,218,1998,17-29 y.,Thuringa,Seldom,0.38687,57,12514,0.32131,0.47564
219,219,1998,17-29 y.,Thuringa,Never,0.61313,74,12514,0.5356,0.71563
220,220,1998,30-45 y.,Schleswig-Holstein,Seldom,0.47881,46,12514,0.39962,0.56374
221,221,1998,30-45 y.,Schleswig-Holstein,Never,0.52119,54,12514,0.44135,0.5997
222,222,1998,30-45 y.,Lower Saxony,At least once per week,0.11619,45,12514,0.09862,0.14339
223,223,1998,30-45 y.,Lower Saxony,At least once per month,0.09383,31,12514,0.07198,0.11895
224,224,1998,30-45 y.,Lower Saxony,Seldom,0.3051,112,12514,0.27188,0.34685
225,225,1998,30-45 y.,Lower Saxony,Never,0.48488,236,12514,0.44516,0.53095
226,226,1998,30-45 y.,North Rhine-Westphalia,At least once per week,0.10958,92,12514,0.09573,0.12497
227,227,1998,30-45 y.,North Rhine-Westphalia,At least once per month,0.08153,77,12514,0.06924,0.09459
228,228,1998,30-45 y.,North Rhine-Westphalia,Seldom,0.34147,302,12514,0.31213,0.37699
229,229,1998,30-45 y.,North Rhine-Westphalia,Never,0.46742,505,12514,0.43655,0.50033
230,230,1998,30-45 y.,Hesse,At least once per week,0.11658,32,12514,0.09816,0.14478
231,231,1998,30-45 y.,Hesse,Seldom,0.35322,89,12514,0.31109,0.39204
232,232,1998,30-45 y.,Hesse,Never,0.5302,165,12514,0.47582,0.5895
233,233,1998,30-45 y.,"Rhineland-Palatinate, Saarland",Seldom,0.29256,73,12514,0.24787,0.33236
234,234,1998,30-45 y.,"Rhineland-Palatinate, Saarland",Never,0.70744,170,12514,0.62283,0.79153
235,235,1998,30-45 y.,Baden-Wuerttemberg,At least once per week,0.10424,57,12514,0.08521,0.12895
236,236,1998,30-45 y.,Baden-Wuerttemberg,At least once per month,0.08327,47,12514,0.06406,0.10692
237,237,1998,30-45 y.,Baden-Wuerttemberg,Seldom,0.31958,186,12514,0.28704,0.35324
238,238,1998,30-45 y.,Baden-Wuerttemberg,Never,0.49292,349,12514,0.44664,0.54142
239,239,1998,30-45 y.,Bavaria,At least once per week,0.13696,82,12514,0.11587,0.16475
240,240,1998,30-45 y.,Bavaria,At least once per month,0.11046,65,12514,0.09229,0.13004
241,241,1998,30-45 y.,Bavaria,Seldom,0.29814,189,12514,0.27139,0.33465
242,242,1998,30-45 y.,Bavaria,Never,0.45445,297,12514,0.41788,0.48776
243,243,1998,30-45 y.,Berlin,Seldom,0.48728,62,12514,0.41031,0.56143
244,244,1998,30-45 y.,Berlin,Never,0.51272,74,12514,0.44687,0.57512
245,245,1998,30-45 y.,Brandenburg,Seldom,0.38636,61,12514,0.33299,0.45601
246,246,1998,30-45 y.,Brandenburg,Never,0.61364,94,12514,0.5399,0.69097
247,247,1998,30-45 y.,Mecklenburg-Western Pomerania,Seldom,0.39229,46,12514,0.32407,0.45976
248,248,1998,30-45 y.,Mecklenburg-Western Pomerania,Never,0.60771,73,12514,0.54453,0.6704
249,249,1998,30-45 y.,Saxony,At least once per week,0.08378,33,12514,0.06939,0.10131
250,250,1998,30-45 y.,Saxony,At least once per month,0.08856,36,12514,0.07506,0.10392
251,251,1998,30-45 y.,Saxony,Seldom,0.33485,131,12514,0.30332,0.37101
252,252,1998,30-45 y.,Saxony,Never,0.49282,182,12514,0.4508,0.53999
253,253,1998,30-45 y.,Saxony-Anhalt,Seldom,0.34807,60,12514,0.29441,0.41095
254,254,1998,30-45 y.,Saxony-Anhalt,Never,0.65193,118,12514,0.58579,0.73184
255,255,1998,30-45 y.,Thuringa,Seldom,0.44698,95,12514,0.39413,0.51576
256,256,1998,30-45 y.,Thuringa,Never,0.55302,114,12514,0.49227,0.61779
257,257,1998,46-65 y.,Schleswig-Holstein,Seldom,0.40664,31,12514,0.3426,0.50428
258,258,1998,46-65 y.,Schleswig-Holstein,Never,0.59336,46,12514,0.50598,0.70201
259,259,1998,46-65 y.,Hamburg,Never,1.0,34,12514,0.83881,1.20238
260,260,1998,46-65 y.,Lower Saxony,At least once per month,0.13694,41,12514,0.11945,0.15484
261,261,1998,46-65 y.,Lower Saxony,Seldom,0.31066,97,12514,0.27445,0.34957
262,262,1998,46-65 y.,Lower Saxony,Never,0.5524,181,12514,0.50834,0.60414
263,263,1998,46-65 y.,North Rhine-Westphalia,At least once per week,0.10463,72,12514,0.08912,0.12168
264,264,1998,46-65 y.,North Rhine-Westphalia,At least once per month,0.08705,69,12514,0.07641,0.10068
265,265,1998,46-65 y.,North Rhine-Westphalia,Seldom,0.29301,217,12514,0.26712,0.32041
266,266,1998,46-65 y.,North Rhine-Westphalia,Never,0.51531,514,12514,0.49221,0.54463
267,267,1998,46-65 y.,Hesse,Seldom,0.34043,71,12514,0.30582,0.38311
268,268,1998,46-65 y.,Hesse,Never,0.65957,193,12514,0.60033,0.73213
269,269,1998,46-65 y.,"Rhineland-Palatinate, Saarland",Seldom,0.24509,42,12514,0.21189,0.27759
270,270,1998,46-65 y.,"Rhineland-Palatinate, Saarland",Never,0.75491,132,12514,0.68737,0.83876
271,271,1998,46-65 y.,Baden-Wuerttemberg,At least once per week,0.11245,48,12514,0.09846,0.12887
272,272,1998,46-65 y.,Baden-Wuerttemberg,At least once per month,0.08829,33,12514,0.07118,0.10445
273,273,1998,46-65 y.,Baden-Wuerttemberg,Seldom,0.29835,111,12514,0.26636,0.33464
274,274,1998,46-65 y.,Baden-Wuerttemberg,Never,0.50091,321,12514,0.45439,0.54572
275,275,1998,46-65 y.,Bavaria,At least once per week,0.11307,51,12514,0.09457,0.13201
276,276,1998,46-65 y.,Bavaria,At least once per month,0.08881,47,12514,0.07919,0.09912
277,277,1998,46-65 y.,Bavaria,Seldom,0.31213,160,12514,0.28438,0.34203
278,278,1998,46-65 y.,Bavaria,Never,0.48599,288,12514,0.45268,0.52039
279,279,1998,46-65 y.,Berlin,Seldom,0.39502,51,12514,0.34333,0.46046
280,280,1998,46-65 y.,Berlin,Never,0.60498,77,12514,0.53459,0.68507
281,281,1998,46-65 y.,Brandenburg,Seldom,0.27254,52,12514,0.24149,0.30218
282,282,1998,46-65 y.,Brandenburg,Never,0.72746,130,12514,0.65591,0.79367
283,283,1998,46-65 y.,Mecklenburg-Western Pomerania,Seldom,0.3736,60,12514,0.32833,0.4265
284,284,1998,46-65 y.,Mecklenburg-Western Pomerania,Never,0.6264,68,12514,0.54246,0.70853
285,285,1998,46-65 y.,Saxony,Seldom,0.33869,128,12514,0.29862,0.37894
286,286,1998,46-65 y.,Saxony,Never,0.66131,222,12514,0.61698,0.70094
