year,quintil_oecd,sex,plb0240,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2003,4th Quintile,female,Part-time,0.48363636363636364,27727,0.47775413462212285,0.48951859265060443
2003,4th Quintile,female,Full-time,0.3090909090909091,27727,0.30365141887837876,0.3145303993034394
2003,4th Quintile,female,I'm not sure yet,0.11272727272727273,27727,0.10900466138365025,0.11644988407089521
2003,4th Quintile,female,Either,0.09454545454545454,27727,0.09110149307706578,0.09798941601384331
2003,5th Quintile,male,Full-time,0.7116279069767442,27727,0.7062956910175165,0.7169601229359718
2003,5th Quintile,male,Part-time,0.10697674418604651,27727,0.10333859333455572,0.1106148950375373
2003,5th Quintile,male,Either,0.09302325581395349,27727,0.08960426075043892,0.09644225087746805
2003,5th Quintile,male,I'm not sure yet,0.08837209302325581,27727,0.08503113509759994,0.09171305094891169
2003,5th Quintile,female,Part-time,0.4218289085545723,27727,0.4160158996750249,0.42764191743411967
2003,5th Quintile,female,Full-time,0.32448377581120946,27727,0.31897292041091085,0.32999463121150807
2003,5th Quintile,female,I'm not sure yet,0.13569321533923304,27727,0.13166217023159263,0.13972426044687344
2003,5th Quintile,female,Either,0.11799410029498525,27727,0.11419683865745249,0.12179136193251801
2004,1st Quintile,male,Full-time,0.75,26790,0.7448147422343432,0.7551852577656568
2004,1st Quintile,male,Either,0.1527777777777778,26790,0.1484695517692977,0.1570860037862579
2004,1st Quintile,male,Part-time,0.06712962962962964,26790,0.06413296949909852,0.07012628976016075
2004,1st Quintile,male,I'm not sure yet,0.03009259259259259,26790,0.02804678561566172,0.03213839956952346
2004,1st Quintile,female,Full-time,0.37609841827768015,26790,0.37029774357359363,0.38189909298176666
2004,1st Quintile,female,Part-time,0.3251318101933216,26790,0.31952250687768446,0.33074111350895874
2004,1st Quintile,female,Either,0.2179261862917399,26790,0.21298252968728928,0.22286984289619052
2004,1st Quintile,female,I'm not sure yet,0.08084358523725835,26790,0.07757930670824184,0.08410786376627485
2004,2nd Quintile,male,Full-time,0.75,26790,0.7448147422343432,0.7551852577656568
2004,2nd Quintile,male,Either,0.13768115942028986,26790,0.1335550483993261,0.1418072704412536
2004,2nd Quintile,male,I'm not sure yet,0.07246376811594203,26790,0.0693592398883584,0.07556829634352566
2004,2nd Quintile,male,Part-time,0.03985507246376811,26790,0.037512570778338895,0.04219757414919733
2004,2nd Quintile,female,Part-time,0.4,26790,0.39413355051472615,0.4058664494852739
2004,2nd Quintile,female,Full-time,0.3078947368421053,26790,0.30236687827275427,0.3134225954114563
2004,2nd Quintile,female,Either,0.21842105263157896,26790,0.213473352288208,0.22336875297494993
2004,2nd Quintile,female,I'm not sure yet,0.07368421052631578,26790,0.07055570832177001,0.07681271273086156
2004,3rd Quintile,male,Full-time,0.7522935779816514,26790,0.7471242745568579,0.7574628814064449
2004,3rd Quintile,male,Either,0.15137614678899083,26790,0.1470841829417705,0.15566811063621117
2004,3rd Quintile,male,I'm not sure yet,0.05045871559633028,26790,0.0478375483270115,0.053079882865649054
2004,3rd Quintile,male,Part-time,0.045871559633027525,26790,0.04336634529611594,0.04837677396993911
2004,3rd Quintile,female,Part-time,0.415625,26790,0.40972344634442376,0.4215265536555763
2004,3rd Quintile,female,Full-time,0.309375,26790,0.30383979805279837,0.31491020194720165
2004,3rd Quintile,female,Either,0.171875,26790,0.1673572310323012,0.1763927689676988
2004,3rd Quintile,female,I'm not sure yet,0.103125,26790,0.09948318689365204,0.10676681310634795
2004,4th Quintile,male,Full-time,0.7455621301775148,26790,0.7403465513904252,0.7507777089646045
2004,4th Quintile,male,Either,0.10650887573964497,26790,0.10281478349336344,0.1102029679859265
2004,4th Quintile,male,I'm not sure yet,0.08284023668639054,26790,0.07953948482502368,0.0861409885477574
2004,4th Quintile,male,Part-time,0.0650887573964497,26790,0.062134775047032485,0.06804273974586693
2004,4th Quintile,female,Part-time,0.46048109965635736,26790,0.4545124106495891,0.46644978866312564
2004,4th Quintile,female,Full-time,0.30584192439862545,26790,0.30032435996377155,0.31135948883347936
2004,4th Quintile,female,Either,0.13745704467353953,26790,0.13333375751027043,0.14158033183680863
2004,4th Quintile,female,I'm not sure yet,0.09621993127147767,26790,0.09268863939396747,0.09975122314898786
2004,5th Quintile,male,Full-time,0.6875,26790,0.6819495131683173,0.6930504868316827
2004,5th Quintile,male,Part-time,0.1346153846153846,26790,0.13052822453588497,0.13870254469488424
2004,5th Quintile,male,Either,0.11538461538461539,26790,0.11155882728476321,0.11921040348446757
2004,5th Quintile,male,I'm not sure yet,0.0625,26790,0.05960135278878316,0.06539864721121684
2004,5th Quintile,female,Part-time,0.4350453172205438,26790,0.42910863544409134,0.44098199899699625
2004,5th Quintile,female,Full-time,0.338368580060423,26790,0.3327026293842928,0.34403453073655316
2004,5th Quintile,female,I'm not sure yet,0.13293051359516617,26790,0.1288650600076601,0.13699596718267223
2004,5th Quintile,female,Either,0.09365558912386707,26790,0.09016673191544268,0.09714444633229145
2005,1st Quintile,male,Full-time,0.7054631828978623,25520,0.699870467651624,0.7110558981441005
2005,1st Quintile,male,Either,0.2042755344418052,25520,0.19932895179464175,0.20922211708896868
2005,1st Quintile,male,I'm not sure yet,0.0498812351543943,25520,0.04721023887215475,0.052552231436633845
2005,1st Quintile,male,Part-time,0.040380047505938245,25520,0.03796487150949909,0.0427952235023774
2005,1st Quintile,female,Full-time,0.4116666666666667,25520,0.4056285664726217,0.4177047668607117
2005,1st Quintile,female,Part-time,0.3,25520,0.29437755282588574,0.30562244717411424
2005,1st Quintile,female,Either,0.23166666666666666,25520,0.2264903319801165,0.23684300135321681
2005,1st Quintile,female,I'm not sure yet,0.056666666666666664,25520,0.05382997482228296,0.05950335851105037
2005,2nd Quintile,male,Full-time,0.7459677419354839,25520,0.7406267712483736,0.7513087126225941
2005,2nd Quintile,male,Either,0.11290322580645161,25520,0.10902034184877656,0.11678610976412666
2005,2nd Quintile,male,I'm not sure yet,0.0967741935483871,25520,0.093146808274765,0.10040157882200919
2005,2nd Quintile,male,Part-time,0.04435483870967742,25520,0.041828831585416115,0.04688084583393873
2005,2nd Quintile,female,Part-time,0.3979328165374677,25520,0.3919274005992099,0.4039382324757255
2005,2nd Quintile,female,Full-time,0.3049095607235142,25520,0.2992612066262579,0.31055791482077055
2005,2nd Quintile,female,Either,0.21963824289405684,25520,0.21455878101125112,0.22471770477686256
2005,2nd Quintile,female,I'm not sure yet,0.07751937984496124,25520,0.07423843064032971,0.08080032904959276
2005,3rd Quintile,male,Full-time,0.7098445595854922,25520,0.7042763865302547,0.7154127326407297
2005,3rd Quintile,male,Either,0.21243523316062177,25520,0.2074167537158845,0.21745371260535903
2005,3rd Quintile,male,I'm not sure yet,0.05181347150259067,25520,0.04909400338139674,0.0545329396237846
2005,3rd Quintile,male,Part-time,0.025906735751295335,25520,0.023957688562126784,0.027855782940463886
2005,3rd Quintile,female,Part-time,0.4186851211072664,25520,0.41263219712657817,0.42473804508795465
2005,3rd Quintile,female,Full-time,0.33217993079584773,25520,0.3264012039729296,0.33795865761876587
2005,3rd Quintile,female,Either,0.15916955017301038,25520,0.1546810634361358,0.16365803690988495
2005,3rd Quintile,female,I'm not sure yet,0.08996539792387544,25520,0.08645478908613144,0.09347600676161943
2005,4th Quintile,male,Full-time,0.6777777777777778,25520,0.6720440490309402,0.6835115065246155
2005,4th Quintile,male,Either,0.17777777777777778,25520,0.17308695443028463,0.18246860112527094
2005,4th Quintile,male,Part-time,0.08333333333333333,25520,0.07994230957263895,0.0867243570940277
2005,4th Quintile,male,I'm not sure yet,0.06111111111111111,25520,0.05817222385184265,0.06404999837037957
2005,4th Quintile,female,Part-time,0.5115384615384615,25520,0.5054055024259568,0.5176714206509662
2005,4th Quintile,female,Full-time,0.3038461538461538,25520,0.29820334652107305,0.3094889611712346
2005,4th Quintile,female,I'm not sure yet,0.09615384615384616,25520,0.09253686435086991,0.0997708279568224
2005,4th Quintile,female,Either,0.08846153846153847,25520,0.08497751974536509,0.09194555717771184
2005,5th Quintile,male,Full-time,0.7093596059113301,25520,0.7037886855473391,0.714930526275321
2005,5th Quintile,male,Part-time,0.10837438423645321,25520,0.10456047523898174,0.11218829323392468
2005,5th Quintile,male,I'm not sure yet,0.09852216748768473,25520,0.09486571241876497,0.1021786225566045
2005,5th Quintile,male,Either,0.08374384236453201,25520,0.08034523784024385,0.08714244688882018
2005,5th Quintile,female,Part-time,0.412751677852349,25520,0.4067112033935811,0.41879215231111694
2005,5th Quintile,female,Full-time,0.3221476510067114,25520,0.31641427039455117,0.3278810316188716
2005,5th Quintile,female,I'm not sure yet,0.14429530201342283,25520,0.13998404622708824,0.14860655779975743
2005,5th Quintile,female,Either,0.12080536912751678,25520,0.1168068298328303,0.12480390842220326
2006,1st Quintile,male,Full-time,0.6936708860759494,27321,0.6882047725585662,0.6991369995933326
2006,1st Quintile,male,Either,0.22025316455696203,27321,0.21533904560762873,0.22516728350629533
2006,1st Quintile,male,Part-time,0.04810126582278481,27321,0.04556390983167955,0.05063862181389007
2006,1st Quintile,male,I'm not sure yet,0.0379746835443038,27321,0.035708223287671925,0.04024114380093567
2006,1st Quintile,female,Full-time,0.36142322097378277,27321,0.3557265339142593,0.36711990803330624
2006,1st Quintile,female,Part-time,0.3352059925093633,27321,0.32960832355571495,0.3408036614630116
2006,1st Quintile,female,Either,0.25842696629213485,27321,0.2532359349046213,0.2636179976796484
2006,1st Quintile,female,I'm not sure yet,0.0449438202247191,27321,0.04248709136516049,0.04740054908427771
2006,2nd Quintile,male,Full-time,0.7261904761904762,27321,0.7209028916376937,0.7314780607432586
2006,2nd Quintile,male,Either,0.15476190476190477,27321,0.15047316849735864,0.1590506410264509
2006,2nd Quintile,male,Part-time,0.07738095238095238,27321,0.07421258145632043,0.08054932330558434
2006,2nd Quintile,male,I'm not sure yet,0.041666666666666664,27321,0.039297146266847896,0.04403618706648543
2006,2nd Quintile,female,Part-time,0.4786885245901639,27321,0.4727649627541238,0.48461208642620407
2006,2nd Quintile,female,Full-time,0.2754098360655738,27321,0.270112668438735,0.2807070036924126
2006,2nd Quintile,female,Either,0.19344262295081968,27321,0.18875878894095643,0.19812645696068293
2006,2nd Quintile,female,I'm not sure yet,0.05245901639344262,27321,0.04981528791648637,0.05510274487039887
2006,3rd Quintile,male,Full-time,0.7181208053691275,27321,0.7127857609295658,0.7234558498086892
2006,3rd Quintile,male,Either,0.15436241610738255,27321,0.15007820662744478,0.15864662558732032
2006,3rd Quintile,male,I'm not sure yet,0.06711409395973154,27321,0.06414701634224904,0.07008117157721405
2006,3rd Quintile,male,Part-time,0.06040268456375839,27321,0.05757776048875031,0.06322760863876647
2006,3rd Quintile,female,Part-time,0.5211267605633803,27321,0.515203105689773,0.5270504154369875
2006,3rd Quintile,female,Full-time,0.22183098591549297,27321,0.2169042889839831,0.22675768284700284
2006,3rd Quintile,female,Either,0.1795774647887324,27321,0.17502598640772712,0.18412894316973769
2006,3rd Quintile,female,I'm not sure yet,0.07746478873239436,27321,0.07429484596110533,0.08063473150368339
2006,4th Quintile,male,Full-time,0.7483443708609272,27321,0.7431984648638441,0.7534902768580103
2006,4th Quintile,male,Part-time,0.09933774834437085,27321,0.09579087310818772,0.10288462358055399
2006,4th Quintile,male,Either,0.08609271523178808,27321,0.08276656356994677,0.08941886689362938
