"plb0196_h","year","bildungsniveau","regtyp","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Ja","2019","(noch) kein Abschluss","Laendlicher Raum","36","0.764194165352277","0.64768981697846","0.880698513726094"
"Ja","2019","Hauptschule","Staedtischer Raum","648","0.743679368528276","0.715249906540203","0.77210883051635"
"Ja","2019","Hauptschule","Laendlicher Raum","464","0.722014918830867","0.687169550582159","0.756860287079574"
"Ja","2019","Realschule","Staedtischer Raum","1116","0.779778299496105","0.758623204605685","0.800933394386525"
"Ja","2019","Realschule","Laendlicher Raum","892","0.751598266852471","0.727007280865473","0.77618925283947"
"Ja","2019","(Fach-)Abitur","Staedtischer Raum","845","0.786976782187606","0.762813564583886","0.811139999791325"
"Ja","2019","(Fach-)Abitur","Laendlicher Raum","358","0.717094984747238","0.677173900574414","0.757016068920061"
"Ja","2019","AkademikerIn","Staedtischer Raum","1614","0.818018482436373","0.801263353437813","0.834773611434933"
"Ja","2019","AkademikerIn","Laendlicher Raum","605","0.761037518615921","0.73091643290146","0.791158604330381"
"Nein","2019","(noch) kein Abschluss","Staedtischer Raum","35","0.201787296461373","0.125022930007051","0.278551662915696"
"Nein","2019","(noch) kein Abschluss","Laendlicher Raum","15","","",""
"Nein","2019","Hauptschule","Staedtischer Raum","258","0.256320631471724","0.22789116948365","0.284750093459797"
"Nein","2019","Hauptschule","Laendlicher Raum","171","0.277985081169133","0.243139712920426","0.312830449417841"
"Nein","2019","Realschule","Staedtischer Raum","358","0.220221700503895","0.199066605613475","0.241376795394315"
"Nein","2019","Realschule","Laendlicher Raum","294","0.248401733147529","0.22381074716053","0.272992719134527"
"Nein","2019","(Fach-)Abitur","Staedtischer Raum","258","0.213023217812394","0.188860000208675","0.237186435416114"
"Nein","2019","(Fach-)Abitur","Laendlicher Raum","131","0.282905015252762","0.242983931079939","0.322826099425586"
"Nein","2019","AkademikerIn","Staedtischer Raum","423","0.181981517563627","0.165226388565067","0.198736646562186"
"Nein","2019","AkademikerIn","Laendlicher Raum","165","0.23896248138408","0.208841395669619","0.26908356709854"
"Ja","2020","(noch) kein Abschluss","Staedtischer Raum","73","0.630116611760805","0.545484347017178","0.714748876504432"
"Ja","2020","(noch) kein Abschluss","Laendlicher Raum","34","0.54761181316194","0.424706729075196","0.670516897248684"
"Ja","2020","Hauptschule","Staedtischer Raum","588","0.572310695673933","0.541429809151521","0.603191582196345"
"Ja","2020","Hauptschule","Laendlicher Raum","407","0.656678094270606","0.621120708204396","0.692235480336816"
"Ja","2020","Realschule","Staedtischer Raum","987","0.632403756627433","0.608299490696577","0.656508022558288"
"Ja","2020","Realschule","Laendlicher Raum","785","0.625764434610555","0.599001653714138","0.652527215506972"
"Ja","2020","(Fach-)Abitur","Staedtischer Raum","878","0.67557963415482","0.650870456763627","0.700288811546013"
"Ja","2020","(Fach-)Abitur","Laendlicher Raum","365","0.662088032195219","0.622982375006744","0.701193689383694"
"Ja","2020","AkademikerIn","Staedtischer Raum","1637","0.697529080016319","0.679326085538436","0.715732074494202"
"Ja","2020","AkademikerIn","Laendlicher Raum","561","0.695272498108423","0.664126628450612","0.726418367766234"
"Nein","2020","(noch) kein Abschluss","Staedtischer Raum","52","0.369883388239195","0.285251123495568","0.454515652982822"
"Nein","2020","(noch) kein Abschluss","Laendlicher Raum","29","","",""
"Nein","2020","Hauptschule","Staedtischer Raum","398","0.427689304326067","0.396808417803655","0.458570190848479"
"Nein","2020","Hauptschule","Laendlicher Raum","278","0.343321905729394","0.307764519663184","0.378879291795605"
"Nein","2020","Realschule","Staedtischer Raum","550","0.367596243372567","0.343491977441712","0.391700509303423"
"Nein","2020","Realschule","Laendlicher Raum","471","0.374235565389445","0.347472784493028","0.400998346285862"
"Nein","2020","(Fach-)Abitur","Staedtischer Raum","501","0.32442036584518","0.299711188453987","0.349129543236373"
"Nein","2020","(Fach-)Abitur","Laendlicher Raum","197","0.337911967804781","0.298806310616306","0.377017624993256"
"Nein","2020","AkademikerIn","Staedtischer Raum","809","0.302470919983681","0.284267925505798","0.320673914461564"
"Nein","2020","AkademikerIn","Laendlicher Raum","278","0.304727501891577","0.273581632233766","0.335873371549388"
