"plb0196_h","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"Nein","2004","AkademikerIn","maennlich","228","0.216779017721511","0.193015656059195","0.240542379383826"
"Nein","2004","AkademikerIn","weiblich","249","0.289373649419832","0.258560465776784","0.320186833062879"
"Ja","2005","(noch) kein Abschluss","maennlich","","","",""
"Ja","2005","(noch) kein Abschluss","weiblich","","","",""
"Ja","2005","Hauptschule","maennlich","749","0.687128258900675","0.659526578410787","0.714729939390564"
"Ja","2005","Hauptschule","weiblich","346","0.61429200902532","0.574226255707633","0.654357762343007"
"Ja","2005","Realschule","maennlich","837","0.713870707845315","0.688116591106969","0.739624824583662"
"Ja","2005","Realschule","weiblich","793","0.700466230665154","0.67386493891961","0.727067522410698"
"Ja","2005","(Fach-)Abitur","maennlich","302","0.690018519765151","0.6451971954294","0.734839844100903"
"Ja","2005","(Fach-)Abitur","weiblich","299","0.668065328009744","0.623400061542939","0.71273059447655"
"Ja","2005","AkademikerIn","maennlich","845","0.811228549529773","0.787502266028957","0.83495483303059"
"Ja","2005","AkademikerIn","weiblich","553","0.717678559373786","0.68602850224219","0.749328616505383"
"Nein","2005","(noch) kein Abschluss","maennlich","","","",""
"Nein","2005","(noch) kein Abschluss","weiblich","","","",""
"Nein","2005","Hauptschule","maennlich","335","0.312871741099325","0.285270060609436","0.340473421589213"
"Nein","2005","Hauptschule","weiblich","221","0.38570799097468","0.345642237656993","0.425773744292367"
"Nein","2005","Realschule","maennlich","346","0.286129292154684","0.260375175416338","0.311883408893031"
"Nein","2005","Realschule","weiblich","346","0.299533769334846","0.272932477589302","0.32613506108039"
"Nein","2005","(Fach-)Abitur","maennlich","107","0.309981480234849","0.265160155899097","0.3548028045706"
"Nein","2005","(Fach-)Abitur","weiblich","128","0.331934671990256","0.28726940552345","0.376599938457061"
"Nein","2005","AkademikerIn","maennlich","200","0.188771450470227","0.16504516696941","0.212497733971043"
"Nein","2005","AkademikerIn","weiblich","224","0.282321440626214","0.250671383494617","0.31397149775781"
"Ja","2006","(noch) kein Abschluss","maennlich","","","",""
