year,age_gr,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2004,46-65 y.,East,1347,6.406313051533374,6.306018841699719,6.506607261367029,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
2004,66 and older,West,2175,6.587941802874936,6.498611942171392,6.67727166357848,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2004,66 and older,East,757,6.257565196878439,6.109316524816437,6.405813868940442,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0
2005,0-16 y.,West,,,,,,,,,,,,
2005,0-16 y.,East,,,,,,,,,,,,
2005,17-29 y.,West,1882,6.514417674142044,6.41546173946784,6.613373608816248,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2005,17-29 y.,East,723,6.594982100900882,6.442994315525207,6.746969886276557,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2005,30-45 y.,West,3826,6.4719404994644725,6.408582548686045,6.5352984502429,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2005,30-45 y.,East,993,6.5270264624757,6.3987935653327375,6.655259359618662,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
2005,46-65 y.,West,3966,6.60454588689779,6.540158350953296,6.668933422842284,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2005,46-65 y.,East,1277,6.392087727202443,6.280315701799853,6.503859752605034,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
2005,66 and older,West,2159,6.529680767285651,6.436597892308836,6.622763642262466,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2005,66 and older,East,764,6.523253412622349,6.379513072836942,6.666993752407756,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2006,0-16 y.,West,,,,,,,,,,,,
2006,0-16 y.,East,,,,,,,,,,,,
2006,17-29 y.,West,1860,6.584070463322885,6.483887394925193,6.684253531720576,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2006,17-29 y.,East,693,6.691171336194601,6.549314931952421,6.833027740436781,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2006,30-45 y.,West,4008,6.43348453671418,6.369845856127281,6.497123217301079,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2006,30-45 y.,East,1011,6.472233196553931,6.3503571027771235,6.594109290330738,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
2006,46-65 y.,West,4366,6.650475702596295,6.590138310323434,6.710813094869156,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2006,46-65 y.,East,1400,6.501218880218634,6.3988087461061784,6.603629014331089,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0249999999999995
2006,66 and older,West,2537,6.578475361087344,6.493777172380178,6.66317354979451,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2006,66 and older,East,873,6.39252818661775,6.252026021250478,6.533030351985023,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0249999999999995
2007,0-16 y.,West,,,,,,,,,,,,
2007,0-16 y.,East,,,,,,,,,,,,
2007,17-29 y.,West,1760,6.77474008440473,6.678548748947502,6.870931419861957,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2007,17-29 y.,East,629,6.509591527796096,6.342838652617444,6.676344402974748,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2007,30-45 y.,West,3658,6.553761501669124,6.4905608205520995,6.616962182786148,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2007,30-45 y.,East,957,6.601581294719553,6.476499061453372,6.7266635279857345,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2007,46-65 y.,West,4090,6.559547559482059,6.497628659151253,6.621466459812865,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2007,46-65 y.,East,1303,6.4897509872379455,6.384022686588471,6.59547928788742,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2007,66 and older,West,2497,6.654598209234206,6.570986082212768,6.738210336255644,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2007,66 and older,East,884,6.485812422363026,6.351739807611679,6.619885037114372,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2008,0-16 y.,West,,,,,,,,,,,,
2008,0-16 y.,East,,,,,,,,,,,,
2008,17-29 y.,West,1587,6.67954898834946,6.576539339509107,6.782558637189812,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2008,17-29 y.,East,590,6.8191843439783915,6.671190552404467,6.967178135552316,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0
2008,30-45 y.,West,3278,6.56635848139903,6.499621868621433,6.633095094176627,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2008,30-45 y.,East,911,6.569777739917956,6.446070133878927,6.693485345956986,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2008,46-65 y.,West,3900,6.622169348153973,6.558576938994358,6.685761757313587,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2008,46-65 y.,East,1270,6.597544300506175,6.493923404218011,6.701165196794339,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2008,66 and older,West,2413,6.701959022194129,6.619818557734915,6.784099486653343,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2008,66 and older,East,885,6.7492955610453444,6.626642210053021,6.871948912037668,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2009,0-16 y.,West,,,,,,,,,,,,
2009,0-16 y.,East,,,,,,,,,,,,
2009,17-29 y.,West,1470,6.672610804166647,6.56883000000466,6.776391608328633,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2009,17-29 y.,East,530,6.903495555369751,6.741392857683831,7.06559825305567,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2009,30-45 y.,West,3015,6.611868894460361,6.541578009978439,6.6821597789422835,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2009,30-45 y.,East,841,6.697064673281916,6.5694699719603475,6.824659374603484,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2009,46-65 y.,West,3753,6.650403784466699,6.587068242676689,6.71373932625671,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2009,46-65 y.,East,1255,6.594899277344934,6.494631040381165,6.695167514308704,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2009,66 and older,West,2321,6.654978418229577,6.568711194729123,6.741245641730031,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2009,66 and older,East,852,6.692335423957739,6.5638923989988305,6.820778448916648,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2010,0-16 y.,West,,,,,,,,,,,,
2010,0-16 y.,East,,,,,,,,,,,,
2010,17-29 y.,West,2305,6.74725097470651,6.660549722692928,6.8339522267200925,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2010,17-29 y.,East,739,7.1024745473824735,6.970551819648193,7.234397275116754,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0
2010,30-45 y.,West,6276,6.74663195080326,6.699256588757481,6.794007312849039,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
2010,30-45 y.,East,1496,6.837603140204598,6.742335057749561,6.932871222659634,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
