year,age_gr,pgisced97,pli0080,proportion,n,lower_confidence,upper_confidence
1998,18-29 J.,inadequately,Min 1x pro Woche,0.0017997750281214847,18147,0.0011830783709945274,0.002416471685248442
1998,30-45 J.,higher education,Taeglich,0.0016497937757780278,18147,0.001059307323192035,0.0022402802283640207
1998,66 und älter,inadequately,Min 1x pro Woche,0.0016497937757780278,18147,0.001059307323192035,0.0022402802283640207
1998,66 und älter,higher vocational,Min 1x pro Woche,0.0015748031496062992,18147,0.0009978712462221017,0.0021517350529904966
1998,66 und älter,higher vocational,Min 1x pro Monat,0.0014998125234345708,18147,0.0009367634930277665,0.002062861553841375
1998,46-65 J.,vocational + Abi,Seltener,0.0013498312710911137,18147,0.0008156359446655439,0.0018840265975166833
1998,30-45 J.,inadequately,Seltener,0.0011998500187476566,18147,0.0006961680167997753,0.001703532020695538
1998,66 und älter,vocational + Abi,Min 1x pro Woche,0.0011248593925759281,18147,0.0006371530836062906,0.0016125657015455656
1998,18-29 J.,inadequately,Taeglich,0.0010498687664041995,18147,0.0005786820225584542,0.0015210555102499446
1998,18-29 J.,in school,Min 1x pro Monat,0.0010498687664041995,18147,0.0005786820225584542,0.0015210555102499446
1998,66 und älter,inadequately,Seltener,0.0009748781402324709,18147,0.0005208141905648817,0.0014289420899000602
1998,18-29 J.,in school,Seltener,0.0009748781402324709,18147,0.0005208141905648817,0.0014289420899000602
1998,18-29 J.,vocational + Abi,Taeglich,0.0008998875140607424,18147,0.00046362060923743056,0.0013361544188840542
1998,46-65 J.,higher education,Nie,0.0008998875140607424,18147,0.00046362060923743056,0.0013361544188840542
1998,18-29 J.,higher education,Seltener,0.0008248968878890139,18147,0.0004071874516236828,0.0012426063241543451
1998,30-45 J.,vocational + Abi,Taeglich,0.0008248968878890139,18147,0.0004071874516236828,0.0012426063241543451
1998,18-29 J.,higher vocational,Taeglich,0.0007499062617172854,18147,0.000351620995744898,0.0011481915276896728
1998,18-29 J.,vocational + Abi,Seltener,0.0007499062617172854,18147,0.000351620995744898,0.0011481915276896728
1998,46-65 J.,higher education,Taeglich,0.0007499062617172854,18147,0.000351620995744898,0.0011481915276896728
1998,30-45 J.,inadequately,Taeglich,0.0006749156355455568,18147,0.0002970548780158863,0.0010527763930752274
1998,18-29 J.,higher vocational,Seltener,0.0005999250093738283,18147,0.00024366110421965173,0.0009561889145280048
1998,66 und älter,vocational + Abi,Seltener,0.0005999250093738283,18147,0.00024366110421965173,0.0009561889145280048
1998,66 und älter,higher education,Taeglich,0.0005249343832020997,18147,0.0001916675123686515,0.000858201254035548
1998,18-29 J.,higher education,Taeglich,0.0005249343832020997,18147,0.0001916675123686515,0.000858201254035548
1998,66 und älter,inadequately,Taeglich,0.0005249343832020997,18147,0.0001916675123686515,0.000858201254035548
1998,30-45 J.,general elemantary,Nie,0.0005249343832020997,18147,0.0001916675123686515,0.000858201254035548
1998,66 und älter,vocational + Abi,Min 1x pro Monat,0.0005249343832020997,18147,0.0001916675123686515,0.000858201254035548
1998,18-29 J.,inadequately,Min 1x pro Monat,0.0005249343832020997,18147,0.0001916675123686515,0.000858201254035548
1998,30-45 J.,higher education,Nie,0.0004499437570303712,18147,0.0001413870145677587,0.0007585004994929837
1998,30-45 J.,higher vocational,Taeglich,0.0004499437570303712,18147,0.0001413870145677587,0.0007585004994929837
1998,18-29 J.,middle vocational,Nie,0.0004499437570303712,18147,0.0001413870145677587,0.0007585004994929837
1998,66 und älter,inadequately,Min 1x pro Monat,0.0004499437570303712,18147,0.0001413870145677587,0.0007585004994929837
1998,46-65 J.,higher vocational,Nie,0.0004499437570303712,18147,0.0001413870145677587,0.0007585004994929837
1998,66 und älter,higher vocational,Nie,0.0004499437570303712,18147,0.0001413870145677587,0.0007585004994929837
1998,18-29 J.,inadequately,Seltener,0.0003749531308586427,18147,9.327008470966664e-05,0.0006566361770076188
