"year","hhtyp","regtyp","mean","median","n","lower_confidence","upper_confidence"
"2017","Alleinerziehende","Staedtischer Raum","1343.73","1173.21","3135","1307.14","1380.32"
"2017","Paar mit Kind(ern)","Laendlicher Raum","1703.43","1522.77","9789","1686.43","1720.43"
"2017","Paar mit Kind(ern)","Staedtischer Raum","1816.47","1666.67","19169","1801.76","1831.18"
"2017","Sonstige","Laendlicher Raum","1521.25","1516.67","861","1475.04","1567.46"
"2017","Sonstige","Staedtischer Raum","1345.24","1156.92","1871","1314.33","1376.15"
"2018","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1974.88","1861.67","3427","1942.15","2007.61"
"2018","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","2355.61","2123.33","5850","2317.77","2393.45"
"2018","1-Pers.- Haushalt","Laendlicher Raum","1639.82","1495","1387","1593.84","1685.8"
"2018","1-Pers.- Haushalt","Staedtischer Raum","1871.59","1645","3073","1819.69","1923.49"
"2018","Alleinerziehende","Laendlicher Raum","1353.86","1192.11","1500","1322.48","1385.24"
"2018","Alleinerziehende","Staedtischer Raum","1433.37","1271.71","3181","1398.07","1468.67"
"2018","Paar mit Kind(ern)","Laendlicher Raum","1762.58","1665.71","9040","1746.56","1778.6"
"2018","Paar mit Kind(ern)","Staedtischer Raum","1919.08","1760.95","18434","1902.95","1935.21"
"2018","Sonstige","Laendlicher Raum","1698.15","1495","620","1640.49","1755.81"
"2018","Sonstige","Staedtischer Raum","1485.4","1339.74","1631","1452.94","1517.86"
"2019","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","2058.9","1860","3679","1948.02","2169.78"
"2019","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","2495.04","2135","6410","2386.41","2603.67"
"2019","1-Pers.- Haushalt","Laendlicher Raum","1711.49","1534.5","1384","1635.4","1787.58"
"2019","1-Pers.- Haushalt","Staedtischer Raum","2033.32","1694","3018","911.27","3155.37"
"2019","Alleinerziehende","Laendlicher Raum","1423.09","1333.21","1414","1385.08","1461.1"
"2019","Alleinerziehende","Staedtischer Raum","1468.23","1267.95","2877","1378.54","1557.92"
"2019","Paar mit Kind(ern)","Laendlicher Raum","1872.42","1697.83","8951","1849.08","1895.76"
"2019","Paar mit Kind(ern)","Staedtischer Raum","1997.27","1808.61","18359","1970.26","2024.28"
"2019","Sonstige","Laendlicher Raum","1683.77","1638.89","527","1603.14","1764.4"
