year,bula_h,regtyp,hlf0186,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2007,Schleswig-Holstein,Rural regions,No,0.41607,83,11255,0,0.37220,0,0.46301
2007,Hamburg,Urban regions,Yes,0.68649,129,11255,0,0.58948,0,0.76768
2007,Hamburg,Urban regions,No,0.31351,57,11255,0,0.25327,0,0.38097
2007,Lower Saxony,Urban regions,Yes,0.69103,357,11255,0,0.63202,0,0.74470
2007,Lower Saxony,Urban regions,No,0.30897,128,11255,0,0.27890,0,0.33996
2007,Lower Saxony,Rural regions,Yes,0.69326,373,11255,0,0.63436,0,0.74428
2007,Lower Saxony,Rural regions,No,0.30674,138,11255,0,0.26612,0,0.33983
2007,Bremen,Urban regions,Yes,1.00000,68,11255,0,0.82185,0,1.16664
2007,North Rhine-Westphalia,Urban regions,Yes,0.68260,1621,11255,0,0.65810,0,0.70566
2007,North Rhine-Westphalia,Urban regions,No,0.31740,646,11255,0,0.29726,0,0.33565
2007,North Rhine-Westphalia,Rural regions,Yes,1.00000,35,11255,0,0.82499,0,1.22143
2007,Hesse,Urban regions,Yes,0.67243,460,11255,0,0.63024,0,0.72823
2007,Hesse,Urban regions,No,0.32757,176,11255,0,0.28564,0,0.36539
2007,Hesse,Rural regions,Yes,0.63313,96,11255,0,0.54924,0,0.72678
2007,Hesse,Rural regions,No,0.36687,47,11255,0,0.28703,0,0.43763
2007,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.67041,347,11255,0,0.62674,0,0.71715
2007,"Rhineland-Palatinate, Saarland",Urban regions,No,0.32959,160,11255,0,0.28562,0,0.37314
2007,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.74643,112,11255,0,0.66042,0,0.84660
2007,"Rhineland-Palatinate, Saarland",Rural regions,No,0.25357,40,11255,0,0.19181,0,0.31140
2007,Baden-Wuerttemberg,Urban regions,Yes,0.66412,855,11255,0,0.62830,0,0.69641
2007,Baden-Wuerttemberg,Urban regions,No,0.33588,371,11255,0,0.31117,0,0.36166
2007,Baden-Wuerttemberg,Rural regions,Yes,0.76252,85,11255,0,0.64126,0,0.88200
2007,Baden-Wuerttemberg,Rural regions,No,0.23748,33,11255,0,0.16705,0,0.31152
2007,Bavaria,Urban regions,Yes,0.73379,599,11255,0,0.68593,0,0.77915
2007,Bavaria,Urban regions,No,0.26621,193,11255,0,0.23274,0,0.29442
2007,Bavaria,Rural regions,Yes,0.66517,598,11255,0,0.62568,0,0.70785
2007,Bavaria,Rural regions,No,0.33483,237,11255,0,0.30041,0,0.36416
2007,Berlin,Urban regions,Yes,0.59498,288,11255,0,0.55118,0,0.64090
2007,Berlin,Urban regions,No,0.40502,176,11255,0,0.36079,0,0.44981
2007,Brandenburg,Urban regions,Yes,1.00000,36,11255,0,0.78829,0,1.23245
2007,Brandenburg,Rural regions,Yes,0.63056,287,11255,0,0.56454,0,0.69896
2007,Brandenburg,Rural regions,No,0.36944,156,11255,0,0.32725,0,0.41259
2007,Mecklenburg-Western Pomerania,Rural regions,Yes,0.67052,168,11255,0,0.58960,0,0.73972
2007,Mecklenburg-Western Pomerania,Rural regions,No,0.32948,74,11255,0,0.26649,0,0.39935
2007,Saxony,Urban regions,Yes,0.65024,287,11255,0,0.59879,0,0.70842
2007,Saxony,Urban regions,No,0.34976,133,11255,0,0.31238,0,0.39833
2007,Saxony,Rural regions,Yes,0.65305,285,11255,0,0.59754,0,0.71541
2007,Saxony,Rural regions,No,0.34695,123,11255,0,0.30277,0,0.39849
2007,Saxony-Anhalt,Urban regions,Yes,1.00000,67,11255,0,0.83302,0,1.17448
2007,Saxony-Anhalt,Rural regions,Yes,0.60491,220,11255,0,0.54736,0,0.67398
2007,Saxony-Anhalt,Rural regions,No,0.39509,148,11255,0,0.33886,0,0.45656
2007,Thuringa,Urban regions,Yes,0.60832,91,11255,0,0.51646,0,0.71781
2007,Thuringa,Urban regions,No,0.39168,51,11255,0,0.28386,0,0.48138
2007,Thuringa,Rural regions,Yes,0.64805,230,11255,0,0.57795,0,0.72723
2007,Thuringa,Rural regions,No,0.35195,113,11255,0,0.30550,0,0.40062
2011,Schleswig-Holstein,Urban regions,Yes,1.00000,88,11892,0,0.83697,0,1.19280
2011,Schleswig-Holstein,Rural regions,Yes,0.72504,193,11892,0,0.63214,0,0.82082
2011,Schleswig-Holstein,Rural regions,No,0.27496,92,11892,0,0.23384,0,0.32708
2011,Hamburg,Urban regions,Yes,0.74735,148,11892,0,0.66548,0,0.83464
2011,Hamburg,Urban regions,No,0.25265,45,11892,0,0.20262,0,0.29834
2011,Lower Saxony,Urban regions,Yes,0.75252,385,11892,0,0.69281,0,0.80395
2011,Lower Saxony,Urban regions,No,0.24748,123,11892,0,0.21010,0,0.28762
2011,Lower Saxony,Rural regions,Yes,0.76457,441,11892,0,0.71039,0,0.82956
2011,Lower Saxony,Rural regions,No,0.23543,126,11892,0,0.19803,0,0.27640
2011,Bremen,Urban regions,Yes,1.00000,56,11892,0,0.79234,0,1.19013
2011,North Rhine-Westphalia,Urban regions,Yes,0.72873,1678,11892,0,0.69756,0,0.75808
2011,North Rhine-Westphalia,Urban regions,No,0.27127,599,11892,0,0.25632,0,0.28832
2011,North Rhine-Westphalia,Rural regions,Yes,1.00000,46,11892,0,0.78258,0,1.23899
2011,Hesse,Urban regions,Yes,0.75292,497,11892,0,0.69141,0,0.81458
2011,Hesse,Urban regions,No,0.24708,175,11892,0,0.22273,0,0.28218
2011,Hesse,Rural regions,Yes,0.72545,116,11892,0,0.61754,0,0.81604
2011,Hesse,Rural regions,No,0.27455,35,11892,0,0.20636,0,0.33954
2011,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.65227,347,11892,0,0.59884,0,0.69747
